Unnamed: 0,index,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,time,specific_humidity,air_pressure,rhi,fuel_flow_per_engine,thrust_setting,nox_ei,co_ei,hc_ei,nvpm_ei_m,nvpm_ei_n,co2,h2o,so2,sulphates,oc,nox,co,hc,nvpm_mass,nvpm_number,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,ei_nox_p3t3,ei_nvpm_number_p3t3_meem,ei_nvpm_mass_p3t3_meem
0,2,461f63,FIN43D,60.37413024902344,25.075630977235992,118.32222212,845.82,-0.7116938889652793,34610D,277.0722,-5.095607,6.553391,114.5209353492085,67849.73281302575,0.262857639873982,1.33651936180387,80.1911617082322,132309.31789818947,2604.705216047836,2023-11-05 22:02:00,0.0050377632319006,0.9156803740577508,0.8826903096080407,0.668259680901935,0.57675131285451,0.0160987841068688,0.0008768191540516,0.0001948487009003,0.0001298413722494,1871896308653949.2,253.3238798363055,99.19646703308324,0.0962293940498786,0.0019638651846914,0.0016038232341646,1.29098019961984,0.0703131465714315,0.0156251436825403,0.0104121304784777,1.501095395883118e+17,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.343198691591047,66.15465894909474,16.09878410686887,129.84137224949154,1871896308653948.8,22.6451165814285,743.144039710276,1424.10450229426,0.50377632319,0.0198584352551116,0.857149640611952,66.1547168463517,43.16299998467,42.9466449557783,0.50377632319006,0.7640724345139537,21.891162912326088,3746740279381570.5,91.90879628290801
1,3,461f63,FIN43D,60.429134045617054,25.12445722307477,130.668888776,1653.5400000000002,-0.7110310249290263,34610D,273.4093,-2.7300885,8.661232,134.19877897968277,67769.54165131752,0.2787345653762968,1.060394403949324,63.62366423695944,94992.46314967058,1503.3434549803603,2023-11-05 22:03:00,0.0039074650987249,0.8297478838491327,0.8349312981556378,0.530197201974662,0.484531270623489,0.0137853674134866,0.0009278777525465,0.0002061950561214,8.950777439193513e-05,1777913833125312.8,200.9871553245549,78.70247266111883,0.0763483970843513,0.0015581305527418,0.0012724732847391,0.8770755876987985,0.0590349825809684,0.0131188850179929,0.0056948125845099,1.1311739276101043e+17,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.4048546544532367,47.49623157483529,13.78536741348668,89.50777439193513,1777913833125312.8,18.2591693571308,710.845082129152,1354.29603155685,0.390746509872,0.0184740477915343,0.661263558832777,47.496336577721,35.794189031805,35.65486887607213,0.39074650987249,0.6346996007493205,17.943008785085862,4934542722153117.0,76.774472681281
2,4,461f63,FIN43D,60.486236572265625,25.02050991716056,151.76111098,2118.36,-0.7103322906621516,34610D,270.5375,-2.25021,8.4989395,155.27583414896563,67705.91798708057,0.2900925846807883,1.059082823321938,63.54496939931628,85337.93688734369,1503.2395153056812,2023-11-05 22:04:00,0.0034857209231306,0.7833368200305779,0.8925893696186967,0.529541411660969,0.4981744070269703,0.0140598890094636,0.0009502878892392,0.0002111750864976,8.966467470969217e-05,1694804531005339.0,200.7385583324401,78.60512714695425,0.0762539632791795,0.0015562033322281,0.0012708993879863,0.8934352168641507,0.0603860148422486,0.0134191144093885,0.005697739010627,1.0769630206055683e+17,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.4709202038025021,42.66896844367184,14.059889009463646,89.66467470969216,1694804531005339.0,17.6291863435443,707.790605354044,1342.61513853523,0.348572092313,0.018178296055571,0.63105001034938,42.669273633164,34.7144753512795,34.5938907026448,0.34857209231306,0.6231401573752682,17.632957842962465,4819664908035384.0,72.35844578016288
3,5,,,60.54089218520622,24.86228326150616,156.5968887536,2583.378890701468,-0.7096614413144825,34610D,267.18387,-1.8380538,8.795549,170.75659037604163,67642.37301768124,0.3005469406797748,1.1170183430954117,67.0211005857247,84795.85046279343,1644.1639045904112,2023-11-05 22:05:00,0.0030559170787375,0.7390320336720873,0.9818667489303304,0.5585091715477059,0.536458599036007,0.0149603971870653,0.0009677634658034,0.0002150585479563,9.769682346222574e-05,1573959110468171.5,211.7196567503043,82.90510142454146,0.0804253207028696,0.0016413330755687,0.0013404220117144,1.002662284676702,0.064860572584802,0.0144134605744004,0.0065477486321676,1.0548847186050509e+17,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.5211101969721195,42.39792523139671,14.960397187065384,97.69682346222577,1573959110468171.5,17.8799714886191,713.805887599317,1360.61828885736,0.305591707874,0.0185789638466251,0.649597332154963,42.3982251945969,34.9641313432538,34.857609379427245,0.30559170787375,0.6457436433358615,18.370897098580762,4581872139288443.0,73.8039997084705
4,6,,,60.58972609021037,24.6648793684984,161.4326665272,3092.041859706362,-0.7090617816496663,34610D,264.24942,-0.70222765,9.567388,184.17176254640933,67575.35191709553,0.3077814228152665,1.104882215520247,66.2929329312148,79636.98321777384,1644.43423843115,2023-11-05 22:06:00,0.0022229017018022,0.6929154882889377,0.8645943740091377,0.5524411077601233,0.547905632492737,0.0152498217703407,0.0009965164175732,0.000221448092794,9.627181141733834e-05,1471176822944835.5,209.4193751297076,82.00435803591272,0.0795515195174577,0.0016235003983154,0.0013258586586242,1.0109554118341764,0.0660619960350401,0.0146804435633422,0.0063821407374561,9.752862645343966e+16,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.5651623474276704,39.81849160888692,15.249821770340716,96.27181141733834,1471176822944835.5,17.3547191096853,713.203004041623,1360.62115508257,0.22229017018,0.0185795628588762,0.631105126226589,39.8181665781753,33.9677058615555,33.892366462467976,0.22229017018022,0.6435011868364452,18.446672178347026,4455192892719485.0,71.25621881084531
5,7,,,60.63855999521452,24.467475475490644,166.2684443008,3600.7048287112566,-0.7084612183833996,34610D,260.75537,0.8479255,10.29938,193.53844262094688,67509.05898416431,0.3123519325916745,1.0594330902532207,63.565985415193246,73744.55291929322,1643.112601975397,2023-11-05 22:07:00,0.0015928092187796,0.649157329138443,0.7927519380412725,0.5297165451266104,0.5371937754651055,0.0150056426070569,0.0010193065094207,0.000226512557649,8.980318398875848e-05,1381808722848708.0,200.80494792659545,78.63112395859405,0.0762791824982318,0.0015567180101679,0.0012713197083038,0.953848459105786,0.0647932227114531,0.0143984939358784,0.0057084278836673,8.783603312318778e+16,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.5978714585184496,36.872276459646606,15.005642607056975,89.80318398875849,1381808722848708.0,16.5471717992107,707.710279936521,1349.37098876353,0.159280921878,0.0183590637393344,0.597338763439908,36.8724948595344,32.5364502199589,32.4847082771457,0.15928092187796,0.6228340662642444,17.927405033853105,4543273737067629.0,68.14508742880535
6,8,,,60.68739390021867,24.270071582482885,171.1042220744,4109.367797716151,-0.7078597537600017,34610D,257.31674,2.1128113,10.123793,198.11109201174293,67445.4929987491,0.3148305901876587,1.00248203574303,60.1489221445818,68710.67083985035,1643.3401691327697,2023-11-05 22:08:00,0.0014052865041056,0.6076641582646767,0.8972890971570262,0.501241017871515,0.5185990801086788,0.0144431223837093,0.0010436134941929,0.0002319141098206,8.171780731936269e-05,1284492994146599.5,190.01044505473388,74.40421669284768,0.0721787065734981,0.0014730348280305,0.0012029784428916,0.8687382437823975,0.0627722268112463,0.0139493837358325,0.0049152380302782,7.726086910018458e+16,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.6160727203004727,34.355335419925176,14.443122383709303,81.71780731936269,1284492994146599.5,15.6555877942426,701.009595198913,1337.68068734475,0.140528650411,0.0181663490929993,0.561825787913063,34.3548576209959,30.9267307942228,30.88333086615476,0.14052865041056,0.5977395955618904,17.107361833354,4730329365365474.0,65.79736889516172
7,9,,,60.736227805222825,24.07266768947513,175.939999848,4618.030766721044,-0.7072573900262106,34610D,254.31557,3.2137456,10.089292,198.88231548793817,67385.34407660452,0.317644919302734,0.9815233981103276,58.89140388661965,67612.32350852876,1645.2772296324854,2023-11-05 22:09:00,0.0010860770964018,0.5683451722472721,0.8599756955767819,0.4907616990551637,0.5199901729817187,0.0143507989901294,0.0010748759630981,0.0002388613251329,7.843258992483797e-05,1159966940476018.8,186.03794487783145,72.84866660774851,0.0706696846639435,0.0014422384625294,0.0011778280777323,0.8451386994234051,0.0633009544708347,0.0140668787712966,0.0046190053311372,6.831208158669971e+16,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.6221096031865989,33.80616175426438,14.35079899012942,78.43258992483797,1159966940476018.8,15.1735624252532,700.577398784566,1346.0800295938,0.10860770964,0.0184371503378408,0.551187889814529,33.8056742092197,29.8955033567883,29.86306976069296,0.1086077096401799,0.5961425963369122,17.013518107303227,4748503341536074.0,65.73972313522495
8,10,,,60.78506171022698,23.87526379646737,180.7757776216,5126.693735725938,-0.7066541294311464,34610D,251.40059,3.9091601,9.357976,199.56630990128724,67326.4526727179,0.3202427856258671,0.9687568131483518,58.12540878890111,67048.08153666768,1647.6253674903091,2023-11-05 22:10:00,0.000769613668881,0.5311121215722205,0.753835286008632,0.4843784065741759,0.5264218777175832,0.0143643442584978,0.0011087938929831,0.0002463986428851,7.63292529642075e-05,1041660201664435.4,183.6181663641386,71.90113067187067,0.0697504905466813,0.0014234793989118,0.001162508175778,0.8349333820096908,0.0644490982922841,0.0143220218427298,0.004436669031096,6.054692504087448e+16,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.627857796969965,33.52404076833384,14.364344258497828,76.3292529642075,1041660201664435.4,14.8047600639743,701.564568836506,1354.78597148544,0.0769613668881,0.0186801263197076,0.542918241578537,33.5239362074301,29.0639491557269,29.04159834467468,0.0769613668881,0.5997902661359593,17.0753182685136,4648950039950288.0,65.05874626288812
9,11,,,60.833895615231135,23.677859903459616,185.6115553952,5635.356704730832,-0.7060499742263275,34610D,248.50877,4.8384275,8.419123,200.58585726283985,67268.32726392901,0.3224076672194145,0.9625795269867864,57.75477161920718,66730.00094329625,1645.8933235015495,2023-11-05 22:11:00,0.0004627903978534,0.4958792701339632,0.5626614751176959,0.4812897634933932,0.5370640168896185,0.0144645194506621,0.00114465938096,0.0002543687513244,7.519505126318182e-05,932078969461352.8,182.44732354507548,71.4426524929593,0.0693057259430486,0.0014144025702662,0.0011550954323841,0.8353950174545732,0.0661095411291281,0.0146910091398062,0.0043428730125996,5.383200801230642e+16,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.6347265691511383,33.36500047164813,14.46451945066216,75.19505126318184,932078969461352.8,14.5088593302605,703.359474595694,1364.76672386768,0.0462790397853,0.0189425857609791,0.537525740674567,33.3652924034622,28.3765768547738,28.363450522222127,0.0462790397853399,0.6064499696918313,17.227177265764464,4511276526351770.0,64.39526179039976
