Unnamed: 0,index,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,time,specific_humidity,air_pressure,rhi,fuel_flow_per_engine,thrust_setting,nox_ei,co_ei,hc_ei,nvpm_ei_m,nvpm_ei_n,co2,h2o,so2,sulphates,oc,nox,co,hc,nvpm_mass,nvpm_number,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,ei_nox_p3t3,ei_nvpm_number_p3t3_meem,ei_nvpm_mass_p3t3_meem,ei_mass_meem,ei_number_meem
0,1,801733.0,IGO1004,1.4106889349229954,104.0191171175605,120.379999896,586.74,-0.9221603147605836,34610D,297.82346,-1.6132032,0.06786234,119.29890096224386,69378.63483233604,0.2338323672206712,0.5886832685211796,35.32099611127077,49765.61027743802,51.04358608071187,2023-05-04 16:01:00,0.0173531881059187,0.9447202900687772,0.6710696361358335,0.2943416342605898,0.4581384543239349,0.0095449955184403,0.0003776072377077,7.452691853375551e-05,6.285862085443172e-06,655420227436149.4,111.57902671550436,43.69207218964195,0.0423851953335249,0.0008650039863984,0.0007064199222254,0.3371387495889295,0.0133374637746618,0.0026323649997157,0.0002220229102759,2.315009530452044e+16,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.344837274976029,24.88280513871901,9.54499551844038,6.285862085443172,655420227436149.4,17.0260126903725,748.481944090115,1486.03040396234,1.73531881059,0.0221050587820008,0.267397033956393,24.8837825710348,12.0966443289498,11.89030955067926,1.73531881059187,0.5081883230052652,10.47249476221434,586643433408608.4,7.171080875702638,,
1,2,801733.0,,1.4745127782828862,104.04393870359776,133.41259247733333,601.5917197452229,-0.922999073549872,34610D,297.79453,-1.5757649,-0.036918204,131.4281183049277,69343.31383622477,0.2687362169286496,1.0406415105089586,62.43849063053752,91773.75739970151,1533.2068941986302,2023-05-04 16:02:00,0.0170374450867424,0.9430356884702292,0.6590001183369352,0.5203207552544793,0.8151531610214658,0.0124092392644026,0.0003781740828217,8.151773945218911e-05,2.0974533979131304e-05,1348729285939324.0,197.243191901868,77.23641290997492,0.074926188756645,0.0015291058929927,0.0012487698126107,0.7748141695425017,0.0236126189269789,0.0050898446110081,0.0013096182433358,8.421262088325403e+16,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.3799155964512933,45.88687869985076,12.409239264402627,20.974533979131305,1348729285939324.0,27.9220970800987,838.967568164179,1671.87687626215,1.70374450867,0.0259307636033042,0.481253474314495,45.8869083405689,18.5591709398474,18.248267091350318,1.70374450867424,0.8311728725213128,14.971124922988707,1098674855167985.5,17.921224264999562,,
2,3,801733.0,,1.5336845271932014,104.00137361944992,146.44518505866665,1047.1433121019109,-0.9235593913250908,34610D,295.42334,0.2508764,-0.4165216,146.34015649255952,69280.87534559424,0.2776726957583292,1.0759215736347594,64.55529441808557,88050.07604800117,1535.5089539341443,2023-05-04 16:03:00,0.0148559236211978,0.8936170680416206,0.6422080004329571,0.5379607868173797,0.8690267631139592,0.0133530799128194,0.0003891156089841,8.439065707737364e-05,2.3111888838996927e-05,1449612980279136.0,203.9301750667323,79.85489919517185,0.0774663533017026,0.001580945985749,0.0012911058883617,0.8620120051602849,0.0251194727006443,0.0054478637137655,0.0014919947885595,9.35801927341981e+16,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.4247156979272482,44.02503802400059,13.353079912819464,23.11188883899693,1449612980279136.0,28.0705596903905,846.010853222324,1682.02249583106,1.48559236212,0.0260254237345351,0.484305908590116,44.0249627105975,18.6089538264637,18.336547477659128,1.4855923621197795,0.8608463590887769,15.932167133498305,1049994142830695.6,17.854841801908997,34.70294707890262,1877218086640872.0
3,4,801733.0,IGO1004,1.5928562761035163,103.95880853530213,159.47777764,1492.6949044585988,-0.9241064636067948,34610D,292.60092,1.7445883,-0.30085638,160.70983569994567,69216.32005117615,0.2784187061553179,1.2065940742365486,72.39564445419292,198275.3364443667,7054.815080800679,2023-05-04 16:04:00,0.0141824123540384,0.8463166762616119,0.7092115336767223,0.6032970371182743,1.0,0.0157655046230899,0.0003984845584172,8.642257710455567e-05,2.9129047153984458e-05,1557468154132330.0,228.69784083079543,89.55341218983665,0.0868747733450314,0.0017729545580618,0.0014479128890838,1.141353867334154,0.0288485464116611,0.0062566181648764,0.0021088161410492,1.127539107352923e+17,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.4686642627910146,99.13766822218334,15.76550462308994,29.12904715398446,1557468154132330.0,53.9073389205223,1014.32238229532,2146.08982764041,1.4182412354,0.0385681962892852,1.19967052583999,99.1367135460257,31.1051757992966,30.670198398627104,1.4182412354038398,1.0,37.41786565925671,1086888320375840.8,27.209686916995185,34.17417064787174,1825607650270386.8
4,5,801733.0,IGO1004,1.6540695966300318,103.90687330057575,173.367777628,3529.5840000000003,-0.9245915632500016,34610D,281.32623,-0.2264897,0.970253,169.73766915889044,69143.92440672196,0.2995235058655341,1.0768438912009148,64.61063347205489,92629.0636596006,2278.7300526022705,2023-05-04 16:05:00,0.0078467860199249,0.6551372471949614,0.7036132563024053,0.5384219456004574,1.0,0.0166507030551891,0.0004544856181523,9.856798098700454e-05,3.312483650727914e-05,1497437173789815.5,204.10499113822132,79.9233536049319,0.0775327601664658,0.001582301227887,0.001292212669441,1.0758124721508502,0.029364603692764,0.0063685396916318,0.0021402166703935,9.675036438316352e+16,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.5048127649840393,46.314531829800295,16.650703055189144,33.12483650727914,1497437173789815.5,29.2317212775701,881.291251853396,1779.64740951493,0.784678601992,0.0282848167509995,0.532374816482256,46.3152957011388,18.8219291349463,18.675387366442614,0.78467860199249,1.0,20.85898360305116,796019932928108.0,19.927947286407118,25.895595035579824,1593329353575859.2
5,6,801733.0,IGO1004,1.7228052171610169,103.83673569251752,186.743333172,4183.38,-0.924951841403315,34610D,277.6433,-3.15044,0.32106736,178.89646008562684,69079.3137732499,0.302675207045999,1.03335141197931,62.00108471875859,93214.053745913,2277.598588039036,2023-05-04 16:06:00,0.005554670117691,0.6018100734168642,0.6111467948688476,0.516675705989655,1.0,0.017020958752055,0.0004745090314024,0.0001029106209687,3.4031403708962e-05,1483817307212384.8,195.8614266265584,76.69534179710438,0.0744013016625103,0.0015183939114798,0.0012400216943751,1.055317905580662,0.0294200746557976,0.0063805701291445,0.0021099839444576,9.199828257163533e+16,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.5355689154305735,46.6070268729565,17.020958752055073,34.031403708962,1483817307212384.8,29.549346358093,892.691404059691,1812.93326915985,0.555467011769,0.0290861171033009,0.548234987599123,46.6070332200821,18.8486825399223,18.744562677747037,0.5554670117691,1.0,22.75160457575829,758059044606312.2,18.977616082213196,24.28726861896284,1502645183226582.8
6,7,801733.0,IGO1004,1.7943572998046875,103.76389842922404,194.974444276,4835.3133333333335,-0.9252759091879248,34610D,273.6073,-3.8427963,-0.31987137,190.30926244848592,69017.31268853115,0.3044570334040741,0.9939110520938136,59.634663125628805,93839.78757957276,2546.457750091679,2023-05-04 16:07:00,0.004355921584784,0.5521903874268522,0.6094189569557844,0.4969555260469067,1.0,0.0170729990891337,0.0004936010356232,0.0001070512587224,3.488829376503476e-05,1470943768203281.0,188.38590081386133,73.76807828640284,0.0715615957507545,0.0014604407296072,0.0011926932625125,1.018142549224658,0.0294357314778556,0.0063839657510901,0.0020805516457058,8.771923609354568e+16,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.5739225779900742,46.91989378978639,17.07299908913374,34.88829376503476,1470943768203281.0,29.990213377173,904.452657031405,1849.76046134768,0.435592158478,0.0300484433043859,0.568603245724988,46.919913451482,18.9228852877711,18.840816169941505,0.4355921584784,1.0,24.40123684580805,732977097714776.0,18.34970251520439,22.96986645833482,1426252720240826.0
7,8,801733.0,IGO1004,1.869444766287076,103.68749684300916,200.63333316,5562.6,-0.9255567873922774,34610D,269.2918,-3.9156075,0.26061076,199.7629340480261,68957.67802540552,0.3163310554067915,0.9500392346852256,57.00235408111354,77278.66218657159,1989.3511733240089,2023-05-04 16:08:00,0.0039852127720057,0.5007994046965324,0.7247047508884985,0.4750196173426128,1.0,0.01679285289283,0.0005174454918129,0.0001122225992676,3.600946134414444e-05,1454099840020054.2,180.07043654223764,70.51191199833745,0.0684028248973362,0.0013959760183129,0.0011400470816222,0.9572321466291516,0.0294956111419949,0.0063969523393574,0.002052624065809,8.288711395011368e+16,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.6072402432405419,38.63933109328579,16.79285289283007,36.00946134414444,1454099840020054.2,26.1223559146238,882.604665125546,1788.06363329812,0.398521277201,0.0284311426424745,0.477739708690932,38.6399223198496,16.8033945979089,16.7366953060142,0.39852127720057,1.0,21.796268234028393,682310078829474.5,17.0812799044896,21.31952424712504,1332764428452127.0
8,9,801733.0,IGO1004,1.9471435546875,103.6083317126258,208.34999982,6129.528,-0.9258028017341589,34610D,265.80212,-4.625085,0.9570976,204.82638901307777,68900.6756713244,0.3194677538186884,0.9195059787914268,55.17035872748561,72162.198433714,1756.7560091339308,2023-05-04 16:09:00,0.0032166656979462,0.463486728707049,0.7305203187085354,0.4597529893957134,1.0,0.016736453915458,0.0005363770176998,0.0001163284327839,3.628235539e-05,1450000000000000.0,174.28316322012705,68.24573374589971,0.0662044304729827,0.0013511108259792,0.0011034071745497,0.9233561663418496,0.0295921124796798,0.0064178813668959,0.0020017105623444,7.999702015485414e+16,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.6267060552937833,36.081099216857,16.736453915458007,36.28235538999999,1450000000000000.0,24.7472321580596,877.744908226494,1778.37805079202,0.321666569795,0.0282004075324021,0.450370942798222,36.0807823212566,15.9703700125875,15.919163385784444,0.32166656979462,1.0,21.408116186461875,658135547442531.5,16.476083015285443,19.91654603738299,1254581688011558.0
9,10,801733.0,IGO1004,2.02679443359375,103.5272889218088,212.979999816,6629.400000000001,-0.9260210890215612,34610D,262.68896,-5.3312263,1.0142232,209.70170750484664,68845.50531259691,0.324087781411494,0.8748349925700258,52.49009955420155,58313.1222339374,1018.7380803630836,2023-05-04 16:10:00,0.0025104350468591,0.4324854735942331,0.6997756702050257,0.4374174962850129,0.979628384477444,0.0162960512711704,0.0005536718424026,0.000120079301644,3.628235539e-05,1450000000000000.0,165.8162244917227,64.93025314854732,0.0629881194650418,0.0012854718258171,0.001049801991084,0.8553813535641094,0.0290622901280758,0.0063029744976935,0.001904464446482,7.611064435359224e+16,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.6454138367371358,29.1565611169687,16.296051271170445,36.28235539,1449999999999999.8,21.1835777504902,851.376195206625,1705.51239126358,0.251043504686,0.0263524066201164,0.368969742825676,29.1562175046852,14.0013680019653,13.966306496660907,0.25104350468591,0.8841546311649587,18.808578570572195,685028821575193.1,12.501906113847577,18.76710132542821,1190034408670109.2
10,11,801733.0,IGO1004,2.104094553801973,103.44059420774585,215.552222036,6918.96,-0.9262208410112652,34610D,260.8734,-5.7723536,0.8771006,213.7219941012082,68793.01521304272,0.3234923661483344,0.7652491255282852,45.91494753169711,49957.08841654388,500.3667061427242,2023-05-04 16:11:00,0.0020820964236349,0.4153101048705535,0.6559374826328055,0.3826245627641426,0.8724761750562207,0.0142042281124212,0.0005639800920706,0.000122314935329,3.0653318454844125e-05,1534568173075241.2,145.04531925263117,56.79679009670933,0.0550979370380365,0.0011244476946538,0.0009182989506339,0.6521863885100773,0.0258951163363478,0.0056160838379743,0.0014074455085265,7.045961715056199e+16,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.6600722956053025,24.97854420827193,14.204228112421216,30.65331845484412,1534568173075241.2,19.0086959473389,833.99075162118,1656.74844858002,0.208209642363,0.0251366735709295,0.321030268772526,24.9788590911534,12.771390290233,12.74485427472784,0.20820964236349,0.8100367989031112,17.50918573758042,620735591968972.5,10.032430408977572,18.21864757340148,1158350557255175.8
11,12,801733.0,,2.156236928552432,103.33496517357528,222.754444252,7061.092372881356,-0.9264772520586072,34610D,260.0054,-5.894457,0.8971843,217.92553863756464,68747.10026551102,0.3288125963641288,0.8674140333338523,52.04484200003114,57436.46161215335,968.9651997721792,2023-05-04 16:12:00,0.0018850398905249,0.4070839698224089,0.6297542849393333,0.4337070166669261,1.0,0.0166614136649756,0.0005693108139755,0.0001234710522101,3.628235539e-05,1450000000000000.0,164.40965587809836,64.37946955403852,0.0624538104000373,0.0012745675591844,0.0010408968400006,0.8671406416908186,0.0296296913622647,0.0064260314038524,0.0018883094536615,7.546502090004515e+16,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.6741773314164146,28.718230806076672,16.661413664975672,36.28235538999999,1450000000000000.0,21.1058238344626,855.35595171536,1716.77788065655,0.188503989052,0.0266165160147635,0.370020625046339,28.7185228488308,13.9019180737666,13.875761709432902,0.18850398905249,0.9030272627177315,19.28865589558485,654686096580072.6,12.626375357959347,18.1327771024215,1151605329332251.0
