,Unnamed: 0,index,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,air_pressure,rhi_emissions,fuel_flow_per_engine,thrust_setting,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,nvpm_ei_n,fuel_flow_corrected,ei_nox,nvpm_ei_m,ei_co2,wingspan,time,issr_specific_humidity,issr_rhi,issr_issr,cocip_level,cocip_waypoint,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_ef,cocip_persistent_1,cocip_cocip,cocip_contrail_age,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_nox_impact,accf_issr_co2_impact_conservative,accf_issr_co2_impact_optimistic,accf_issr_contrails_atr20,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_nox_impact,accf_sac_co2_impact_conservative,accf_sac_co2_impact_optimistic,accf_sac_contrails_atr20
0,0,2,adbb36,NKS2975,42.33370971679688,-71.06150540438568,102.8888888,701.0400000000001,-0.8871511444506895,34610D,276.52338,-4.5752387,-8.327943,94.99251551171696,67110.71563337685,0.26381757873594297,1.0720014660857564,69.86662889083279,131.2980143842248,1611.3777720249138,0.0034200283486835,93181.80291069952,0.637225343520722,0.5822219074236066,0.6878082697256789,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.2849578930671842,65.6493533712245,16.735504244021847,21.89660394531951,1392251223440474.5,32.2558096064488,794.025858231103,1475.6004154341,0.342002834868,0.0196589857102017,0.546491347787037,65.6490071921124,27.7985525724984,27.703804774802183,0.34200283486835,0.6586007570648521,878714014961635.0,1.0720014660857564,0.020020843521718262,9.912387988834536e-06,2.8440000000000003,35.8,2023-11-06 05:02:00,0.0034200283486835307,0.6372247654034638,0.0,931.8180291069953,0,0.0034200283486835307,-4.5752387,-8.327943,0.6372247654034638,0.2212964,4.4024726e-09,1.1739286482115316,0.0,7725.93080288237,-0.8195006120311534,-0.5730783078084224,6.372587522924352,246.52297975462636,0.6582671835478267,inf,0.0,239.17456561661956,0.0,0.0,0.0,0 days,0.0033405174,1.4792154e-07,7276.33,0.6386202,-226.15482,0.0,0.0,1.0,-8.096500426036856e-13,7.669897e-12,2.2512188e-16,0.0,0.0,0.0,7.479999999999999e-16,9.015632603306054e-14,6.860246472952305e-12,722.3401677551228,8.834230370545035e-12,1.3682889496930936e-13,9.12192633128729e-15,0.0,0.0033405174,1.4792154e-07,7276.33,0.6386202,-226.15482,0.0,0.0,0.0,-8.096500426036856e-13,7.669897e-12,2.2512188e-16,0.0,0.0,0.0,7.479999999999999e-16,9.015632603306054e-14,6.860246472952305e-12,722.3401677551228,8.834230370545035e-12,1.3682889496930936e-13,9.12192633128729e-15,0.0
1,1,3,adbb36,NKS2975,42.276880296610166,-71.11520456713299,152.789999868,1203.96,-0.8872234444023472,34610D,274.19427,-0.73083943,-3.2770925,129.39899273466042,67040.84900448602,0.3697223543661195,1.2172193872882198,96.0,153.3776616963644,3587.511118326161,0.0035752127464563,87673.12586169648,0.7569048670473074,0.8,0.9865520906267566,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.3898153399853413,76.68892358170461,21.51266925269184,36.28235539,1450000000000000.0,40.0687819052461,848.710377479901,1590.23355184947,0.357521274646,0.0218895590000722,0.724459091645109,76.6888308481822,33.0961026507076,32.97819857480778,0.35752127464563,0.8504141373070991,1408854845623979.8,1.2172193872882198,0.0259757331594295,1.909502931268772e-05,2.8440000000000003,35.8,2023-11-06 05:03:00,0.0035752127464563164,0.7569063729882968,0.0,876.7312586169647,1,0.0035752127464563164,-0.73083943,-3.2770925,0.7569063729882968,0.18890677,6.497152e-08,1.1139111853623485,0.0,8772.56839360524,-0.9285345241436924,0.3712460605491279,7.004266907655294,247.68083940688715,0.7645191057468118,inf,0.0,241.27634514830885,0.0,0.0,0.0,0 days,0.0034934669,4.950036e-09,12110.166,0.74725276,-227.38837,0.0,0.0,0.9999999999999999,-7.920078579184569e-13,7.0731394e-12,2.1441059e-16,0.0,0.0,0.0,7.48e-16,8.261712279280818e-14,6.281131708345752e-12,723.4836154165204,1.1915871901597802e-11,1.5536432455265266e-13,1.0357621636843509e-14,0.0,0.0034934669,4.950036e-09,12110.166,0.74725276,-227.38837,0.0,0.0,0.0,-7.920078579184569e-13,7.0731394e-12,2.1441059e-16,0.0,0.0,0.0,7.48e-16,8.261712279280818e-14,6.281131708345752e-12,723.4836154165204,1.1915871901597802e-11,1.5536432455265266e-13,1.0357621636843509e-14,0.0
2,2,4,adbb36,NKS2975,42.20421225337659,-71.07598593068673,150.217777648,2316.48,-0.8872271227020778,34610D,269.74826,9.570531,-0.22569786,154.46772390870757,66944.84900448602,0.34947524157657645,1.0629187906855295,77.85390221291968,106.0540330370048,2426.140668314468,0.0021685561391306,76420.53006165694,0.5789687419375084,0.6487825184409973,0.8744318419429411,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.4691542195799772,53.02737744084091,18.36297058601388,31.6784404997904,1519167190719125.0,31.9579851098113,814.463095912271,1501.25745337417,0.216855613913,0.0199001051826582,0.542889574012936,53.0270165185024,27.2807389222261,27.22170712212879,0.21685561391306,0.7291885159565032,874029458275374.1,1.0629187906855295,0.021939980192424064,1.070295099179816e-05,2.8440000000000003,35.8,2023-11-06 05:04:00,0.0021685561391306214,0.5789691051262281,0.0,764.2053006165694,2,0.0021685561391306214,9.570531,-0.22569786,0.5789691051262281,0.18181345,7.870692e-10,0.9869470255543078,0.0,9611.468894653619,-0.8690383133027305,0.49474479280932826,5.908111506695563,245.60463061037308,0.56011223332864,inf,0.0,237.57112084146797,0.0,0.0,0.0,0 days,0.002121138,3.203494e-07,22852.213,0.55305433,-231.23045,0.0,0.0,1.0000000000000002,-7.523521774262499e-13,5.949153e-12,2.356311e-16,0.0,0.0,0.0,7.48e-16,6.854204005102281e-14,5.196800688789587e-12,724.9432226225945,7.271493614370892e-12,1.356695939070489e-13,9.04463959380326e-15,0.0,0.002121138,3.203494e-07,22852.213,0.55305433,-231.23045,0.0,0.0,0.0,-7.523521774262499e-13,5.949153e-12,2.356311e-16,0.0,0.0,0.0,7.48e-16,6.854204005102281e-14,5.196800688789587e-12,724.9432226225945,7.271493614370892e-12,1.356695939070489e-13,9.04463959380326e-15,0.0
3,3,5,adbb36,NKS2975,42.12930970272775,-71.01849933003268,167.1944443,3063.24,-0.8871904073712521,34610D,266.3118,11.760233,-0.5365539,171.52350716007044,66866.9951022731,0.3283509402653443,0.8730822685826147,58.9997271353631,73.7086100505368,1318.8082684212973,0.0016539416078111,69546.28509278147,0.5392137900974973,0.4916643927946925,0.7011833187644597,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.5243069860542753,36.85428461406049,15.999603611273464,22.51248251596502,1421320849003422.8,25.3843447255134,780.089994369772,1420.31800784832,0.165394160781,0.0182472391019739,0.407927647626377,36.8543050252684,22.3555818689442,22.318668095150706,0.1653941607811099,0.6125374924649891,526941097853770.4,0.8730822685826147,0.01846969496434643,5.551852386683151e-06,2.8440000000000003,35.8,2023-11-06 05:05:00,0.0016539416078111247,0.5392140434673413,0.0,695.4628509278148,3,0.0016539416078111247,11.760233,-0.5365539,0.5392140434673413,0.18620224,0.0,0.9097581928451776,0.0,11080.285114414322,-0.8202005681753433,0.5720760683378078,5.205249313628268,244.08503086594578,0.5044680648186938,inf,0.0,235.79996154616597,0.0,0.0,0.0,0 days,0.0016187235,6.8824284e-07,30108.16,0.5079355,-234.88112,0.0,0.0,0.9999999999999999,-7.256372815560768e-13,5.2144586e-12,2.6398954e-16,0.0,0.0,0.0,7.48e-16,5.936666808383588e-14,4.488821425238493e-12,726.4461843615791,4.343086409650722e-12,1.1143910321658119e-13,7.429273547772078e-15,0.0,0.0016187235,6.8824284e-07,30108.16,0.5079355,-234.88112,0.0,0.0,0.0,-7.256372815560768e-13,5.2144586e-12,2.6398954e-16,0.0,0.0,0.0,7.48e-16,5.936666808383588e-14,4.488821425238493e-12,726.4461843615791,4.343086409650722e-12,1.1143910321658119e-13,7.429273547772078e-15,0.0
4,4,6,adbb36,NKS2975,42.04761052535752,-70.94178665515989,199.089999828,3467.1000000000004,-0.8871417583094335,34610D,265.0463,12.270204,-1.0421978,182.0405062517222,66807.99537513773,0.37473320930740206,1.0395463200894932,77.26331854079088,94.372710910202,2609.923499932746,0.0012248114461117,66042.770723412,0.4233777876396849,0.643860987839924,0.956508774593706,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.557781862805471,47.18598460533549,19.854087600172,36.28235539,1450000000000000.0,30.8288378102075,824.765322403247,1515.19997763042,0.122481144611,0.0200478682138249,0.524980703710133,47.186355455101,26.186360470392,26.15432635211059,0.1224811446111699,0.7654494832931042,838729098711975.5,1.0395463200894932,0.022889564051891284,1.063008396308383e-05,2.8440000000000003,35.8,2023-11-06 05:06:00,0.0012248114461117525,0.4233777622802461,0.0,660.42770723412,4,0.0012248114461117525,12.270204,-1.0421978,0.4233777622802461,0.19490841,0.0,0.8680524916184691,0.0,12201.84212776877,-0.8219449188493326,0.5695669849787328,5.307736803543396,244.31754782917105,0.3912271023842522,inf,0.0,235.34829677309838,0.0,0.0,0.0,0 days,0.0012005281,7.99171e-07,34080.234,0.39581951,-238.88957,0.0,0.0,1.0,-7.111811801129563e-13,4.9139607e-12,2.7254026e-16,0.0,0.0,0.0,7.480000000000001e-16,5.565667446003759e-14,4.202779553269221e-12,728.0855242322551,6.00024837232983e-12,1.3268636167693324e-13,8.845757445128882e-15,0.0,0.0012005281,7.99171e-07,34080.234,0.39581951,-238.88957,0.0,0.0,0.0,-7.111811801129563e-13,4.9139607e-12,2.7254026e-16,0.0,0.0,0.0,7.480000000000001e-16,5.565667446003759e-14,4.202779553269221e-12,728.0855242322551,6.00024837232983e-12,1.3268636167693324e-13,8.845757445128882e-15,0.0
5,5,7,adbb36,NKS2975,41.9575784974179,-70.85792009220563,205.7777776,4259.58,-0.887113853380931,34610D,263.03815,16.134916,-2.019903,190.1887761337161,66730.73205659694,0.3696851955126872,0.9782380158089587,70.59030613773017,83.8571597617966,1265.4632574462316,0.0004601538509301,59583.07384093393,0.1713049213773746,0.5882525511477514,0.9469130212405812,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.5849688293828842,41.92878103977941,19.12753756962492,36.28235538999999,1450000000000000.0,28.2597653061393,822.561993318172,1507.33500410792,0.046015385093,0.0198388122742439,0.477733427843772,41.9285798808983,24.0807474378896,24.069671685772768,0.04601538509301,0.7576002082253348,728461802914624.6,0.9782380158089587,0.02245346711083851,9.167448773230524e-06,2.8440000000000003,35.8,2023-11-06 05:07:00,0.0004601538509301143,0.1713050067810482,0.0,595.8307384093393,5,0.0004601538509301143,16.134916,-2.019903,0.1713050067810482,0.19036143,0.0,0.7891264707330411,0.0,12801.950611483831,-0.8650897885852082,0.5016170428579952,4.747102623479363,242.9932415859024,0.1552145129181635,inf,0.0,233.01446001873163,0.0,0.0,0.0,0 days,0.00045050666,8.670059e-07,41884.87,0.16235308,-242.40295,0.0,0.0,0.9999999999999999,-6.823321865367156e-13,4.409055e-12,2.777692e-16,0.0,0.0,0.0,7.48e-16,4.9473167448844475e-14,3.7267229419812e-12,729.8897122061214,4.911411296291066e-12,1.2486104819319527e-13,8.32406987954635e-15,0.0,0.00045050666,8.670059e-07,41884.87,0.16235308,-242.40295,0.0,0.0,0.0,-6.823321865367156e-13,4.409055e-12,2.777692e-16,0.0,0.0,0.0,7.48e-16,4.9473167448844475e-14,3.7267229419812e-12,729.8897122061214,4.911411296291066e-12,1.2486104819319527e-13,8.32406987954635e-15,0.0
6,6,8,adbb36,NKS2975,41.858001708984375,-70.78041770241475,227.384444248,4640.58,-0.887143367649956,34610D,261.82434,18.171177,-1.3329049,211.86670446667475,66660.14175045921,0.4310064373583792,1.1382335744519172,70.94604795832575,102.1176647067494,2851.841608271104,0.0005669463077307,56665.10718470681,0.2237001069521428,0.5912170663193812,1.0,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.6531530023589888,51.05843188672611,19.99147141799257,36.28235539,1450000000000000.0,34.0135659500113,878.866795397141,1631.21769496815,0.0566946307731,0.0223384561662358,0.619302824411686,51.0588323533747,27.7236179529609,27.707909056226534,0.05669463077307,0.9416018843802256,910395545898604.6,1.1382335744519172,0.02963047289749703,1.6478838603977002e-05,2.8440000000000003,35.8,2023-11-06 05:08:00,0.0005669463077307308,0.2237003395969195,0.0,566.6510718470681,6,0.0005669463077307308,18.171177,-1.3329049,0.2237003395969195,0.15479423,0.0,0.7539597225375015,0.0,12932.714296879942,-0.96828920219839,-0.24983198535416845,5.001630126282124,243.61076665090778,0.2002901357305869,inf,0.0,233.76862523879183,0.0,0.0,0.0,0 days,0.00055389607,7.862578e-07,45727.055,0.2145391,-244.91862,0.0,0.0,1.0,-6.683191105163476e-13,4.1590204e-12,2.7154487e-16,0.0,0.0,0.0,7.48e-16,4.6398661030068536e-14,3.4907012433049984e-12,731.8822479233523,7.063726991797979e-12,1.4528267650406744e-13,9.685511766937828e-15,0.0,0.00055389607,7.862578e-07,45727.055,0.2145391,-244.91862,0.0,0.0,0.0,-6.683191105163476e-13,4.1590204e-12,2.7154487e-16,0.0,0.0,0.0,7.48e-16,4.6398661030068536e-14,3.4907012433049984e-12,731.8822479233523,7.063726991797979e-12,1.4528267650406744e-13,9.685511766937828e-15,0.0
7,7,9,adbb36,NKS2975,41.74562615863347,-70.81927632176598,209.378888708,5494.02,-0.8875068538549543,34610D,258.0512,20.994215,-1.2364997,226.5269134167729,66589.19570250089,0.39475511056368473,0.949420595151936,65.96924573961023,72.9650760300232,2149.194343552553,0.000816777528802,50547.32103053465,0.4052848621741631,0.549743714496752,1.0,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.703435129694034,36.48292558536628,19.22560975148904,36.28235539,1450000000000000.0,27.1539999634161,834.939321728073,1519.78207225385,0.0816777528802,0.0199085741851778,0.45841603416251,36.4825380150116,23.0260605254096,23.007268705331978,0.0816777528802,0.801771798446181,677532136781662.5,0.949420595151936,0.023109547176698258,8.852191226434187e-06,2.8440000000000003,35.8,2023-11-06 05:09:00,0.0008167775288020032,0.4052854958824388,0.0,505.4732103053465,7,0.0008167775288020032,20.994215,-1.2364997,0.4052854958824388,0.09743691,1.5733999e-09,0.682393229234303,0.0,12430.578898437592,-0.7042767810084202,-0.7099255001283007,4.195307070262093,241.5467858609182,0.34966267120274347,inf,0.0,232.59675861242658,0.0,0.0,0.0,0 days,0.0007986067,7.5617504e-07,54260.773,0.39217222,-246.17166,0.0,0.0,1.0,-6.366213286528573e-13,3.552642e-12,2.6922598e-16,0.0,0.0,0.0,7.479999999999998e-16,3.8925494294867947e-14,2.91602063907442e-12,734.1306429039339,3.83876854890202e-12,1.211828295068313e-13,8.078855300455419e-15,0.0,0.0007986067,7.5617504e-07,54260.773,0.39217222,-246.17166,0.0,0.0,0.0,-6.366213286528573e-13,3.552642e-12,2.6922598e-16,0.0,0.0,0.0,7.479999999999998e-16,3.8925494294867947e-14,2.91602063907442e-12,734.1306429039339,3.83876854890202e-12,1.211828295068313e-13,8.078855300455419e-15,0.0
8,8,10,adbb36,NKS2975,41.6669528767214,-70.9253710369731,213.49444426,6134.1,-0.8877621328933265,34610D,254.39577,22.733341,-2.2140422,225.9705504562517,66523.22645676129,0.38448270946569846,0.8830706508307965,62.41200396355831,66.2626589171858,1995.8291601541853,0.0007186119366288,46319.52510881937,0.4602147818587045,0.5201000330296526,0.9788575499028288,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.7067309300410018,33.131185944735336,18.39278479496433,36.28235539,1450000000000000.0,24.8200708484804,823.608012479601,1498.0680871901,0.0718611936629,0.0195182158496294,0.414098903758234,33.1313294585929,21.2160223530931,21.20078721433495,0.07186119366288,0.7613203501829034,586164049387916.4,0.8830706508307965,0.021569336893226453,7.401638488815709e-06,2.8440000000000003,35.8,2023-11-06 05:10:00,0.0007186119366288246,0.46021449878330545,0.0,463.1952510881937,8,0.0007186119366288246,22.733341,-2.2140422,0.46021449878330545,0.075611174,9.162724e-08,0.6343028477301441,0.0,12894.637238011368,-0.7060505909466769,-0.7081613961688737,3.779930668605814,240.34211675462458,0.3830028375726581,inf,0.0,231.66601908279407,0.0,0.0,0.0,0 days,0.0007026805,4.1455684e-07,60754.688,0.447545,-248.81114,0.0,0.0,1.0000000000000002,-6.123870370654422e-13,3.1024005e-12,2.4289292e-16,0.0,0.0,0.0,7.48e-16,3.3361067202170314e-14,2.4900134059260558e-12,735.7005007014342,2.8456742269827462e-12,1.1271400754160981e-13,7.514267169440653e-15,0.0,0.0007026805,4.1455684e-07,60754.688,0.447545,-248.81114,0.0,0.0,0.0,-6.123870370654422e-13,3.1024005e-12,2.4289292e-16,0.0,0.0,0.0,7.48e-16,3.3361067202170314e-14,2.4900134059260558e-12,735.7005007014342,2.8456742269827462e-12,1.1271400754160981e-13,7.514267169440653e-15,0.0
9,9,11,adbb36,NKS2975,41.58511404263771,-71.0350426962209,218.124444256,6728.46,-0.8880422376854422,34610D,249.87692,24.609198,-2.5851147,222.9053825449828,66460.81445279773,0.3885403922973526,0.8990534948341073,62.912111182569696,69.111383924205,2269.5970141280354,0.0006620869943716,42654.61853884109,0.6046457292075659,0.5242675931880808,1.0,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.7034199441700846,34.55628400350513,18.64746236649535,36.28235538999999,1450000000000000.0,24.7318461763647,829.015702422301,1522.89067886023,0.0662086994372,0.0201679734805584,0.422416771425593,34.5556919621025,20.9449289405698,20.93107075084739,0.06620869943716,0.7807400080693581,629381678269362.6,0.8990534948341073,0.021973004474921398,8.08321134079682e-06,2.8440000000000003,35.8,2023-11-06 05:11:00,0.0006620869943716858,0.6046456797073458,0.0,426.54618538841095,9,0.0006620869943716858,24.609198,-2.5851147,0.6046456797073458,0.051486712,4.7661686e-07,0.5946786776424395,0.0,13073.016020263154,-0.7085019961968824,-0.7057088077847923,3.5037823499916545,239.47458248705044,0.4812321331786758,inf,0.0,231.41240100534188,0.0,0.0,0.0,0 days,0.00064765,2.569928e-07,66783.02,0.61653656,-251.88571,0.0,0.0,0.9999999999999999,-5.898482797076674e-13,2.677165e-12,2.3074737e-16,0.0,0.0,0.0,7.48e-16,2.8113862635102564e-14,2.0873165595246605e-12,737.3335243748107,2.4740846037983057e-12,1.1475403729215211e-13,7.650269152810138e-15,0.0,0.00064765,2.569928e-07,66783.02,0.61653656,-251.88571,0.0,0.0,0.0,-5.898482797076674e-13,2.677165e-12,2.3074737e-16,0.0,0.0,0.0,7.48e-16,2.8113862635102564e-14,2.0873165595246605e-12,737.3335243748107,2.4740846037983057e-12,1.1475403729215211e-13,7.650269152810138e-15,0.0
