,Unnamed: 0,index,longitude,latitude,altitude,icao24,callsign,groundspeed,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,air_pressure,rhi_emissions,fuel_flow_per_engine,thrust_setting,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,W3_no_water_injection,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,nvpm_ei_n,fuel_flow_corrected,ei_nox,nvpm_ei_m,ei_co2,wingspan,time,issr_specific_humidity,issr_rhi,issr_issr,cocip_level,cocip_waypoint,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_ef,cocip_persistent_1,cocip_cocip,cocip_contrail_age,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_nox_impact,accf_issr_co2_impact,accf_issr_contrails_atr20,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_nox_impact,accf_sac_co2_impact,accf_sac_contrails_atr20
0,0,0,141.68274619362572,42.55723571777344,2674.6200000000003,885974.0,TVJ571,127.067777668,0.8414815940054995,34610D,276.33752,17.922052,-5.8258595,156.01207248651394,69025.75146694673,0.3604113143005648,0.9113058528479552,67.16843030923678,90.5911574312292,1762.3679980887111,0.003507674479045,73058.20758235783,0.5201244126774583,0.5597369192436399,0.8647679821273185,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,23.94389064245572,3.507596222232769,0.4681612728679101,45.29567920195952,16.594122864500473,28.051474623914565,1573657129488831.8,28.9443840858891,822.727097561169,1219.40944346382,0.350767447905,0.0185345239953511,0.441404035597782,45.2955787156146,23.8152345163273,23.731990419196944,15.13080131895922,0.75818671641509,916923641894754.4,0.9113058528479552,0.00156088130733276,1.4444364019345995e-05,3.16,35.8,2023-05-05 01:00:00,0.003507674479045096,0.5201247559531595,0.0,730.5820758235783,0,0.003507674479045096,17.922052,-5.8258595,0.5201247559531595,0.3433303,0.0,0.9210253974070456,1125.1302009650958,8181.733683333497,-0.47086366415065145,-0.8822059905615143,5.3042960153420795,244.30980645594684,0.5363388154483983,inf,0.0,236.21401349486337,0.0,0.0,0.0,0 days,0.0034230363,1.345391e-07,26453.55,0.51625574,-257.2527,0.0,0.0,1.0,-8.733133402845325e-13,6.5939454e-12,2.2213516e-16,0.0,0.0,0.0,7.48e-16,7.533835354274815e-14,5.7206321841192645e-12,1216.831448637914,4.882354556470355e-13,1.292421250955793e-13,0.0,0.0034230363,1.345391e-07,26453.55,0.51625574,-257.2527,0.0,0.0,0.0,-8.733133402845325e-13,6.5939454e-12,2.2213516e-16,0.0,0.0,0.0,7.48e-16,7.533835354274815e-14,5.7206321841192645e-12,1216.831448637914,4.882354556470355e-13,1.292421250955793e-13,0.0
1,1,1,141.59485556862572,42.52262878417969,3200.4,885974.0,TVJ571,149.703333204,0.8424850801561914,34610D,273.43176,21.049248,-4.550668,170.434387774195,68958.5830366375,0.3907216373528147,0.9636792613898788,74.74061880929905,95.0657741346178,2126.4729720035302,0.0019442239687302,68339.94069049528,0.341529864959362,0.622838490077492,0.9971579539239528,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,25.22025408844608,3.734004290770689,0.5141501473768695,47.53249923068626,19.88082745056465,36.28235539,1450000000000000.0,30.9205179980961,842.304627841471,1247.01035261276,0.194422396873,0.0191617261091842,0.480650745141855,47.5328870673089,25.0838960124516,25.035221933905223,15.10942614890177,0.8281550936091736,955552203844858.8,0.9636792613898788,0.0017692284797608785,1.5566782810515e-05,3.16,35.8,2023-05-05 01:01:00,0.0019442239687302346,0.3415298827356708,0.0,683.3994069049528,1,0.0019442239687302346,21.049248,-4.550668,0.3415298827356708,0.4548951,0.0,0.8706990857758645,1126.4715568277552,9587.418296793368,-0.4794178129158185,-0.877586782409018,5.201565344174451,244.07659755374905,0.34242961041062053,inf,0.0,234.8696186441225,0.0,0.0,0.0,0 days,0.0019084453,1.8558595e-07,31740.805,0.3304107,-255.17206,0.0,0.0,1.0000000000000002,-8.444034470496696e-13,5.9715336e-12,2.2524308e-16,0.0,0.0,0.0,7.480000000000001e-16,6.762593718985349e-14,5.127130315979837e-12,1217.1991807446102,5.24495831677411e-13,1.3666976379372176e-13,0.0,0.0019084453,1.8558595e-07,31740.805,0.3304107,-255.17206,0.0,0.0,0.0,-8.444034470496696e-13,5.9715336e-12,2.2524308e-16,0.0,0.0,0.0,7.480000000000001e-16,6.762593718985349e-14,5.127130315979837e-12,1217.1991807446102,5.24495831677411e-13,1.3666976379372176e-13,0.0
2,2,2,141.49248296564275,42.48133850097656,3832.86,885974.0,TVJ571,164.107777636,0.8434626820069864,34610D,270.3138,23.506296,-3.8195748,184.1342392191772,68883.8424178282,0.42882782769454386,1.0375536120595212,71.48224666551019,103.9777448054738,2523.872725440152,0.0008248870184538,62994.42896063308,0.173089646691043,0.5956853888792516,1.0,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,26.71471502465557,3.985170632072804,0.5586729382331255,51.98887709616036,19.92064351659897,36.28235539,1450000000000000.0,33.5091100324627,871.109099585187,1297.53451671524,0.0824887018454,0.0204655092644695,0.543338573561516,51.9888724027369,26.5489886686971,26.52710680265845,15.105501432632227,0.9193069382151342,908275266781753.8,1.0375536120595212,0.0020792045260522264,1.834743494346122e-05,3.16,35.8,2023-05-05 01:02:00,0.0008248870184538201,0.17308978808853903,0.0,629.9442896063307,2,0.0008248870184538201,23.506296,-3.8195748,0.17308978808853903,0.5739943,0.0,0.8118510832030251,1127.7783023526072,9904.532106848184,-0.4803242924734069,-0.8770909725107887,5.109654263402274,243.8644617416407,0.16837565721987327,inf,0.0,233.8591610150468,0.0,0.0,0.0,0 days,0.0008146749,2.8743435e-07,38122.773,0.16393425,-252.92694,0.0,0.0,1.0000000000000002,-8.094877691649798e-13,5.318374e-12,2.330939e-16,0.0,0.0,0.0,7.48e-16,5.95966199834966e-14,4.508886621307465e-12,1217.6361997313952,5.836175239909777e-13,1.4714668330517096e-13,0.0,0.0008146749,2.8743435e-07,38122.773,0.16393425,-252.92694,0.0,0.0,0.0,-8.094877691649798e-13,5.318374e-12,2.330939e-16,0.0,0.0,0.0,7.48e-16,5.95966199834966e-14,4.508886621307465e-12,1217.6361997313952,5.836175239909777e-13,1.4714668330517096e-13,0.0
3,3,3,141.3869268243963,42.43862915039063,4579.62,885974.0,TVJ571,165.136666524,0.8444314648859939,34610D,267.033,29.035467,-2.5243309,200.8764944610197,68812.36017116268,0.40709374784641017,0.8908462604059867,67.03738614977016,77.6872076693596,1319.6626112811473,0.0002069378772931,57124.037489563314,0.0520658033403227,0.558644884581418,1.0,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,23.02470854975472,3.448941598150629,0.613202434738273,38.8439854106122,19.56529656551597,36.28235539,1450000000000000.0,28.0439732554939,842.30949228262,1233.68978308485,0.0206937877293,0.01871396958009,0.42745259455989,38.8436038346798,22.8413641868191,22.83663842133968,15.12336141558722,0.8281726062046314,789441673492771.6,0.8908462604059867,0.0017729546594694237,1.286079237646542e-05,3.16,35.8,2023-05-05 01:03:00,0.00020693787729312568,0.0520657518725697,0.0,571.2403748956332,3,0.00020693787729312568,29.035467,-2.5243309,0.0520657518725697,0.5978265,0.0,0.7452404328387267,1129.0732553011314,10425.443968691361,-0.4806838213428572,-0.8768939866935046,4.461263719352074,242.26374007616587,0.04905491015760242,inf,0.0,231.9286497107997,0.0,0.0,0.0,0 days,0.00020620911,2.5870426e-07,45692.645,0.04859373,-251.73624,0.0,0.0,0.9999999999999999,-7.680332403000653e-13,4.658063e-12,2.308793e-16,0.0,0.0,0.0,7.479999999999999e-16,5.1549264929739824e-14,3.890029664829988e-12,1218.0860681273678,3.6864177980674447e-13,1.2634052932778536e-13,0.0,0.00020620911,2.5870426e-07,45692.645,0.04859373,-251.73624,0.0,0.0,0.0,-7.680332403000653e-13,4.658063e-12,2.308793e-16,0.0,0.0,0.0,7.479999999999999e-16,5.1549264929739824e-14,3.890029664829988e-12,1218.0860681273678,3.6864177980674447e-13,1.2634052932778536e-13,0.0
4,4,4,141.27568444540336,42.39354020458157,4968.240000000001,885974.0,TVJ571,186.743333172,0.8453867736639641,34610D,265.21942,31.43527,-1.917533,214.68314037770435,68745.32278501292,0.40201406257065425,0.815970345126206,60.71807910783534,65.7505090931652,1322.2391140092852,0.0001124167221857,54249.21360051817,0.03144000209981,0.5059839925652945,0.9398941730108844,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,21.39058832630773,3.2061835891208905,0.6575859220593329,32.87501840670149,17.948852192669932,32.820560118490846,1502008488315937.8,25.6789493981631,830.687290706861,1204.79500856607,0.0112416722186,0.0178932886597411,0.379120560898762,32.8752545465826,21.1878636794007,21.18548207694768,15.145112959526204,0.7866940140645664,680478662618100.0,0.815970345126206,0.0016483809787631802,1.08780875793718e-05,3.16,35.8,2023-05-05 01:04:00,0.00011241672218576575,0.03144000064394594,0.0,542.4921360051817,4,0.00011241672218576575,31.43527,-1.917533,0.03144000064394594,0.6094147,0.0,0.7125749890825669,1130.3501914028536,11784.876773848331,-0.4816600386620713,-0.8763581500482848,4.200414066502869,241.5609275941277,0.02910172313545529,inf,0.0,231.2193543715339,0.0,0.0,0.0,0 days,0.00010875325,1.6066592e-07,49627.668,0.030238386,-248.33531,0.0,0.0,1.0,-7.465204561549381e-13,4.330949e-12,2.235822e-16,0.0,0.0,0.0,7.48e-16,4.7569150727106394e-14,3.584428347534521e-12,1218.5610014019073,2.8926981878709387e-13,1.1572156712207463e-13,0.0,0.00010875325,1.6066592e-07,49627.668,0.030238386,-248.33531,0.0,0.0,0.0,-7.465204561549381e-13,4.330949e-12,2.235822e-16,0.0,0.0,0.0,7.48e-16,4.7569150727106394e-14,3.584428347534521e-12,1218.5610014019073,2.8926981878709387e-13,1.1572156712207463e-13,0.0
5,5,5,141.15009654651988,42.34245300292969,5356.860000000001,885974.0,TVJ571,201.662222048,0.8463143205305357,34610D,262.83292,32.191246,-2.8522768,217.74168185832136,68684.60470590508,0.40271712790936576,0.7948796872620513,58.85235486407603,63.261773885525,1969.6260050374256,0.0001067647562277,51492.67974234382,0.0349819968039582,0.4904362905339668,0.9304309666654976,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,20.77151671735289,3.1135098416841247,0.6699754752025008,31.63120582075184,17.532305381101597,33.01500752441662,1499087196082863.0,24.8883322362462,828.1406066834,1200.72733404081,0.0106764756228,0.0178020370126392,0.366242245619343,31.6308869427625,20.5730526994925,20.57085645701748,15.146214697814742,0.7775855935597172,654259093586243.0,0.7948796872620513,0.0016184040857525736,1.0411713369355243e-05,3.16,35.8,2023-05-05 01:05:00,0.00010676475622775881,0.03498198181031058,0.0,514.9267974234381,5,0.00010676475622775881,32.191246,-2.8522768,0.03498198181031058,0.6003691,0.0,0.6825086854174021,1131.5900067299797,11776.905178293267,-0.6955962148912547,-0.7184329515194577,3.991654502038446,240.9700373723746,0.03163246767116394,inf,0.0,230.69597625943334,0.0,0.0,0.0,0 days,0.00010466962,6.617431e-08,53629.14,0.034207903,-240.52974,0.0,0.0,1.0,-7.246405897391895e-13,3.978033e-12,2.1800334e-16,0.0,0.0,0.0,7.48e-16,4.326010430538403e-14,3.253392381375931e-12,1219.0991158229074,2.5111696904185643e-13,1.1273047315125392e-13,0.0,0.00010466962,6.617431e-08,53629.14,0.034207903,-240.52974,0.0,0.0,0.0,-7.246405897391895e-13,3.978033e-12,2.1800334e-16,0.0,0.0,0.0,7.48e-16,4.326010430538403e-14,3.253392381375931e-12,1219.0991158229074,2.5111696904185643e-13,1.1273047315125392e-13,0.0
6,6,6,141.04739876680597,42.268826759467686,5935.9800000000005,885974.0,TVJ571,202.176666492,0.8474993586098681,34610D,258.49243,32.204975,-3.897599,210.2630323787604,68625.75235104101,0.40439659304459635,0.8004407452206447,59.54886261554383,66.2453182863092,1526.2561308544214,0.0002537176047468,47596.28928252322,0.1138188658814998,0.4962405217961986,0.951619100542356,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,20.40727069900843,3.0559129210100906,0.6523733619637485,33.12276919228141,17.727089026209615,36.28235538999999,1450000000000000.0,24.6117367679973,828.69050783724,1212.20394097592,0.0253717604747,0.0182277785503863,0.368951773006422,33.1226591431546,20.2411814465786,20.23604720515217,15.126704990375648,0.7795677951651319,681485427299946.1,0.8004407452206447,0.0016151583319539602,1.0855809056732522e-05,3.16,35.8,2023-05-05 01:06:00,0.0002537176047468651,0.11381904293987112,0.0,475.96289282523225,6,0.0002537176047468651,32.204975,-3.897599,0.11381904293987112,0.58031857,8.784573e-10,0.6414572454864077,1133.1741074553668,12351.486589520808,-0.9280124073797156,-0.372549287677892,3.7004835105671376,240.09843720354525,0.09862545144555127,inf,0.0,230.16471574765987,0.0,0.0,0.0,0 days,0.00024927428,-5.0131677e-09,59572.15,0.13134995,-230.30434,0.0,0.0,0.9999999999999999,-6.921126316504458e-13,3.4468734e-12,2.1287701e-16,0.0,0.0,0.0,7.48e-16,3.677276834250793e-14,2.7547608714809503e-12,1219.8746396740853,2.1368766120271585e-13,1.13519146839788e-13,0.0,0.00024927428,-5.0131677e-09,59572.15,0.13134995,-230.30434,0.0,0.0,0.0,-6.921126316504458e-13,3.4468734e-12,2.1287701e-16,0.0,0.0,0.0,7.48e-16,3.677276834250793e-14,2.7547608714809503e-12,1219.8746396740853,2.1368766120271585e-13,1.13519146839788e-13,0.0
7,7,7,140.99160627885297,42.165802001953125,6385.56,885974.0,TVJ571,208.34999982,0.8490958644881182,34610D,254.9608,31.578466,-4.2192717,212.87942087480843,68566.20348842547,0.38841589538547594,0.6808789273420188,48.87146422999599,53.4582387838286,774.9509114804779,0.0003994737483404,44739.09919617161,0.2342101583044126,0.4072622019166332,0.7911861844957719,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,17.967879343969738,2.688004205484197,0.6650497996761642,26.729505700956857,14.837915926758862,28.097251035254747,1572969404835116.5,21.1376292811494,801.06956076286,1161.47250903949,0.039947374834,0.016975369236637,0.302233600112971,26.7291193919143,17.8042430712304,17.79713358356806,15.143526795994358,0.6829411727050729,555502507033789.0,0.6808789273420188,0.0013928980609472076,8.345858754060874e-06,3.16,35.8,2023-05-05 01:07:00,0.00039947374834040886,0.23421007731583168,0.0,447.3909919617161,7,0.00039947374834040886,31.578466,-4.2192717,0.23421007731583168,0.6265238,4.5864184e-09,0.6113026396787091,1135.3083721055875,12963.734149278178,-0.9351760437679651,-0.35418323952792735,3.3878812737517956,239.09232309880252,0.1960054995843698,inf,0.0,229.64843952069066,0.0,0.0,0.0,0 days,0.0003910522,1.8029683e-08,64110.92,0.23295526,-220.61665,0.0,0.0,1.0,-6.673157994887957e-13,3.0565695e-12,2.1232816e-16,0.0,0.0,0.0,7.48e-16,3.202062801308197e-14,2.389253834603429e-12,1220.952002362859,1.3595737448770437e-13,9.6562794178787e-14,0.0,0.0003910522,1.8029683e-08,64110.92,0.23295526,-220.61665,0.0,0.0,0.0,-6.673157994887957e-13,3.0565695e-12,2.1232816e-16,0.0,0.0,0.0,7.48e-16,3.202062801308197e-14,2.389253834603429e-12,1220.952002362859,1.3595737448770437e-13,9.6562794178787e-14,0.0
8,8,8,140.93600250953853,42.056781316207626,6614.160000000001,885974.0,TVJ571,221.725555364,0.8507269945240282,34610D,253.20222,31.325333,-3.485086,215.45625922679048,68517.33202419546,0.44109719531477887,0.9876157235013052,61.26280513729738,87.005080947906,2681.068642729105,0.0004098539558083,43340.512388800154,0.2752489198246104,0.5105233761441448,1.0,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,23.19455053186202,3.4696762014906235,0.6754334404650103,43.50253039032334,18.482516039756867,36.28235538999999,1450000000000000.0,29.5193113965811,887.743949865822,1333.07962832394,0.0409853955808,0.0214939934938505,0.494741553721955,43.502540473953,23.0176655568219,23.008235540469467,15.121134394350284,0.9670298860112124,706016242029752.9,0.9876157235013052,0.00216683112965468,1.623536461954955e-05,3.16,35.8,2023-05-05 01:08:00,0.0004098539558083188,0.2752492689443581,0.0,433.4051238880015,8,0.0004098539558083188,31.325333,-3.485086,0.2752492689443581,0.6829267,2.0408358e-08,0.5963057279623977,1137.4889305124916,12877.115418230198,-0.9398759916806336,-0.3415159150937853,3.5913586309296774,239.75606940332858,0.22638687387470965,inf,0.0,230.38306695770675,0.0,0.0,0.0,0 days,0.00039853915,3.181525e-08,66530.5,0.2897523,-211.84091,0.0,0.0,1.0,-6.541563886295012e-13,2.8959888e-12,2.134023e-16,0.0,0.0,0.0,7.480000000000001e-16,3.0105224477348057e-14,2.241832474904781e-12,1222.090215312494,2.878508181615559e-13,1.4006445199953395e-13,0.0,0.00039853915,3.181525e-08,66530.5,0.2897523,-211.84091,0.0,0.0,0.0,-6.541563886295012e-13,2.8959888e-12,2.134023e-16,0.0,0.0,0.0,7.480000000000001e-16,3.0105224477348057e-14,2.241832474904781e-12,1222.090215312494,2.878508181615559e-13,1.4006445199953395e-13,0.0
9,9,9,140.88292902166194,41.94813537597656,7406.64,885974.0,TVJ571,205.7777776,0.8523591105105214,34610D,247.09012,33.018444,-2.449981,221.08609398362523,68456.06921905818,0.4340532109403724,0.9309059517363693,59.69264685228514,78.6445790444842,2441.929614403164,0.0004443362955606,38763.39764052093,0.4867992417671418,0.4974387237690428,1.0,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,21.527411355373044,3.2195462930913004,0.7016021860413666,39.32170489484833,18.1662703707586,36.28235539,1450000000000000.2,27.1968242380974,875.969161503808,1314.61976748082,0.0444336295561,0.0210574511099688,0.449955589132479,39.3222895222421,21.3679987564813,21.35850839598193,15.11826853132747,0.9332868706406328,690044270003730.5,0.9309059517363693,0.002010066013004179,1.449160406964321e-05,3.16,35.8,2023-05-05 01:09:00,0.00044433629556062554,0.4867996950688325,0.0,387.6339764052093,9,0.00044433629556062554,33.018444,-2.449981,0.4867996950688325,0.7106231,1.3774766e-07,0.5465235803201758,1139.6708057141118,11709.442181463151,-0.9150288307110056,-0.4033884467453792,3.172197157463312,238.3490747693521,0.37690304188527207,inf,0.0,229.80743977129893,0.0,0.0,0.0,0 days,0.00042074107,4.856778e-08,74585.664,0.46936947,-204.32355,0.0,0.0,1.0,-6.099339411123611e-13,2.384746e-12,2.172481e-16,0.0,0.0,0.0,7.48e-16,2.4037804787062664e-14,1.7748120532577823e-12,1223.2196865475296,1.9925982622729584e-13,1.320218268000133e-13,0.0,0.00042074107,4.856778e-08,74585.664,0.46936947,-204.32355,0.0,0.0,0.0,-6.099339411123611e-13,2.384746e-12,2.172481e-16,0.0,0.0,0.0,7.48e-16,2.4037804787062664e-14,1.7748120532577823e-12,1223.2196865475296,1.9925982622729584e-13,1.320218268000133e-13,0.0
