Unnamed: 0,index,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,time,specific_humidity,air_pressure,rhi,fuel_flow_per_engine,thrust_setting,nox_ei,co_ei,hc_ei,nvpm_ei_m,nvpm_ei_n,co2,h2o,so2,sulphates,oc,nox,co,hc,nvpm_mass,nvpm_number,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,ei_nox_p3t3,ei_nvpm_number_p3t3_meem,ei_nvpm_mass_p3t3_meem,fuel_flow_corrected
0,2,3c49c8,EWG1VT,51.28692626953125,6.684586808488175,93.114444364,990.6,-0.8125552664064122,34610D,278.54425,18.417746,6.219973,90.68230219209887,66979.25016031486,0.2460920596159128,0.9936957036389557,59.62174221833733,116307.55711496384,1580.8292357038692,2023-11-05 23:02:00,0.0057850688846762,0.8997697737353945,0.8859334585524924,0.4968478518194777,0.6239455934734025,0.0148684231199081,0.0003182160762347,6.584459621329677e-05,1.8578376098629203e-05,1235630023039337.8,188.3450836677276,73.75209512408328,0.0715460906620047,0.0014601242992245,0.0011924348443667,0.8864812904483296,0.0189725968670004,0.0039257695418996,0.0011076751505877,7.367041471088962e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.2710395325032972,58.15377855748192,14.868423119908131,18.578376098629203,1235630023039337.8,23.3964602385462,751.522398426372,1400.92957364583,0.578506888468,0.0189716973250128,0.537553272590425,58.1537596375614,28.3344849636463,28.17151083289262,0.5785068884676201,0.6262225954975866,15.319509945872936,1370175487355561.5,19.63393406325478,1.098687180154064
1,3,3c49c8,EWG1VT,51.346527099609375,6.692381162901183,124.495555448,1478.28,-0.812125229842229,34610D,274.99524,17.248919,4.0604963,108.41377834164597,66919.62841809652,0.2571584882295718,1.23688114584969,74.2128687509814,126538.82904171576,2641.499518752813,2023-11-05 23:03:00,0.0044539852138494,0.8478145509278591,0.8542495260533806,0.618440572924845,0.7902173180719155,0.0167902347839512,0.000324109309925,6.953244011051862e-05,2.65464002552604e-05,1596268704286738.2,234.43845238435023,91.801318644964,0.0890554425011776,0.0018174580102281,0.0014842573750196,1.24605149031954,0.024053081678439,0.0051602018518573,0.0019700845179546,1.1846367984253085e+17,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.3261212493283931,63.269414520857886,16.790234783951295,26.546400255260394,1596268704286738.2,26.0667117388535,775.804250721432,1457.27893589046,0.445398521385,0.0201078821338616,0.621209688600076,63.2693959070709,30.8938397621678,30.756849210559373,0.4453985213849399,0.7132870532754314,17.418740654098045,1606480249229122.2,24.6441875231376,1.200605496660382
2,4,3c49c8,EWG1VT,51.41177937135858,6.7153167724609375,134.269999884,2293.62,-0.8116333207665765,34610D,269.87714,18.646147,3.9519436,118.74069712993796,66845.41554934553,0.257835571328863,1.3647937717564225,81.88762630538535,127817.32630534656,2743.7506723195106,2023-11-05 23:04:00,0.0028585895963766,0.7663932731338663,0.7571007455074583,0.6823968858782112,0.9023689695384054,0.0188196095043919,0.0003376701840574,7.323327065301349e-05,3.572875605851015e-05,1458317032668124.5,258.6830114987123,101.2949937397617,0.0982651515664624,0.0020054112564584,0.0016377525261077,1.5410931503089296,0.0276510098465694,0.0059968987003551,0.0029257430244755,1.1941812020590582e+17,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.3605568500283845,63.90866315267328,18.819609504391988,35.72875605851015,1458317032668124.5,26.5203078395161,787.889374994337,1491.63735758181,0.285858959638,0.0208683939097037,0.647736513987067,63.908634174664,31.0391167039391,30.950641522082893,0.28585895963766,0.7600899541186245,18.736632076250043,1679664556172847.2,26.487084777755538,1.2285267970327276
3,5,3c49c8,EWG1VT,51.47136623576536,6.782073974609375,136.32777766,3139.44,-0.8112073583912315,34610D,265.0159,19.677742,3.52952,134.65431892129257,66763.52792304015,0.2815600657555025,0.9659093012603776,57.95455807562265,87109.71175224063,1756.268788121119,2023-11-05 23:05:00,0.0015998167568755,0.6887398399781723,0.5782487202065554,0.4829546506301888,0.6685716714733955,0.0157278052179165,0.0003546225881316,7.415742786958636e-05,2.293768868608191e-05,1441390688646322.2,183.078448960892,71.68978833954522,0.0695454696907471,0.0014192952998111,0.0011590911615124,0.9114980009038252,0.0205519953788005,0.0042977609602067,0.001329343611078,8.3535160374815e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.4126116973558319,43.55485587612032,15.727805217916544,22.93768868608192,1441390688646322.2,20.4581674863639,743.743884343755,1383.64481521016,0.159981675688,0.0185483649971123,0.463410153389104,43.5547172366303,24.9838815152306,24.943975724882836,0.15998167568755,0.6000248293096027,15.57921435683676,1127170070180963.5,15.727014628993029,0.9907611399587812
4,6,3c49c8,EWG1VT,51.538494562698624,6.8555450439453125,156.90555542,3680.46,-0.8106881107392048,34610D,261.34097,20.649931,2.9576564,144.45477945761797,66705.57336496453,0.2882192198351278,1.0123295566624382,60.73977339974629,87114.8910573109,1952.1890827244488,2023-11-05 23:06:00,0.00116108432515,0.642504077920173,0.5425170629443956,0.5061647783312191,0.7163713418319723,0.0161543192834774,0.0003635269836262,7.682692854395243e-05,2.583748812813582e-05,1578261961663343.0,191.8769441697985,75.13509969548616,0.0728877280796955,0.0014875046546876,0.0012147954679949,0.9812096927055732,0.0220805466101531,0.0046664502307581,0.0015693631741216,9.586327391687053e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.4457438788670553,43.55744552865545,16.154319283477466,25.837488128135817,1578261961663343.0,20.731012412616,750.040022898962,1400.19488520894,0.116108432515,0.0188986658659575,0.475359083248965,43.5578099948773,25.1530497771929,25.12387883529028,0.116108432515,0.6211548791601268,16.0630775790019,1161532052467932.8,16.563115318048766,1.0092723238684984
5,7,3c49c8,EWG1VT,51.60804360599841,6.940689086914063,168.737777632,4282.4400000000005,-0.8101283226152788,34610D,257.1418,21.927492,2.1534092,152.81045761040278,66644.83359156478,0.2937780946066899,1.005939183566077,60.35635101396461,83409.8839262954,1875.4860267242373,2023-11-05 23:07:00,0.0007304157288418,0.5940463497616392,0.4633996798717316,0.5029695917830385,0.7279154547220508,0.0161875140472639,0.0003733004531262,7.908563121179206e-05,2.780548454097332e-05,1577352776212882.2,190.6657128531142,74.66080620427424,0.0724276212167575,0.0014781147187093,0.0012071270202792,0.9770192798801473,0.0225310531825599,0.0047733201175798,0.0016782375850683,9.520325783395629e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.4753614082650019,41.7049419631477,16.18751404726397,27.80548454097332,1577352776212882.2,20.2207525583558,749.502037756325,1401.70272865013,0.0730415728842,0.0189534614328553,0.464774721220544,41.7056613687253,24.5218913108331,24.503993208773984,0.0730415728841799,0.6193161048845839,16.050191941508892,1134431209918247.5,16.14753676185019,0.9928968412422874
6,8,3c49c8,EWG1VT,51.67817687988281,7.0405289933488175,177.997777624,4861.56,-0.8095456089958266,34610D,253.05354,22.867393,1.5451168,161.41410907031454,66584.47724055081,0.2991737051834927,1.000170837465691,60.01025024794146,79953.14880800687,1873.0230662682548,2023-11-05 23:08:00,0.0005817763149846,0.5502644086780273,0.5031873160520258,0.5000854187328455,0.7396213255939597,0.0161445729565222,0.0003828277957897,8.13022567240296e-05,2.998317299650865e-05,1544636143450804.5,189.57238053324707,74.2326795567036,0.0720123002975297,0.0014696387815822,0.0012002050049588,0.9688398632670456,0.0229735918272087,0.0048789687717313,0.0017992977147478,9.269400151049798e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.5061654644191573,39.97657440400344,16.144572956522204,29.98317299650865,1544636143450804.5,19.749784297976,748.968147755661,1403.27605683466,0.0581776314985,0.0190157501392887,0.455155270220902,39.9767076479661,23.9356989278324,23.921781801767903,0.05817763149846,0.6174913273556385,15.958304089964829,1111037635383513.0,15.786030368817745,0.9777218867616227
7,9,3c49c8,EWG1VT,51.75081931938559,7.14447021484375,184.171110952,5440.68,-0.8089145110442352,34610D,249.05017,22.701551,1.4335182,168.7124567974825,66524.46699030287,0.3038100502615734,0.9747766524593456,58.486599147560746,75707.61476406522,1796.5532071453597,2023-11-05 23:09:00,0.0003918842824431,0.5091327576770084,0.4635574686391199,0.4873883262296729,0.7374154593388064,0.0159673966918265,0.000393155399176,8.345741142235315e-05,3.124046745506972e-05,1525747104952216.2,184.7591667071444,72.34792314553265,0.0701839189770728,0.0014323248770831,0.0011697319829512,0.9338787297449448,0.0229943222343087,0.0048811401677522,0.001827148697227,8.923575932789157e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.5332869456499368,37.85380738203261,15.967396691826512,31.240467455069723,1525747104952216.2,19.0425293594702,746.359627464369,1399.80924425183,0.0391884282443,0.0189719461028356,0.438455646322148,37.8536158592611,23.1107364497844,23.10168326321557,0.03918842824431,0.6087166397318018,15.721662279640134,1066884465872439.8,15.02409731885474,0.9507166749255826
8,10,3c49c8,EWG1VT,51.82562876555879,7.252044677734375,188.801110948,5996.9400000000005,-0.8082375991365013,34610D,245.08116,20.92824,1.8811074,174.90063056943217,66465.98039115532,0.3081235880442902,0.9315467925739008,55.89280755443405,70781.16463476137,1597.0681887570693,2023-11-05 23:10:00,0.0002298770468216,0.4720044144697906,0.376095830418565,0.4657733962869504,0.7188856046371996,0.0156451052119122,0.0004027941341359,8.517119881118887e-05,3.138257396184557e-05,1523612159348096.5,176.56537906445715,69.13940294483493,0.0670713690653208,0.0013688034503126,0.0011178561510886,0.8744488547782838,0.022513295023318,0.0047604574243342,0.0017540601670122,8.515896121003886e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.5573058485499475,35.390582317380684,15.645105211912236,31.382573961845573,1523612159348096.5,18.1480892362985,740.881300016648,1389.55809675855,0.0229877046822,0.0187895578817014,0.415522259394232,35.3906702238945,22.1145309543923,22.109448499664342,0.02298770468216,0.590669806872451,15.295902968446276,1006403910794534.4,13.896218676519226,0.9122636348901608
9,11,3c49c8,EWG1VT,51.90271927138506,7.363115583147322,193.945555388,6492.240000000001,-0.8075129485991287,34610D,241.52866,19.746912,1.3556914,181.10402959571448,66410.08758360088,0.3124729921252659,0.8908929731234722,53.45357838740833,66296.31115235723,1423.394219974457,2023-11-05 23:11:00,0.0001398206764462,0.4408194845354482,0.3090629038898137,0.4454464865617361,0.7002322738903041,0.0153231910864757,0.0004115625895974,8.667594645836876e-05,3.127398709020021e-05,1525243520708981.0,168.8598541258229,66.12207646522411,0.0641442940648899,0.001309067225814,0.0010690715677481,0.8190793958861669,0.0219994931443738,0.0046331394983152,0.0016717065204128,8.152972409410418e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.5813009237365377,33.14815557617862,15.323191086475726,31.27398709020021,1525243520708981.0,17.3478490806106,735.504584198355,1378.94406023212,0.0139820676446,0.0185948571807368,0.394771805301783,33.1484885765646,21.2301606548903,21.227192654454303,0.01398206764462,0.5738311531381902,14.878670688765904,950557407393171.2,12.86276404227876,0.8761073612187708
10,12,3c49c8,EWG1VT,51.981536865234375,7.477264404296875,199.089999828,6934.200000000001,-0.8067455288630017,34610D,238.5264,19.89861,-1.0897171,186.95608198646204,66356.63400521348,0.3116445366586946,0.9627677264202966,57.7660635852178,69218.29564569566,1447.0500678820097,2023-11-05 23:12:00,8.651775797995315e-05,0.4144216772350145,0.2477454451094921,0.4813838632101483,0.7716763545288893,0.0158455282922419,0.0004205951813719,8.990474290199925e-05,3.628235539e-05,1450000000000000.0,182.48299486570303,71.45662065491443,0.0693192763022613,0.0014146791082094,0.0011553212717043,0.9153337948710156,0.0242961279907668,0.0051934430950895,0.0020958888484802,8.376079219856581e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.6038493143297198,34.60914782284783,15.845528292241942,36.28235539,1450000000000000.0,17.9373388777314,747.614592465321,1411.9658595665,0.008651775798,0.0193227631784858,0.418594703476794,34.6083115270037,21.663294199189,21.661420101687145,0.0086517757979953,0.6129328904773379,15.58909070777034,1023111607010298.2,14.470275419831298,0.9175070697141616
11,13,3c49c8,EWG1VT,52.06219482421875,7.594757080078125,202.691110936,7383.780000000001,-0.8059335855044271,34610D,235.54988,20.373913,-4.411248,195.7057659356302,66298.86794162825,0.3132156336229191,0.9968590291181728,59.81154174709037,68810.23085175337,1029.3477454282206,2023-11-05 23:13:00,4.810884156398554e-05,0.3888969949636692,0.1790883427112976,0.4984295145590864,0.8182841806243021,0.0160882762805519,0.0004305538807898,9.28629790971153e-05,3.628235539e-05,1450000000000000.0,188.9446603790585,73.9868771411508,0.0717738500965084,0.0014647724509491,0.0011962308349418,0.9622646083929544,0.0257520914152356,0.0055542779510262,0.0021701036140917,8.672673553328104e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.6360912161002397,34.40511542587669,16.08827628055191,36.28235538999999,1450000000000000.0,18.0408033397129,754.785825379467,1431.23218128443,0.0048108841564,0.0197480942958339,0.427016094732117,34.4051491616563,21.6231545350784,21.62211432020629,0.0048108841563985,0.6374413250754537,15.956342500939682,1046735554315373.2,15.155770079064862,0.9317334316440408
12,14,3c49c8,EWG1VT,52.15414790783898,7.687683105468751,208.34999982,7703.820000000001,-0.8049798989772093,34610D,233.27449,21.047482,-7.2968264,211.1825328629152,66239.05639988117,0.3302276692177457,0.853608517018559,51.21651102111354,57569.65975258204,1223.4359037423965,2023-11-05 23:14:00,5.187997731497973e-05,0.3715147479473951,0.2380242720998238,0.4268042585092795,0.717043875343173,0.0150558668826168,0.000436889528207,9.234445139257829e-05,3.384504059305957e-05,1486617144630762.0,161.79295831569766,63.354824133117454,0.0614598132253362,0.0012542819025578,0.0010243302204222,0.7711089721259662,0.0223759573364236,0.0047295606124866,0.0017334248945444,7.613934337215776e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.689733906054453,28.78482987629102,15.055866882616886,33.84504059305957,1486617144630762.0,16.3281064073384,733.579492185404,1373.6082261793,0.0051879977315,0.018475301414912,0.369969379962729,28.7842302105833,20.0250795185465,20.024040671770692,0.0051879977314979,0.5679491125368847,14.55668531784137,870262874934196.9,11.688024712708229,0.8311914203737574
13,15,3c49c8,EWG1VT,52.266998291015625,7.692794799804687,210.407777596,8084.820000000001,-0.8037947839377805,34610D,230.33319,22.047758,-9.18751,213.74944644270224,66187.83988886005,0.3296083552774612,0.8799784327778633,52.7987059666718,58525.44166979156,1513.7265044376002,2023-11-05 23:15:00,6.266703648171365e-05,0.3516474379666741,0.3810996538979308,0.4399892163889316,0.7468580070745136,0.0152206432801154,0.0004431310840959,9.42493444974262e-05,3.628235539e-05,1450000000000000.0,166.7911121487162,65.31199928077302,0.0633584471600061,0.0012930295338776,0.0010559741193334,0.8036302691704124,0.0233967478138728,0.0049762434276711,0.0019156614140148,7.655812365167411e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.702560860813663,29.26272083489578,15.220643280115407,36.28235539,1450000000000000.0,16.4401994516534,738.347581119999,1390.04437373676,0.00626670364817,0.0188709884697808,0.377953312154906,29.2628698497026,20.0282731749926,20.02701814111613,0.0062667036481713,0.5825745977829788,14.783429695332316,903398520837809.0,12.35637315976532,0.8458518875102807
14,16,3c49c8,EWG1VT,52.379227977688025,7.700788225446429,206.806666488,8557.26,-0.8026010736374418,34610D,226.83807,22.51285,-9.13664,213.53578588298072,66135.04118289339,0.3328277037170476,0.7626354477610326,45.75812686566196,51267.86674176331,1292.397682312707,2023-11-05 23:16:00,4.79113959282277e-05,0.3282158172593669,0.4103801835064734,0.3813177238805163,0.6551947623761013,0.0142185966263016,0.0004520279161115,9.423463208407358e-05,3.232303053972333e-05,1509483153700434.8,144.54992276862612,56.60280293282385,0.0549097522387943,0.0011206071885468,0.0009151625373132,0.6506163482779861,0.0206839507322543,0.004312000250042,0.0014790413321193,6.9071121648604e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.7072450203313455,25.633933370881657,14.218596626301697,32.32303053972333,1509483153700434.8,14.7151395817587,718.617304265681,1346.2973711153,0.00479113959282,0.0180133074867643,0.328699051925474,25.6338951171711,18.2475679253793,18.24669370081302,0.0047911395928227,0.5231075200759437,13.582968020297114,756418500305140.0,9.49994782217844,0.7523514582492359
15,17,3c49c8,EWG1VT,52.49025506488347,7.711225237165179,204.234444268,8961.12,-0.8014046689884073,34610D,224.21411,22.136,-8.452797,210.37957618717152,66089.28305602772,0.332340493196984,0.692456436043379,41.54738616260274,47179.31146139534,1049.449668567907,2023-11-05 23:17:00,2.9431200186835407e-05,0.3092029281591529,0.3261671181662515,0.3462282180216895,0.6030857987918202,0.0135539442280216,0.0004623007346681,9.516190683786312e-05,2.991838309236889e-05,1545609518450815.5,131.24819288766204,51.39411668313959,0.0498568633951232,0.0010174870080637,0.000830947723252,0.5631309548679967,0.019207387146514,0.0039537284913623,0.0012430306156993,6.42160355196705e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.7008568770659792,23.589655730697668,13.553944228021669,29.91838309236889,1545609518450815.5,13.5881488315311,706.866186859551,1322.23692566005,0.00294312001868,0.0175709183113271,0.299045182531768,23.5905226919737,17.0193257536794,17.01882486923773,0.0029431200186835,0.4897187911178411,12.890016891424809,668129530296657.1,7.864477338855654,0.6925393555639459
16,18,3c49c8,EWG1VT,52.59853557004767,7.739161900111608,202.691110936,9288.78,-0.8002181098908332,34610D,222.5836,20.6726,-6.838948,207.3373822440076,66047.73566986511,0.3315672173798157,0.6327276423129867,37.96365853877921,43640.55245975115,856.5576963951544,2023-11-05 23:18:00,2.0227809481380663e-05,0.2944415627541902,0.2609719045132893,0.3163638211564933,0.5616700903512137,0.0129642260076455,0.0004743879740545,9.659281171418035e-05,2.769032830995409e-05,1579082832737241.8,119.9271973240035,46.96104561246988,0.045556390246535,0.0009297222499292,0.0007592731707755,0.4921694493738158,0.0180095030619095,0.0036670165212177,0.0010512261687857,5.994776146648485e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.6932473531033737,21.82027622987557,12.964226007645534,27.690328309954094,1579082832737241.8,12.6224200327341,697.201625820536,1301.37802342607,0.00202278094814,0.017176353643979,0.273910347694886,21.8203038410329,15.9469438841522,15.946621318934287,0.002022780948138,0.462593533048791,12.253469418462783,604263745175784.9,6.656262948182953,0.6397708625243221
17,19,3c49c8,EWG1VT,52.706451416015625,7.7671051025390625,203.719999824,9555.48,-0.7990190927862464,34610D,221.66374,18.977781,-4.77762,204.07873455383404,66009.77201132633,0.3253540393551677,0.6968993102725267,41.813958616351606,47919.02171391564,1230.807073718387,2023-11-05 23:19:00,1.5637529547376648e-05,0.28285243706121,0.2173518438765844,0.3484496551362633,0.6322740793297313,0.0134837267610346,0.0004875133970837,0.0001010800995642,3.462880947975337e-05,1474842145883294.2,132.0902952690547,51.72386680842694,0.0501767503396219,0.0010240153130535,0.000836279172327,0.563807992780094,0.0203848650105771,0.0042265591001158,0.0014479676065199,6.166898845361526e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.6837662077885913,23.95951085695782,13.483726761034612,34.62880947975337,1474842145883294.2,13.222477415842,713.175903980569,1346.58990383382,0.00156375295474,0.0181689907120443,0.297839679558853,23.9588615866958,16.3927476368521,16.392491298785057,0.0015637529547376,0.5074219935585417,12.963205553668088,687762752194245.4,8.39482684062545,0.6900518913945656
