,index,longitude,latitude,altitude,icao24,callsign,groundspeed,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,time,specific_humidity,air_pressure,rhi,fuel_flow_per_engine,thrust_setting,nox_ei,co_ei,hc_ei,nvpm_ei_m,nvpm_ei_n,co2,h2o,so2,sulphates,oc,nox,co,hc,nvpm_mass,nvpm_number,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,ei_nox_p3t3,ei_nvpm_number_p3t3_meem,ei_nvpm_mass_p3t3_meem
0,1,-46.394907633463504,-23.51553706799524,3924.3,e80338,SKX5563,150.732222092,0.8341575551851717,34610D,275.45508,11.138223,-7.5029426,161.45548600293077,73634.99906056847,0.281637451124932,1.1128823127476843,66.77293876486107,109661.11477774911,2735.8994674184114,2023-02-06 13:01:00,0.0065739635808212,0.6225043576468452,0.8918908454503363,0.5564411563738422,0.7073386383731212,0.0154272420294145,0.0012748949811455,0.0002833099958101,0.0001037063126032,1054075115823148.0,210.93571355819608,82.59812525213314,0.0801275265178332,0.001635255643221,0.0013354587752972,1.0301222873407896,0.0851284845076629,0.0189174410017028,0.0069247752609833,7.03836931624229e+16,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.4852713065448608,54.83055738887456,15.427242029414565,103.70631260320503,1054075115823148.0,19.7241528070199,789.110316202667,1551.21142658933,0.657396358082,0.0228185827494318,0.818022174654581,54.8302929437374,35.8489474844773,35.61481697474769,0.6573963580821199,0.9741192244688561,25.904998216410622,1231366277641488.2,69.52043834424597
1,2,-46.47906033497935,-23.552313335871304,4716.780000000001,e80338,SKX5563,159.992222084,0.8355611160804834,34610D,271.86478,10.916617,-7.53122,170.19365359730412,73568.22612180361,0.2712702422319147,1.0478853295485904,62.87311977291542,113416.76856696428,3128.990240916548,2023-02-06 13:02:00,0.0036775096599517,0.5609564736871223,0.6035810958041712,0.5239426647742952,0.707338638373121,0.0157954269599486,0.0013576536402265,0.0003017008089392,9.475515319383974e-05,924600520769049.2,198.6161853626398,77.77404915909638,0.0754477437274985,0.0015397498719897,0.0012574623954583,0.993107771117191,0.085359919932096,0.0189688710960213,0.0059575520958572,5.813251928441241e+16,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.5149014313224596,56.70838428348214,15.795426959948683,94.75515319383976,924600520769049.2,20.1596236403191,807.895269772219,1601.62445309186,0.367750965995,0.0239270024372109,0.862272249327524,56.7088427531949,36.0376211600386,35.905578049913885,0.36775096599517004,1.0651524534395715,30.619697107054225,1042656180865494.9,65.64872249893857
2,3,-46.56394526643573,-23.588763738082665,5615.9400000000005,e80338,SKX5563,159.47777764,0.8369514759872355,34610D,268.16425,8.13431,-4.508027,177.63016860349825,73505.3530020307,0.293981285663938,0.9730181431870356,58.38108859122213,87771.41131186264,1824.229698503725,2023-02-06 13:03:00,0.0013775658719557,0.4971884686406126,0.2737509421831863,0.4865090715935177,0.7073386383731212,0.015870928660306,0.0014675856572624,0.0003261301460583,8.498060241192944e-05,791389516342686.8,184.4258588596707,72.21740658734178,0.0700573063094665,0.0014297409450911,0.0011676217718244,0.9265620921422916,0.0856792482718463,0.0190398329492991,0.0049612600779462,4.620218146376683e+16,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.5410949940638395,43.88570565593132,15.87092866030601,84.98060241192944,791389516342686.8,16.3855992099954,779.325092878097,1547.20720324544,0.137756587196,0.0228323591883748,0.682615568143322,43.8855078164265,29.8968478251201,29.855719604709975,0.13775658719557,0.9260214307501381,25.72929277397245,1259963491433482.0,59.207502118636974
3,4,-46.65137093022184,-23.626355833926453,6137.910000000001,,,172.68185170266668,0.8383112477313381,34610D,264.35104,8.299406,-2.6153793,188.40912426562684,73446.97191343947,0.3034367802943389,0.9488094511696842,56.92856707018105,80374.37041736765,1702.6668163487557,2023-02-06 13:04:00,0.001904253120953,0.4629524664715891,0.4904430926049225,0.4744047255848421,0.7073386383731212,0.0155137550858751,0.0015055051859048,0.0003345567079788,8.192308347165965e-05,735624461701954.1,179.83734337470193,70.42063746581397,0.0683142804842172,0.0013941689894738,0.0011385713414036,0.8831758469166071,0.0857062529502921,0.0190458339889538,0.0046637637520124,4.187804650646553e+16,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.578054275086602,40.18718520868383,15.513755085875172,81.92308347165965,735624461701954.1,15.4540634516477,771.6912145782,1533.92007346306,0.190425312095,0.0226129705776259,0.640429887827709,40.1876440937125,28.3213514840626,28.26752296523444,0.1904253120953,0.8905079593870343,23.966971119492413,1393513296124386.0,57.90588009637071
4,5,-46.75574200708161,-23.62904189804854,6625.59,,,185.88592576533333,0.8395629093002248,34610D,260.64206,9.252224,-1.6718808,196.6045198750649,73390.04334636929,0.2978480467883942,0.9292530596863142,55.755183581178855,82990.50839158226,1873.128722929002,2023-02-06 13:05:00,0.0018624139614254,0.4327152378881695,0.6242438504611194,0.4646265298431571,0.7073386383731212,0.0153541919588488,0.0015394041949268,0.0003420898210948,7.940384827523667e-05,683114642081021.9,176.130624932944,68.96916208991824,0.0669062202974146,0.0013654330672941,0.0011151036716235,0.8560757914062758,0.0858297634937817,0.0190732807763959,0.0044271761376378,3.808718227621866e+16,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.607475070474656,41.495254195791134,15.354191958848814,79.40384827523667,683114642081021.9,15.8628101086979,781.398096543537,1563.07518881483,0.186241396143,0.0233189441866684,0.671086599890117,41.495108244423,28.7786014031365,28.72510336957761,0.18624139614254,0.9360395366366436,25.516244700535008,1202609531661955.0,58.61079459384325
5,6,-46.86345418294269,-23.59291076660156,7162.8,e80338,SKX5563,199.089999828,0.8408309070940077,34610D,256.5811,10.578092,-0.91761446,205.3011602235829,73334.28816278811,0.3030179985733979,0.9074903320501748,54.449419923010495,77804.91699756353,1724.494827311012,2023-02-06 13:06:00,0.0013152411157462,0.4012788685142464,0.5939069092506979,0.4537451660250874,0.7073386383731212,0.0153210770334585,0.0015785491280503,0.0003507886951222,7.666884658148446e-05,629079807348402.6,172.00571753679014,67.35393244476398,0.0653393039076125,0.001333455181788,0.0010889883984602,0.8342237570675782,0.0859510843423148,0.0191002409649588,0.0041745742225281,3.425303059539972e+16,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.6393464707646036,38.90245849878176,15.321077033458582,76.66884658148447,629079807348402.6,15.1443592233166,776.39004275266,1557.50662405701,0.131524111575,0.023257707889962,0.640365058688113,38.9025627419495,27.5334552191402,27.497289653216708,0.13152411157462,0.9122061102627342,24.778549056139795,1279753591271965.2,57.26486155189572
6,7,-46.975962320963504,-23.55821228027344,7658.1,e80338,SKX5563,206.292222044,0.8420518985105571,34610D,252.77011,10.73732,-1.2824482,212.96035504470944,73279.8387428651,0.2926887367610057,0.8884656905350732,53.30794143210439,79579.84823450218,2012.2403520746927,2023-02-06 13:07:00,0.0009421439972245,0.3739586563801814,0.5690900023132711,0.4442328452675366,0.707338638373121,0.0152571559692477,0.001614532590442,0.0003587850200982,7.430967533665029e-05,582266064045617.8,168.39978698401777,65.94192355151314,0.0639695297185252,0.0013055006065005,0.001066158828642,0.8133275768291389,0.0860674087715108,0.0191260908381135,0.0039612958206848,3.1039405240045736e+16,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.6681794322798914,39.78992411725109,15.257155969247712,74.30967533665029,582266064045617.8,15.4234154658068,785.847091192601,1586.44844848086,0.0942143997225,0.0239605843386401,0.665187701348773,39.7896531167993,27.761747875074,27.73561693007401,0.09421439972245,0.9577302155786135,26.33684957262546,1097362709905525.8,58.052272741597406
7,8,-47.09089799360794,-23.52314758300781,8237.220000000001,e80338,SKX5563,207.321110932,0.843248762181483,34610D,248.15111,10.701648,-1.830293,218.8091670657208,73226.530801433,0.2993392187951408,0.8706055337316694,52.23633202390016,72761.50302519929,1769.3280225998865,2023-02-06 13:08:00,0.0005721846995973,0.3439455476608665,0.500044769837238,0.4353027668658347,0.707338638373121,0.0151779005765006,0.0016545354974624,0.0003676745549916,7.195574170343558e-05,524897682416038.06,165.0145728635006,64.6163427135645,0.0626835984286801,0.0012792571107893,0.001044726640478,0.7928378539398334,0.0864268655907761,0.0192059701312835,0.0037587040146466,2.7418729617259864e+16,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.6928905045271203,36.380751512599645,15.177900576500646,71.95574170343558,524897682416038.06,14.3399951522282,774.673338042233,1568.81909511715,0.0572184699597,0.0236673962244811,0.614893900552206,36.3805208279573,25.9806315287092,25.96577430993586,0.05721846995973,0.9042341656938435,24.419089878770677,1309469208412083.0,57.00030796653303
8,9,-47.207303133877815,-23.48748779296875,8747.76,e80338,SKX5563,210.407777596,0.8444301207936118,34610D,243.98367,11.877735,0.18487746,223.21979270331985,73174.2944694091,0.3004556108235657,0.8566723141407895,51.40033884844737,68576.17572499104,1554.3518487298893,2023-02-06 13:09:00,0.0003847522219761,0.319132970959831,0.4764873167306039,0.4283361570703947,0.7073386383731212,0.0150768500533449,0.0016887738644221,0.0003752830809827,7.008948796935112e-05,476759615691294.4,162.37367042224523,63.5822191555294,0.0616804066181368,0.0012587838085334,0.0010280067769689,0.7749552015091596,0.0868035488697012,0.0192896775266002,0.0036026234313388,2.450560579578808e+16,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.7128686884151879,34.28808786249552,15.0768500533449,70.08948796935111,476759615691294.4,13.6324008738595,768.265939469174,1561.60801854901,0.0384752221976,0.0235980791167056,0.584143109961437,34.2882373378762,24.7538414916115,24.744321059102717,0.038475222197609994,0.8751371130065635,23.33110279434401,1422047515913733.5,56.17938432874938
9,10,-47.32590553977269,-23.451004028320312,9197.34,e80338,SKX5563,214.008888704,0.8455902143552583,34610D,240.40173,13.008342,2.179952,227.6442002223061,73122.89413056064,0.3065104702175087,0.8428450548060469,50.570703288362814,63541.7362335315,1340.202022162731,2023-02-06 13:10:00,0.000316043878796,0.2985023293677357,0.5330508744136793,0.4214225274030234,0.7073386383731212,0.0149511162281516,0.0017217869106458,0.0003826193134768,6.834858730384254e-05,438716946163406.4,159.75285168793812,62.55595996770481,0.0606848439460353,0.0012384662029803,0.0010114140657672,0.756088462603683,0.0870719749840572,0.0193493277742349,0.0034564361287213,2.2186224512006268e+16,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.7323944130138422,31.770868116765747,14.951116228151644,68.34858730384254,438716946163406.4,12.8072857285475,758.222179592316,1546.27252780575,0.0316043878796,0.023360192636526,0.546651394036569,31.7707655885675,23.4009797154594,23.39358631570124,0.0316043878796,0.8306602341175315,21.799531483522358,1673118850491281.5,55.254423608718845
