Unnamed: 0,index,longitude,latitude,altitude,icao24,callsign,groundspeed,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,time,specific_humidity,air_pressure,rhi,fuel_flow_per_engine,thrust_setting,nox_ei,co_ei,hc_ei,nvpm_ei_m,nvpm_ei_n,co2,h2o,so2,sulphates,oc,nox,co,hc,nvpm_mass,nvpm_number,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,W3_no_water_injection,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,ei_nox_p3t3,ei_nvpm_number_p3t3_meem,ei_nvpm_mass_p3t3_meem,fuel_flow_corrected
0,1,-46.394907633463504,-23.51553706799524,3924.3,e80338,SKX5563,150.732222092,0.6490047941039296,34610D,277.1866,1.7046545,1.8037102,156.53565459652302,75373.57656163623,0.2659445559128728,1.0900725373837417,65.4043522430245,119036.16672769964,2750.788848222167,2023-05-05 13:01:00,0.002393552349479,0.6225043576468452,0.2825129276263945,0.5450362686918708,1.0,0.0184389543615351,0.0004559408144779,9.888358121288016e-05,3.5904410332139605e-05,1455678080182145.0,206.6123487357144,80.90518372462132,0.0784852226916294,0.0016017392386046,0.0013080870448604,1.2059878660548975,0.0298205136320843,0.0064674165766989,0.0023483047004413,9.520768190868269e+16,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,26.43372853748732,3.901788767576704,0.4690124109776915,59.51808336384983,18.438954361535146,35.904410332139605,1455678080182145.0,33.9347501645045,903.007877699989,1367.18602881326,0.239355234948,0.0224333446041438,0.585942444974385,59.5178164337501,26.1192637706886,26.056895227895744,15.213467589667598,1.010513898346612,2.307534577008534,794439190489571.6,19.88837421708376,1.0782922585614312
1,2,-46.47906033497935,-23.552313335871304,4716.780000000001,e80338,SKX5563,159.992222084,0.6499066410151333,34610D,273.11185,6.920827,-0.37730023,169.258687966937,75308.1722093932,0.2715668436291218,1.030664313738792,61.83985882432752,120771.37089250158,3126.9482964624403,2023-05-05 13:02:00,0.000955467533786,0.5609564736871223,0.1414433666865893,0.515332156869396,1.0,0.0184143492308111,0.0004828378263992,0.0001047169542697,3.628235539e-05,1450000000000000.0,195.35211402605063,76.49590536569315,0.074207830589193,0.0015144455222284,0.0012367971764865,1.1387407567752246,0.029858623019575,0.0064756816685556,0.0022436957351316,8.966779529527491e+16,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,21.54058333842632,3.210506172725268,0.5109023628965224,60.38568544625079,18.414349230811133,36.28235539,1450000000000000.0,34.70090853712,936.538013460711,1481.96238935548,0.0955467533786,0.0245001876180475,0.645338883894336,60.3850172251704,26.3401608981541,26.31501775304007,12.295827987672544,1.1006589314685462,4.06781417490426,751059206462578.9,18.802378754890768,1.1193774130330163
2,3,-46.56394526643573,-23.588763738082665,5615.9400000000005,e80338,SKX5563,159.47777764,0.6507988564104825,34610D,266.56476,8.265025,2.4767306,180.5620890162133,75246.33235056887,0.2993743774745284,0.9930928012684735,59.585568076108416,85003.63273571078,1811.771026336788,2023-05-05 13:03:00,0.0007190825264306,0.4971884686406126,0.1639659360344061,0.4965464006342368,1.0,0.0181036506466241,0.0005040606824691,0.0001093197271409,3.628235539e-05,1450000000000000.0,188.23080955242648,73.70734771014611,0.07150268169133,0.0014592384018638,0.0011917113615221,1.0787163080305051,0.0300347421097538,0.0065138780436198,0.0021619047570524,8.63990737103572e+16,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,20.7300466568028,3.094600384197421,0.5516738568874565,42.50181636785539,18.103650646624114,36.28235539,1450000000000000.0,26.8977632698547,865.27739514919,1302.1905749162,0.0719082526431,0.0205179893917612,0.439030450318754,42.5025747999295,21.397342689681,21.381967290621606,14.54485333826552,0.9022354757136528,2.040037022592905,725537827081498.0,13.96093015630406,0.9090047198429372
3,4,-46.65137093022184,-23.626355833926453,6137.910000000001,,,172.68185170266668,0.6516526416741869,34610D,262.31366,8.067878,4.1398067,188.38882632056269,75186.74678249277,0.3050721157733249,0.9766260364322036,58.59756218593222,79297.59630261149,1689.5456816052306,2023-05-05 13:04:00,0.0008414227798122,0.4629524664715891,0.2596174466563819,0.4883130182161018,1.0,0.0178844041347925,0.0005140995089001,0.000111496928824,3.628235539e-05,1450000000000000.0,185.10969894535987,72.48518442399816,0.0703170746231186,0.0014350423392473,0.0011719512437186,1.0479824834468483,0.0301249779425343,0.0065334482203088,0.0021260575762176,8.496646516960171e+16,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,21.643674312856444,3.228339666322792,0.580232296963904,39.64879815130575,17.88440413479253,36.28235538999999,1450000000000000.0,25.8655877664744,859.900710449546,1272.11648470733,0.0841422779812,0.0201037034375149,0.413377375217073,39.6487122151542,20.5622499606556,20.544962960809976,15.79767591871316,0.8855303707577228,1.696974030985786,703900104085637.1,12.89887286521728,0.8765385238515994
4,5,-46.75574200708161,-23.62904189804854,6625.59,,,185.88592576533333,0.6527306236761584,34610D,258.6337,9.085518,3.6289144,194.73043621465763,75128.14922030683,0.2904447764670795,0.9577754727561985,57.46652836537191,86489.75958519785,1859.7823627024063,2023-05-05 13:05:00,0.0009816234221072,0.4327152378881695,0.3951791923965437,0.4788877363780992,1.0,0.017639295451997,0.0005256781334833,0.0001140080790171,3.628235539e-05,1450000000000000.0,181.53676310620983,71.08609558796506,0.0689598340384462,0.001407343551805,0.0011493305673074,1.013669072437362,0.0302088973688794,0.0065516485067206,0.0020850210051819,8.332646612978926e+16,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,20.922411884432066,3.1178238531120765,0.6040160411952841,43.24487979259893,17.639295451997015,36.28235538999999,1450000000000000.0,27.6180927337742,889.929369830408,1351.3667170365,0.0981623422107,0.0218662888842314,0.470265309454941,43.2446434800357,21.5064070517273,21.485316561758893,14.609579216846877,0.9732984363101896,2.253332376149761,657305509570393.5,15.365405053281524,0.954593400443857
5,6,-46.86345418294269,-23.59291076660156,7162.8,e80338,SKX5563,199.089999828,0.6541786255100406,34610D,254.90411,11.103366,1.6799439,205.0205725039188,75070.68269194147,0.2964639694408698,0.9300957477397148,55.80574486438289,81153.93937941536,1714.1997799369333,2023-05-05 13:06:00,0.0011375110260422,0.4012788685142464,0.6013981544658692,0.4650478738698574,1.0,0.0173339697814084,0.0005411450226675,0.0001173625086803,3.628235539e-05,1450000000000000.0,176.29034802658552,69.03170639724163,0.0669668938372594,0.0013666713028012,0.0011161148972876,0.9673350951082048,0.0301990010696172,0.0065495022160602,0.0020247638679732,8.091833005335518e+16,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,21.11676102103469,3.1434936046594784,0.640569492629372,40.57696968970768,17.333969781408488,36.28235538999999,1450000000000000.0,26.7286533271797,889.154623316479,1338.05603945772,0.113751102604,0.0217002703872292,0.450976275272538,40.5769987196215,20.7820578833867,20.75844492340284,15.256954826480175,0.9710676752597356,2.053402958536812,622631892843743.5,14.470298253500514,0.9315633996188392
6,7,-46.975962320963504,-23.55821228027344,7658.1,e80338,SKX5563,206.292222044,0.6555713677866363,34610D,251.40631,13.057115,1.4573689,214.3572514736332,75014.8769470771,0.2913604227445767,0.9054099572823444,54.32459743694066,83085.28194721365,2000.6743305700727,2023-05-05 13:07:00,0.0007454837690602,0.3739586563801814,0.5138512531365068,0.4527049786411722,1.0,0.0172352022278612,0.0005555800875247,0.0001204931582357,3.628235539e-05,1450000000000000.0,171.61140330329556,67.19952702949561,0.0651895169243288,0.0013303983045781,0.0010864919487388,0.9362954227728256,0.0301816645987628,0.0065457423150616,0.0019710243506257,7.877066628356397e+16,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,20.0179786472532,2.9877737189170577,0.6743840383811972,41.54264097360682,17.235202227861258,36.28235539,1450000000000000.0,27.4564012236249,913.385988514993,1401.3043831188,0.074548376906,0.0231078742537105,0.485594282809529,41.5429675250533,21.0142342596293,20.998580158947497,14.30300428345438,1.0391309627783027,2.6122390071621586,582606409946102.2,14.585250124857591,0.977788804979031
7,8,-47.09089799360794,-23.52314758300781,8237.220000000001,e80338,SKX5563,207.321110932,0.6569455727225028,34610D,246.63568,14.880134,0.41456553,222.1148641326836,74960.55234964014,0.292408023444155,0.8879674817813707,53.27804890688225,76077.53051230503,1758.804176464106,2023-05-05 13:08:00,0.0005380082491685,0.3439455476608665,0.5475447853321761,0.4439837408906854,1.0,0.0171130156257819,0.0005680026384915,0.0001231873375861,3.628235539e-05,1450000000000000.0,168.305356496841,65.90494649781334,0.0639336586882586,0.0013047685446583,0.0010655609781376,0.9117480834546504,0.0302620723527913,0.0065631809966254,0.0019330531049253,7.725317091497926e+16,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,18.99529430659556,2.839074520957002,0.7055160181605026,38.03876525615252,17.11301562578194,36.28235538999999,1450000000000000.0,25.7867289116406,901.306612543571,1378.87696314233,0.0538008249169,0.0225398206526029,0.448690085399769,38.0394247533779,19.9065508246604,19.89584669501429,14.323485168978706,1.0058758110321682,2.424866550017279,567447774022795.8,14.20576151519137,0.928435917171014
8,9,-47.207303133877815,-23.48748779296875,8747.76,e80338,SKX5563,210.407777596,0.6583109617375502,34610D,242.57191,17.084955,-0.600263,228.42353112260776,74907.27430073326,0.3005291507774381,0.8710450891625007,52.26270534975004,69858.30792736454,1544.9439719865893,2023-05-05 13:09:00,0.0003494270348176,0.319132970959831,0.5011452382377362,0.4355225445812503,1.0,0.0169904094953547,0.0005803739971472,0.000125870414445,3.628235539e-05,1450000000000000.0,165.09788619986037,64.6489665176408,0.0627152464197,0.0012799029881571,0.001045254106995,0.8879647652273199,0.0303319152055621,0.006578328382393,0.0018962140491424,7.578092275713757e+16,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,17.961642112319954,2.6879700335042296,0.7316068869760579,34.92915396368227,16.990409495354736,36.28235539,1450000000000000.0,24.2190938788274,888.582443704076,1356.13664399969,0.0349427034818,0.0219421861365566,0.414199134502728,34.9296480083675,18.8768398884674,18.870246114321397,14.279431181372995,0.9694201738250536,2.27059947627938,564117169591468.0,13.053948582793868,0.8769629819121265
9,10,-47.32590553977269,-23.451004028320312,9197.34,e80338,SKX5563,214.008888704,0.6596645996796688,34610D,238.88168,17.745905,-0.9438317,233.09405865836152,74855.01159538352,0.3099486734966709,0.8583163564339767,51.49898138603861,63768.076598982574,1331.584692548794,2023-05-05 13:10:00,0.0002346545809169,0.2985023293677357,0.4657737467361155,0.4291581782169884,1.0,0.0168784999426802,0.0005906661148004,0.0001281025494492,3.628235539e-05,1450000000000000.0,162.68528219849594,63.70423997452976,0.0617987776632463,0.0012611995441478,0.0010299796277207,0.8692255543723462,0.030418703251473,0.0065971508095889,0.0018685043448712,7.467352300975598e+16,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,17.451898981126806,2.6136896791274,0.752310244879909,31.884038299491287,16.878499942680296,36.28235539,1450000000000000.0,22.6249247885127,872.027475068983,1318.46971036218,0.0234654580917,0.0210952265948235,0.376162220466328,31.8842763010536,17.8316273956798,17.827444104254695,14.684510888062311,0.9219533773892028,1.9719930829422927,570648739068119.4,11.613128714027557,0.8186413361527135
