,index,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,time,specific_humidity,air_pressure,rhi,fuel_flow_per_engine,thrust_setting,nox_ei,co_ei,hc_ei,nvpm_ei_m,nvpm_ei_n,co2,h2o,so2,sulphates,oc,nox,co,hc,nvpm_mass,nvpm_number,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,ei_nox_p3t3,ei_nvpm_number_p3t3_meem,ei_nvpm_mass_p3t3_meem
0,2,adbb36,NKS2975,42.33370971679688,-71.06150540438568,102.8888888,701.0400000000001,-0.4966054248752243,34610D,290.92032,1.1699933,-6.802955,99.64766238597088,67489.33817747346,0.2516286793843477,1.126464511593065,67.5878706955839,122684.5842405115,1691.090535184668,2023-08-06 04:02:00,0.0072907838714806,0.9318180291069952,0.4530480875010802,0.5632322557965325,0.5711870264774164,0.0142409423650747,0.0010117396185362,0.0002248310263413,0.0001018933544493,1860340715375209.2,213.51008352734956,83.60619605043729,0.0811054448347006,0.0016552131598918,0.0013517574139116,0.962514971153934,0.0683813265152251,0.0151958503367167,0.0068867548652634,1.2573646772050973e+17,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.2914320309491405,61.34229212025575,14.240942365074735,101.89335444937262,1860340715375209.2,,,,,,,,,,,,,,
1,3,adbb36,NKS2975,42.276880296610166,-71.11520456713299,152.789999868,1203.96,-0.4979499554781595,34610D,287.04065,4.057651,-4.896608,126.11870206327224,67421.75030677787,0.247434462532216,1.3666544655109625,81.99926793065774,162173.0654823032,3740.666671262332,2023-08-06 04:03:00,0.0070245431375925,0.8767312586169648,0.5460497732643511,0.6833272327554811,0.707338638373121,0.0170175394332729,0.0010299626262736,0.0002288805836163,0.0001427896571975,1635757040695840.5,259.0356873929477,101.43309443022363,0.0983991215167892,0.0020081453370773,0.0016399853586131,1.3954257755094843,0.0844561813503759,0.0187680403000835,0.0117086473582669,1.3413087984947805e+17,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.3713342534232707,81.0865327411516,17.017539433272976,142.78965719752952,1635757040695840.5,26.6120853884131,809.780723610815,1574.82696572679,0.702454313759,0.0230463178094955,1.10460848710346,81.0868369933904,47.9299338069678,47.595596486290404,0.70245431375925,1.074541757436589,31.555901839973952,1352642775608103.5,85.16639698273244
2,4,adbb36,NKS2975,42.20421225337659,-71.07598593068673,150.217777648,2316.48,-0.4997524482355407,34610D,280.12347,7.1301584,-3.6553392,152.53962332839424,67339.75103884721,0.2889795271986869,1.2890883517335512,77.34530110401307,109431.20374457848,2525.9441615593773,2023-08-06 04:04:00,0.0029773772717503,0.7642053006165694,0.3420113707689954,0.6445441758667756,0.7073386383731212,0.0178380545771538,0.0010932290638461,0.0002429397919658,0.0001300407841144,1404623478211365.8,244.3338061875773,95.67613746566418,0.0928143613248156,0.0018941706392819,0.0015469060220802,1.3796897023797812,0.0845561311188424,0.0187902513597427,0.0100580436031356,1.0864102586002424e+17,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.4546373794727232,54.715601872289234,17.838054577153827,130.0407841144699,1404623478211365.8,20.4568194730564,767.016138245898,1476.00853683745,0.297737727175,0.0208504636484765,0.797699919160916,54.7158640593894,38.2581381694696,38.14456740144779,0.29773772717503,0.8695594543023065,24.919993584289156,1859971140775668.5,72.17064400355555
3,5,adbb36,NKS2975,42.12930970272775,-71.01849933003268,167.1944443,3063.24,-0.501615414797489,34610D,277.98837,8.441148,-4.5104737,169.9639441751873,67262.4057377432,0.2958873975000378,0.9905359711325564,59.43215826795339,74373.69815554253,1374.7721408239995,2023-08-06 04:05:00,0.0009111854262891,0.6954628509278147,0.1127159357026836,0.4952679855662782,0.5861801629650881,0.0152596164895706,0.0011735470353662,0.0002607882300813,8.392774166792327e-05,1370344258499607.8,187.74618796846477,73.51757977745835,0.071318589921544,0.0014554814269702,0.001188643165359,0.9069119423164324,0.069746433140774,0.0154992073646164,0.0049880068258799,8.144251685272992e+16,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.5085113966497811,37.186849077771264,15.25961648957062,83.92774166792327,1370344258499607.8,15.9105284451312,729.507881441972,1385.76518773593,0.0911185426289,0.0189142790850539,0.583314906254144,37.1864891241507,30.8399227711026,30.811847464735692,0.09111854262890999,0.7151707831311661,19.938828857346145,2823212734598283.0,57.47200322695519
4,6,adbb36,NKS2975,42.04761052535752,-70.94178665515989,199.089999828,3467.1000000000004,-0.5036048567350436,34610D,275.91803,10.747556,-4.2386746,180.1472234014672,67202.97357947525,0.3052961493123238,1.1598277171111813,69.58966302667088,98193.83090349865,2705.433072172388,2023-08-06 04:06:00,0.0007474265442362,0.66042770723412,0.1036305317645488,0.5799138585555906,0.7073386383731212,0.0177117507101833,0.0012069366214648,0.0002682081381032,0.0001116162605426,1213701477255228.0,219.83374550125328,86.08241316399189,0.083507595632005,0.0017042366455511,0.0013917932605334,1.2325547635340597,0.0839903127822864,0.0186645139516192,0.0077673379594617,8.446107681716397e+16,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.540996832542386,49.096915451749325,17.711750710183377,111.61626054267396,1213701477255228.0,19.3371054434235,775.029019192383,1499.29899955447,0.0747426544236,0.0213459079614199,0.766061618024857,49.0973845008141,35.8879846858433,35.86118108719107,0.07474265442361999,0.9058858594277586,26.689811114423243,1498079389767164.5,65.58165041481763
5,7,adbb36,NKS2975,41.9575784974179,-70.85792009220563,205.7777776,4259.58,-0.5057117921681613,34610D,271.49158,14.157729,-3.2355368,189.9852036042536,67133.38391644858,0.3127014197555546,1.1042509874858613,66.25505924915167,82491.59207295056,1303.6881532406087,2023-08-06 04:07:00,0.0004327093465427,0.5958307384093393,0.0778152780678376,0.5521254937429306,0.7073386383731213,0.0173639817976163,0.0012708744276784,0.000282416539484,0.0001034257535901,1071642473352934.4,209.2997321680701,81.95750829120063,0.079506071098982,0.001622572879571,0.001325101184983,1.150451642802262,0.0842018605040642,0.0187115245564587,0.0068524794320027,7.100173556590612e+16,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.575173438629143,41.24579603647528,17.363981797616344,103.42575359013811,1071642473352934.4,17.0141867608464,758.541507286678,1466.36106005235,0.0432709346543,0.0207129210099576,0.662430060917798,41.2456665389343,31.9814892645678,31.96765656078688,0.04327093465427,0.8320442371510357,23.72326279068137,1799698749023113.2,59.84552522035283
6,8,adbb36,NKS2975,41.858001708984375,-70.78041770241475,227.384444248,4640.58,-0.5079223547742462,34610D,269.22504,15.828726,-2.6793082,209.8285093585002,67067.12885719944,0.3094347734944982,1.0677879082892736,64.06727449735642,104361.9614762589,2922.105067882391,2023-08-06 04:08:00,0.0005181777639662,0.5666510718470681,0.1072255745731216,0.5338939541446368,0.7073386383731212,0.0171328623667507,0.0013011606808265,0.0002891468179614,9.93325382914325e-05,1061819283917275.2,202.38852013714893,79.2512185532299,0.0768807293968277,0.0015689944774862,0.0012813454899471,1.0976557961760494,0.0833618185036847,0.0185248485563743,0.0063639649972363,6.80278675293145e+16,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.6379167441055045,52.18098073812945,17.13286236675077,99.3325382914325,1061819283917275.2,20.6639550593513,803.11994927638,1579.51262886453,0.0518177763966,0.0232325272803504,0.865769680020943,52.1804854762508,37.2654111011502,37.246110994638556,0.05181777639662,1.0416933909867336,31.77357472974022,1067431686357624.2,67.20866173362819
7,9,adbb36,NKS2975,41.74562615863347,-70.81927632176598,209.378888708,5494.02,-0.5100463109652605,34610D,263.45914,20.01405,-1.6889492,225.48952225289904,67003.06158270208,0.3314238388135694,1.0191290215139297,61.14774129083578,75594.50920515365,2189.6917334336435,2023-08-06 04:09:00,0.0013433680527261,0.5054732103053465,0.4087103020175934,0.5095645107569649,0.7073386383731212,0.0164903326532205,0.0013611741024825,0.000302483133885,9.27801163436466e-05,948981641434282.0,193.16571473775025,75.63975597676387,0.0733772895490029,0.0014974957050816,0.0012229548258167,1.0083465948789498,0.0832327218703904,0.0184961604156423,0.0056732945511149,5.802808390017617e+16,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.6929899739082566,37.79725460257682,16.49033265322052,92.7801163436466,948981641434282.0,16.4969258212883,764.309125429155,1486.26467997481,0.134336805273,0.0212261393785749,0.653097082478853,37.7971084598609,30.7685288799183,30.72725087274775,0.13433680527261,0.8574464321442756,23.76924027282231,1550252552569831.2,57.88528938065116
8,10,adbb36,NKS2975,41.6669528767214,-70.9253710369731,213.49444426,6134.1,-0.5115198003304752,34610D,258.6439,22.786129,-0.85363007,226.89541413684145,66941.91384141124,0.3332875548044779,0.9986860322716632,59.92116193629979,65724.78438268257,2031.7963419038572,2023-08-06 04:10:00,0.0014620890622033,0.4631952510881937,0.6294746060882827,0.4993430161358316,0.7073386383731212,0.0162226429416275,0.0014001353363938,0.0003111411858653,8.933736201029086e-05,838445100353780.8,189.29095055677104,74.12247731520284,0.0719053943235597,0.0014674570270114,0.0011984232387259,0.9720796147400358,0.0838977362247919,0.018643941383287,0.0053531985359804,5.024060463299602e+16,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.7037717069551501,32.862392191341286,16.222642941627562,89.33736201029085,838445100353780.8,14.6907099379927,745.698378751541,1450.56318827016,0.14620890622,0.0205736777533896,0.571376564457207,32.8628749654694,27.7722131796815,27.73166701266562,0.14620890622033,0.7782553693784559,20.880410439164507,2094226642466348.8,54.466424226039294
9,11,adbb36,NKS2975,41.58511404263771,-71.0350426962209,218.124444256,6728.46,-0.5130275780018239,34610D,254.7164,23.541008,-1.4550846,222.82311676703512,66881.99267947493,0.3306403861576071,0.9767283472645686,58.60370083587412,67643.6126692952,2322.177739876484,2023-08-06 04:11:00,0.0012922591193314,0.4265461853884109,0.7392620393448123,0.4883641736322843,0.707338638373121,0.0160040818957817,0.0014479529203151,0.0003217673156255,8.562864967673994e-05,729945904801965.5,185.1290909405263,72.49277793397628,0.0703244410030489,0.0014351926735316,0.0011720740167174,0.9378984275732216,0.0848553997665782,0.018856755503684,0.0050181557686355,4.277753143138583e+16,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.6964485014747153,33.8218063346476,16.004081895781734,85.62864967673994,729945904801965.5,14.4966938602764,749.277992050338,1475.38044341091,0.129225911933,0.0212810033852111,0.577854929648432,33.8222554080528,27.1535565869983,27.118512441992433,0.12922591193314,0.7928829908332193,21.242663663650298,2031333853153088.5,56.255090266313815
10,12,adbb36,NKS2975,41.50187864141949,-71.1456724654796,214.523333148,7406.64,-0.5145493444742819,34610D,250.86276,23.850718,-3.5617697,217.8837176009279,66823.38897863906,0.3080013303021612,0.9432278538739488,56.59367123243692,77523.89251500784,2693.671784083092,2023-08-06 04:12:00,0.0010970572076539,0.3876339764052093,0.8265181235661772,0.4716139269369743,0.7073386383731212,0.0156883801331214,0.0015180330184461,0.0003373406707658,8.065957125032596e-05,620789982499591.8,178.77940742326822,70.00637131452447,0.0679124054789243,0.0013859674587535,0.0011318734246487,0.8878630274233693,0.0859110615659231,0.0190913470146495,0.0045648212570902,3.5132784173972164e+16,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.6862208205422192,38.76194625750392,15.688380133121433,80.65957125032597,620789982499591.8,15.4551455530047,771.765002270714,1547.95803065856,0.109705720765,0.0230606163085311,0.650341849803759,38.7614738402517,28.2014080240852,28.170503370319555,0.10970572076539,0.8908423165878173,24.347294015520404,1461008615981703.0,60.77837328700657
11,13,adbb36,NKS2975,41.420196533203125,-71.25376614657318,202.691110936,8191.5,-0.5160490366898789,34610D,245.93619,26.446518,-5.627463,217.7549586156809,66766.79530740663,0.2997173751005293,0.9068516657359272,54.41109994415564,73089.62398389087,2249.417589035264,2023-08-06 04:13:00,0.0008756347655448,0.3462416263551337,0.9630664766607036,0.4534258328679637,0.7073386383731212,0.0153676045742337,0.0015954354881919,0.0003545412195982,7.570168918548057e-05,523574324806612.25,171.88466472358766,67.30653063092053,0.0652933199329867,0.0013325167333262,0.0010882219988831,0.8361682683908974,0.0868093998024662,0.0192909777338813,0.0041190121762125,2.8488254915246384e+16,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.6926502930587105,36.54481199194543,15.367604574233775,75.70168918548059,523574324806612.25,14.4194222849942,767.916610795471,1553.38953430052,0.0875634765545,0.0233439680834716,0.612821061682232,36.5446896379104,26.251794874417,26.228828000760043,0.08756347655448,0.8735781161987202,23.46347644239912,1505619408209024.5,59.18169994110501
