,Unnamed: 0,index,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,air_pressure,rhi_emissions,fuel_flow_per_engine,thrust_setting,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,W3_no_water_injection,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,nvpm_ei_n,ei_mass_meem,ei_number_meem,ei_nox,nvpm_ei_m,ei_co2,wingspan,time,issr_specific_humidity,issr_rhi,issr_issr,cocip_level,cocip_waypoint,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_ef,cocip_persistent_1,cocip_cocip,cocip_contrail_age,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_nox_impact,accf_issr_co2_impact,accf_issr_contrails_atr20,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_nox_impact,accf_sac_co2_impact,accf_sac_contrails_atr20
0,0,2,adbb36,NKS2975,42.33370971679688,-71.06150540438568,102.8888888,701.0400000000001,0.476028396984265,34610D,274.40048,-3.5010438,0.8134602,103.14792563376028,67168.13851453394,0.2872446876316673,1.00904474597691,67.50515220866012,120.9158884347034,1597.9434299523532,0.0038503267111734,93181.80291069952,0.8519040716915872,0.5625429350721677,0.647356328499277,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,21.91855624091369,3.203389833572306,0.3106170273123663,60.45791179130426,16.36294929035094,20.40836301562978,1322005872107352.5,32.3337535928621,809.711298216271,1323.65356184585,0.385032671117,0.0230844521363767,0.504522372988455,60.4579442173517,21.8555056021201,21.771677530577065,15.098597250940504,0.6959808290678096,1162701973911534.2,,,0.0013880727158909864,1.7631341203429054e-05,3.16,35.8,2023-11-06 15:02:00,0.003850326711173462,0.851904126756708,0.0,931.8180291069953,0,0.003850326711173462,-3.5010438,0.8134602,0.851904126756708,0.09664671,3.8418133e-07,1.18301075013529,659.9203906608174,7725.93080288237,-0.8195006120311534,-0.5730783078084224,6.072648027058582,245.93705391083913,0.8621893715270337,inf,0.0,240.89280525106662,0.0,0.0,0.0,0 days,0.0037662012,-2.5499787e-08,7486.8315,0.8455627,-238.64886,0.0,0.0,1.0,-8.088655848686434e-13,7.34321e-12,2.1299754e-16,0.0,0.0,0.0,7.479999999999999e-16,8.590747817697328e-14,6.534344664563732e-12,722.3401677551228,5.49130962452272e-13,1.4310353311024217e-13,0.0,0.0037662012,-2.5499787e-08,7486.8315,0.8455627,-238.64886,0.0,0.0,0.0,-8.088655848686434e-13,7.34321e-12,2.1299754e-16,0.0,0.0,0.0,7.479999999999999e-16,8.590747817697328e-14,6.534344664563732e-12,722.3401677551228,5.49130962452272e-13,1.4310353311024217e-13,0.0
1,1,3,adbb36,NKS2975,42.276880296610166,-71.11520456713299,152.789999868,1203.96,0.4777140041262062,34610D,271.7257,1.6684202,3.0934489,134.43673290605284,67100.63336232529,0.32360837138004417,1.37301871581467,96.0,142.2196790194844,3556.673338336442,0.0036475388157012,87673.12586169648,0.9465497126456544,0.8,0.9558109850425206,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,17.652319833119627,2.5834604531894665,0.4068270401958525,71.11071150348597,21.0088291553776,36.28235539,1450000000000000.0,39.1636792085649,853.44789227543,1507.69399371219,0.36475388157,0.026434125076195,0.686509357907335,71.1098395097422,25.9705723540502,25.876187954085296,10.348683731567956,0.8575373217730862,1519845588322951.5,33.170202476018616,1876281505200912.8,0.003353138504924736,2.55802813337449e-05,3.16,35.8,2023-11-06 15:03:00,0.0036475388157012965,0.9465501326513638,0.0,876.7312586169647,1,0.0036475388157012965,1.6684202,3.0934489,0.9465501326513638,0.083342776,7.5017005e-07,1.1240308307799511,662.2573882325128,8772.56839360524,-0.9285345241436924,0.3712460605491279,6.019771566407612,245.83110558943926,0.933482293875419,inf,0.0,242.15497063055872,0.0,0.0,0.0,0 days,0.003570197,4.512404e-08,12275.79,0.9215823,-238.86665,0.0,0.0,0.9999999999999999,-7.913899751493748e-13,6.711135e-12,2.1970245e-16,0.0,0.0,0.0,7.48e-16,7.79243894603678e-14,5.9197451543553036e-12,723.4836154165204,1.6352426700308168e-12,1.9472261269180916e-13,0.0,0.003570197,4.512404e-08,12275.79,0.9215823,-238.86665,0.0,0.0,0.0,-7.913899751493748e-13,6.711135e-12,2.1970245e-16,0.0,0.0,0.0,7.48e-16,7.79243894603678e-14,5.9197451543553036e-12,723.4836154165204,1.6352426700308168e-12,1.9472261269180916e-13,0.0
2,2,4,adbb36,NKS2975,42.20421225337659,-71.07598593068673,150.217777648,2316.48,0.4800311223748746,34610D,267.5411,10.241673,-1.6696558,152.87610612892655,67004.63336232529,0.35886469385597713,1.076208295330382,79.28464837353364,108.7098496111926,2424.5064474373003,0.0025170585417725,76420.53006165694,0.8109809057646061,0.6607054031127804,0.8626573698785934,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,20.71493114971732,3.055098978064972,0.4662314422680632,54.3551098558094,18.19814458288512,32.05316140476139,1513537548790754.8,33.1711927117943,836.829486447221,1385.43379926456,0.251705854177,0.0243983300138835,0.538104147665191,54.3549248055963,22.0549581614394,21.99958392081607,14.138782032805466,0.7954156329231226,1136175109288764.2,29.86191574843746,1775417228879113.2,0.0017690465999267522,1.8239265933883648e-05,3.16,35.8,2023-11-06 15:04:00,0.0025170585417725556,0.8109817815869609,0.0,764.2053006165694,2,0.0025170585417725556,10.241673,-1.6696558,0.8109817815869609,0.03258582,1.9012198e-08,0.9950891390349,665.4698548557412,9611.468894653619,-0.8690383133027305,0.49474479280932826,5.530313368858931,244.80910191131025,0.7678815666562685,inf,0.0,238.61608073191917,0.0,0.0,0.0,0 days,0.0024622662,9.445608e-07,22929.236,0.7684693,-239.34149,0.0,0.0,1.0000000000000002,-7.520644257925014e-13,5.6632446e-12,2.8374738e-16,0.0,0.0,0.0,7.48e-16,6.48770893709584e-14,4.911180152334536e-12,724.9432226225945,5.610127403968897e-13,1.5262872141039104e-13,0.0,0.0024622662,9.445608e-07,22929.236,0.7684693,-239.34149,0.0,0.0,0.0,-7.520644257925014e-13,5.6632446e-12,2.8374738e-16,0.0,0.0,0.0,7.48e-16,6.48770893709584e-14,4.911180152334536e-12,724.9432226225945,5.610127403968897e-13,1.5262872141039104e-13,0.0
3,3,5,adbb36,NKS2975,42.12930970272775,-71.01849933003268,167.1944443,3063.24,0.4824454415549944,34610D,268.15787,13.30446,0.8889555,171.93461508980045,66925.34871395175,0.3804054201229672,0.783897894998688,59.79416917977325,74.631868108754,1328.1166699023013,0.0018386636405531,69546.28509278147,0.5113698369464764,0.498284743164777,0.7294412326892359,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,18.563927187166968,2.750456260130126,0.5237514961077228,37.3154565553592,16.04327995482066,23.24678416857473,1455980074229015.5,26.1234338812465,812.986933591698,1291.25623359693,0.183866364055,0.0220969407690755,0.391948947499344,37.315934054377,17.7377018654036,17.705148053427152,15.71864896982813,0.7079542067656026,759022421209367.0,28.556552234763345,1699185964861780.2,0.001277252758447971,1.1603368641991066e-05,3.16,35.8,2023-11-06 15:05:00,0.0018386636405531061,0.5113704094971123,0.0,695.4628509278148,3,0.0018386636405531061,13.30446,0.8889555,0.5113704094971123,0.027027603,0.0,0.9034951758132116,668.8170739802208,11080.285114414322,-0.8202005681753433,0.5720760683378078,5.20477625188685,244.08394823323357,0.48711359578062907,inf,0.0,235.69041158540068,0.0,0.0,0.0,0 days,0.0017989539,1.5152382e-06,30177.553,0.4853882,-239.67973,0.0,0.0,0.9999999999999999,-7.253777007246938e-13,5.428992e-12,3.277371e-16,0.0,0.0,0.0,7.48e-16,6.222272150220446e-14,4.703614184116813e-12,726.4461843615791,2.825656001618887e-13,1.1117302658702994e-13,0.0,0.0017989539,1.5152382e-06,30177.553,0.4853882,-239.67973,0.0,0.0,0.0,-7.253777007246938e-13,5.428992e-12,3.277371e-16,0.0,0.0,0.0,7.48e-16,6.222272150220446e-14,4.703614184116813e-12,726.4461843615791,2.825656001618887e-13,1.1117302658702994e-13,0.0
4,4,6,adbb36,NKS2975,42.04761052535752,-70.94178665515989,199.089999828,3467.1000000000004,0.4850222663684227,34610D,266.95068,13.789381,1.1562488,183.12771851150555,66865.55454477198,0.39421986753369237,1.035541009367102,78.58513527620313,95.92529956121,2624.468496835217,0.0018067510330197,66042.770723412,0.5292972750896362,0.6548761273016928,1.0,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,21.11726143255025,3.129435580974728,0.5591080663887195,47.96335188078648,20.447469576542343,36.28235538999999,1450000000000000.0,31.8190094082744,858.602121511436,1394.80918646251,0.180675103302,0.0248942122063391,0.517770504683551,47.962649780605,20.7988306836922,20.761320147069625,15.254069082135413,0.8769426494240798,916644455888471.2,28.11244115128865,1655664060792013.2,0.0016726051397392104,1.6372069669640308e-05,3.16,35.8,2023-11-06 15:06:00,0.0018067510330197956,0.5292972960971883,0.0,660.42770723412,4,0.0018067510330197956,13.789381,1.1562488,0.5292972960971883,0.022437798,0.0,0.8618599552144098,672.3895780882729,12201.84212776877,-0.8219449188493326,0.5695669849787328,5.0551501693706795,243.73705950698135,0.4982887813867292,inf,0.0,235.44080028264963,0.0,0.0,0.0,0 days,0.0017661038,1.0341237e-06,34183.496,0.5014538,-240.37125,0.0,0.0,1.0,-7.107942712187836e-13,5.122362e-12,2.906512e-16,0.0,0.0,0.0,7.480000000000001e-16,5.838903411690305e-14,4.4115679160028255e-12,728.0855242322551,4.584636940528695e-13,1.4686125438124994e-13,0.0,0.0017661038,1.0341237e-06,34183.496,0.5014538,-240.37125,0.0,0.0,0.0,-7.107942712187836e-13,5.122362e-12,2.906512e-16,0.0,0.0,0.0,7.480000000000001e-16,5.838903411690305e-14,4.4115679160028255e-12,728.0855242322551,4.584636940528695e-13,1.4686125438124994e-13,0.0
5,5,7,adbb36,NKS2975,41.9575784974179,-70.85792009220563,205.7777776,4259.58,0.4877281811227207,34610D,264.07678,15.005534,0.02904035,192.52587516718307,66786.96940949577,0.4013813242832312,0.907644535140356,69.14287712736765,81.4264106636022,1270.650726365469,0.0022059499928679,59583.07384093393,0.7490934860248157,0.5761906427280638,0.942825539152575,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,17.516172039757688,2.5887860063774766,0.5909914615802591,40.71339853408401,18.29021860861983,35.593972005780095,1460341968945921.8,28.1463913574681,845.959304353987,1389.0105905706,0.220594999287,0.0242885986120526,0.453822267570178,40.7132053318011,18.6845801529686,18.643453626574026,14.106359183490676,0.8294517259211743,847709992636494.4,25.798792553050696,1573291069237302.2,0.0017522678136000084,1.3817531749450936e-05,3.16,35.8,2023-11-06 15:07:00,0.0022059499928679177,0.7490945135048431,0.0,595.8307384093393,5,0.0022059499928679177,15.005534,0.02904035,0.7490945135048431,0.017932776,0.0,0.7860227884392117,676.1410430052911,12801.950611483831,-0.8650897885852082,0.5016170428579952,4.616849593084901,242.66578707640733,0.6856734220315602,inf,0.0,235.81634614219317,0.0,0.0,0.0,0 days,0.0021567906,1.4191387e-06,42039.11,0.7060045,-241.0617,0.0,0.0,0.9999999999999999,-6.817532693883939e-13,4.5071746e-12,3.2032946e-16,0.0,0.0,0.0,7.48e-16,5.0798807857805255e-14,3.825421415842294e-12,729.8897122061214,3.6504534612751906e-13,1.287228740892334e-13,0.0,0.0021567906,1.4191387e-06,42039.11,0.7060045,-241.0617,0.0,0.0,0.0,-6.817532693883939e-13,4.5071746e-12,3.2032946e-16,0.0,0.0,0.0,7.48e-16,5.0798807857805255e-14,3.825421415842294e-12,729.8897122061214,3.6504534612751906e-13,1.287228740892334e-13,0.0
6,6,8,adbb36,NKS2975,41.858001708984375,-70.78041770241475,227.384444248,4640.58,0.4905220154853955,34610D,262.93723,14.777623,-0.24959984,211.7960983054692,66717.8265323684,0.4115007152118046,1.17083004593512,69.8409039819775,97.8876577092116,2863.7935313317785,0.0022280647373965,56665.10718470681,0.795946216042961,0.5820075331831459,1.0,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,16.22321781279501,2.39733629238346,0.6515520673208862,48.94405650565303,19.235279848213324,36.28235539,1450000000000000.0,32.9186000911916,887.67211204731,1535.86492944635,0.22280647374,0.027515067519206,0.58541502296756,48.9438288546058,21.2761615997827,21.228862320231947,11.515622151849271,0.9812922652944016,829149272507025.6,26.62364321381236,1535934044589943.8,0.003082032248497632,1.9788837218684267e-05,3.16,35.8,2023-11-06 15:08:00,0.0022280647373965016,0.7959467968204944,0.0,566.6510718470681,6,0.0022280647373965016,14.777623,-0.24959984,0.7959467968204944,0.013428025,0.0,0.7507685645732424,680.0143941752333,12932.714296879942,-0.96828920219839,-0.24983198535416845,4.466333283069467,242.27703468775957,0.7204713955085309,inf,0.0,235.76556430495376,0.0,0.0,0.0,0 days,0.002179053,1.242697e-06,45898.645,0.7507435,-241.43207,0.0,0.0,1.0,-6.6767390450413e-13,4.2581533e-12,3.0672874e-16,0.0,0.0,0.0,7.48e-16,4.7730960959148673e-14,3.590479402543518e-12,731.8822479233523,7.773824420652933e-13,1.6604805377855548e-13,0.0,0.002179053,1.242697e-06,45898.645,0.7507435,-241.43207,0.0,0.0,0.0,-6.6767390450413e-13,4.2581533e-12,3.0672874e-16,0.0,0.0,0.0,7.48e-16,4.7730960959148673e-14,3.590479402543518e-12,731.8822479233523,7.773824420652933e-13,1.6604805377855548e-13,0.0
7,7,9,adbb36,NKS2975,41.74562615863347,-70.81927632176598,209.378888708,5494.02,0.4929920030467177,34610D,259.11707,14.235652,0.32113427,222.4994839701045,66647.98562838644,0.42908890085903456,0.864348248724764,65.19649308170366,71.7279581277066,2154.0469652773777,0.0016235560064472,50547.32103053465,0.730377779058051,0.5433041090141972,1.0,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,16.3636055722336,2.4279736057211063,0.6895062377543091,35.86376584412974,18.804819791519524,36.28235538999999,1450000000000000.0,26.6599419268676,855.706762919294,1402.74956909252,0.162355600645,0.0245325403461796,0.432174124362382,35.8639790638533,17.616362523569,17.58780773268436,13.96722339669797,0.8660963673340859,727677718019869.6,24.31268469333417,1468493431633363.5,0.0018401459435199103,1.2575757827977933e-05,3.16,35.8,2023-11-06 15:09:00,0.001623556006447232,0.7303787004557133,0.0,505.4732103053465,7,0.001623556006447232,14.235652,0.32113427,0.7303787004557133,0.011933752,0.0,0.6795862259317265,683.438796626042,12430.578898437592,-0.7042767810084202,-0.7099255001283007,4.104733213653717,241.29341126145098,0.6367820897299271,inf,0.0,234.13931391592732,0.0,0.0,0.0,0 days,0.001587165,4.7533842e-07,54472.402,0.68952227,-241.01299,0.0,0.0,1.0,-6.358238509783736e-13,3.6345107e-12,2.4757817e-16,0.0,0.0,0.0,7.479999999999998e-16,3.9978507526044935e-14,2.9986868735056237e-12,734.1306429039339,2.861695324796842e-13,1.22582560112745e-13,0.0,0.001587165,4.7533842e-07,54472.402,0.68952227,-241.01299,0.0,0.0,0.0,-6.358238509783736e-13,3.6345107e-12,2.4757817e-16,0.0,0.0,0.0,7.479999999999998e-16,3.9978507526044935e-14,2.9986868735056237e-12,734.1306429039339,2.861695324796842e-13,1.22582560112745e-13,0.0
8,8,10,adbb36,NKS2975,41.6669528767214,-70.9253710369731,213.49444426,6134.1,0.4946992809072281,34610D,254.48691,14.980383,-0.81904274,221.0589610157187,66582.78913530473,0.4352499885330033,0.774237284967004,60.86888363641658,65.5973302669238,1996.084738250183,0.0010083362087569,46319.52510881937,0.6401923517282871,0.5072406969701382,0.9518260262201088,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,16.694150107343795,2.487289200073911,0.6912459228091962,32.7985095352578,17.688460867833438,36.28235538999999,1450000000000000.0,24.5677123308973,843.746251491561,1355.6061661578,0.100833620876,0.0237836924284775,0.387118642483502,32.7986651334619,16.2766418060462,16.260246011229782,15.397583733734493,0.8212298777757582,677740728398328.0,21.97129064076198,1352736644770567.5,0.0014638172816519841,1.100818436556844e-05,3.16,35.8,2023-11-06 15:10:00,0.001008336208756929,0.640192323185175,0.0,463.1952510881937,8,0.001008336208756929,14.980383,-0.81904274,0.640192323185175,0.0148157645,7.804413e-10,0.6340756833485178,685.8058504882205,12894.637238011368,-0.7060505909466769,-0.7081613961688737,3.8004316634270854,240.40426088958608,0.5332645578793904,inf,0.0,232.58934553241144,0.0,0.0,0.0,0 days,0.0009867162,2.6344804e-07,60973.32,0.59685385,-240.83228,0.0,0.0,1.0000000000000002,-6.115619557648893e-13,3.1066668e-12,2.3124494e-16,0.0,0.0,0.0,7.48e-16,3.341560725074583e-14,2.4951047921393266e-12,735.7005007014342,1.6966841101920114e-13,1.0980295114384848e-13,0.0,0.0009867162,2.6344804e-07,60973.32,0.59685385,-240.83228,0.0,0.0,0.0,-6.115619557648893e-13,3.1066668e-12,2.3124494e-16,0.0,0.0,0.0,7.48e-16,3.341560725074583e-14,2.4951047921393266e-12,735.7005007014342,1.6966841101920114e-13,1.0980295114384848e-13,0.0
9,9,11,adbb36,NKS2975,41.58511404263771,-71.0350426962209,218.124444256,6728.46,0.4964326854775075,34610D,249.85037,16.492332,-1.3010349,217.61862605308275,66521.92025166831,0.43249669538703833,0.822879036615024,63.22949956107199,70.3726923463718,2271.0814188136724,0.0006956077976126,42654.61853884109,0.6369219656457075,0.5269124963422666,1.0,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,15.42542683893102,2.3030839786489885,0.6867730964130465,35.185974369462514,18.63885801364701,36.28235539,1450000000000000.0,24.9618685870175,850.101245818389,1408.34048625374,0.0695607797613,0.0250568721559696,0.411439518307512,35.1863461731859,16.420226584805,16.40881248688956,14.105213758848716,0.8449226320778451,754941890738959.8,19.786791390342746,1236884570919730.2,0.0017674362466576128,1.238422915727032e-05,3.16,35.8,2023-11-06 15:11:00,0.0006956077976126968,0.6369224379455772,0.0,426.54618538841095,9,0.0006956077976126968,16.492332,-1.3010349,0.6369224379455772,0.017971132,1.3902137e-08,0.5947418703400985,688.2091257048348,13073.016020263154,-0.7085019961968824,-0.7057088077847923,3.4818149317395233,239.40299883508183,0.5067878391600121,inf,0.0,231.4993466361457,0.0,0.0,0.0,0 days,0.0006811806,2.554919e-07,66999.16,0.6127406,-240.80501,0.0,0.0,0.9999999999999999,-5.890313836329039e-13,2.6705385e-12,2.3063167e-16,0.0,0.0,0.0,7.48e-16,2.8038224692241156e-14,2.0815071556416602e-12,737.3335243748107,1.816389214290636e-13,1.16701363275972e-13,0.0,0.0006811806,2.554919e-07,66999.16,0.6127406,-240.80501,0.0,0.0,0.0,-5.890313836329039e-13,2.6705385e-12,2.3063167e-16,0.0,0.0,0.0,7.48e-16,2.8038224692241156e-14,2.0815071556416602e-12,737.3335243748107,1.816389214290636e-13,1.16701363275972e-13,0.0
