,index,longitude,latitude,altitude,icao24,callsign,groundspeed,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,time,specific_humidity,air_pressure,rhi,fuel_flow_per_engine,thrust_setting,nox_ei,co_ei,hc_ei,nvpm_ei_m,nvpm_ei_n,co2,h2o,so2,sulphates,oc,nox,co,hc,nvpm_mass,nvpm_number,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,W3_no_water_injection,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,ei_nox_p3t3,ei_nvpm_number_p3t3_meem,ei_nvpm_mass_p3t3_meem,ei_mass_meem,ei_number_meem
0,0,141.68274619362572,42.55723571777344,2674.6200000000003,885974.0,TVJ571,127.067777668,0.8359910329243758,34610D,285.00638,13.522608,6.125644,157.16931564382554,69038.37801938549,0.2915057836934805,1.0960097686410584,65.76058611846351,87674.49981677855,1817.3355848834929,2023-08-06 01:00:00,0.0095007454846726,0.7305820758235784,0.7168310546852961,0.5480048843205292,0.9514188971838674,0.0157458086602177,0.0004244856270328,9.206163967240432e-05,2.960109860222623e-05,1550376260965666.5,207.7376915482262,81.34584502853936,0.0789127033421562,0.0016104633335133,0.0013152117223692,1.0354536064050954,0.0279144236325465,0.0060540273838841,0.0019465855938328,1.0195365162525416e+17,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,18.054120454500765,2.53659046478728,0.4644058314094959,43.83724990838928,15.745808660217712,29.60109860222623,1550376260965666.5,27.8296955787229,857.720107819854,1404.33811718281,0.950074548467,0.0247119817778786,0.452794684326668,43.8371500274968,18.3228803095021,18.150437621227393,14.92544262345336,0.8736920142219103,1.4390015280467234,759533437671252.8,13.433534606789655,28.63873552505174,1742744854913121.8
1,1,141.59485556862572,42.52262878417969,3200.4,885974.0,TVJ571,149.703333204,0.8370510566048478,34610D,281.90997,14.089136,4.747349,168.2208340664578,68972.61743326703,0.2990463145011746,1.1156117628201558,66.93670576920935,92920.3512861869,2188.78155878111,2023-08-06 01:01:00,0.0084584718108213,0.6833994069049528,0.7562343492520546,0.5578058814100779,1.0,0.0167592437117089,0.0004383103201932,9.505991296897973e-05,3.298428653186106e-05,1499548734751983.5,211.45305352493236,82.80070503651197,0.0803240469230512,0.0016392662637357,0.0013387341153841,1.121808565245132,0.0293390489383852,0.0063629974248512,0.0022078594825904,1.0037485244468368e+17,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,18.8954944993284,2.67449716732516,0.4997833308269508,46.46017564309345,16.75924371170892,32.98428653186106,1499548734751983.5,29.5157012221183,875.221408398765,1440.10659386834,0.845847181082,0.0257925864281772,0.493629313458963,46.4600918866224,19.1384185077188,18.977894521876763,14.938544156724681,0.9378698166759075,1.5891889627349032,717513294661424.0,15.259125183146878,27.675817514179,1685184145247701.5
2,2,141.49248296564275,42.48133850097656,3832.86,885974.0,TVJ571,164.107777636,0.8380761001148875,34610D,277.76813,14.254452,3.2187164,178.8624795463913,68905.68072749782,0.301400325835047,1.079865556199207,64.79193337195242,99941.3339885426,2586.8631147419337,2023-08-06 01:02:00,0.0071523259471488,0.6299442896063308,0.815569624981658,0.5399327780996035,1.0,0.0168887893710665,0.0004535749530825,9.837047766961124e-05,3.3979466003240723e-05,1484597596440749.2,204.6777175219977,80.14762158110516,0.0777503200463429,0.0015867412254355,0.001295838667439,1.0942573156630813,0.0293879981393086,0.0063736134349365,0.0022015952972964,9.618994855274974e+16,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,19.84108258936198,2.834252498580879,0.5353468187851064,49.970666994271305,16.888789371066537,33.979466003240724,1484597596440749.2,31.4934703526244,896.291129566655,1484.98773506023,0.715232594715,0.0271941125899142,0.545036548096871,49.9716164620735,20.042446551428,19.900114446520917,14.957625552793488,1.0107877718716183,1.7972256149527635,681182500141781.8,17.05305155527357,26.372246502554813,1609299363227305.5
3,3,141.3869268243963,42.43862915039063,4579.62,885974.0,TVJ571,165.136666524,0.8390904970515701,34610D,272.9897,14.694075,3.7558966,190.70476468893656,68840.88879412587,0.3126870713113926,1.0366282190822051,62.19769314493231,75519.06931370148,1348.0745343645674,2023-08-06 01:03:00,0.0054972503048191,0.5712403748956332,0.8370926778229157,0.5183141095411026,1.0,0.0170617563954316,0.0004732740121619,0.0001026427723325,3.513114604309187e-05,1467295262478583.5,196.4825126448412,76.93854642028127,0.0746372317739187,0.0015232088117126,0.0012439538628986,1.0612018887966463,0.0294365517819212,0.0063841436570838,0.002185076241418,9.126238048865584e+16,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,16.850030727780894,2.434875772612628,0.5757654885622556,37.75953465685074,17.061756395431683,35.131146043091874,1467295262478583.5,25.9654128123243,863.141616393472,1406.70481824194,0.549725030482,0.0248820066280537,0.423227133683969,37.7586997436775,17.0093650407919,16.916371512339257,14.943330484444447,0.8934603395409276,1.543508854322768,655565124643478.2,12.297000064676373,24.85315010095294,1521078463886359.0
4,4,141.27568444540336,42.39354020458157,4968.240000000001,885974.0,TVJ571,186.743333172,0.8400880559172832,34610D,270.72195,15.20865,4.2127566,202.78803586422907,68778.69110098093,0.318813883411343,1.006762139484534,60.40572836907205,70485.39728274201,1350.519067180577,2023-08-06 01:04:00,0.0046542052818424,0.5424921360051816,0.8126975709139193,0.503381069742267,1.0,0.0171206707909839,0.0004853237125036,0.0001052560885448,3.508694016057057e-05,1467959392198652.8,190.82169591789855,74.72188599254213,0.0724868740428864,0.0014793239600589,0.0012081145673814,1.03418658929648,0.0293163323485646,0.0063580706938302,0.0021194521766413,8.867315630197992e+16,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,16.42190061517596,2.38685419569535,0.6148055882985302,35.24269864137101,17.12067079098391,35.08694016057057,1467959392198652.8,25.2291777226482,862.632755644877,1399.34340410902,0.465420528184,0.024632517105322,0.407937866647859,35.2428394184587,16.5609492892516,16.484228306799,14.945044028126187,0.8916050694002062,1.550565950908532,620303906856955.2,11.572491372900576,24.633308520511225,1502644637748895.0
5,5,141.15009654651988,42.34245300292969,5356.860000000001,885974.0,TVJ571,201.662222048,0.8410490571785069,34610D,268.62436,16.612959,4.743417,210.61483228740917,68718.28537261186,0.3234261832506063,0.9778132979906656,58.668797879439936,74990.04765896569,2017.8333813576248,2023-08-06 01:05:00,0.0038007127605085,0.5149267974234382,0.7521131947546671,0.4889066489953328,1.0,0.0171627501024312,0.000498866861082,0.0001081933009851,3.530597159903547e-05,1464668760282324.0,185.33473250115077,72.57330297686721,0.0704025574553279,0.0014367868868434,0.0011733759575887,1.0069179168148776,0.0292679190415713,0.0063475709074066,0.002071358911681,8.593035545733354e+16,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,17.101189812118008,2.5001817614789057,0.6410227739321721,37.49502382948285,17.16275010243128,35.305971599035466,1464668760282324.0,26.5871846330953,878.44703240287,1431.4422404395,0.380071276051,0.0255989682089301,0.44068526813902,37.4947614603833,17.2149621243441,17.149780733868965,14.958576974035179,0.9494138759587077,1.696177203215218,587231019725170.4,12.885700433486619,24.047579591437163,1466828704541534.2
6,6,141.04739876680597,42.268826759467686,5935.9800000000005,885974.0,TVJ571,202.176666492,0.8422692467658462,34610D,265.46057,19.111206,6.392988,213.13992756109863,68659.61657473243,0.3252163580178067,0.9426258718878484,56.5575523132709,69874.89281647577,1571.111897741887,2023-08-06 01:06:00,0.0028552389207982,0.4759628928252322,0.68600712863511,0.4713129359439241,1.0,0.0171178995467105,0.0005198293556372,0.0001127396071436,3.628235539e-05,1450000000000000.0,178.66530775762274,69.96169221151611,0.067869062775925,0.0013850829137943,0.0011311510462654,0.968146499106396,0.0294002759754278,0.0063762762288046,0.0020520412130186,8.20084508542428e+16,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,16.137904101906127,2.374608043394047,0.6525623379854756,34.93744640823788,17.11789954671051,36.28235538999999,1450000000000000.0,24.9770672239249,873.009167147186,1420.69958787878,0.28552389208,0.0253503615516248,0.411329992747179,34.9373685338682,16.2258037980849,16.179607154015528,14.962073333545744,0.9296995199313391,1.6584064186547192,568726572876240.2,11.826165128353617,22.360776506979022,1374737503676112.8
7,7,140.99160627885297,42.165802001953125,6385.56,885974.0,TVJ571,208.34999982,0.8439111248868759,34610D,263.0828,20.445671,7.682607,218.41021612250785,68603.05902241915,0.3248679830662863,0.8333487493180646,50.00092495908388,53461.38549410336,800.4124555052767,2023-08-06 01:07:00,0.0022670457156563,0.4473909919617161,0.6312020212013701,0.4166743746590323,0.913539563240022,0.0153048971704524,0.0005375135251642,0.0001165749163725,3.179256481511904e-05,1517452637241863.5,157.95292194574594,61.85114417438676,0.0600011099509006,0.0012245124479775,0.0010000184991816,0.7652590149262865,0.0268761734362306,0.0058288536456561,0.0015896576475775,7.587403544369434e+16,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,13.73290295577229,2.028802324556436,0.6717132887689478,26.73069274705168,15.304897170452415,31.79256481511904,1517452637241863.5,20.6664420624719,841.983081116233,1348.89655481867,0.226704571566,0.0232273811866717,0.320862782950208,26.7307650123145,13.813988773488,13.782742665777553,14.946578356874973,0.8147063083880524,1.4200896150346043,513033748513334.1,8.309086213307177,21.391628592541768,1319703193477539.8
8,8,140.93600250953853,42.056781316207626,6614.160000000001,885974.0,TVJ571,221.725555364,0.8455858363570392,34610D,261.77628,19.721241,7.7639923,220.4503474691645,68553.05809746006,0.3105182573784007,0.8986438814907252,53.91863288944351,84491.45757540951,2781.136852034286,2023-08-06 01:08:00,0.0020772450511069,0.4334051238880015,0.6295976702841048,0.4493219407453626,1.0,0.0169487982006729,0.0005461643028519,0.0001184510806703,3.628235539e-05,1450000000000000.0,170.32896129775204,66.69734888424162,0.0647023594673322,0.0013204563156598,0.0010783726577888,0.9138560280993456,0.0294484325427904,0.006386720334023,0.0019562950006377,7.818201768969309e+16,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,17.662283707965585,2.6126536647712197,0.6796774215157366,42.24572878770476,16.948798200672954,36.28235539,1450000000000000.0,28.4265650937581,915.145511363952,1524.88835630159,0.207724505111,0.0286994095588925,0.508947416715876,42.2448071865091,17.7337243008952,17.696963371312524,14.97101247691287,1.0682589687094681,2.065575631706035,563053385922302.2,14.095750282054878,20.856256187980456,1289740215020347.0
9,9,140.88292902166194,41.94813537597656,7406.64,885974.0,TVJ571,205.7777776,0.8472633750536012,34610D,257.189,17.54157,8.464218,222.9753491843972,68499.13946457062,0.3104338166138821,0.8563174939717286,51.37904963830372,77060.33720530968,2547.744259744943,2023-08-06 01:09:00,0.0017543967568684,0.3876339764052093,0.7231189343923602,0.4281587469858643,1.0,0.0165863422745267,0.0005773350302559,0.0001252113290553,3.628235539e-05,1450000000000000.0,162.30641780740143,63.5558844025817,0.0616548595659644,0.0012582624401217,0.001027580992766,0.8521905030408061,0.0296629251774536,0.0064332390908128,0.0018641529385773,7.44996219755404e+16,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,16.267372962959815,2.4115665180749857,0.6935661227940072,38.53016860265484,16.586342274526764,36.28235539,1450000000000000.2,26.0759409734073,907.446553520082,1514.23529766196,0.175439675687,0.0284731561747034,0.464878886829174,38.5302778857547,16.3269180268182,16.298324299524722,14.971847415256176,1.0450220158041152,1.9619017706921307,530414548117174.2,13.278653859760981,18.679839698092284,1170822526875999.0
