,index,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,time,specific_humidity,air_pressure,rhi,fuel_flow_per_engine,thrust_setting,nox_ei,co_ei,hc_ei,nvpm_ei_m,nvpm_ei_n,co2,h2o,so2,sulphates,oc,nox,co,hc,nvpm_mass,nvpm_number,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,ei_nox_p3t3,ei_nvpm_number_p3t3_meem,ei_nvpm_mass_p3t3_meem
0,1,3c49c8,EWG1VT,51.27375198622881,6.7395782470703125,79.73888882,480.06,-0.8024823182432335,34610D,272.38846,-6.3829026,-9.068879,76.37176287483153,69977.97246230373,0.2242030364491102,1.2688879890088391,76.13327934053035,160661.35271027355,1609.5781164530124,2023-02-05 23:01:00,0.0033471929996075,0.9568925477700024,0.8972782874584732,0.6344439945044196,0.4843895731642634,0.0171653115085201,0.0007924544318563,0.0001761009848569,0.0001169168131772,2049412417274927.5,240.50502943673536,94.17686654423603,0.0913599352086364,0.0018644884736456,0.0015226655868106,1.3068514560453872,0.0603321546251588,0.0134071454722575,0.0089012603972308,1.560284880483436e+17,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.2308318114002425,80.33067635513677,17.16531150852018,116.91681317728474,2049412417274928.0,24.1517150675055,735.962498740971,1416.32325818181,0.334719299961,0.0197683258854331,0.913205424010463,80.3301925290185,46.1953849457423,46.04127590932561,0.33471929996075,0.7396480456145473,22.185569038905665,1517338026530633.0,51.776815620094084
1,2,3c49c8,EWG1VT,51.28692626953125,6.684586808488175,93.114444364,990.6,-0.8027542455544168,34610D,272.21658,-8.785708,-12.3392935,109.89420452762958,69901.8391829632,0.2627886437208525,1.0269890008426623,61.61934005055974,105919.77613330628,1545.354145803298,2023-02-05 23:02:00,0.0014640223732029,0.8997697737353945,0.3743236356463879,0.5134945004213312,0.4207150601202873,0.0154803903623467,0.0008420466142873,0.0001871214698416,8.534855012032807e-05,2045827035801715.5,194.6554952197182,76.2231236425424,0.0739432080606716,0.0015090450624626,0.0012323868010111,0.953891437852852,0.0518863566641957,0.0115303014809323,0.0052591213326867,1.2606251180369456e+17,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.3322574261208702,52.959888066653136,15.48039036234675,85.34855012032807,2045827035801715.2,18.9999227223082,700.650080784799,1335.0427736821,0.14640223732,0.0180938980287996,0.680175824196984,52.9602806463687,37.5914478524399,37.53649358601838,0.14640223732029,0.6153992435566507,18.066724032445194,1115367356421149.4,33.846808549182505
2,3,3c49c8,EWG1VT,51.346527099609375,6.692381162901183,124.495555448,1478.28,-0.8026860466894465,34610D,268.90103,-8.183941,-12.292739,128.76144792925294,69840.21984291263,0.270989419784858,1.4453341130292254,86.72004678175352,131194.06677989435,2591.798539792315,2023-02-05 23:03:00,0.0006576782357782,0.8478145509278591,0.2092972939089107,0.7226670565146127,0.6049708437286058,0.0205950541787942,0.0008592514198427,0.000190944759965,0.0001457189524975,1689433615792194.5,273.94862778355935,107.27269786902912,0.1040640561381042,0.0021237562477164,0.001734400935635,1.7860040618577868,0.0745143233260479,0.0165587385168995,0.0126367543775726,1.465077621961661e+17,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.391693910669459,65.59703338994717,20.595054178794264,145.7189524975157,1689433615792194.5,22.9228119333411,741.002371318658,1427.51352587459,0.0657678235778,0.0199373596389347,0.871458944858533,65.5966332061341,43.7098472736934,43.68111915231249,0.06576782357782,0.7593713743751614,23.668242031320283,1375205144530525.0,47.593961505146716
3,4,3c49c8,EWG1VT,51.41177937135858,6.7153167724609375,134.269999884,2293.62,-0.8025771859045123,34610D,265.7193,-10.115075,-17.433117,152.02758551331675,69753.49979613088,0.2869300181821009,1.483961896732832,89.03771380396992,120796.90181417746,2710.516419643233,2023-02-05 23:04:00,0.0004102518083551,0.7663932731338663,0.1551751363655123,0.741980948366416,0.66507102622728,0.0215630521206512,0.0009157724440865,0.0002035049875747,0.0001543331698411,1456352611833635.5,281.27013790674096,110.1396519755108,0.1068452565647639,0.0021805154400972,0.0017807542760793,1.919924863458635,0.081538284786141,0.0181196188413646,0.0137414726067795,1.2967030705010734e+17,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.46523038012409,60.39845090708873,21.563052120651275,154.3331698411922,1456352611833635.5,22.1887810810356,746.40422686728,1443.76713641989,0.0410251808355,0.0203110090543705,0.854221369441025,60.3981257814215,42.0570621161343,42.039815205923155,0.04102518083551001,0.7811206752812107,24.192418071706463,1325766663544205.2,46.55434607957657
4,5,3c49c8,EWG1VT,51.47136623576536,6.782073974609375,136.32777766,3139.44,-0.8025919749969554,34610D,262.69473,-9.7017145,-22.68333,172.15993090396677,69664.4620823269,0.3032974381270796,1.088019860071116,65.28119160426695,82670.95284125647,1746.815013642773,2023-02-05 23:05:00,0.0010080620452574,0.6887398399781723,0.4472575116560761,0.544009930035558,0.5262259700365306,0.0171730955521672,0.0009833433087403,0.0002185207352756,9.281163162751796e-05,1442884885534120.2,206.2232842778793,80.75283401447822,0.0783374299251203,0.0015987230596963,0.0013056238320853,1.121080141179416,0.0641938229506509,0.0142652939890335,0.0060588539073806,9.41932446754537e+16,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.5298630220848103,41.33547642062823,17.17309555216727,92.81163162751794,1442884885534120.2,20.508436279148533,740.0562766637997,1430.9275572999966,0.0448968166656,0.0200701998482447,0.784915281351612,53.99359804722664,39.03599800576897,38.99668692578829,0.10080620452573999,0.7556168663669047,22.631926605572264,1211513826040624.0,41.81931953506255
5,6,3c49c8,EWG1VT,51.538494562698624,6.8555450439453125,156.90555542,3680.46,-0.8025233181063105,34610D,260.8288,-7.7048664,-21.982765,180.86530391463708,69599.18089072265,0.3097630778309612,1.1483897926692943,68.90338756015765,84828.77006013505,1956.01770563358,2023-02-05 23:06:00,0.0008242821444889,0.642504077920173,0.4033593605740863,0.5741948963346472,0.5831241820829782,0.0182174291221566,0.0010310312917431,0.0002291180648318,0.0001018388080318,1275254817440207.5,217.66580130253803,85.23349041191503,0.0826840650721891,0.0016874298994324,0.0013780677512031,1.2552425791536637,0.0710415486816259,0.0157870108181391,0.0070170388584861,8.786937692404072e+16,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.5586434599953292,42.41438503006753,18.21742912215667,101.83880803189446,1275254817440207.5,18.828091477261463,733.7083264603193,1418.0879781801034,0.0487684524957,0.0198293906421191,0.715609193262199,47.58907031303176,36.01493389540363,35.98527187832975,0.08242821444889,0.7310008717832862,21.352965627627686,1111463500915231.1,37.681312308721566
6,7,3c49c8,EWG1VT,51.60804360599841,6.940689086914063,168.737777632,4282.4400000000005,-0.8024294629498911,34610D,258.67087,-9.410086,-19.239204,188.92953500521247,69530.27750316249,0.3145562071013433,1.1470488565338333,68.82293139203,82368.23847224408,1887.5434647815648,2023-02-05 23:07:00,0.0005264008832577,0.5940463497616392,0.2899343475747211,0.5735244282669166,0.6142096294725023,0.0185752292263311,0.001086681012449,0.0002414846694331,0.0001024556785333,1133398648134806.2,217.4116402674228,85.13396613194112,0.082587517670436,0.0016854595442946,0.0013764586278406,1.2784017266350214,0.0747885727648049,0.0166196828366233,0.0070513001344234,7.800381740040133e+16,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.5859806701031444,41.18411923612204,18.57522922633118,102.45567853333344,1133398648134806.2,17.1477466753744,727.360376256839,1405.24839906021,0.0526400883258,0.0195885814359934,0.646303105172786,41.1845425788369,32.9938697850383,32.97651092056296,0.05264008832577,0.7072274744883824,20.326035585322195,980503627255378.6,32.6181248163481
7,8,3c49c8,EWG1VT,51.67817687988281,7.0405289933488175,177.997777624,4861.56,-0.8023316662383801,34610D,254.80453,-11.12708,-17.002485,197.0520092598847,69461.45457177046,0.3180168641706692,1.2138522465324266,72.8311347919456,84491.80107810968,1886.729328697349,2023-02-05 23:08:00,0.0004614868414836,0.5502644086780273,0.3377427918106023,0.6069261232662133,0.6674333802113267,0.0195502843983748,0.0011179766885961,0.0002484392641324,0.0001133564882719,995513859914173.4,230.07355480775612,90.09211373763672,0.0873973617503347,0.0017836196275578,0.0014566226958389,1.423869398238908,0.081423510901396,0.0180941135336435,0.0082558816768768,7.250440411865922e+16,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.6157926381480618,42.24590053905485,19.550284398374828,113.35648827196164,995513859914173.4,17.3843437106692,734.974701621217,1431.5329006268,0.0461486841484,0.0202274866677598,0.669583232129699,42.246373739477,33.1026411302465,33.087371743567566,0.04614868414836,0.7358558749595046,21.124080281281863,1039306464787991.1,35.36465696500289
8,9,3c49c8,EWG1VT,51.75081931938559,7.14447021484375,184.171110952,5440.68,-0.8021903095667069,34610D,250.97343,-12.936914,-20.305511,207.90491808218903,69388.62343697851,0.3238534698492941,1.1949546331736778,71.69727799042067,80281.35007073329,1813.6971202439283,2023-02-05 23:09:00,0.0005343826958131,0.5091327576770084,0.5231046724465891,0.5974773165868389,0.6770488085414914,0.0194532996523996,0.0011511607368261,0.0002558134970724,0.0001110607375694,911984890878633.2,226.4917011717389,88.68953287415037,0.0860367335885048,0.0017558517058878,0.0014339455598084,1.3947486330090544,0.0825350913598849,0.0183411314133077,0.0079627525753411,6.538683424438882e+16,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.6546483680288514,40.14067503536664,19.45329965239969,111.0607375694932,911984890878633.2,16.8162393977702,733.427693257569,1434.14688050904,0.0534382695813,0.0203557396271473,0.651395746036209,40.1402347103781,32.000593344566,31.983501914591336,0.05343826958131,0.7299302949906261,20.731490497062826,1020074023359762.9,34.55469895434567
9,10,3c49c8,EWG1VT,51.82562876555879,7.252044677734375,188.801110948,5996.9400000000005,-0.8020071539642564,34610D,247.87326,-12.409214,-25.369074,216.9524843259315,69316.92615898809,0.3286998629170449,1.1597356529363267,69.5841391761796,75783.27369990296,1618.7375223760396,2023-02-05 23:10:00,0.0005546997825369,0.4720044144697906,0.6840002824021919,0.5798678264681634,0.68205160380527,0.0192056119728248,0.0011936170835244,0.0002652482407832,0.000106455537464,837984264806253.0,219.81629565755136,86.07558016093418,0.0835009670114155,0.0017041013675799,0.0013916827835235,1.336405976480743,0.0830568172630305,0.0184570705028956,0.0074076169349748,5.8310413709726856e+16,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.6873960079171875,37.89163684995148,19.20561197282481,106.45553746406998,837984264806253.0,16.1319978894059,731.704380275788,1435.13297473393,0.0554699782537,0.0204350223827525,0.627074788302821,37.8920817380729,30.6862785152652,30.669266279929154,0.05546997825369,0.7233926438639365,20.358008856145663,976289863517615.5,32.904441089801935
