,index,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,time,specific_humidity,air_pressure,rhi,fuel_flow_per_engine,thrust_setting,nox_ei,co_ei,hc_ei,nvpm_ei_m,nvpm_ei_n,co2,h2o,so2,sulphates,oc,nox,co,hc,nvpm_mass,nvpm_number,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,W3_no_water_injection,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,ei_nox_p3t3,ei_nvpm_number_p3t3_meem,ei_nvpm_mass_p3t3_meem,ei_mass_meem,ei_number_meem
0,2,3c49c8,EWG1VT,51.28692626953125,6.684586808488175,93.114444364,990.6,0.2864982229355376,34610D,276.97305,17.366245,11.236573,85.57866115502084,67083.68052472563,0.2408657089962319,1.0137044562452748,60.82226737471649,123055.29382847264,1574.683671412279,2023-11-06 09:02:00,0.0051013805922256,0.8997697737353945,0.8853024657361898,0.5068522281226374,0.6220187977391448,0.015183098904871,0.0003123310157208,6.459629693252492e-05,1.9000754900693552e-05,1255566410189272.5,192.13754263672936,75.23714474252431,0.0729867208496597,0.0014895249152991,0.0012164453474943,0.9234705011688324,0.0189966805475916,0.0039288932434466,0.0011556689948914,7.63663959072449e+16,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,22.22187848444514,3.2199195130434264,0.2565097995616038,61.52764691423632,15.183098904871054,19.00075490069355,1255566410189272.5,30.7506584661776,813.264902259252,1315.9415076577,0.510138059223,0.0230970114937284,0.476418360596102,61.5275949902325,20.6268400015935,20.522148710451237,16.200110675996505,0.7089454768703538,1.1973965413328451,931244241912944.6,13.631825917079594,26.531879187084446,1704154821904317.2
1,3,3c49c8,EWG1VT,51.346527099609375,6.692381162901183,124.495555448,1478.28,0.2871647165655172,34610D,274.41455,19.37884,8.214633,104.14105465062649,67022.8582573509,0.2523349192232773,1.2490956582994608,74.94573949796765,130536.07188878577,2635.861263157481,2023-11-06 09:03:00,0.00398070330029,0.8478145509278591,0.8004319143533931,0.6245478291497304,0.7903691399006032,0.0170025513145244,0.0003218562839093,6.90511191931748e-05,2.70115619900926e-05,1589280319141566.0,236.7535910740798,92.707879758986,0.0899348873975611,0.0018354058652563,0.0014989147899593,1.2742687816191802,0.0241217572096559,0.0051750871910947,0.0020244014883426,1.191097887876307e+17,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,17.770448730816003,2.594828425712006,0.3135996699401837,65.26803594439288,17.002551314524492,27.011561990092595,1589280319141566.0,33.3707591026452,833.895050918256,1433.92275352518,0.398070330029,0.0249830360121865,0.557615580274347,65.2677546196973,22.3197685022088,22.231272402785383,12.070044739316057,0.784447945925784,2.26156311798724,1129846173420824.0,17.26714458397274,25.79698407899854,1657011584400831.0
2,4,3c49c8,EWG1VT,51.41177937135858,6.7153167724609375,134.269999884,2293.62,0.2878249102310449,34610D,269.29483,20.242508,8.068884,114.36335046419354,66947.91251785294,0.2525120382271237,1.3742174192028829,82.45304515217296,130866.9933219167,2734.4001731256217,2023-11-06 09:04:00,0.0028597431544792,0.7663932731338663,0.7956332180854447,0.6871087096014413,0.8995252370296342,0.0188163766228245,0.0003352718220407,7.271311843648304e-05,3.6081555950543206e-05,1453016722388751.5,260.4691696357144,101.99441685323796,0.0989436541826075,0.0020192582486246,0.0016490609030434,1.551467551282046,0.0276441826809785,0.0059954180375986,0.0029750341619507,1.198056534179821e+17,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,17.98104482681098,2.64573555416779,0.3476402471989201,65.43349666095835,18.816376622824567,36.081555950543205,1453016722388751.5,33.8851370952352,844.930972731829,1460.14851807499,0.285974315448,0.025839856980067,0.578667865008592,65.4334859744247,22.3943911707785,22.330531585939728,12.134037779524434,0.8256254852891802,2.3900011535330843,1176232939071447.5,18.320811617411362,23.528717768600398,1524351736179974.5
3,5,3c49c8,EWG1VT,51.47136623576536,6.782073974609375,136.32777766,3139.44,0.2887972902622822,34610D,263.77536,20.91261,8.130388,130.01952989885885,66865.45947270076,0.2786145296010306,0.963878413743296,57.83270482459776,89083.42003727413,1748.288239221204,2023-11-06 09:05:00,0.0018745694162427,0.6887398399781723,0.7556636403654114,0.481939206871648,0.6539657438003096,0.0156128286344842,0.0003491740569011,7.27716951155845e-05,2.277947584463285e-05,1433923002190932.5,182.6935145409043,71.53905586802743,0.0693992457895173,0.0014163111385615,0.0011566540964919,0.9029321098951528,0.0201936801651724,0.0042085839632052,0.0013173987025817,8.292764572690923e+16,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,17.62471705794801,2.6106688031254413,0.3993454056152518,44.54171001863707,15.612828634484208,22.779475844632856,1433923002190932.2,26.2097886597916,799.943374551485,1304.80337561696,0.187456941624,0.0224043433944406,0.400509706216133,44.5419153076887,17.8764313314139,17.842983420399495,14.81880385046419,0.6613536948836007,1.3647475814387693,743035804513284.2,10.505855378898211,21.690699803454425,1414006508087609.8
4,6,3c49c8,EWG1VT,51.538494562698624,6.8555450439453125,156.90555542,3680.46,0.2896811189378583,34610D,260.1897,20.98039,7.763573,140.1985986335011,66807.62676787617,0.2851872644608077,1.0179773413192978,61.07864047915787,89310.80919841854,1943.450124539244,2023-11-06 09:06:00,0.0013414692651373,0.642504077920173,0.6955801252208343,0.5089886706596489,0.7068679166763192,0.0161203783621488,0.0003582690268674,7.556117152412036e-05,2.592706408929011e-05,1582489969868706.0,192.9474252736597,75.55427827271829,0.0732943685749894,0.0014958034403059,0.0012215728095831,0.984610794369684,0.0218825850868556,0.0046151736297057,0.0015835898261898,9.665633593148406e+16,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,17.213626665165073,2.558952448661893,0.4335666198393533,44.65540459920927,16.120378362148827,25.92706408929011,1582489969868706.0,26.6371375773575,806.647862947244,1329.6459511254,0.134146926514,0.0229757680814729,0.415167454168649,44.654588416788,18.06979652199,18.045588919083748,14.314634247466302,0.6849256746706758,1.4989136319608911,786524464177153.5,11.323538194307119,20.629519692860093,1349625847890884.0
5,7,3c49c8,EWG1VT,51.60804360599841,6.940689086914063,168.737777632,4282.4400000000005,0.2905739559012449,34610D,255.97209,20.885921,7.09436,149.45753246057748,66746.548127397,0.2911717391995613,1.019841672463362,61.19050034780172,85692.66017115886,1866.8578012323767,2023-11-06 09:07:00,0.0008604302388078,0.5940463497616392,0.6089358674861414,0.5099208362316809,0.7240216482010172,0.0162306089422413,0.0003677258979938,7.784072729832795e-05,2.833467298396253e-05,1569402481988193.5,193.3007905987056,75.69264893023073,0.073428600417362,0.0014985428656604,0.001223810006956,0.9931590821252504,0.0225013316890858,0.0047631130508214,0.00173381281708,9.603252311993942e+16,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,16.45700407463102,2.454390507248656,0.4659922613802778,42.84633008557943,16.23060894224131,28.33467298396253,1569402481988193.5,26.09432521603,806.530144383716,1337.56054090484,0.0860430238808,0.0231246785959023,0.40942736535562,42.846739431724,17.7052132274033,17.689992223170208,13.960500831917095,0.684509456235669,1.57186039508543,777769276314097.9,11.19409569946817,19.390875373389353,1275172559964596.5
6,8,3c49c8,EWG1VT,51.67817687988281,7.0405289933488175,177.997777624,4861.56,0.2915159645478229,34610D,251.87613,19.727411,6.293601,159.48784181534077,66685.35762704922,0.2976524715017983,1.0112798609946054,60.676791659676326,81401.56011860076,1863.2025482493027,2023-11-06 09:08:00,0.0005217762938243,0.5502644086780273,0.5056023343300591,0.5056399304973027,0.733978929131599,0.016232267932635,0.0003769810858096,7.996682274145008e-05,3.0319371595488e-05,1539585243690568.2,191.6779848529175,75.05719128301962,0.0728121499916115,0.0014859622447267,0.0012135358331935,0.9849219395125436,0.0228740028033121,0.0048521302431692,0.0018396821935517,9.34170930737246e+16,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,15.659695395911374,2.34078345156061,0.5012925933057382,40.70078005930038,16.23226793263508,30.319371595488,1539585243690568.2,25.4358670785433,805.230425505716,1342.09993975136,0.0521776293824,0.023154650231949,0.400347148034781,40.700763852153,17.2901401672817,17.28112328681998,13.597497645390218,0.6799140301521586,1.6407621545836346,757582927813340.1,10.866725962829813,18.35950917675258,1212115092011894.2
7,9,3c49c8,EWG1VT,51.75081931938559,7.14447021484375,184.171110952,5440.68,0.2924193891056235,34610D,247.59497,18.185814,5.933879,167.86192728759033,66624.68083538953,0.3038042809684561,0.9630906757311762,57.78544054387057,75177.57637902649,1784.1649457716908,2023-11-06 09:09:00,0.0003930793876847,0.5091327576770084,0.5376240677563962,0.4815453378655881,0.7123581704586431,0.0158753208194048,0.0003856253717683,8.142712958439893e-05,3.021660879901652e-05,1541129106709732.5,182.54420667808716,71.4805899527679,0.0693425286526446,0.0014151536459723,0.0011557088108774,0.91736240732459,0.0222835319925297,0.0047053025552573,0.0017460800511929,8.905482436620362e+16,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,14.948667361402332,2.236424091197226,0.5321554384838005,37.588788189513245,15.87532081940486,30.21660879901652,1541129106709732.5,24.1834807876581,798.393911298606,1329.42870217846,0.0393079387685,0.0228245386908288,0.377239387024916,37.5886508884011,16.5277989682436,16.521304783875404,13.575914886301751,0.6559529288599201,1.5921049448647044,707276034452163.2,9.956187167700326,17.282573250411133,1146870599863350.0
8,10,3c49c8,EWG1VT,51.82562876555879,7.252044677734375,188.801110948,5996.9400000000005,0.2932854474773658,34610D,243.12906,17.590334,6.126255,173.5879908753277,66566.89539484566,0.3082795569917472,0.9070434378744128,54.42260627246476,69475.64597176606,1582.8585433685132,2023-11-06 09:10:00,0.0003138519100702,0.4720044144697906,0.6281510855282325,0.4535217189372063,0.6787275913940229,0.0154267304612344,0.000392303380186,8.222655523551633e-05,2.949257638303516e-05,1552006651016536.8,171.92101321471617,67.32076395903891,0.0653071275269577,0.0013327985209583,0.0010884521254492,0.8395628779632008,0.021350172399225,0.0044749834407235,0.0016050628724545,8.44642469005196e+16,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,14.953089104835732,2.2382703101483563,0.5553393735512976,34.73782298588303,15.426730461234444,29.492576383035164,1552006651016536.8,22.9024162094001,789.830993026822,1301.3824937885,0.031385191007,0.02232269895268,0.350771218025472,34.7377432371943,15.7136562549646,15.70872604129177,14.279964638282793,0.6266676870410611,1.4043065825906205,641741936088718.4,8.801953543195868,16.14927044253337,1079206949832684.5
9,11,3c49c8,EWG1VT,51.90271927138506,7.363115583147322,193.945555388,6492.240000000001,0.2941107757435668,34610D,239.1512,17.379425,6.3416166,178.6425577594611,66512.4727885732,0.3122307075712673,0.8558840683897293,51.35304410338376,64518.62236938827,1407.752708211357,2023-11-06 09:11:00,0.0002505476711281,0.4408194845354482,0.7134167235560481,0.4279420341948646,0.6471393601061539,0.015005137632539,0.0003983444277368,8.288615853430593e-05,2.8670101775885583e-05,1564363147470310.8,162.22426632258927,63.52371555588572,0.0616236529240605,0.0012576255698787,0.0010270608820676,0.7705594946211227,0.0204561989659081,0.0042564565547722,0.0014722970009455,8.03348097057511e+16,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,14.350845974458233,2.149031325131116,0.5762432839560956,32.259311184694134,15.005137632539078,28.670101775885584,1564363147470310.8,21.7147542189165,781.113266403467,1284.23209081945,0.0250547671128,0.0219141666995065,0.328601869662219,32.2592234308263,14.9949516296058,14.99119562045567,14.36034449009352,0.5979810875129135,1.3422925285420046,589150293863497.1,7.846735379808183,15.189836739855995,1021694323148677.0
