,Unnamed: 0,index,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,air_pressure,rhi_emissions,fuel_flow_per_engine,thrust_setting,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,nvpm_ei_n,ei_nox,nvpm_ei_m,ei_co2,wingspan,time,issr_specific_humidity,issr_rhi,issr_issr,cocip_level,cocip_waypoint,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_ef,cocip_persistent_1,cocip_cocip,cocip_contrail_age,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_nox_impact,accf_issr_co2_impact,accf_issr_contrails_atr20,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_nox_impact,accf_sac_co2_impact,accf_sac_contrails_atr20
0,0,2,adbb36,NKS2975,42.33370971679688,-71.06150540438568,102.8888888,701.0400000000001,0.7193043641055188,34610D,289.4875,0.70442194,-0.9608124,104.05614510544012,67500.93306713157,0.24415023625463653,1.169366222297728,66.8189396516594,118.0650620469146,1682.6387542455514,0.0082653349943353,93181.80291069952,0.5700630405429002,0.5568244970971618,0.78476657299838,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.3050774150453155,59.03290927994183,15.010259064097344,22.486392052886472,1420089372493918.5,24.7272269224963,782.448091306301,1456.21365205947,0.826533499434,0.019967315532785,0.584683111148864,59.0325310234573,29.282008900438,29.041967311712163,0.82653349943353,0.7387906353540841,1412626426567705.5,0.016280943611654927,2.201190431237404e-05,3.16,35.8,2023-08-06 14:02:00,0.008265334994335313,0.5700632894856452,0.0,931.8180291069953,0,0.008265334994335313,0.70442194,-0.9608124,0.5700632894856452,0.00014283354,0.0,1.121356596337609,951.1438368610267,7725.93080288237,-0.8195006120311534,-0.5730783078084224,5.748153554206839,245.2734835786419,0.6663316769170741,inf,0.0,238.08037402870602,0.0,0.0,0.0,0 days,0.008087629,1.3855285e-07,7328.33,0.6463541,-289.82156,0.0,0.0,1.0,-9.830360203114372e-13,9.609687e-12,2.2163297e-16,0.0,0.0,0.0,7.479999999999999e-16,1.131160956810315e-13,8.62665097781361e-12,1230.9252819755852,9.854250427143864e-12,1.658404531392416e-13,0.0,0.008087629,1.3855285e-07,7328.33,0.6463541,-289.82156,0.0,0.0,0.0,-9.830360203114372e-13,9.609687e-12,2.2163297e-16,0.0,0.0,0.0,7.479999999999999e-16,1.131160956810315e-13,8.62665097781361e-12,1230.9252819755852,9.854250427143864e-12,1.658404531392416e-13,0.0
1,1,3,adbb36,NKS2975,42.276880296610166,-71.11520456713299,152.789999868,1203.96,0.7211901231166822,34610D,285.58487,1.3596722,-2.023584,129.77395187077562,67434.11412747992,0.27877942200090816,1.658613688021072,83.45114645330861,153.3203730646684,3737.395546282613,0.0066169092751851,87673.12586169648,0.5735558387166814,0.6954262204442384,1.0,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.3830691012531422,76.66018024610672,19.290669109915527,33.85868577162039,1486412145474518.0,32.0329428358662,842.018880655024,1598.7556318226,0.661690927519,0.0230278939033966,0.829306844010536,76.6601865323342,36.0131433421367,35.77641405613579,0.66169092751851,0.9852772403925782,1502635173254105.2,0.022307024452058958,3.623265495952949e-05,3.16,35.8,2023-08-06 14:03:00,0.0066169092751851245,0.5735565314803757,0.0,876.7312586169647,1,0.0066169092751851245,1.3596722,-2.023584,0.5735565314803757,0.00028940468,0.0,1.06948265261834,953.6375970909156,8772.56839360524,-0.9285345241436924,0.3712460605491279,5.66001460541232,245.08750617332242,0.6461345095215022,inf,0.0,237.73973695776704,0.0,0.0,0.0,0 days,0.0064742174,1.434954e-07,12387.396,0.6264335,-290.3791,0.0,0.0,0.9999999999999999,-9.55216317463561e-13,8.683946e-12,2.2199861e-16,0.0,0.0,0.0,7.48e-16,1.0144348105343138e-13,7.728729418722587e-12,1231.4997418267658,1.7157193206874195e-11,2.352259201260989e-13,0.0,0.0064742174,1.434954e-07,12387.396,0.6264335,-290.3791,0.0,0.0,0.0,-9.55216317463561e-13,8.683946e-12,2.2199861e-16,0.0,0.0,0.0,7.48e-16,1.0144348105343138e-13,7.728729418722587e-12,1231.4997418267658,1.7157193206874195e-11,2.352259201260989e-13,0.0
2,2,4,adbb36,NKS2975,42.20421225337659,-71.07598593068673,150.217777648,2316.48,0.7239102554452596,34610D,281.08328,7.5541263,-5.408728,150.7931359075742,67350.6629810266,0.3059114362978627,1.240445266309446,76.42890675276522,108.2862178157406,2534.31526187406,0.0017709968031985,76420.53006165694,0.1887676119932994,0.6369075562730435,1.0,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.448664031937497,54.142577854719214,20.243904247767265,34.54694648644357,1476072019459615.0,25.4703285037166,808.817417464059,1512.55335795936,0.17709968032,0.0209522249434774,0.620222633154723,54.1431089078703,29.6017551753043,29.54942324120776,0.17709968031985,0.8453405952421793,1422863131745863.5,0.02017251114664209,2.3344876712364563e-05,3.16,35.8,2023-08-06 14:04:00,0.0017709968031985662,0.18876764958924752,0.0,764.2053006165694,2,0.0017709968031985662,7.5541263,-5.408728,0.18876764958924752,0.00047360326,0.0,0.947147204399529,957.234659582453,9611.468894653619,-0.8690383133027305,0.49474479280932826,5.105115663915928,243.8538989697879,0.20372738642384558,inf,0.0,234.00428946695334,0.0,0.0,0.0,0 days,0.001734674,7.118505e-07,23560.082,0.20224941,-290.7146,0.0,0.0,1.0000000000000002,-8.935520354971498e-13,7.348398e-12,2.6580932e-16,0.0,0.0,0.0,7.48e-16,8.49268041877274e-14,6.4548457602622096e-12,1232.2300112016642,9.691136034365857e-12,1.759209400242187e-13,0.0,0.001734674,7.118505e-07,23560.082,0.20224941,-290.7146,0.0,0.0,0.0,-8.935520354971498e-13,7.348398e-12,2.6580932e-16,0.0,0.0,0.0,7.48e-16,8.49268041877274e-14,6.4548457602622096e-12,1232.2300112016642,9.691136034365857e-12,1.759209400242187e-13,0.0
3,3,5,adbb36,NKS2975,42.12930970272775,-71.01849933003268,167.1944443,3063.24,0.726781133273103,34610D,278.87814,11.061631,-6.7823296,166.62688492155064,67274.23407427385,0.31699571236448787,0.916095584867222,59.04828126960541,74.9946947261608,1380.1544622492945,0.0008920795755729,69546.28509278147,0.102843525590786,0.492069010580045,0.831612768425592,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.4977313932528202,37.497386703513904,16.233949035648024,24.950732726958623,1536406880634747.5,20.0178229509241,775.262210558708,1426.52284742742,0.0892079575573,0.0190492294974443,0.458047792433611,37.4973473630804,24.0454760910442,24.02404473141665,0.08920795755729,0.7112387923592035,985744676750566.6,0.017189961157741896,1.510176132501206e-05,3.16,35.8,2023-08-06 14:05:00,0.0008920795755729997,0.10284365744734086,0.0,695.4628509278148,3,0.0008920795755729997,11.061631,-6.7823296,0.10284365744734086,0.00069056073,0.0,0.8687641917769043,961.0310561022937,11080.285114414322,-0.8202005681753433,0.5720760683378078,4.717719009121304,242.92007345849024,0.1086732501224683,inf,0.0,232.75587758085868,0.0,0.0,0.0,0 days,0.00087272975,6.4593706e-07,31135.197,0.10540153,-291.15234,0.0,0.0,0.9999999999999999,-8.517758398486776e-13,6.628396e-12,2.607285e-16,0.0,0.0,0.0,7.48e-16,7.610479328300732e-14,5.77662036940599e-12,1232.98013697839,5.4580908862795006e-12,1.2992140872233733e-13,0.0,0.00087272975,6.4593706e-07,31135.197,0.10540153,-291.15234,0.0,0.0,0.0,-8.517758398486776e-13,6.628396e-12,2.607285e-16,0.0,0.0,0.0,7.48e-16,7.610479328300732e-14,5.77662036940599e-12,1232.98013697839,5.4580908862795006e-12,1.2992140872233733e-13,0.0
4,4,6,adbb36,NKS2975,42.04761052535752,-70.94178665515989,199.089999828,3467.1000000000004,0.7298299106024198,34610D,277.1968,11.905259,-6.967727,177.22576732244346,67215.18579300423,0.3332648122370608,1.234789236622248,68.5243728048426,99.9164211080808,2715.760086336312,0.0008152512964331,66042.770723412,0.1020038195763403,0.571036440040355,1.0,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.5309944536006227,49.9590402191107,19.58085673564029,34.35758321890358,1478916929835562.0,24.8727484836096,825.05117706224,1546.97162045634,0.0815251296433,0.0216209914196066,0.617394618311124,49.9582105540404,28.5553333947143,28.53207258554901,0.08152512964331,0.9130223153058804,1175552304408675.5,0.021650857637690042,2.3328962089355616e-05,3.16,35.8,2023-08-06 14:06:00,0.0008152512964331697,0.10200396110939187,0.0,660.42770723412,4,0.0008152512964331697,11.905259,-6.967727,0.10200396110939187,0.0009192699,0.0,0.8300027313059033,965.0626928336739,12201.84212776877,-0.8219449188493326,0.5695669849787328,4.589070336323783,242.59489256886724,0.1060579215027,inf,0.0,232.45151046500885,0.0,0.0,0.0,0 days,0.00079667417,5.3749176e-07,35286.707,0.10335039,-291.19907,0.0,0.0,1.0,-8.289618856814539e-13,6.2031816e-12,2.5236915e-16,0.0,0.0,0.0,7.480000000000001e-16,7.086522752296611e-14,5.374219874145912e-12,1233.7983288603998,8.620542962239468e-12,1.7511879736915653e-13,0.0,0.00079667417,5.3749176e-07,35286.707,0.10335039,-291.19907,0.0,0.0,0.0,-8.289618856814539e-13,6.2031816e-12,2.5236915e-16,0.0,0.0,0.0,7.480000000000001e-16,7.086522752296611e-14,5.374219874145912e-12,1233.7983288603998,8.620542962239468e-12,1.7511879736915653e-13,0.0
5,5,7,adbb36,NKS2975,41.9575784974179,-70.85792009220563,205.7777776,4259.58,0.7329640301412936,34610D,272.30234,13.691171,-5.540309,188.1465865170924,67146.6614201994,0.34354314934428565,1.039530866915338,65.60476342253666,81.6777522113446,1306.7633153070835,0.0009490075488885,59583.07384093393,0.1595415476143042,0.5467063618544722,1.0,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.5687584391632008,40.83916907254845,19.08514952876629,35.659256148484424,1459361168723274.8,21.6731879015647,803.898130721224,1495.12658123924,0.0949007548889,0.0204957627256001,0.519765433457669,40.8388761056723,25.3596531349604,25.33560945033634,0.09490075488885,0.8250606714118084,1116360955974995.4,0.01920704430893224,1.8162484795310812e-05,3.16,35.8,2023-08-06 14:07:00,0.0009490075488885752,0.15954162310825237,0.0,595.8307384093393,5,0.0009490075488885752,13.691171,-5.540309,0.15954162310825237,0.0010015881,0.0,0.7622790423969483,969.2071803015606,12801.950611483831,-0.8650897885852082,0.5016170428579952,4.205518925289249,241.57504819718955,0.1582213923492066,inf,0.0,231.74282978174503,0.0,0.0,0.0,0 days,0.00092822156,3.062244e-07,43409.984,0.1559388,-291.32788,0.0,0.0,0.9999999999999999,-7.841020801180798e-13,5.2668187e-12,2.345423e-16,0.0,0.0,0.0,7.48e-16,5.925786021344856e-14,4.482716762526591e-12,1234.695984231406,5.370200209509557e-12,1.4742709917062676e-13,0.0,0.00092822156,3.062244e-07,43409.984,0.1559388,-291.32788,0.0,0.0,0.0,-7.841020801180798e-13,5.2668187e-12,2.345423e-16,0.0,0.0,0.0,7.48e-16,5.925786021344856e-14,4.482716762526591e-12,1234.695984231406,5.370200209509557e-12,1.4742709917062676e-13,0.0
6,6,8,adbb36,NKS2975,41.858001708984375,-70.78041770241475,227.384444248,4640.58,0.7360798746481798,34610D,269.68973,14.680254,-4.9546614,207.30448924053115,67081.05665677685,0.3588287570274562,1.336947396530052,63.78152274262105,99.5804976718972,2930.8980029587124,0.0007752159255918,56665.10718470681,0.1542271334083541,0.531512689521842,1.0,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.6297000485774062,49.79083266198612,18.96341212756736,35.1364894000517,1467214986235704.5,25.916236340173,850.111683357396,1607.75694926255,0.0775215925592,0.0229608169098459,0.668473698265026,49.7902488359486,29.1136722569472,29.091120357153027,0.07752159255918,1.0183217002026053,1005802261938672.6,0.02418954196794369,2.517973938508539e-05,3.16,35.8,2023-08-06 14:08:00,0.0007752159255918567,0.1542269961188515,0.0,566.6510718470681,6,0.0007752159255918567,14.680254,-4.9546614,0.1542269961188515,0.00087430805,0.0,0.7319707974788824,973.3275042198358,12932.714296879942,-0.96828920219839,-0.24983198535416845,4.09429845113486,241.26390337419951,0.14911893983339608,inf,0.0,231.42310024115585,0.0,0.0,0.0,0 days,0.00075879606,4.3068337e-07,47367.258,0.14658731,-292.28296,0.0,0.0,1.0,-7.623391522070071e-13,4.837486e-12,2.4413602e-16,0.0,0.0,0.0,7.48e-16,5.3969045886975566e-14,4.075146913232499e-12,1235.6838550867838,7.907450562674926e-12,1.896069493338092e-13,0.0,0.00075879606,4.3068337e-07,47367.258,0.14658731,-292.28296,0.0,0.0,0.0,-7.623391522070071e-13,4.837486e-12,2.4413602e-16,0.0,0.0,0.0,7.48e-16,5.3969045886975566e-14,4.075146913232499e-12,1235.6838550867838,7.907450562674926e-12,1.896069493338092e-13,0.0
7,7,9,adbb36,NKS2975,41.74562615863347,-70.81927632176598,209.378888708,5494.02,0.7383117308517537,34610D,264.5974,16.641722,-8.458321,218.52865891096087,67017.27513403424,0.371244366723962,1.045804668734086,60.52985874633471,76.4510557079258,2203.391552080627,0.0002650054803007,50547.32103053465,0.0729249733891171,0.5044154895527893,1.0,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.6701512545021666,38.22582060653952,18.641531428126143,36.28235539,1450000000000000.0,21.4367962655094,815.79407399243,1522.56486117909,0.0265005480301,0.0210556185971191,0.522902334367043,38.2255278539629,24.8343373031361,24.82775781125254,0.02650054803007,0.8741216846739777,1028803974865947.2,0.02027026842903768,1.821966620007574e-05,3.16,35.8,2023-08-06 14:09:00,0.0002650054803007444,0.07292506490775616,0.0,505.4732103053465,7,0.0002650054803007444,16.641722,-8.458321,0.07292506490775616,0.0009459791,0.0,0.6655106651682404,976.2789209871997,12430.578898437592,-0.7042767810084202,-0.7099255001283007,3.722742804525552,240.16717409763055,0.06709196837504243,inf,0.0,230.10496411465192,0.0,0.0,0.0,0 days,0.0002591805,5.982004e-07,56133.0,0.06551228,-293.49536,0.0,0.0,1.0,-7.138532951705531e-13,4.0252194e-12,2.5704877e-16,0.0,0.0,0.0,7.479999999999998e-16,4.4052809392634334e-14,3.311366201190151e-12,1236.7982865971826,4.2118077387532484e-12,1.4831685476360303e-13,0.0,0.0002591805,5.982004e-07,56133.0,0.06551228,-293.49536,0.0,0.0,0.0,-7.138532951705531e-13,4.0252194e-12,2.5704877e-16,0.0,0.0,0.0,7.479999999999998e-16,4.4052809392634334e-14,3.311366201190151e-12,1236.7982865971826,4.2118077387532484e-12,1.4831685476360303e-13,0.0
8,8,10,adbb36,NKS2975,41.6669528767214,-70.9253710369731,213.49444426,6134.1,0.7398398747974724,34610D,260.77216,21.768963,-8.964794,220.90357094985364,66956.7452752879,0.37404338422339717,0.925606994291508,58.42934752087638,67.4415134636974,2050.048917854207,0.0002587637964528,46319.52510881937,0.0917553836870968,0.4869112293406364,1.0,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.6823847515368765,33.72053000414684,18.26509538869133,36.28235538999999,1450000000000000.0,19.3493677586474,801.514132387422,1490.79863190039,0.0258763796453,0.0204049528374913,0.462803497145754,33.7207567318487,22.6809393205466,22.675071832874284,0.02587637964528,0.8153284369588739,961377647767548.8,0.018662926893851572,1.5574755289097165e-05,3.16,35.8,2023-08-06 14:10:00,0.00025876379645282797,0.09175540934425395,0.0,463.1952510881937,8,0.00025876379645282797,21.768963,-8.964794,0.09175540934425395,0.0011220699,0.0,0.6187929009043862,978.2998112052832,12894.637238011368,-0.7060505909466769,-0.7081613961688737,3.4266070601516647,239.22131683329738,0.0813090455867372,inf,0.0,229.30387905241503,0.0,0.0,0.0,0 days,0.00025321473,5.5354406e-07,62788.902,0.091269396,-291.65945,0.0,0.0,1.0000000000000002,-6.769804268296743e-13,3.5070057e-12,2.536065e-16,0.0,0.0,0.0,7.48e-16,3.779193450228283e-14,2.8300252295966765e-12,1237.5713703827544,2.9332423060136966e-12,1.312703244160171e-13,0.0,0.00025321473,5.5354406e-07,62788.902,0.091269396,-291.65945,0.0,0.0,0.0,-6.769804268296743e-13,3.5070057e-12,2.536065e-16,0.0,0.0,0.0,7.48e-16,3.779193450228283e-14,2.8300252295966765e-12,1237.5713703827544,2.9332423060136966e-12,1.312703244160171e-13,0.0
9,9,11,adbb36,NKS2975,41.58511404263771,-71.0350426962209,218.124444256,6728.46,0.7413524478219633,34610D,257.19986,24.49831,-9.405476,218.4828440702265,66898.31592776702,0.3748357640050658,0.935020514719116,56.74517131962647,69.0281539677444,2343.284881177009,0.0002352823712836,42654.61853884109,0.1066047262259064,0.4728764276635539,1.0,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.6795777739559488,34.51442255290621,17.92433336182744,36.28235539,1450000000000000.0,19.1232599098823,807.535046056324,1515.44603638557,0.0235282371284,0.0210502034652272,0.467510257359558,34.5140769838722,22.2092987429712,22.204074515667,0.0235282371283599,0.8400349794037265,985448689269570.2,0.01897784054422177,1.613349679483462e-05,3.16,35.8,2023-08-06 14:11:00,0.0002352823712836838,0.10660476915898094,0.0,426.54618538841095,9,0.0002352823712836838,24.49831,-9.405476,0.10660476915898094,0.0013062573,0.0,0.5777471121444843,980.3001126447462,13073.016020263154,-0.7085019961968824,-0.7057088077847923,3.1594216077153128,238.3036612520584,0.09120619704807668,inf,0.0,228.51074917105873,0.0,0.0,0.0,0 days,0.00023036369,5.262964e-07,68990.91,0.09895009,-290.07166,0.0,0.0,0.9999999999999999,-6.425994793347224e-13,3.0886572e-12,2.5150618e-16,0.0,0.0,0.0,7.48e-16,3.2798256738332094e-14,2.446057735120201e-12,1238.3755604981593,2.6042692729695787e-12,1.3260535741387682e-13,0.0,0.00023036369,5.262964e-07,68990.91,0.09895009,-290.07166,0.0,0.0,0.0,-6.425994793347224e-13,3.0886572e-12,2.5150618e-16,0.0,0.0,0.0,7.48e-16,3.2798256738332094e-14,2.446057735120201e-12,1238.3755604981593,2.6042692729695787e-12,1.3260535741387682e-13,0.0
