,Unnamed: 0,index,longitude,latitude,altitude,icao24,callsign,groundspeed,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,air_pressure,rhi_emissions,fuel_flow_per_engine,thrust_setting,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,nvpm_ei_n,ei_nox,nvpm_ei_m,ei_co2,wingspan,time,issr_specific_humidity,issr_rhi,issr_issr,cocip_level,cocip_waypoint,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_ef,cocip_persistent_1,cocip_cocip,cocip_contrail_age,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_nox_impact,accf_issr_co2_impact_conservative,accf_issr_co2_impact_optimistic,accf_issr_contrails_atr20,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_nox_impact,accf_sac_co2_impact_conservative,accf_sac_co2_impact_optimistic,accf_sac_contrails_atr20
0,0,0,141.68274619362572,42.55723571777344,2674.6200000000003,885974.0,TVJ571,127.067777668,0.8359910329243758,34610D,285.00638,13.522608,6.125644,157.16931564382554,69038.37801938549,0.33399041597150114,0.954044692096864,65.76058611846351,87.6740085937734,1817.3355848834929,0.0095007454846726,73058.20758235783,0.7168310546852961,0.5480048843205292,0.9514188971838674,climb,0,GTF2035,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,0,0.4644058314094959,43.83724990838928,15.745808660217712,29.60109860222623,1550376260965666.5,27.2540709124384,830.907561484679,1522.47254867485,0.950074548467,0.0207276592087943,0.477022346048432,43.8370042968867,23.0138068772397,22.797216327156367,0.95007454846726,0.7874745237019627,965446167090694.8,0.01925572276542361,1.4776654348036471e-05,3.0968000000000004,35.8,2023-08-06 01:00:00,0.00950074548467267,0.7168307307313817,0.0,730.5820758235783,0,0.00950074548467267,13.522608,6.125644,0.7168307307313817,4.4896765,0.0,0.8930111465451314,1105.2590654162564,8181.733683333497,-0.47086366415065145,-0.8822059905615143,5.217519941065104,244.113082555238,0.803116166439854,inf,0.0,238.3632163526827,0.0,0.0,0.0,0 days,0.009282315,4.8849483e-07,26729.037,0.77812606,-203.55421,0.0,0.0,1.0,-8.7502297348435e-13,7.6377455e-12,2.485923e-16,0.0,0.0,0.0,7.48e-16,8.891197938464873e-14,6.762722082355754e-12,1228.6604127837195,7.454205044393547e-12,1.3259731383955233e-13,1.0986634575277194e-13,0.0,0.009282315,4.8849483e-07,26729.037,0.77812606,-203.55421,0.0,0.0,0.0,-8.7502297348435e-13,7.6377455e-12,2.485923e-16,0.0,0.0,0.0,7.48e-16,8.891197938464873e-14,6.762722082355754e-12,1228.6604127837195,7.454205044393547e-12,1.3259731383955233e-13,1.0986634575277194e-13,0.0
1,1,1,141.59485556862572,42.52262878417969,3200.4,885974.0,TVJ571,149.703333204,0.8370510566048478,34610D,281.90997,14.089136,4.747349,168.2208340664578,68972.61743326703,0.3495605141316047,1.03402596853819,66.93670576920935,92.9201569524036,2188.78155878111,0.0084584718108213,68339.94069049528,0.7562343492520546,0.5578058814100779,1.0,climb,0,GTF2035,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,0,0.4997833308269508,46.46017564309345,16.75924371170892,32.98428653186106,1499548734751983.5,28.9655424068838,849.238394222644,1559.28024799525,0.845847181082,0.0214189295323738,0.517012984269095,46.4600784762018,24.138133676926,23.9356744493234,0.84584718108213,0.8521196138254843,1013922116414932.0,0.021543467649994198,1.605979258666727e-05,3.0968000000000004,35.8,2023-08-06 01:01:00,0.008458471810821376,0.7562353000294054,0.0,683.3994069049528,1,0.008458471810821376,14.089136,4.747349,0.7562353000294054,4.4327564,0.0,0.8445135283937835,1106.660746529744,9587.418296793368,-0.4794178129158185,-0.877586782409018,4.992934255932877,243.59013368162218,0.8226408596477144,inf,0.0,238.1121159910347,0.0,0.0,0.0,0 days,0.008294888,5.6996953e-07,32193.44,0.7990621,-202.50174,0.0,0.0,1.0000000000000002,-8.449070784979187e-13,6.9174423e-12,2.5487264e-16,0.0,0.0,0.0,7.480000000000001e-16,7.994583028187601e-14,6.072535202694678e-12,1229.0134763930564,8.116491649225241e-12,1.4371346227728377e-13,1.1907686874403514e-13,0.0,0.008294888,5.6996953e-07,32193.44,0.7990621,-202.50174,0.0,0.0,0.0,-8.449070784979187e-13,6.9174423e-12,2.5487264e-16,0.0,0.0,0.0,7.480000000000001e-16,7.994583028187601e-14,6.072535202694678e-12,1229.0134763930564,8.116491649225241e-12,1.4371346227728377e-13,1.1907686874403514e-13,0.0
2,2,2,141.49248296564275,42.48133850097656,3832.86,885974.0,TVJ571,164.107777636,0.8380761001148875,34610D,277.76813,14.254452,3.2187164,178.8624795463913,68905.68072749782,0.3633285277820253,1.137702971684162,64.79193337195242,99.9413118923526,2586.8631147419337,0.0071523259471488,62994.42896063308,0.815569624981658,0.5399327780996035,1.0,climb,0,GTF2035,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,0,0.5353468187851064,49.970666994271305,16.888789371066537,33.979466003240724,1484597596440749.2,30.857235182653,871.100472363486,1611.27560686906,0.715232594715,0.0225270897471932,0.568851485842081,49.9706559461763,25.2518852735053,25.072558165179093,0.71523259471488,0.9192820775585993,981104283066252.8,0.024534933176823683,1.8971041990605307e-05,3.0968000000000004,35.8,2023-08-06 01:02:00,0.0071523259471488985,0.815569178544513,0.0,629.9442896063307,2,0.0071523259471488985,14.254452,3.2187164,0.815569178544513,4.4418774,2.5372504e-08,0.7900638253017938,1108.0161811228727,9904.532106848184,-0.4803242924734069,-0.8770909725107887,4.696657488851964,242.86737924350098,0.8526564901387469,inf,0.0,237.83531148046885,0.0,0.0,0.0,0 days,0.007005939,6.2505774e-07,38778.766,0.82562935,-201.65309,0.0,0.0,1.0000000000000002,-8.08593799257213e-13,6.075632e-12,2.5911903e-16,0.0,0.0,0.0,7.48e-16,6.947861906860538e-14,5.267038464788515e-12,1229.432977301155,8.821278068231487e-12,1.5812294669449272e-13,1.310161558325797e-13,0.0,0.007005939,6.2505774e-07,38778.766,0.82562935,-201.65309,0.0,0.0,0.0,-8.08593799257213e-13,6.075632e-12,2.5911903e-16,0.0,0.0,0.0,7.48e-16,6.947861906860538e-14,5.267038464788515e-12,1229.432977301155,8.821278068231487e-12,1.5812294669449272e-13,1.310161558325797e-13,0.0
3,3,3,141.3869268243963,42.43862915039063,4579.62,885974.0,TVJ571,165.136666524,0.8390904970515701,34610D,272.9897,14.694075,3.7558966,190.70476468893656,68840.88879412587,0.3726513186202802,0.893665746346134,62.19769314493231,75.5182872971424,1348.0745343645674,0.0054972503048191,57124.037489563314,0.8370926778229157,0.5183141095411026,1.0,climb,0,GTF2035,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,0,0.5757654885622556,37.75953465685074,17.061756395431683,35.131146043091874,1467295262478583.5,25.6490686091268,837.829935330239,1528.73917049586,0.549725030482,0.0206541429041679,0.446832873173067,37.7591436485712,21.6340554651096,21.515777848772014,0.54972503048191,0.8120738947896873,842961863149671.4,0.020997298958296082,1.3051783483359513e-05,3.0968000000000004,35.8,2023-08-06 01:03:00,0.00549725030481919,0.8370923274608566,0.0,571.2403748956332,3,0.00549725030481919,14.694075,3.7558966,0.8370923274608566,4.213202,4.743775e-07,0.7289791098426925,1109.3575404993849,10425.443968691361,-0.4806838213428572,-0.8768939866935046,4.316138918688675,241.87736593279087,0.8357129455496448,inf,0.0,236.66191831626853,0.0,0.0,0.0,0 days,0.005354869,8.22459e-07,46550.94,0.8097645,-201.38632,0.0,0.0,0.9999999999999999,-7.656977623366081e-13,5.182524e-12,2.743354e-16,0.0,0.0,0.0,7.479999999999999e-16,5.84410756416209e-14,4.416826173625967e-12,1229.8647045139435,4.9727897986169214e-12,1.242055832578177e-13,1.0291319755647754e-13,0.0,0.005354869,8.22459e-07,46550.94,0.8097645,-201.38632,0.0,0.0,0.0,-7.656977623366081e-13,5.182524e-12,2.743354e-16,0.0,0.0,0.0,7.479999999999999e-16,5.84410756416209e-14,4.416826173625967e-12,1229.8647045139435,4.9727897986169214e-12,1.242055832578177e-13,1.0291319755647754e-13,0.0
4,4,4,141.27568444540336,42.39354020458157,4968.240000000001,885974.0,TVJ571,186.743333172,0.8400880559172832,34610D,270.72195,15.20865,4.2127566,202.78803586422907,68778.69110098093,0.38235629551243,0.864437279273338,60.40572836907205,70.4847730414998,1350.519067180577,0.0046542052818424,54249.21360051817,0.8126975709139193,0.503381069742267,1.0,climb,0,GTF2035,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,0,0.6148055882985302,35.24269864137101,17.12067079098391,35.08694016057057,1467959392198652.8,25.0132648965009,837.449850014129,1522.27278763582,0.465420528184,0.0204318978736279,0.432218639636669,35.2423865207499,21.1541111995546,21.05611173311129,0.46542052818424,0.8107098155528503,794666951138320.6,0.021146929227868608,1.229645456846344e-05,3.0968000000000004,35.8,2023-08-06 01:04:00,0.004654205281842474,0.8126978620196392,0.0,542.4921360051817,4,0.004654205281842474,15.20865,4.2127566,0.8126978620196392,3.9304104,1.1474243e-06,0.6980916224598143,1110.676638899393,11784.876773848331,-0.4816600386620713,-0.8763581500482848,4.160317806791808,241.44948528262404,0.7937056185537311,inf,0.0,235.74126645727213,0.0,0.0,0.0,0 days,0.004531091,9.512256e-07,50570.594,0.77457243,-201.13156,0.0,0.0,1.0,-7.435468077748427e-13,4.778465e-12,2.8426113e-16,0.0,0.0,0.0,7.48e-16,5.348619752875689e-14,4.03491818366307e-12,1230.3204858506922,4.425545222233495e-12,1.2014328276644088e-13,9.954729143505103e-14,0.0,0.004531091,9.512256e-07,50570.594,0.77457243,-201.13156,0.0,0.0,0.0,-7.435468077748427e-13,4.778465e-12,2.8426113e-16,0.0,0.0,0.0,7.48e-16,5.348619752875689e-14,4.03491818366307e-12,1230.3204858506922,4.425545222233495e-12,1.2014328276644088e-13,9.954729143505103e-14,0.0
5,5,5,141.15009654651988,42.34245300292969,5356.860000000001,885974.0,TVJ571,201.662222048,0.8410490571785069,34610D,268.62436,16.612959,4.743417,210.6148322874092,68718.28537261186,0.3926108111055629,0.930259650643518,58.668797879439936,74.9917325599948,2017.8333813576248,0.0038007127605085,51492.67974234382,0.7521131947546671,0.4889066489953328,1.0,climb,0,GTF2035,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,0,0.6410227739321721,37.49502382948285,17.16275010243128,35.305971599035466,1464668760282324.0,26.2726140984326,853.77395094809,1560.32125664141,0.380071276051,0.0212201880636508,0.465129825321759,37.4958662799974,21.91921315337,21.836219953551268,0.38007127605085,0.8663704267552074,825942066997603.4,0.0232460662155095,1.3674689415295329e-05,3.0968000000000004,35.8,2023-08-06 01:05:00,0.0038007127605085293,0.7521142397383016,0.0,514.9267974234381,5,0.0038007127605085293,16.612959,4.743417,0.7521142397383016,3.4758654,2.6379973e-06,0.6677940552882738,1111.9474051970951,11776.905178293267,-0.6955962148912547,-0.7184329515194577,4.0126470268048475,241.0306782169679,0.7197014748093781,inf,0.0,234.59175922256688,0.0,0.0,0.0,0 days,0.0037072075,9.823265e-07,54647.082,0.7054881,-200.44063,0.0,0.0,1.0,-7.210787188745117e-13,4.4184144e-12,2.866585e-16,0.0,0.0,0.0,7.48e-16,4.9100022554109654e-14,3.6973356962807335e-12,1230.8369005204484,4.7972658764147e-12,1.2929156450474458e-13,1.0712729630393123e-13,0.0,0.0037072075,9.823265e-07,54647.082,0.7054881,-200.44063,0.0,0.0,0.0,-7.210787188745117e-13,4.4184144e-12,2.866585e-16,0.0,0.0,0.0,7.48e-16,4.9100022554109654e-14,3.6973356962807335e-12,1230.8369005204484,4.7972658764147e-12,1.2929156450474458e-13,1.0712729630393123e-13,0.0
6,6,6,141.04739876680597,42.268826759467686,5935.9800000000005,885974.0,TVJ571,202.176666492,0.8422692467658462,34610D,265.46057,19.111206,6.392988,213.13992756109863,68659.61657473243,0.3962481665129211,0.86911601369139,56.5575523132709,69.874080404528,1571.111897741887,0.0028552389207982,47596.28928252322,0.68600712863511,0.4713129359439241,1.0,climb,0,GTF2035,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,0,0.6525623379854756,34.93744640823788,17.11789954671051,36.28235538999999,1450000000000000.0,24.686062068792,848.5726874837,1550.52153437662,0.28552389208,0.0210184939180017,0.434558006845695,34.937040202264,20.6750306915906,20.616166610287245,0.28552389207982,0.8499682325955491,788084112472528.6,0.02275338268222976,1.2399319435295253e-05,3.0968000000000004,35.8,2023-08-06 01:06:00,0.002855238920798245,0.686007626140535,0.0,475.96289282523225,6,0.002855238920798245,19.111206,6.392988,0.686007626140535,2.6624827,4.5970214e-06,0.624619475980512,1113.5608438889556,12351.486589520808,-0.9280124073797156,-0.372549287677892,3.728326982675697,240.18436099619512,0.6364863246864629,inf,0.0,233.1054097895543,0.0,0.0,0.0,0 days,0.0027860147,9.439128e-07,60725.594,0.6380047,-202.35455,0.0,0.0,0.9999999999999999,-6.875445661603038e-13,3.922257e-12,2.8369746e-16,0.0,0.0,0.0,7.48e-16,4.308296148897518e-14,3.234712617912579e-12,1231.581150958394,3.838050423827639e-12,1.2079355378743343e-13,1.0008608742387343e-13,0.0,0.0027860147,9.439128e-07,60725.594,0.6380047,-202.35455,0.0,0.0,0.0,-6.875445661603038e-13,3.922257e-12,2.8369746e-16,0.0,0.0,0.0,7.48e-16,4.308296148897518e-14,3.234712617912579e-12,1231.581150958394,3.838050423827639e-12,1.2079355378743343e-13,1.0008608742387343e-13,0.0
7,7,7,140.99160627885297,42.165802001953125,6385.56,885974.0,TVJ571,208.34999982,0.8439111248868759,34610D,263.0828,20.445671,7.682607,218.41021612250785,68603.05902241915,0.3933936232625392,0.686367496727078,50.00092495908388,53.4622186626132,800.4124555052767,0.0022670457156563,44739.09919617161,0.6312020212013701,0.4166743746590323,0.913539563240022,climb,0,GTF2035,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,0,0.6717132887689478,26.73069274705168,15.304897170452415,31.79256481511904,1517452637241863.5,20.6005444349923,817.339519476233,1472.96005383131,0.226704571566,0.0193233803876726,0.343183748363539,26.7311093313066,17.7600265315107,17.71985481058032,0.2267045715656299,0.7392017508122158,593110842452101.4,0.01938107605531177,8.846554250855594e-06,3.0968000000000004,35.8,2023-08-06 01:07:00,0.002267045715656343,0.6312024428334799,0.0,447.3909919617161,7,0.002267045715656343,20.445671,7.682607,0.6312024428334799,1.992767,2.1617127e-06,0.5924302541047739,1115.7317961155334,12963.734149278178,-0.9351760437679651,-0.35418323952792735,3.4862600034040763,239.41751586282854,0.5721645946171389,inf,0.0,231.93190406299288,0.0,0.0,0.0,0 days,0.002218784,7.901907e-07,65380.02,0.60039985,-210.54988,0.0,0.0,1.0,-6.619074756225021e-13,3.57024e-12,2.7184805e-16,0.0,0.0,0.0,7.48e-16,3.8828172304045886e-14,2.9083326354311994e-12,1232.6146779377589,2.3212927874329823e-12,9.539436373023496e-14,7.904104423362326e-14,0.0,0.002218784,7.901907e-07,65380.02,0.60039985,-210.54988,0.0,0.0,0.0,-6.619074756225021e-13,3.57024e-12,2.7184805e-16,0.0,0.0,0.0,7.48e-16,3.8828172304045886e-14,2.9083326354311994e-12,1232.6146779377589,2.3212927874329823e-12,9.539436373023496e-14,7.904104423362326e-14,0.0
8,8,8,140.93600250953853,42.056781316207626,6614.160000000001,885974.0,TVJ571,221.725555364,0.8455858363570392,34610D,261.77628,19.721241,7.7639923,220.4503474691645,68553.05809746006,0.39967425452511623,1.077673722825416,53.91863288944351,84.4925817950056,2781.136852034286,0.0020772450511069,43340.512388800154,0.6295976702841048,0.4493219407453626,1.0,climb,0,GTF2035,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,0,0.6796774215157366,42.24572878770476,16.948798200672954,36.28235539,1450000000000000.0,28.1238194466782,902.906354736712,1683.0477751096,0.207724505111,0.023952972885427,0.538836861412708,42.2462908975028,22.4956152202943,22.448983181079026,0.20772450511069,1.010237120177771,711702998305347.0,0.030292317460192984,1.70589556333974e-05,3.0968000000000004,35.8,2023-08-06 01:08:00,0.002077245051106959,0.6295979857526244,0.0,433.4051238880015,8,0.002077245051106959,19.721241,7.7639923,0.6295979857526244,1.4568703,2.1759454e-06,0.576774695242805,1117.9461581072408,12877.115418230198,-0.9398759916806336,-0.3415159150937853,3.412051796926758,239.17298598557764,0.5634448948501565,inf,0.0,231.6469111964033,0.0,0.0,0.0,0 days,0.0020356935,7.024167e-07,67870.875,0.60745245,-219.69444,0.0,0.0,1.0,-6.482414351991308e-13,3.408383e-12,2.650821e-16,0.0,0.0,0.0,7.480000000000001e-16,3.689492285198021e-14,2.7601415945344446e-12,1233.7064862388863,5.406328181430672e-12,1.4977981851987725e-13,1.2410327820218401e-13,0.0,0.0020356935,7.024167e-07,67870.875,0.60745245,-219.69444,0.0,0.0,0.0,-6.482414351991308e-13,3.408383e-12,2.650821e-16,0.0,0.0,0.0,7.480000000000001e-16,3.689492285198021e-14,2.7601415945344446e-12,1233.7064862388863,5.406328181430672e-12,1.4977981851987725e-13,1.2410327820218401e-13,0.0
9,9,9,140.88292902166194,41.94813537597656,7406.64,885974.0,TVJ571,205.7777776,0.8472633750536012,34610D,257.189,17.54157,8.464218,222.9753491843972,68499.13946457062,0.4022714629563215,0.987712612149694,51.37904963830372,77.0599766316534,2547.744259744943,0.0017543967568684,38763.39764052093,0.7231189343923602,0.4281587469858643,1.0,climb,0,GTF2035,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,0,0.6935661227940072,38.53016860265484,16.586342274526764,36.28235539,1450000000000000.2,25.8488522873042,897.522790670248,1674.92295700629,0.175439675687,0.023818994357261,0.493856306074847,38.5299883158267,20.7337177492676,20.697406286802444,0.17543967568684,0.9951449619636225,660570839711124.2,0.028976691650561142,1.563942558413912e-05,3.0968000000000004,35.8,2023-08-06 01:09:00,0.0017543967568684799,0.7231183260056221,0.0,387.6339764052093,9,0.0017543967568684799,17.54157,8.464218,0.7231183260056221,1.0450008,2.7664366e-06,0.5250635798737189,1120.1642588901004,11709.442181463151,-0.9150288307110056,-0.4033884467453792,3.064119148174067,237.95966623001578,0.6186010137949691,inf,0.0,230.90204412448455,0.0,0.0,0.0,0 days,0.0016563438,8.2615566e-07,76218.875,0.6849694,-228.12035,0.0,0.0,1.0,-6.020511177595392e-13,2.8785572e-12,2.7462034e-16,0.0,0.0,0.0,7.48e-16,3.0617198401057893e-14,2.276506005049775e-12,1234.7896665503724,3.909304048968348e-12,1.3727662896865614e-13,1.137434925740294e-13,0.0,0.0016563438,8.2615566e-07,76218.875,0.6849694,-228.12035,0.0,0.0,0.0,-6.020511177595392e-13,2.8785572e-12,2.7462034e-16,0.0,0.0,0.0,7.48e-16,3.0617198401057893e-14,2.276506005049775e-12,1234.7896665503724,3.909304048968348e-12,1.3727662896865614e-13,1.137434925740294e-13,0.0
