,Unnamed: 0,index,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,air_pressure,rhi_emissions,fuel_flow_per_engine,thrust_setting,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,nvpm_ei_n,ei_nox,nvpm_ei_m,ei_co2,wingspan,time,issr_specific_humidity,issr_rhi,issr_issr,cocip_waypoint,cocip_level,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_width,cocip_depth,cocip_rhi_1,cocip_air_temperature_1,cocip_specific_humidity_1,cocip_altitude_1,cocip_persistent_1,cocip_dT_dz,cocip_ds_dz,cocip_dz_max,cocip_rho_air_1,cocip_iwc_1,cocip_n_ice_per_m_1,cocip_ef,cocip_contrail_age,cocip_global_yearly_mean_rf,cocip_atr20,cocip_sdr_mean,cocip_sdr_min,cocip_sdr_max,cocip_rsr_mean,cocip_rsr_min,cocip_rsr_max,cocip_olr_mean,cocip_olr_min,cocip_olr_max,cocip_rf_sw_mean,cocip_rf_sw_min,cocip_rf_sw_max,cocip_rf_lw_mean,cocip_rf_lw_min,cocip_rf_lw_max,cocip_rf_net_mean,cocip_rf_net_min,cocip_rf_net_max,cocip_cocip,cocip_mean_contrail_altitude,cocip_mean_rhi,cocip_std_rhi,cocip_mean_n_ice_per_m,cocip_std_n_ice_per_m,cocip_mean_r_ice_vol,cocip_mean_width,cocip_mean_depth,cocip_mean_tau_contrail,cocip_mean_tau_cirrus,cocip_max_age,cocip_mean_rf_sw,cocip_mean_rf_lw,cocip_mean_rf_net,cocip_mean_olr,cocip_mean_sdr,cocip_mean_rsr,cocip_contrail_length,cocip_persistent_contrail_length,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_nox_impact,accf_issr_co2_impact,accf_issr_contrails_atr20,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_nox_impact,accf_sac_co2_impact,accf_sac_contrails_atr20
0,0,2,3c49c8,EWG1VT,51.28692626953125,6.684586808488175,93.114444364,990.6,0.2864982229355376,34610D,276.97305,17.366245,11.236573,85.57866115502084,67083.68052472563,0.22019915233168505,1.111395626926058,60.82226737471649,123.0552869199556,1574.683671412279,0.0051013805922256,89976.97737353944,0.8853024657361898,0.5068522281226374,0.6220187977391448,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.2565097995616038,61.52764691423632,15.183098904871054,19.00075490069355,1255566410189272.5,24.0776484089572,753.118170618777,1406.52434445688,0.510138059223,0.0190953009497878,0.555697813463029,61.5276434599778,29.1012859616232,28.953582716676948,0.51013805922256,0.6316984449445499,1435013695717116.5,0.015726691633224408,2.066899187242965e-05,3.16,35.8,2023-11-06 09:02:00,0.005101380592225605,0.8853029286680968,0.0,0,899.7697737353944,0.005101380592225605,17.366245,11.236573,0.8853029286680968,0.11460855,1.0716892e-09,1.131713079119793,397.12356098012526,6667.509382517012,0.9966805091004685,0.0814123011542548,5.365398751341723,244.44662252518398,0.9185070354796023,inf,0.0,240.48330367961313,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0050094295,2.2557914e-07,8626.433,0.8963328,-244.45525,0.0,0.0,1.0000000000000002,-7.412781725855306e-13,7.659762e-12,2.2832588e-16,0.0,0.0,0.0,7.48e-16,9.091661082478661e-14,6.918483456954532e-12,534.2079518127042,7.255514461940633e-12,1.576190169271551e-13,0.0,0.0050094295,2.2557914e-07,8626.433,0.8963328,-244.45525,0.0,0.0,0.0,-7.412781725855306e-13,7.659762e-12,2.2832588e-16,0.0,0.0,0.0,7.48e-16,9.091661082478661e-14,6.918483456954532e-12,534.2079518127042,7.255514461940633e-12,1.576190169271551e-13,0.0
1,1,3,3c49c8,EWG1VT,51.346527099609375,6.692381162901183,124.495555448,1478.28,0.2871647165655172,34610D,274.41455,19.37884,8.214633,104.14105465062649,67022.8582573509,0.250419710961308,1.261542241137394,74.94573949796765,130.5358417750664,2635.861263157481,0.00398070330029,84781.45509278591,0.8004319143533931,0.6245478291497304,0.7903691399006032,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.3135996699401837,65.26803594439288,17.002551314524492,27.011561990092595,1589280319141566.0,26.3595044248693,776.830654115944,1461.98080711437,0.398070330029,0.0202236475255138,0.630771120568697,65.2679208875332,31.189780170611,31.06611518337336,0.398070330029,0.7171721508572506,1644293534953171.0,0.01769153356030429,2.5287034391529216e-05,3.16,35.8,2023-11-06 09:03:00,0.003980703300290074,0.8004315908974697,0.0,1,847.814550927859,0.003980703300290074,19.37884,8.214633,0.8004315908974697,0.12931685,3.5548382e-07,1.0763070377240107,398.04754740352445,7473.160672911053,0.9768031916927631,0.2141390312363241,5.254348165844076,244.1969250351096,0.8102055733029736,inf,0.0,238.52875104837258,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0039075566,4.4580915e-07,13333.96,0.79125524,-243.87474,0.0,0.0,1.0,-7.264698598357767e-13,7.0369925e-12,2.4530196e-16,0.0,0.0,0.0,7.479999999999999e-16,8.303009577436601e-14,6.3105226016354014e-12,532.906095797911,8.45052818187886e-12,1.789129298718981e-13,0.0,0.0039075566,4.4580915e-07,13333.96,0.79125524,-243.87474,0.0,0.0,0.0,-7.264698598357767e-13,7.0369925e-12,2.4530196e-16,0.0,0.0,0.0,7.479999999999999e-16,8.303009577436601e-14,6.3105226016354014e-12,532.906095797911,8.45052818187886e-12,1.789129298718981e-13,0.0
2,2,4,3c49c8,EWG1VT,51.41177937135858,6.7153167724609375,134.269999884,2293.62,0.2878249102310449,34610D,269.29483,20.242508,8.068884,114.36335046419354,66947.91251785294,0.26620714288903174,1.306535080899068,82.45304515217296,130.8685673258108,2734.4001731256217,0.0028597431544792,76639.32731338663,0.7956332180854447,0.6871087096014413,0.8995252370296342,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.3476402471989201,65.43349666095835,18.816376622824567,36.081555950543205,1453016722388751.5,26.665843445048,787.906069214825,1494.20382809191,0.285974315448,0.0209527769957841,0.653267540449534,65.4342836629054,31.1780887364466,31.089181662010304,0.28597431544792,0.7601554210855982,1709102079149131.5,0.018768012798972538,2.6952242391950043e-05,3.16,35.8,2023-11-06 09:04:00,0.0028597431544792385,0.7956339751374245,0.0,2,766.3932731338663,0.0028597431544792385,20.242508,8.068884,0.7956339751374245,0.102615125,1.3865277e-06,0.9914392705772308,398.96280190536083,8125.8125102326585,0.8201398934232258,0.5721630495022725,4.847252748499249,243.23964547690193,0.7663320524789483,inf,0.0,237.12497379217794,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0028002912,3.9939255e-07,21238.38,0.7550704,-243.20374,0.0,0.0,1.0,-7.019254394796085e-13,5.964954e-12,2.41724e-16,0.0,0.0,0.0,7.480000000000001e-16,6.94090911546634e-14,5.263028241411116e-12,531.4807958088962,7.74330412592174e-12,1.8529385040117057e-13,0.0,0.0028002912,3.9939255e-07,21238.38,0.7550704,-243.20374,0.0,0.0,0.0,-7.019254394796085e-13,5.964954e-12,2.41724e-16,0.0,0.0,0.0,7.480000000000001e-16,6.94090911546634e-14,5.263028241411116e-12,531.4807958088962,7.74330412592174e-12,1.8529385040117057e-13,0.0
3,3,5,3c49c8,EWG1VT,51.47136623576536,6.782073974609375,136.32777766,3139.44,0.2887972902622822,34610D,263.77536,20.91261,8.130388,130.01952989885885,66865.45947270076,0.28944296433527383,0.929947374521194,57.83270482459776,89.0828734886048,1748.288239221204,0.0018745694162427,68873.98399781724,0.7556636403654114,0.481939206871648,0.6539657438003096,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.3993454056152518,44.54171001863707,15.612828634484208,22.779475844632856,1433923002190932.2,20.5263561314592,740.9070699322,1380.40405677059,0.187456941624,0.0185273219851661,0.464973687260597,44.5414367443024,25.0966484866447,25.0496911018189,0.18745694162427,0.5907531473506759,1147218483025635.8,0.01538444738376765,1.5842067399634568e-05,3.16,35.8,2023-11-06 09:05:00,0.0018745694162427117,0.7556645078744139,0.0,3,688.7398399781724,0.0018745694162427117,20.91261,8.130388,0.7556645078744139,0.040982004,3.248648e-07,0.9096271820365648,400.3107881540163,9048.399248069316,0.8267242315425097,0.5626073630698827,4.494748829102799,242.35130609561108,0.6896487139428767,inf,0.0,235.5573676055728,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0018330358,4.147295e-07,29412.238,0.7101671,-242.4342,0.0,0.0,0.9999999999999998,-6.766741379841645e-13,4.9472228e-12,2.4290623e-16,0.0,0.0,0.0,7.48e-16,5.650803958863704e-14,4.270548719918019e-12,530.17924484511,3.665854340403093e-12,1.3188588061249535e-13,0.0,0.0018330358,4.147295e-07,29412.238,0.7101671,-242.4342,0.0,0.0,0.0,-6.766741379841645e-13,4.9472228e-12,2.4290623e-16,0.0,0.0,0.0,7.48e-16,5.650803958863704e-14,4.270548719918019e-12,530.17924484511,3.665854340403093e-12,1.3188588061249535e-13,0.0
4,4,6,3c49c8,EWG1VT,51.538494562698624,6.8555450439453125,156.90555542,3680.46,0.2896811189378583,34610D,260.1897,20.98039,7.763573,140.1985986335011,66807.62676787617,0.3035517178941802,0.958606249003764,61.07864047915787,89.312185525418,1943.450124539244,0.0013414692651373,64250.40779201729,0.6955801252208343,0.5089886706596489,0.7068679166763192,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.4335666198393533,44.65540459920927,16.120378362148827,25.92706408929011,1582489969868706.0,20.8658763157193,748.266858660543,1399.52664048932,0.134146926514,0.0189292306005574,0.479303124501882,44.656092762709,25.3207927261327,25.28687116565249,0.13414692651373,0.6151242805398547,1187605993120992.2,0.015958731929485603,1.6834056206592076e-05,3.16,35.8,2023-11-06 09:06:00,0.001341469265137339,0.6955802797155276,0.0,4,642.5040779201729,0.001341469265137339,20.98039,7.763573,0.6955802797155276,0.02396877,4.591834e-08,0.8602570429174808,401.5360315554053,9736.546908630891,0.796178705015712,0.6050615420595693,4.275990784261712,241.76844549697344,0.6128715425129388,inf,0.0,234.39991368312025,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0013102732,4.0742478e-07,34624.734,0.6568944,-241.90665,0.0,0.0,1.0,-6.604549607995258e-13,4.3564167e-12,2.4234314e-16,0.0,0.0,0.0,7.48e-16,4.903784375233133e-14,3.695961584507339e-12,528.7114139378276,3.392480299366981e-12,1.3595030511871302e-13,0.0,0.0013102732,4.0742478e-07,34624.734,0.6568944,-241.90665,0.0,0.0,0.0,-6.604549607995258e-13,4.3564167e-12,2.4234314e-16,0.0,0.0,0.0,7.48e-16,4.903784375233133e-14,3.695961584507339e-12,528.7114139378276,3.392480299366981e-12,1.3595030511871302e-13,0.0
5,5,7,3c49c8,EWG1VT,51.60804360599841,6.940689086914063,168.737777632,4282.4400000000005,0.2905739559012449,34610D,255.97209,20.885921,7.09436,149.45753246057748,66746.548127397,0.3158779251651087,0.942243875949422,61.19050034780172,85.6931744247514,1866.8578012323767,0.0008604302388078,59404.634976163914,0.6089358674861414,0.5099208362316809,0.7240216482010172,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.4659922613802778,42.84633008557943,16.23060894224131,28.33467298396253,1569402481988193.5,20.4373834066046,748.488320008853,1402.78206256442,0.0860430238808,0.0190184496025632,0.471121937974711,42.8465872123757,24.7718372327898,24.75054111878434,0.08604302388078,0.6158683144963483,1167017485024383.5,0.016015708706597926,1.6554579243405622e-05,3.16,35.8,2023-11-06 09:07:00,0.0008604302388078866,0.6089367834854932,0.0,5,594.0463497616391,0.0008604302388078866,20.885921,7.09436,0.6089367834854932,0.018998533,2.545924e-09,0.8084816476310673,402.77376249133846,10422.131734241842,0.7498966969135705,0.661554944020613,4.023059395254673,241.06065213788779,0.5147138175135331,inf,0.0,233.07788264960442,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0008408267,4.6694967e-07,40424.03,0.58176655,-241.6358,0.0,0.0,1.0000000000000002,-6.424985763810059e-13,3.7391965e-12,2.4693154e-16,0.0,0.0,0.0,7.48e-16,4.125200282246372e-14,3.0966977915800383e-12,527.189455164875,2.803880882408098e-12,1.336297802822478e-13,0.0,0.0008408267,4.6694967e-07,40424.03,0.58176655,-241.6358,0.0,0.0,0.0,-6.424985763810059e-13,3.7391965e-12,2.4693154e-16,0.0,0.0,0.0,7.48e-16,4.125200282246372e-14,3.0966977915800383e-12,527.189455164875,2.803880882408098e-12,1.336297802822478e-13,0.0
6,6,8,3c49c8,EWG1VT,51.67817687988281,7.0405289933488175,177.997777624,4861.56,0.2915159645478229,34610D,251.87613,19.727411,6.293601,159.48784181534077,66685.35762704922,0.32826763592834396,0.919068879691154,60.676791659676326,81.401046065237,1863.2025482493027,0.0005217762938243,55026.440867802725,0.5056023343300591,0.5056399304973027,0.733978929131599,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.5012925933057382,40.70078005930038,16.23226793263508,30.319371595488,1539585243690568.2,19.9162003371236,747.531914577446,1402.64699729786,0.0521776293824,0.0190336293152096,0.459534439845577,40.7005230326185,24.1432903959292,24.130699568940727,0.05217762938243,0.6126551212119574,1135296185376460.5,0.015949927113679728,1.6052407541319862e-05,3.16,35.8,2023-11-06 09:08:00,0.0005217762938243003,0.5056026609051412,0.0,6,550.2644086780273,0.0005217762938243003,19.727411,6.293601,0.5056026609051412,0.017554555,1.571375e-08,0.7610739554495446,404.0796527488664,10810.56932148757,0.7487558998275375,0.6628458361289257,3.794181331617954,240.38534593139454,0.4104363159144896,inf,0.0,231.85124687669924,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00051007775,5.686013e-07,45972.93,0.48991117,-241.33087,0.0,0.0,0.9999999999999999,-6.253604839653218e-13,3.203011e-12,2.5476718e-16,0.0,0.0,0.0,7.479999999999998e-16,3.4512222661525635e-14,2.577650420938913e-12,525.6547115307436,2.2671592781406357e-12,1.3034308377290318e-13,0.0,0.00051007775,5.686013e-07,45972.93,0.48991117,-241.33087,0.0,0.0,0.0,-6.253604839653218e-13,3.203011e-12,2.5476718e-16,0.0,0.0,0.0,7.479999999999998e-16,3.4512222661525635e-14,2.577650420938913e-12,525.6547115307436,2.2671592781406357e-12,1.3034308377290318e-13,0.0
7,7,9,3c49c8,EWG1VT,51.75081931938559,7.14447021484375,184.171110952,5440.68,0.2924193891056235,34610D,247.59497,18.185814,5.933879,167.86192728759033,66624.68083538953,0.3383925796602144,0.866660889565068,57.78544054387057,75.1794705965084,1784.1649457716908,0.0003930793876847,50913.27576770084,0.5376240677563962,0.4815453378655881,0.7123581704586431,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.5321554384838005,37.588788189513245,15.87532081940486,30.21660879901652,1541129106709732.5,18.9352944417868,741.151899867508,1389.40164526415,0.0393079387685,0.0187803123826331,0.433330444782534,37.5897352982542,23.0736547909209,23.064588576566024,0.03930793876847,0.5915449327894421,1062780967383268.0,0.015456676363112749,1.4689325493407471e-05,3.16,35.8,2023-11-06 09:09:00,0.00039307938768479926,0.537624653599335,0.0,7,509.1327576770084,0.00039307938768479926,18.185814,5.933879,0.537624653599335,0.01496381,4.5484907e-08,0.7163605673605321,405.3320612596463,11147.298906109525,0.7476758120633196,0.6640639126284876,3.563899221411867,239.66846955606215,0.41833912129017403,inf,0.0,231.23598140555833,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0003842665,4.5217396e-07,51570.75,0.5195196,-241.02733,0.0,0.0,1.0,-6.081252601223058e-13,2.7271408e-12,2.4579258e-16,0.0,0.0,0.0,7.479999999999999e-16,2.8540993749359164e-14,2.119015475355755e-12,524.065026509988,1.703141340349596e-12,1.229105406868296e-13,0.0,0.0003842665,4.5217396e-07,51570.75,0.5195196,-241.02733,0.0,0.0,0.0,-6.081252601223058e-13,2.7271408e-12,2.4579258e-16,0.0,0.0,0.0,7.479999999999999e-16,2.8540993749359164e-14,2.119015475355755e-12,524.065026509988,1.703141340349596e-12,1.229105406868296e-13,0.0
8,8,10,3c49c8,EWG1VT,51.82562876555879,7.252044677734375,188.801110948,5996.9400000000005,0.2932854474773658,34610D,243.12906,17.590334,6.126255,173.5879908753277,66566.89539484566,0.3457960766997704,0.810518985480962,54.42260627246476,69.4776332662038,1582.8585433685132,0.0003138519100702,47200.44144697906,0.6281510855282325,0.4535217189372063,0.6787275913940229,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.5553393735512976,34.73782298588303,15.426730461234444,29.492576383035164,1552006651016536.8,17.8912780062976,732.45543283074,1372.01863016895,0.031385191007,0.0184601263029326,0.405259492740481,34.7388166331019,21.9532351019777,21.94634719899023,0.03138519100702,0.5645469669270949,988134373901103.2,0.014840414156706129,1.3211936882592449e-05,3.16,35.8,2023-11-06 09:10:00,0.0003138519100702385,0.6281515902982281,0.0,8,472.0044144697906,0.0003138519100702385,17.590334,6.126255,0.6281515902982281,0.013199169,1.05117564e-07,0.6763190777085125,406.5326761425028,11484.907125089065,0.7476053739662908,0.6641432110747819,3.341165498918818,238.93496735068592,0.4676399368684994,inf,0.0,230.8361677439228,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00030655906,4.1011248e-07,56929.406,0.61484504,-240.79666,0.0,0.0,1.0,-5.916657386923647e-13,2.3071798e-12,2.4255032e-16,0.0,0.0,0.0,7.48e-16,2.329223258059891e-14,1.715514019605579e-12,522.4249673205522,1.2380971823373662e-12,1.1494845093609844e-13,0.0,0.00030655906,4.1011248e-07,56929.406,0.61484504,-240.79666,0.0,0.0,0.0,-5.916657386923647e-13,2.3071798e-12,2.4255032e-16,0.0,0.0,0.0,7.48e-16,2.329223258059891e-14,1.715514019605579e-12,522.4249673205522,1.2380971823373662e-12,1.1494845093609844e-13,0.0
9,9,11,3c49c8,EWG1VT,51.90271927138506,7.363115583147322,193.945555388,6492.240000000001,0.2941107757435668,34610D,239.1512,17.379425,6.3416166,178.6425577594611,66512.4727885732,0.35213092199112883,0.760663323516648,51.35304410338376,64.519820582811,1407.752708211357,0.0002505476711281,44081.94845354482,0.7134167235560481,0.4279420341948646,0.6471393601061539,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.5762432839560956,32.259311184694134,15.005137632539078,28.670101775885584,1564363147470310.8,16.9588109952615,724.152594776757,1355.30789309869,0.0250547671128,0.0181527776614517,0.380331661758324,32.2599102914055,20.95170606127,20.946457975005977,0.0250547671128099,0.5394792771564986,907731935091492.4,0.01434071429860083,1.1708954649112095e-05,3.16,35.8,2023-11-06 09:11:00,0.00025054767112811353,0.7134175845893633,0.0,9,440.8194845354482,0.00025054767112811353,17.379425,6.3416166,0.7134175845893633,0.009271949,1.0771432e-07,0.6421413944391626,407.67683450083706,11757.48582909717,0.7464831767142834,0.6654042882958839,3.1507568876537064,238.27276804243138,0.5106045294303688,inf,0.0,230.4786368542828,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00024472937,4.6836647e-07,61631.215,0.6698902,-240.48007,0.0,0.0,1.0,-5.772382705128851e-13,1.977761e-12,2.4704076e-16,0.0,0.0,0.0,7.48e-16,1.920183789140446e-14,1.400522856910362e-12,520.73490010356,9.166524672752549e-13,1.0787788107178985e-13,0.0,0.00024472937,4.6836647e-07,61631.215,0.6698902,-240.48007,0.0,0.0,0.0,-5.772382705128851e-13,1.977761e-12,2.4704076e-16,0.0,0.0,0.0,7.48e-16,1.920183789140446e-14,1.400522856910362e-12,520.73490010356,9.166524672752549e-13,1.0787788107178985e-13,0.0
