,index,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,time,specific_humidity,air_pressure,rhi,fuel_flow_per_engine,thrust_setting,nox_ei,co_ei,hc_ei,nvpm_ei_m,nvpm_ei_n,co2,h2o,so2,sulphates,oc,nox,co,hc,nvpm_mass,nvpm_number,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,ei_nox_p3t3,ei_nvpm_number_p3t3_meem,ei_nvpm_mass_p3t3_meem
0,2,461f63,FIN43D,60.37413024902344,25.075630977235992,118.32222212,845.82,-0.708158895562011,34610D,268.92575,9.544704,-11.504774,125.66756528241376,71488.67811098284,0.267311299757595,1.5785413205397123,94.71247923238276,144820.32886688696,2529.4513781411843,2023-02-05 22:02:00,0.0026487732106696,0.9156803740577508,0.9085009184315952,0.7892706602698563,0.8646760507555445,0.0197919136392718,0.000278351430854,6.036833168816392e-05,3.331675646086617e-05,1494553852888122.0,299.1967218950971,117.15933681045748,0.1136549750788592,0.0023194892873236,0.0018942495846476,1.874541209528652,0.0263633541140643,0.0057176343613088,0.0031555126043901,1.4155290075334387e+17,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.382264715241643,72.41016443344348,19.79191363927189,33.316756460866166,1494553852888122.0,31.0856642696719,780.754807821107,1472.87967543612,0.264877321067,0.0204442165244455,0.749183309202684,72.4101179586246,36.6452443069595,36.54843578934879,0.26487732106696,0.7322210790581222,19.2996260032485,2061701272524539.0,32.00156345511005
1,3,461f63,FIN43D,60.429134045617054,25.12445722307477,130.668888776,1653.5400000000002,-0.7078236082561173,34610D,265.65155,7.784654,-13.7675905,157.90339144354962,71393.96563175046,0.2914982737835797,1.111730290751079,66.70381744506476,88516.33553138921,1460.021740846995,2023-02-05 22:03:00,0.0017034192505268,0.8297478838491327,0.701698336846948,0.5558651453755397,0.6527881901602696,0.0170106137480631,0.0002955908749804,6.158738857374027e-05,2.109355265036265e-05,1354346997567232.5,210.71735930895957,82.5126221795451,0.0800445809340777,0.0016335628762056,0.0013340763489012,1.134672874079311,0.0197170397631236,0.004108113924341,0.0014070204852576,9.034011488299624e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.4832729556383264,44.25816776569461,17.01061374806312,21.09355265036265,1354346997567232.5,23.3932674938278,736.864930747185,1357.21226209959,0.170341925053,0.0178948194400861,0.516703660930059,44.2580853952429,28.8744830681328,28.825381358622746,0.17034192505267998,0.5780010217959555,15.859577978519429,1283996431045163.8,17.465009024131973
2,4,461f63,FIN43D,60.486236572265625,25.02050991716056,151.76111098,2118.36,-0.7072861818697677,34610D,262.62036,4.6621723,-12.480431,173.06174330695347,71327.2618143054,0.2994269407202576,1.1120234018588446,66.72140411153067,82981.86358153654,1459.7717972426562,2023-02-05 22:04:00,0.0012236166980088,0.7833368200305779,0.6215666671673332,0.5560117009294223,0.6688186016531963,0.0171734050382857,0.0003018154525396,6.311815150251203e-05,2.197697496872188e-05,1396044756236994.8,210.7729155883254,82.53437688596345,0.0800656849338368,0.0016339935700783,0.0013344280822306,1.145833697530458,0.0201375507760002,0.0042113316931719,0.001466334628037,9.314606633867186e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.5327139667099521,41.49093179076827,17.173405038285715,21.97697496872188,1396044756236994.8,23.0724326060015,738.006400627284,1355.80632850549,0.122361669801,0.0178103637043414,0.507574632717029,41.4912664040854,28.4988359105381,28.46400687643186,0.12236166980088,0.5815221481041243,15.992403267883715,1237639548921303.5,16.906646258246518
3,5,,,60.54089218520622,24.86228326150616,156.5968887536,2583.378890701468,-0.7067170447576756,34610D,259.55228,4.094383,-9.239669,184.15173495573936,71260.54041019386,0.3091073388740412,1.1918067524017808,71.50840514410685,86281.72143010434,1597.2766413525665,2023-02-05 22:05:00,0.0009278541623019,0.7390320336720873,0.5864652874732966,0.5959033762008904,0.7326258164340386,0.0178026709183062,0.0003080992984073,6.533687784931422e-05,2.5189923190799532e-05,1547696731513624.0,225.8950518502335,88.45589716326018,0.0858100861729282,0.0017512262484271,0.0014301681028821,1.2730406046734517,0.0220316894551308,0.0046721359320997,0.0018012912330766,1.1067332491728618e+17,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.5701913255275101,43.14086071505217,17.802670918306248,25.189923190799533,1547696731513624.0,24.1243897046062,749.306883214862,1380.75353574496,0.0927854162302,0.0182912045253916,0.539612553152526,43.1416867546909,29.5012038383499,29.473856398011915,0.09278541623019,0.6186490880431176,16.850439990967796,1318538826748642.2,18.755787993709387
4,6,,,60.58972609021037,24.6648793684984,161.4326665272,3092.041859706362,-0.7061756605283009,34610D,256.7259,5.2948627,-5.147325,195.99552234525288,71189.03200504975,0.3153473276308861,1.1698907321259773,70.19344392755863,81183.49871728993,1598.7007376669994,2023-02-05 22:06:00,0.0008819877278691,0.6929154882889377,0.6784811935329059,0.5849453660629886,0.7427394526657696,0.0176642775827434,0.0003173520559218,6.744037839829038e-05,2.581651872681349e-05,1577272200574431.5,221.7410893671577,86.82929013839004,0.0842321327130703,0.0017190231165932,0.0014038688785511,1.2399164780251302,0.0222760337426477,0.0047338724195537,0.0018121503596553,1.1071416776951837e+17,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.6101948437520067,40.59174935864496,17.664277582743406,25.81651872681349,1577272200574431.5,23.520965007981,749.662359296348,1379.0396561572,0.0881987727869,0.0182259026968694,0.524589620092846,40.5915938726991,28.7826413219551,28.757277755887483,0.08819877278691,0.6198640663434538,16.754136843349443,1260536696404512.0,17.952197479752186
5,7,,,60.63855999521452,24.467475475490644,166.2684443008,3600.7048287112566,-0.7056331976904153,34610D,253.6779,6.3931575,-1.7625368,203.70492444067207,71118.8385611222,0.3195160061273158,1.1278713715234874,67.67228229140925,76300.98112408834,1598.9838637587704,2023-02-05 22:07:00,0.0007981065540145,0.649157329138443,0.7670601562693031,0.5639356857617437,0.7355027906592749,0.0173780217637542,0.0003260776276992,6.919091855119017e-05,2.5936344003469577e-05,1582927984184045.2,213.7767397585618,83.71061319447324,0.081206738749691,0.0016572803826467,0.0013534456458281,1.176010394463034,0.022066417270574,0.004682307372198,0.0017551715930098,1.071203493926741e+17,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.6379951881393873,38.15049056204417,17.378021763754294,25.93634400346958,1582927984184045.2,22.6442683122879,746.921592890551,1372.4666177052,0.0798106554015,0.0180895079920207,0.50257374412492,38.1508542361665,27.7826099165664,27.760454116193845,0.07981065540145,0.6106046502701895,16.4599759179152,1192921536825893.5,16.83181834271069
6,8,,,60.68739390021867,24.270071582482885,171.1042220744,4109.367797716151,-0.7050896583047115,34610D,250.4805,7.813367,-0.31643862,207.69341118679156,71051.16627883079,0.3204938314575434,1.0382601188247476,62.29560712948485,69100.7221900512,1601.4492847275792,2023-02-05 22:08:00,0.0006078972632332,0.6076641582646767,0.745329623938988,0.5191300594123738,0.692231510236036,0.0167600808107568,0.0003345047885577,7.032365688187124e-05,2.464843259258012e-05,1522138237215637.5,196.79182292204263,77.05966601917277,0.0747547285553818,0.0015256067052118,0.0012459121425896,1.0440794096453283,0.0208381788909274,0.0043808549010217,0.0015354890731449,9.482252562235197e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.654625583200902,34.5503610950256,16.76008081075688,24.64843259258012,1522138237215637.5,21.0427402710772,737.306494968214,1351.21988005047,0.0607897263233,0.0176728160072538,0.46025735651968,34.5508095246517,26.0432381761213,26.027416181055802,0.060789726323320005,0.5793631281664506,15.70724849907657,1076134700968104.0,14.662055437039127
7,9,,,60.736227805222825,24.07266768947513,175.939999848,4618.030766721044,-0.7045450444348047,34610D,248.10963,7.476733,1.6277304,206.29887669196103,70988.87067170131,0.3223136812407385,1.008115927835572,60.48695567013432,67931.59500989666,1606.4202762199368,2023-02-05 22:09:00,0.0004423848597704,0.5683451722472721,0.6414982874569031,0.504057963917786,0.6928907625066463,0.0165129670219388,0.0003470602219416,7.297383984228334e-05,2.547725904296684e-05,1561259056996973.0,191.0782929619543,74.82236416395617,0.0725843468041611,0.0014813132000849,0.0012097391134026,0.9988191042384048,0.0209926162594498,0.0044139654156196,0.0015410418383284,9.443580737017162e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.653329495001758,33.96579750494833,16.512967021938845,25.47725904296684,1561259056996973.0,20.3378336677079,736.559752417423,1354.23635848108,0.044238485977,0.0177856875334068,0.447158290461465,33.9648322387296,25.1414678022185,25.130350515629665,0.04423848597704,0.577059629066859,15.562197618286847,1048558056868331.0,14.246047134480778
8,10,,,60.78506171022698,23.87526379646737,180.7757776216,5126.693735725938,-0.7039993581472658,34610D,245.66287,7.4015937,3.8513906,205.0330162751009,70928.38371603117,0.3240487627989578,0.988684356201696,59.32106137210177,67394.38080687642,1609.8207777758482,2023-02-05 22:10:00,0.0003063964902435,0.5311121215722205,0.5315100649188629,0.4943421781008481,0.7001538492133638,0.0163328899471647,0.0003599281391145,7.580032366292909e-05,2.685172479311588e-05,1591681642830413.8,187.39523287446943,73.38015291728989,0.0711852736465221,0.0014527606866637,0.001186421227442,0.9688843669395448,0.0213513192299632,0.0044965556520337,0.0015928728143992,9.442024441919074e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.6525461530111099,33.697190403438206,16.332889947164766,26.85172479311588,1591681642830413.8,19.7796723874415,736.779931302389,1360.11457136237,0.0306396490244,0.0179637054729847,0.438202632845949,33.6966513267277,24.3937774144067,24.38630553598047,0.03063964902435,0.5777388214641999,15.482782026699894,1034099196788021.6,14.061360465183984
9,11,,,60.833895615231135,23.677859903459616,185.6115553952,5635.356704730832,-0.7034526015116181,34610D,242.77612,7.966594,6.310049,204.3051835238959,70869.06265465906,0.3254227872157598,0.973717811918268,58.423068715096086,66893.07302550056,1610.2522747595856,2023-02-05 22:11:00,0.0002025283746606,0.4958792701339632,0.4418068313772588,0.486858905959134,0.7063927120145969,0.0161773292999712,0.0003712628753871,7.829359893765967e-05,2.879723156115107e-05,1562453205537579.0,184.55847407098847,72.26933600057386,0.0701076824581153,0.0014307690297574,0.0011684613743019,0.945129221318958,0.021690316480106,0.004574152310687,0.0016824226383016,9.128331099124413e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.6540841473516131,33.44653651275028,16.177329299971255,28.797231561151072,1562453205537579.0,19.2709943401383,736.301674128858,1365.23498713033,0.0202528374661,0.0181374890074707,0.430169800679928,33.4465544708265,23.7171639636966,23.712361537655017,0.020252837466060002,0.5762690042729878,15.37138168343202,1025277156544981.6,13.91613299100411
