,Unnamed: 0,index,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,air_pressure,rhi_emissions,fuel_flow_per_engine,thrust_setting,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,W3_no_water_injection,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,nvpm_ei_n,ei_mass_meem,ei_number_meem,ei_nox,nvpm_ei_m,ei_co2,wingspan,time,issr_specific_humidity,issr_rhi,issr_issr,cocip_waypoint,cocip_level,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_width,cocip_depth,cocip_rhi_1,cocip_air_temperature_1,cocip_specific_humidity_1,cocip_altitude_1,cocip_persistent_1,cocip_dT_dz,cocip_ds_dz,cocip_dz_max,cocip_rho_air_1,cocip_iwc_1,cocip_n_ice_per_m_1,cocip_ef,cocip_contrail_age,cocip_global_yearly_mean_rf,cocip_atr20,cocip_sdr_mean,cocip_sdr_min,cocip_sdr_max,cocip_rsr_mean,cocip_rsr_min,cocip_rsr_max,cocip_olr_mean,cocip_olr_min,cocip_olr_max,cocip_rf_sw_mean,cocip_rf_sw_min,cocip_rf_sw_max,cocip_rf_lw_mean,cocip_rf_lw_min,cocip_rf_lw_max,cocip_rf_net_mean,cocip_rf_net_min,cocip_rf_net_max,cocip_cocip,cocip_mean_contrail_altitude,cocip_mean_rhi,cocip_std_rhi,cocip_mean_n_ice_per_m,cocip_std_n_ice_per_m,cocip_mean_r_ice_vol,cocip_mean_width,cocip_mean_depth,cocip_mean_tau_contrail,cocip_mean_tau_cirrus,cocip_max_age,cocip_mean_rf_sw,cocip_mean_rf_lw,cocip_mean_rf_net,cocip_mean_olr,cocip_mean_sdr,cocip_mean_rsr,cocip_contrail_length,cocip_persistent_contrail_length,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_segment_length_km,accf_issr_nox_impact,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_segment_length_km
0,0,2,adbb36,NKS2975,42.33370971679688,-71.06150540438568,102.8888888,701.0400000000001,0.4412440622024429,34610D,276.21408,1.4608289,-9.443659,97.75548662380956,67654.92231860415,0.27743879082418454,0.988933177518476,66.09886097171746,122.5761605598362,1608.3135862210563,0.0033892379900906,93181.80291069952,0.6473894686544488,0.5508238414309788,0.6485885682889395,climb,15,GTF2035_wi,60,43673.0,1.3176739130434785,2.9704000000000006,1.3777600000000003,21.786487712089706,3.1941335649889977,0.293410353437705,61.288182832323706,16.342343821989655,20.13151318406702,1308938489470123.2,32.0811137237177,813.021693013872,1328.04455471602,0.338923799009,0.0228661046818455,0.494466588759238,61.2880802799181,21.6244347534987,21.55139195713824,15.159931979555092,0.7252382216012752,806394938038388.8,,,0.0013809552476352217,1.0524406185586549e-05,2.9704000000000006,35.8,2023-02-06 15:02:00,0.0033892379900906664,0.6473899380860334,0.0,0,931.8180291069953,0.0033892379900906664,1.4608289,-9.443659,0.6473899380860334,1.9432092,0.0,1.1752431942726584,617.7800625884295,7725.93080288237,-0.8195006120311534,-0.5730783078084224,6.299069854429488,246.3816673559019,0.666777459111613,inf,0.0,239.11548514504116,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.003313313,2.425427e-07,6868.8276,0.6529579,-183.66467,0.0,0.0,1.0,-8.050491231163144e-13,7.646469e-12,2.296335e-16,0.0,0.0,0.0,7.479999999999999e-16,8.991610135737245e-14,6.841420604267167e-12,704.4958766721334,7.725930802882369,5.605883828243982e-13,0.003313313,2.425427e-07,6868.8276,0.6529579,-183.66467,0.0,0.0,0.0,-8.050491231163144e-13,7.646469e-12,2.296335e-16,0.0,0.0,0.0,7.479999999999999e-16,8.991610135737245e-14,6.841420604267167e-12,704.4958766721334,7.725930802882369
1,1,3,adbb36,NKS2975,42.276880296610166,-71.11520456713299,152.789999868,1203.96,0.4431881760077635,34610D,273.45633,1.7162616,-6.3098993,125.66280220334724,67588.82345763243,0.3084031847104108,1.479248599588294,96.0,158.5500219835936,3568.7776279026752,0.0031831322758033,87673.12586169648,0.7158997641778259,0.8,0.974888395695391,climb,15,GTF2035_wi,60,43673.0,1.3176739130434785,2.9704000000000006,1.3777600000000003,18.15436672886562,2.6653672586484203,0.3790704831673827,79.27483441213646,21.46759141619757,36.28235539,1450000000000000.0,41.4390298280052,871.785879918196,1555.90943754222,0.31831322758,0.0273501079912606,0.739624299794147,79.2750109917968,27.0428292286994,26.957021463619032,10.205782665721252,0.9818360519981648,1231699920765803.8,23.110533841014213,1569935806784106.5,0.0035915432364128992,2.592295442707344e-05,2.9704000000000006,35.8,2023-02-06 15:03:00,0.00318313227580337,0.7158998585791894,0.0,1,876.7312586169647,0.00318313227580337,1.7162616,-6.3098993,0.7158998585791894,1.9948975,0.0,1.1169171483990288,620.5018427207511,8772.56839360524,-0.9285345241436924,0.3712460605491279,6.190938293430877,246.17113673955714,0.7179565480892214,inf,0.0,239.38330981847602,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.003114983,2.864198e-07,11692.029,0.70162785,-183.02008,0.0,0.0,0.9999999999999999,-7.87758024049086e-13,6.9886536e-12,2.330157e-16,0.0,0.0,0.0,7.48e-16,8.159266024820688e-14,6.20089573508556e-12,705.6502173970034,8.772568393605239,1.976641663542615e-12,0.003114983,2.864198e-07,11692.029,0.70162785,-183.02008,0.0,0.0,0.0,-7.87758024049086e-13,6.9886536e-12,2.330157e-16,0.0,0.0,0.0,7.48e-16,8.159266024820688e-14,6.20089573508556e-12,705.6502173970034,8.772568393605239
2,2,4,adbb36,NKS2975,42.20421225337659,-71.07598593068673,150.217777648,2316.48,0.445892650309363,34610D,267.64578,7.8307,-3.4740822,152.37234832624188,67492.82345763243,0.360658329987993,1.044202146019668,78.51005627556778,107.9412426815626,2410.6299343298624,0.0027211845170252,76420.53006165694,0.8689070526728572,0.6542504689630648,0.8552410307249116,climb,15,GTF2035_wi,60,43673.0,1.3176739130434785,2.9704000000000006,1.3777600000000003,22.120586975697343,3.257893847568824,0.4646042225596985,53.97072737547504,17.932890293662695,31.55684687949236,1520993959746343.0,33.0551526873355,836.675154073862,1366.30736635036,0.272118451703,0.0238349216364349,0.522101073009834,53.9706213407813,21.9048789408115,21.84543348544321,15.185504582216868,0.8214107248751793,906223598438383.6,21.327329381454103,1469665191523725.8,0.0014918688170779493,1.2660931191072892e-05,2.9704000000000006,35.8,2023-02-06 15:04:00,0.002721184517025204,0.8689071638893477,0.0,2,764.2053006165694,0.002721184517025204,7.8307,-3.4740822,0.8689071638893477,2.2191842,1.7761337e-09,0.9946999457844994,624.2881918650742,9611.468894653619,-0.8690383133027305,0.49474479280932826,5.835087827012326,245.45445610344908,0.8235688079962317,inf,0.0,239.88652790281046,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0026616452,2.1182571e-07,22390.584,0.82459325,-178.85416,0.0,0.0,1.0000000000000002,-7.489497711689763e-13,5.7020747e-12,2.2726574e-16,0.0,0.0,0.0,7.48e-16,6.536588686200386e-14,4.953124702462638e-12,707.1238157797329,9.611468894653619,4.6296241030654e-13,0.0026616452,2.1182571e-07,22390.584,0.82459325,-178.85416,0.0,0.0,0.0,-7.489497711689763e-13,5.7020747e-12,2.2726574e-16,0.0,0.0,0.0,7.48e-16,6.536588686200386e-14,4.953124702462638e-12,707.1238157797329,9.611468894653619
3,3,5,adbb36,NKS2975,42.12930970272775,-71.01849933003268,167.1944443,3063.24,0.4487222032722377,34610D,264.98715,12.842031,-1.311742,170.29562069695606,67414.31340135686,0.38426032959046236,0.787542356371144,61.34018329777782,77.6084513759288,1310.9389903160402,0.0018316406264454,69546.28509278147,0.6701876824045087,0.5111681941481485,0.714947963701348,climb,15,GTF2035_wi,60,43673.0,1.3176739130434785,2.9704000000000006,1.3777600000000003,20.31360719310079,3.00983385076058,0.5218531193416728,38.803967799630335,16.217519094007084,23.54799897390283,1470197489840223.5,26.9049266858195,810.178859052534,1273.07228612573,0.183164062645,0.0216159727763646,0.393771178185572,38.8042256879644,18.2166762634033,18.183370862605628,16.735836685905763,0.7143009657770301,554228964715388.5,20.37005942457524,1406075992899729.2,0.0011290171287110667,7.166844324022352e-06,2.9704000000000006,35.8,2023-02-06 15:05:00,0.0018316406264454691,0.6701874850303495,0.0,3,695.4628509278148,0.0018316406264454691,12.842031,-1.311742,0.6701874850303495,2.5124383,5.283592e-11,0.9143060027678562,628.2496600756087,11080.285114414322,-0.8202005681753433,0.5720760683378078,5.509530525525781,244.7639539424279,0.6189362977236422,inf,0.0,237.2243841101923,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0017925267,7.2838026e-07,29596.623,0.63276654,-174.25034,0.0,0.0,0.9999999999999999,-7.22884662038262e-13,5.079465e-12,2.670835e-16,0.0,0.0,0.0,7.48e-16,5.765062805408825e-14,4.356580351879016e-12,708.6412365348265,11.080285114414322,2.3241889411386587e-13,0.0017925267,7.2838026e-07,29596.623,0.63276654,-174.25034,0.0,0.0,0.0,-7.22884662038262e-13,5.079465e-12,2.670835e-16,0.0,0.0,0.0,7.48e-16,5.765062805408825e-14,4.356580351879016e-12,708.6412365348265,11.080285114414322
4,4,6,adbb36,NKS2975,42.04761052535752,-70.94178665515989,199.089999828,3467.1000000000004,0.4517408844054665,34610D,263.20035,14.499976,2.5770183,183.9852694447437,67352.97321805908,0.3963441401899998,1.116885677164934,82.80269185661147,105.0778397677462,2577.1937879183133,0.0015288454338851,66042.770723412,0.6218370817707584,0.690022432138429,1.0,climb,15,GTF2035_wi,60,43673.0,1.3176739130434785,2.9704000000000006,1.3777600000000003,22.100039788994863,3.281218423429144,0.5657141533288619,52.53871203795986,21.04124050124772,36.28235538999999,1450000000000000.0,34.1507198126155,862.954255064328,1417.35364538215,0.152884543389,0.0251543021089767,0.558442838582467,52.5389198838731,22.2006890178511,22.16679940779265,14.955285030107603,0.93958085275501,855834308689170.2,20.51743204813674,1377130263795185.5,0.0017226520380386574,1.6014192949943593e-05,2.9704000000000006,35.8,2023-02-06 15:06:00,0.0015288454338851815,0.6218374543680613,0.0,4,660.42770723412,0.0015288454338851815,14.499976,2.5770183,0.6218374543680613,2.8699493,4.2403253e-10,0.8741405591187709,632.475922024213,12201.84212776877,-0.8219449188493326,0.5695669849787328,5.335319025906961,244.37944425674877,0.5643252238804397,inf,0.0,236.4689063158441,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0014971958,6.718567e-07,33550.6,0.58543086,-170.11133,0.0,0.0,1.0,-7.087536836149681e-13,4.7284047e-12,2.6272646e-16,0.0,-0.0,0.0,7.480000000000001e-16,5.326619018732255e-14,4.019651056267939e-12,710.2963474268029,12.20184212776877,4.640298174142394e-13,0.0014971958,6.718567e-07,33550.6,0.58543086,-170.11133,0.0,0.0,0.0,-7.087536836149681e-13,4.7284047e-12,2.6272646e-16,0.0,-0.0,0.0,7.480000000000001e-16,5.326619018732255e-14,4.019651056267939e-12,710.2963474268029,12.20184212776877
5,5,7,adbb36,NKS2975,41.9575784974179,-70.85792009220563,205.7777776,4259.58,0.454896531676361,34610D,258.26172,16.693224,10.971824,201.69522946481612,67270.17052620248,0.4156029322221906,0.984926173904958,77.56877141009527,88.6338636446062,1239.3160654505714,0.0009857802193256,59583.07384093393,0.5654896544072924,0.6464064284174605,0.9802397439282496,climb,15,GTF2035_wi,60,43673.0,1.3176739130434785,2.9704000000000006,1.3777600000000003,20.08370854015624,2.992758158413849,0.6260698817175333,44.31659927193353,20.32961761783096,36.28235539,1450000000000000.0,30.930982541624,849.520475112075,1386.10939747279,0.0985780219326,0.0241596067674366,0.492463086952479,44.3169318223031,20.3837376863369,20.363663589577293,14.795138615015762,0.8757485896144352,796645907563362.4,19.768856563606573,1314126929849174.2,0.0016397421873537267,1.2302331602663555e-05,2.9704000000000006,35.8,2023-02-06 15:07:00,0.0009857802193256435,0.5654898826496791,0.0,5,595.8307384093393,0.0009857802193256435,16.693224,10.971824,0.5654898826496791,3.3630483,5.2903823e-07,0.803720996583033,636.8939462259019,12801.950611483831,-0.8650897885852082,0.5016170428579952,4.969768886506345,243.53501257051792,0.4888919812118422,inf,0.0,235.19655580565728,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0009647892,4.275143e-07,41266.637,0.54023814,-166.2737,0.0,0.0,0.9999999999999999,-6.807328043527773e-13,3.9477085e-12,2.4389173e-16,0.0,-0.0,0.0,7.48e-16,4.346257453767205e-14,3.266975600303238e-12,712.1179724158935,12.801950611483832,3.1657483589380877e-13,0.0009647892,4.275143e-07,41266.637,0.54023814,-166.2737,0.0,0.0,0.0,-6.807328043527773e-13,3.9477085e-12,2.4389173e-16,0.0,-0.0,0.0,7.48e-16,4.346257453767205e-14,3.266975600303238e-12,712.1179724158935,12.801950611483832
6,6,8,adbb36,NKS2975,41.858001708984375,-70.78041770241475,227.384444248,4640.58,0.458127030644354,34610D,255.75598,16.892221,14.659993,226.628835528924,67192.60175479238,0.4308389191409654,1.159305602298826,76.4456062014536,96.2522123743322,2775.078702475155,0.0010033570996093,56665.10718470681,0.6912342164616647,0.6370467183454467,1.0,climb,15,GTF2035_wi,60,43673.0,1.3176739130434785,2.9704000000000006,1.3777600000000003,18.39674261625588,2.741052890124676,0.7069023970733612,48.12645298048741,20.6126832905573,36.28235538999999,1450000000000000.0,34.1303815767774,874.313631381907,1485.5553889485,0.100335709961,0.0260898836864527,0.579652801149413,48.1261061871661,22.2175310597648,22.19526128677503,12.45005691715358,0.993765173702145,817845877012827.6,22.310213980848616,1302548369522106.8,0.002518028285520145,1.7773416206777482e-05,2.9704000000000006,35.8,2023-02-06 15:08:00,0.001003357099609356,0.6912347747438492,0.0,6,566.6510718470681,0.001003357099609356,16.892221,14.659993,0.6912347747438492,3.962885,2.845673e-06,0.7718490364915983,641.4167670488724,12932.714296879942,-0.96828920219839,-0.24983198535416845,4.852979027530054,243.25359728085127,0.5830340577967681,inf,0.0,235.55963021218716,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.000981289,3.001661e-07,45023.91,0.6716079,-162.55835,0.0,0.0,1.0,-6.672850432657373e-13,3.6036803e-12,2.340753e-16,0.0,-0.0,0.0,7.48e-16,3.915521253294855e-14,2.9363951713109012e-12,714.1298650364331,12.932714296879942,5.143091969611227e-13,0.000981289,3.001661e-07,45023.91,0.6716079,-162.55835,0.0,0.0,0.0,-6.672850432657373e-13,3.6036803e-12,2.340753e-16,0.0,-0.0,0.0,7.48e-16,3.915521253294855e-14,2.9363951713109012e-12,714.1298650364331,12.932714296879942
7,7,9,adbb36,NKS2975,41.74562615863347,-70.81927632176598,209.378888708,5494.02,0.4608513152730646,34610D,250.1261,16.65909,20.865917,238.4932242334469,67116.15614859093,0.44666431689858643,1.002590244738786,73.43599978817097,82.0052608248242,2081.364895220949,0.0008965109529527,50547.32103053465,0.946719679301451,0.6119666649014248,1.0,climb,15,GTF2035_wi,60,43673.0,1.3176739130434785,2.9704000000000006,1.3777600000000003,18.22556758841551,2.717495717295531,0.7522353500966591,41.00279231251319,20.27946900822709,36.28235539,1450000000000000.0,30.6939106626403,858.87519845963,1427.1102517563,0.0896510952953,0.0248511504739167,0.501295122369393,41.0026304124121,20.1719080529307,20.15383991470312,13.57341264543539,0.9198350013906832,756228364473507.4,20.64236056923553,1232233448421988.0,0.0019770901826207804,1.3361482760359469e-05,2.9704000000000006,35.8,2023-02-06 15:09:00,0.0008965109529527787,0.9467202843006234,0.0,7,505.4732103053465,0.0008965109529527787,16.65909,20.865917,0.9467202843006234,4.287696,1.2622181e-05,0.7040144618086115,645.2308427919347,12430.578898437592,-0.7042767810084202,-0.7099255001283007,4.452432756131637,242.24054943115598,0.7553452141893271,inf,0.0,236.07196229519366,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00087663793,-7.270327e-09,53307.348,0.9299178,-159.38582,0.0,0.0,1.0,-6.37062933913944e-13,2.9129307e-12,2.1564551e-16,0.0,-0.0,0.0,7.479999999999998e-16,3.054992763197429e-14,2.2758678550931688e-12,716.4001107997703,12.430578898437592,2.7067506288570526e-13,0.00087663793,-7.270327e-09,53307.348,0.9299178,-159.38582,0.0,0.0,0.0,-6.37062933913944e-13,2.9129307e-12,2.1564551e-16,0.0,-0.0,0.0,7.479999999999998e-16,3.054992763197429e-14,2.2758678550931688e-12,716.4001107997703,12.430578898437592
8,8,10,adbb36,NKS2975,41.6669528767214,-70.9253710369731,213.49444426,6134.1,0.4627335061654805,34610D,246.14784,17.59171,26.648623,242.1059932099193,67042.72014880275,0.45572676842015175,0.878813112616542,70.93421036114262,72.2451259470162,1933.376550762588,0.0006653868967271,46319.52510881937,0.9581859764235012,0.5911184196761885,1.0,climb,15,GTF2035_wi,60,43673.0,1.3176739130434785,2.9704000000000006,1.3777600000000003,18.263872554884625,2.727428341751179,0.7697766746195606,36.12266221199322,19.93536609109873,36.28235538999999,1450000000000000.0,27.8847537854255,845.229152770205,1373.6269955956,0.0665386896727,0.0238178276338616,0.439406556308271,36.1225629735081,18.4486412053621,18.43637388375669,14.860273937980793,0.8575534976570016,698234387718268.9,18.529486092104538,1175325399090712.2,0.0015678015241285448,1.0168872042503588e-05,2.9704000000000006,35.8,2023-02-06 15:10:00,0.0006653868967271227,0.9581874236517617,0.0,8,463.1952510881937,0.0006653868967271227,17.59171,26.648623,0.9581874236517617,4.2755904,2.2381144e-05,0.6555570886240674,647.8659144946001,12894.637238011368,-0.7060505909466769,-0.7081613961688737,4.147138172950764,241.41264643777637,0.7349859066822501,inf,0.0,235.09345647457204,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0006512655,-3.5082783e-07,59565.883,0.9356011,-158.48682,0.0,0.0,1.0000000000000002,-6.141195292994698e-13,2.5084511e-12,2.3798047e-16,0.0,-0.0,0.0,7.48e-16,2.5612290070563752e-14,1.8943315067879416e-12,717.9853682660939,12.894637238011368,1.566011127217552e-13,0.0006512655,-3.5082783e-07,59565.883,0.9356011,-158.48682,0.0,0.0,0.0,-6.141195292994698e-13,2.5084511e-12,2.3798047e-16,0.0,-0.0,0.0,7.48e-16,2.5612290070563752e-14,1.8943315067879416e-12,717.9853682660939,12.894637238011368
9,9,11,adbb36,NKS2975,41.58511404263771,-71.0350426962209,218.124444256,6728.46,0.4646351722522056,34610D,242.3454,18.625563,32.155136,242.6484623281609,66971.78593844161,0.45571429242515016,0.909235457943728,69.1366618104358,74.5769289588268,2206.4861261884835,0.0004938878957553,42654.61853884109,0.9694510442352948,0.5761388484202983,1.0,climb,15,GTF2035_wi,60,43673.0,1.3176739130434785,2.9704000000000006,1.3777600000000003,16.85422994427629,2.519810391479688,0.7775303643137118,37.28826549570692,19.67607383551212,36.28235538999999,1450000000000000.0,27.8114986958861,850.453632729875,1417.12008624643,0.0493887895755,0.0248552884379247,0.454617728971864,37.2884644794134,18.2905835153455,18.281554476873783,13.83273743570546,0.8799009185387687,733388296619497.1,16.262883252435127,1120424847911748.4,0.0018130769406551563,1.1474908454181485e-05,2.9704000000000006,35.8,2023-02-06 15:11:00,0.0004938878957553594,0.9694511701664218,0.0,9,426.54618538841095,0.0004938878957553594,18.625563,32.155136,0.9694511701664218,4.132972,4.341693e-05,0.6131598799026745,650.5282518421783,13073.016020263154,-0.7085019961968824,-0.7057088077847923,3.818354999631545,240.45834876444718,0.7161479046593865,inf,0.0,234.0233410275024,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00048346358,-5.1872564e-07,65379.055,0.96086663,-158.15186,0.0,0.0,0.9999999999999999,-5.927694372206338e-13,2.1902985e-12,2.509226e-16,0.0,-0.0,0.0,7.48e-16,2.176680079732816e-14,1.5975290916839165e-12,719.6344112399382,13.073016020263154,1.580129292789398e-13,0.00048346358,-5.1872564e-07,65379.055,0.96086663,-158.15186,0.0,0.0,0.0,-5.927694372206338e-13,2.1902985e-12,2.509226e-16,0.0,-0.0,0.0,7.48e-16,2.176680079732816e-14,1.5975290916839165e-12,719.6344112399382,13.073016020263154
