,index,longitude,latitude,altitude,icao24,callsign,groundspeed,cos_sza,time,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity,air_pressure,rhi,fuel_flow_per_engine,thrust_setting,nox_ei,co_ei,hc_ei,nvpm_ei_m,nvpm_ei_n,co2,h2o,so2,sulphates,oc,nox,co,hc,nvpm_mass,nvpm_number,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,ei_nox_p3t3,ei_nvpm_number_p3t3_meem,ei_nvpm_mass_p3t3_meem
0,0,-71.01115381994913,42.35587944418697,83.82000000000001,adbb36,NKS2975,72.02222216,0.4382109269528448,2023-02-06 15:00:00,34610D,287.60516,,,96.2480442981134,67843.66446979828,0.2499538979821755,1.0894073169621736,65.36443901773042,122021.88963981472,1998.8582617898169,,1.0032209119392286,,0.5447036584810868,0.6937910692707467,,0.0003165117661192,6.656386039345168e-05,1.9327996118982936e-05,1271012279128120.5,206.4862628570104,80.85581106493254,0.0784373268212764,0.0016007617718627,0.0013072887803546,,0.0206886140348941,0.0043509093934724,0.0012633636236541,8.307900460985659e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.2831071064979801,61.01094481990736,,19.327996118982934,1271012279128120.5,,,,,,,,,,,,,,
1,1,-71.06150540438568,42.33370971679688,701.0400000000001,adbb36,NKS2975,102.8888888,0.4397269856390455,2023-02-06 15:01:00,34610D,276.21936,1.4857653,-9.445222,110.53574470882104,67778.30003078055,0.2623943861668413,1.040202780721224,62.41216684327344,106499.91624874748,1608.343231566868,0.0033898246499801,0.9318180291069952,0.6472266937757829,0.520101390360612,0.61540204797388,0.0159630167031152,0.0002986800149368,6.167200186638773e-05,1.8269906056109383e-05,1221070158382837.0,197.1600350579008,77.20385038512926,0.0748946002119281,0.0015284612288148,0.0012482433368654,0.996286461796788,0.018641266924993,0.0038490832700436,0.0011402644249848,7.620963445233195e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.3317667794423338,53.24995812437374,15.963016703115224,18.269906056109384,1221070158382837.0,,,,,,,,,,,,,,
2,2,-71.11520456713299,42.276880296610166,1203.96,adbb36,NKS2975,152.789999868,0.4416790409630897,2023-02-06 15:02:00,34610D,273.46118,1.7400779,-6.3132586,131.69711012289682,67715.88786393729,0.2649586137434725,1.6,96.0,147896.066663389,3568.8347900669773,0.0031846308299205,0.8767312586169648,0.7159511508257838,0.8,0.9777128735599422,0.0215395496470263,0.0003074802695165,6.668573910609548e-05,3.628235539e-05,1450000000000000.0,303.264,118.752,0.1152,0.0023510204081632,0.0019199999999999,2.0677967661145304,0.029518105873585,0.0064018309541851,0.0034831061174399,1.392e+17,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.3972698404280936,73.9480333316945,21.53954964702636,36.28235539,1450000000000000.0,,,,,,,,,,,,,,
3,3,-71.07598593068673,42.20421225337659,2316.48,adbb36,NKS2975,150.217777648,0.4443955436592351,2023-02-06 15:03:00,34610D,267.6496,7.869005,-3.468839,152.3591637919091,67619.88786393729,0.2913843215116312,1.3109301341198438,78.65580804719063,108132.58975433368,2410.700098647442,0.0027223599796366,0.7642053006165694,0.8689982485236951,0.6554650670599219,0.8568682840782007,0.0179722199281812,0.0003295192867705,7.146551947075455e-05,3.166210252059588e-05,1519412645326749.5,248.4736976210752,97.29723455437482,0.0943869696566287,0.0019262646868699,0.0015731161609438,1.413619480852921,0.0259186057680686,0.0056211781814844,0.0024904082582304,1.1951062937529494e+17,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.4645607357418641,54.06629487716684,17.972219928181282,31.66210252059588,1519412645326749.5,,,,,,,,,,,,,,
4,4,-71.01849933003268,42.12930970272775,3063.24,adbb36,NKS2975,167.1944443,0.4472380191013827,2023-02-06 15:04:00,34610D,264.9988,12.896351,-1.2751634,170.29832286657503,67541.2320558901,0.2997838643571623,1.023619862367623,61.417191742057376,77717.00310024993,1310.97777090385,0.0018305005205684,0.6954628509278147,0.6690865419853128,0.5118099311838115,0.7159647371982852,0.0162269822842537,0.0003510515124738,7.41839477298473e-05,2.3590161912535828e-05,1472187591293843.5,194.01690871315924,75.97306618492497,0.0737006300904688,0.0015040944916422,0.0012283438348411,0.9966156823469828,0.0215605980529464,0.0045561697419067,0.0014488414974083,9.041762757477158e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.5218499313118379,38.85850155012496,16.226982284253783,23.590161912535827,1472187591293843.5,,,,,,,,,,,,,,
5,5,-70.94178665515989,42.04761052535752,3467.1000000000004,adbb36,NKS2975,199.089999828,0.4502704698067473,2023-02-06 15:05:00,34610D,263.20428,14.567028,2.6208482,183.98895387660747,67479.81486414804,0.3071653535967492,1.3799639770994574,82.79783862596744,105247.9680418744,2577.2317959155284,0.0015296000680247,0.66042770723412,0.6219274908291627,0.6899819885497287,1.0,0.021040417161664,0.0003618514573158,7.847765944679569e-05,3.628235539e-05,1450000000000000.0,261.55837221943113,102.42092638032172,0.0993574063511609,0.0020277021704318,0.0016559567725193,1.742101064774498,0.0299605185694095,0.0064977805826194,0.0030041006065512,1.200568660076528e+17,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.5657212353964711,52.62398402093721,21.040417161664077,36.28235538999999,1450000000000000.0,,,,,,,,,,,,,,
6,6,-70.85792009220563,41.9575784974179,4259.58,adbb36,NKS2975,205.7777776,0.4534401333436338,2023-02-06 15:06:00,34610D,258.26544,16.724546,11.010937,201.71788959160395,67397.01702552206,0.3206005180409045,1.2943445344583968,77.66067206750381,88725.64317698221,1239.3338715763332,0.0009861005132446,0.5958307384093393,0.5654792442601696,0.6471722672291984,0.9814711089539808,0.0203590604935031,0.0003775537192293,8.18831363022243e-05,3.628235539e-05,1450000000000000.0,245.3300630612445,96.06625134750222,0.0931928064810045,0.0019018940098164,0.00155321344135,1.5810983205884237,0.0293210755769377,0.0063590993962257,0.0028177121037794,1.1260797449788051e+17,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.6261357118926885,44.3628215884911,20.35906049350319,36.28235539,1450000000000000.0,,,,,,,,,,,,,,
7,7,-70.78041770241475,41.858001708984375,4640.58,adbb36,NKS2975,227.384444248,0.4566842239529231,2023-02-06 15:07:00,34610D,255.75963,16.913675,14.685029,226.6592044622008,67319.35635345457,0.3290269670730116,1.2740242617054118,76.4414557023247,96363.4282405647,2775.087909912311,0.0010031169833355,0.5666510718470681,0.6908320565323018,0.6370121308527059,1.0,0.0206129066291802,0.0003848122359282,8.345734967090216e-05,3.628235539e-05,1450000000000000.0,241.47855856364373,94.55808070377566,0.0917297468427896,0.0018720356498528,0.0015288291140464,1.5756805889906391,0.0294156074864197,0.0063796012979016,0.0027734760623206,1.1084011076837082e+17,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.7069921439525318,48.18171412028235,20.612906629180276,36.28235539,1450000000000000.0,,,,,,,,,,,,,,
8,8,-70.81927632176598,41.74562615863347,5494.02,adbb36,NKS2975,209.378888708,0.4594162505393952,2023-02-06 15:08:00,34610D,250.12413,16.70514,20.866385,238.5258296150396,67242.91489775224,0.3371796907521459,1.2239700533562443,73.43820320137466,82151.15799937921,2081.3460806565786,0.0008951428735188,0.5054732103053465,0.9454592998478236,0.6119850266781222,1.0,0.020281020114834,0.0004017229576957,8.712491501309402e-05,3.628235539e-05,1450000000000000.0,231.99128391314252,90.84305736010046,0.0881258438416495,0.0017984866090132,0.0014687640640274,1.4894016763243485,0.0295018121979193,0.006398297212634,0.0026645109877553,1.0648539464199326e+17,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.7523411603710622,41.0755789996896,20.28102011483403,36.28235538999999,1450000000000000.0,,,,,,,,,,,,,,
9,9,-70.9253710369731,41.6669528767214,6134.1,adbb36,NKS2975,213.49444426,0.4613037061622433,2023-02-06 15:09:00,34610D,246.14531,17.648283,26.662764,242.15522772926408,67169.47669455086,0.342431366987076,1.1822245710715005,70.93347426429001,72339.03134926355,1933.342006653204,0.0006642397671217,0.4631952510881937,0.9567800281758596,0.5911122855357501,1.0,0.0199361383546523,0.0004165221929559,9.033454515644984e-05,3.628235539e-05,1450000000000000.0,224.07884520089212,87.74470766492675,0.085120169117148,0.0017371463085132,0.0014186694852858,1.414139556909054,0.0295453662545437,0.0064077431340313,0.0025736335223043,1.0285353768322051e+17,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.7699371754106702,36.169515674631775,19.9361383546523,36.28235538999999,1450000000000000.0,,,,,,,,,,,,,,
