Unnamed: 0.1,Unnamed: 0,index,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,air_pressure,rhi_emissions,fuel_flow_per_engine,thrust_setting,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,W3_no_water_injection,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,nvpm_ei_n,ei_mass_meem,ei_number_meem,ei_nox,nvpm_ei_m,ei_co2,wingspan,time,issr_specific_humidity,issr_rhi,issr_issr,cocip_waypoint,cocip_level,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_width,cocip_depth,cocip_rhi_1,cocip_air_temperature_1,cocip_specific_humidity_1,cocip_altitude_1,cocip_persistent_1,cocip_dT_dz,cocip_ds_dz,cocip_dz_max,cocip_rho_air_1,cocip_iwc_1,cocip_n_ice_per_m_1,cocip_ef,cocip_contrail_age,cocip_global_yearly_mean_rf,cocip_atr20,cocip_sdr_mean,cocip_sdr_min,cocip_sdr_max,cocip_rsr_mean,cocip_rsr_min,cocip_rsr_max,cocip_olr_mean,cocip_olr_min,cocip_olr_max,cocip_rf_sw_mean,cocip_rf_sw_min,cocip_rf_sw_max,cocip_rf_lw_mean,cocip_rf_lw_min,cocip_rf_lw_max,cocip_rf_net_mean,cocip_rf_net_min,cocip_rf_net_max,cocip_cocip,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_segment_length_km,accf_issr_nox_impact,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_segment_length_km,accf_sac_accf_contrail_cocip
0,0,2,adbb36,NKS2975,42.33370971679688,-71.06150540438568,102.8888888,701.0400000000001,-0.5131375785550056,34610D,276.88602,-1.986956,-8.8236265,96.12523594322155,67037.38571925568,0.2737479474705002,0.99507374724553,66.73806291422866,124.9732772073652,1609.6508413381612,0.0046987304817692,93181.80291069952,0.85037694551038,0.5561505242852389,0.6605318324124678,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,21.87409135842209,3.178333243936489,0.2881669081805884,62.48667926754637,16.006809705067827,20.541108380803028,1328271487189167.8,32.3672935513354,816.084528760902,1337.59158419283,0.469873048177,0.0228571304488943,0.497536873622765,62.4866386036826,21.7672500375844,21.665449927608304,15.139927233787606,0.7371826275088827,744044827347485.4,,,0.0013634283638636,9.184131392202032e-06,2.8440000000000003,35.8,2023-05-05 04:02:00,0.0046987304817692,0.8503761525853903,0.0,0,931.8180291069953,0.0046987304817692,-1.986956,-8.8236265,0.8503761525853903,0.14803518,1.4659762e-09,1.1723911437720247,0.0,7725.93080288237,-0.8195006120311534,-0.5730783078084224,6.466826517299554,246.70201899329945,0.8815312305078484,inf,0.0,241.93583279879488,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.004592342,1.3329303e-07,7115.0703,0.8655266,-231.03252,0.0,0.0,1.0,-9.802028376515445e-13,7.73798e-12,2.2121217000000003e-16,0.0,0.0,0.0,7.479999999999999e-16,8.882032107596943e-14,6.757777608129762e-12,1219.1912110679564,7.725930802882369,5.501013856579787e-13,0.004592342,1.3329303e-07,7115.0703,0.8655266,-231.03252,0.0,0.0,0.0,-9.802028376515445e-13,7.73798e-12,2.2121217000000003e-16,0.0,0.0,0.0,7.479999999999999e-16,8.882032107596943e-14,6.757777608129762e-12,1219.1912110679564,7.725930802882369,0.0
1,1,3,adbb36,NKS2975,42.276880296610166,-71.11520456713299,152.789999868,1203.96,-0.514376150529617,34610D,273.24146,-2.874162,-7.972619,125.94668769123552,66970.64765634145,0.3079056464067165,1.48020818127501,96.0,159.5887012271974,3565.592246169409,0.004329223797961,87673.12586169648,0.9910148492056516,0.8,0.9721290267339548,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,17.62807578281519,2.567895482231054,0.3800762121455791,79.79403372481775,20.96240597637281,36.28235539,1450000000000000.0,41.6146783632891,871.82737633115,1566.88874679339,0.432922379796,0.0272301936345742,0.740104090637505,79.7943506135987,27.1795382937635,27.06237919771132,9.921724023844536,0.9820329674574974,1201448332228821.5,21.03071022633036,1495339167158057.8,0.0036899350013311,2.44132948337632e-05,2.8440000000000003,35.8,2023-05-05 04:03:00,0.004329223797961,0.9910147979633032,0.0,1,876.7312586169647,0.004329223797961,-2.874162,-7.972619,0.9910147979633032,0.121627964,8.09388e-07,1.1177954630869846,0.0,8772.56839360524,-0.9285345241436924,0.3712460605491279,6.382793271082846,246.5424822015489,0.9917967567667836,inf,0.0,245.13381747201583,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.004235197,2.5292186e-07,11945.649,0.9695584,-232.08405,0.0,0.0,1.0,-9.5385836665955e-13,6.945535e-12,2.3043357000000003e-16,0.0,0.0,0.0,7.48e-16,7.887022557788003e-14,5.991676309203288e-12,1219.7898097296709,8.772568393605239,1.9635461358329752e-12,0.004235197,2.5292186e-07,11945.649,0.9695584,-232.08405,0.0,0.0,0.0,-9.5385836665955e-13,6.945535e-12,2.3043357000000003e-16,0.0,0.0,0.0,7.48e-16,7.887022557788003e-14,5.991676309203288e-12,1219.7898097296709,8.772568393605239,0.0
2,2,4,adbb36,NKS2975,42.20421225337659,-71.07598593068673,150.217777648,2316.48,-0.5160250977940999,34610D,267.37772,-2.774568,-6.3909993,155.0995782089076,66874.64765634145,0.3613781041352624,1.044891168406084,78.98038320639235,107.3669742275004,2404.77342371174,0.0030445967333206,76420.53006165694,0.99481868719961,0.6581698600532696,0.8584704853105043,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,20.61968669815561,3.030174373960042,0.4731569697070497,53.68363370630521,17.931872525835878,31.69782340714613,1518875990451149.8,33.0662014266877,835.541678223589,1384.68688419838,0.304459673332,0.023720975197081,0.522445584203042,53.6834871137502,22.0246250359611,21.95777247361693,14.10446774610405,0.8166002044741346,842699877661519.5,19.701205542537423,1401979227252248.5,0.0016867077115658,1.113653573910752e-05,2.8440000000000003,35.8,2023-05-05 04:04:00,0.0030445967333206,0.9948197934969076,0.0,2,764.2053006165694,0.0030445967333206,-2.774568,-6.3909993,0.9948197934969076,0.03803893,7.5669476e-07,0.9956971839517894,0.0,9611.46889465362,-0.8690383133027305,0.4947447928093282,6.022768051094202,245.8371316746828,0.9404494665872064,inf,0.0,242.33687799424436,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.0029781936,7.4787255e-07,22614.965,0.93975085,-232.31107,0.0,0.0,1.0000000000000002,-8.954373910780807e-13,5.6563014e-12,2.68586e-16,0.0,0.0,0.0,7.48e-16,6.29078151245233e-14,4.76086377826379e-12,1220.5509863054936,9.61146889465362,5.034402038874839e-13,0.0029781936,7.4787255e-07,22614.965,0.93975085,-232.31107,0.0,0.0,0.0,-8.954373910780807e-13,5.6563014e-12,2.68586e-16,0.0,0.0,0.0,7.48e-16,6.29078151245233e-14,4.76086377826379e-12,1220.5509863054936,9.61146889465362,0.0
3,3,5,adbb36,NKS2975,42.12930970272775,-71.01849933003268,167.1944443,3063.24,-0.5177246524461133,34610D,263.9612,-1.8348358,-6.9312444,173.88763278875902,66795.66727313506,0.3799946618868639,0.751717378682042,58.638031256889846,72.445569107648,1305.4762294683749,0.002484394871487,69546.28509278147,0.9948075581330316,0.488650260474082,0.6751669067150023,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,16.83000926478604,2.482689001013392,0.5338949884756242,36.22280981412247,15.713783347910862,21.863804972311943,1390703103551873.8,25.7178595893824,797.547955202915,1291.56569058262,0.248439487149,0.0211569379010605,0.375858689341021,36.222784553824,17.7652688257019,17.72124226230904,14.258117613911711,0.6674252192446126,444912349975988.94,19.01135088695546,1343439031589604.5,0.0014137188973035,5.077319017828772e-06,2.8440000000000003,35.8,2023-05-05 04:05:00,0.002484394871487,0.9948095749006064,0.0,3,695.4628509278148,0.002484394871487,-1.8348358,-6.9312444,0.9948095749006064,0.0032354533,5.848112e-08,0.9178596774880032,0.0,11080.285114414322,-0.8202005681753433,0.5720760683378078,5.642857096702515,245.051004440872,0.9095554842478388,inf,0.0,240.87759516551083,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.0024296467,7.548072e-07,29796.426,0.9406345,-232.3214,0.0,0.0,1.0,-8.561525034084626e-13,4.9512074e-12,2.6912055e-16,0.0,0.0,0.0,7.48e-16,5.42528364410256e-14,4.095055067630708e-12,1221.3329943485194,11.080285114414322,2.611130938234296e-13,0.0024296467,7.548072e-07,29796.426,0.9406345,-232.3214,0.0,0.0,0.0,-8.561525034084626e-13,4.9512074e-12,2.6912055e-16,0.0,0.0,0.0,7.48e-16,5.42528364410256e-14,4.095055067630708e-12,1221.3329943485194,11.080285114414322,0.0
4,4,6,adbb36,NKS2975,42.04761052535752,-70.94178665515989,199.089999828,3467.1000000000004,-0.5195400737080467,34610D,262.0253,-0.8454183,-8.267437,183.4039804726225,66737.02924187816,0.3966542847035256,0.973961602267806,76.2494429257838,92.8952837564392,2579.0178701338605,0.0021253987805452,66042.770723412,0.9599572197895524,0.6354120243815317,0.9052247747318404,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,20.60506595306246,3.046965910909676,0.5651898342378954,46.44832533948568,18.6411865227332,35.00245800970032,1469228614845238.0,31.2351350053581,840.089742805381,1369.11607181315,0.212539878055,0.023503278614747,0.486980801133903,46.4476418782196,20.7196965630297,20.675752344210466,14.949444539049235,0.835859320826365,761979613865154.1,18.63990433234829,1312372946419809.5,0.0015393868590554,1.0212269466325192e-05,2.8440000000000003,35.8,2023-05-05 04:06:00,0.0021253987805452,0.9599579734776496,0.0,4,660.42770723412,0.0021253987805452,-0.8454183,-8.267437,0.9599579734776496,0.0013653607,1.7276653e-08,0.8780606342565249,0.0,12201.84212776877,-0.8219449188493326,0.5695669849787328,5.504848651504685,244.7537623414371,0.8611947899043405,inf,0.0,239.7532492241172,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.002081865,9.629777e-07,33709.73,0.9097275,-231.93454,0.0,0.0,1.0,-8.348342483223626e-13,4.5911695e-12,2.8516704000000005e-16,0.0,0.0,0.0,7.480000000000001e-16,4.986552223659991e-14,3.756335016092903e-12,1222.185961480596,12.20184212776877,3.379132174259572e-13,0.002081865,9.629777e-07,33709.73,0.9097275,-231.93454,0.0,0.0,0.0,-8.348342483223626e-13,4.5911695e-12,2.8516704000000005e-16,0.0,0.0,0.0,7.480000000000001e-16,4.986552223659991e-14,3.756335016092903e-12,1222.185961480596,12.20184212776877,0.0
5,5,7,adbb36,NKS2975,41.9575784974179,-70.85792009220563,205.7777776,4259.58,-0.5214683167600467,34610D,259.80582,0.6809574,-9.878724,190.7510862880955,66660.77979895238,0.4033549019737698,0.726385548234226,57.75105276996501,67.738558717074,1247.4153509850807,0.0011943565598339,59583.07384093393,0.5947223428199777,0.4812587730830417,0.7400609738232219,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,17.36550107246243,2.584084560748665,0.5903366980439335,33.86935994382623,15.916152078415577,25.09561100505764,1543245172300146.8,24.8226185782267,810.958224386959,1292.07100820276,0.119435655983,0.0214906347912857,0.363192774117113,33.869279358537,16.9000486790825,16.879888074032017,15.428094987226324,0.7172883457633784,444556425665092.06,16.40749060817772,1217654068578981.2,0.001286191329566,5.377233458123717e-06,2.8440000000000003,35.8,2023-05-05 04:07:00,0.0011943565598339,0.5947223970953958,0.0,5,595.8307384093393,0.0011943565598339,0.6809574,-9.878724,0.5947223970953958,0.0018888467,0.0,0.7989442537416916,0.0,12801.950611483831,-0.8650897885852082,0.5016170428579952,5.018164433229495,243.64991054774757,0.5220330926990274,inf,0.0,235.51169566725227,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.0011693651,8.77994e-07,41411.93,0.56755966,-231.4359,0.0,0.0,1.0,-7.92642685271809e-13,4.0995735e-12,2.7861621e-16,0.0,0.0,0.0,7.48e-16,4.4016717606507594e-14,3.30693087639138e-12,1223.121976428204,12.801950611483832,1.8537413614745078e-13,0.0011693651,8.77994e-07,41411.93,0.56755966,-231.4359,0.0,0.0,0.0,-7.92642685271809e-13,4.0995735e-12,2.7861621e-16,0.0,0.0,0.0,7.48e-16,4.4016717606507594e-14,3.30693087639138e-12,1223.121976428204,12.801950611483832,0.0
6,6,8,adbb36,NKS2975,41.858001708984375,-70.78041770241475,227.384444248,4640.58,-0.5235022525776605,34610D,257.57114,2.187118,-10.692826,198.10827505212217,66603.02874618242,0.4038642314552401,1.064380220194584,76.22163988872474,95.6925234581664,2792.3233952291703,0.0008859210157648,56665.10718470681,0.5151830719999009,0.6351803324060394,1.0,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,15.999442372184872,2.385742113589694,0.6157596812378552,47.84697632419486,20.4149758492938,36.28235539,1450000000000000.0,31.5455016781228,862.046215137434,1487.24190766111,0.0885921015765,0.0256762165775568,0.532190110097292,47.8462617290832,20.7269676390902,20.708621436152395,11.609118086105552,0.9351576377388058,795416853520033.5,15.955447813113665,1185206627903509.0,0.0026670855596279,1.4125881999144102e-05,2.8440000000000003,35.8,2023-05-05 04:08:00,0.0008859210157648,0.5151833079160659,0.0,6,566.6510718470681,0.0008859210157648,2.187118,-10.692826,0.5151833079160659,0.005482508,0.0,0.7664096479907045,0.0,12932.714296879942,-0.96828920219839,-0.2498319853541684,4.775217505337378,243.06287560170423,0.4423819969970737,inf,0.0,234.48578809667268,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.00086669135,5.338217e-07,45174.324,0.4854144,-231.12817,0.0,0.0,1.0,-7.721325953158324e-13,3.773134e-12,2.5208627e-16,0.0,0.0,0.0,7.48e-16,4.0013105712528926e-14,3.001001496115403e-12,1224.152320042909,12.932714296879942,5.111533431588645e-13,0.00086669135,5.338217e-07,45174.324,0.4854144,-231.12817,0.0,0.0,0.0,-7.721325953158324e-13,3.773134e-12,2.5208627e-16,0.0,0.0,0.0,7.48e-16,4.0013105712528926e-14,3.001001496115403e-12,1224.152320042909,12.932714296879942,0.0
7,7,9,adbb36,NKS2975,41.74562615863347,-70.81927632176598,209.378888708,5494.02,-0.5255076868906832,34610D,251.45457,2.7150571,-9.322758,207.4883564183417,66526.8071062937,0.4221199335907591,0.799744498617478,63.635289561447465,71.753291697801,2087.214304886717,0.0005823126778361,50547.32103053465,0.5399949569401262,0.5302940796787289,0.8622744626417681,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,16.1201984477909,2.408642771243252,0.6527113732764603,35.87683398794034,16.929728748770952,35.07213995692464,1468181743943346.8,25.9136256232317,826.47812180246,1358.95542772412,0.0582312677836,0.0229250932649783,0.399872249308739,35.8766458489005,17.4425571441232,17.43240603308495,13.875272740268194,0.7787336830936192,556711873623688.0,14.30137699026912,1074723227505826.0,0.0016528992204343,7.137761806498877e-06,2.8440000000000003,35.8,2023-05-05 04:09:00,0.0005823126778361,0.5399959669412304,0.0,7,505.4732103053465,0.0005823126778361,2.7150571,-9.322758,0.5399959669412304,0.007118168,0.0,0.7002950539963819,0.0,12430.578898437592,-0.7042767810084202,-0.7099255001283007,4.393082844759285,242.0836271286308,0.4365336984636496,inf,0.0,233.5538156716368,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.0005694462,3.2381806e-07,53511.684,0.52571785,-232.79523,0.0,0.0,1.0,-7.263862114512214e-13,3.02146e-12,2.3589846000000003e-16,0.0,0.0,0.0,7.479999999999998e-16,3.081985938944577e-14,2.295073916997053e-12,1225.3146872291402,12.430578898437592,1.8203108756914978e-13,0.0005694462,3.2381806e-07,53511.684,0.52571785,-232.79523,0.0,0.0,0.0,-7.263862114512214e-13,3.02146e-12,2.3589846000000003e-16,0.0,0.0,0.0,7.479999999999998e-16,3.081985938944577e-14,2.295073916997053e-12,1225.3146872291402,12.430578898437592,0.0
8,8,10,adbb36,NKS2975,41.6669528767214,-70.9253710369731,213.49444426,6134.1,-0.5268981643144426,34610D,246.21408,3.0143535,-8.151666,207.2767913743356,66463.17181673224,0.4287512230460228,0.70768998993786,57.02684238481361,64.5574228205774,1929.5501263385804,0.0004358084476464,46319.52510881937,0.6233774401169674,0.4752236865401134,0.7796759761599182,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,16.146994548837203,2.4150121856970954,0.6589484487655257,32.27859376407086,15.883145162215284,32.04691239295008,1513631431193463.5,23.6770036653998,810.819356197635,1309.3684696396,0.0435808447646,0.0220487444887014,0.35384499496893,32.2787114102887,16.0483058411898,16.041314900644746,15.098532391162056,0.7167560510471486,444668096578810.06,12.453611708090474,955480205766436.8,0.0013359122077614,5.375554579747347e-06,2.8440000000000003,35.8,2023-05-05 04:10:00,0.0004358084476464,0.6233780376108762,0.0,8,463.1952510881937,0.0004358084476464,3.0143535,-8.151666,0.6233780376108762,0.0068721445,0.0,0.6553807213685862,0.0,12894.637238011368,-0.7060505909466769,-0.7081613961688737,4.0718607959417135,241.2002269232132,0.478481146000456,inf,0.0,232.9854314308387,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.00042645723,3.2178582e-07,59799.44,0.6025113,-236.20605,0.0,0.0,1.0000000000000002,-6.918293677061624e-13,2.513731e-12,2.3574182000000003e-16,0.0,0.0,0.0,7.48e-16,2.4668462353733295e-14,1.8219015796604093e-12,1226.1213965572845,12.894637238011368,1.0334682383725553e-13,0.00042645723,3.2178582e-07,59799.44,0.6025113,-236.20605,0.0,0.0,0.0,-6.918293677061624e-13,2.513731e-12,2.3574182000000003e-16,0.0,0.0,0.0,7.48e-16,2.4668462353733295e-14,1.8219015796604093e-12,1226.1213965572845,12.894637238011368,0.0
9,9,11,adbb36,NKS2975,41.58511404263771,-71.0350426962209,218.124444256,6728.46,-0.5283243666946007,34610D,241.31236,3.151282,-7.0203147,203.91305453955985,66406.14497434742,0.4248694337496164,0.749456580386178,60.49818844162361,68.8660814828794,2192.215937007564,0.0003403078246873,42654.61853884109,0.7446786911052801,0.5041515703468634,0.8312198924505357,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,14.501551336916547,2.170297709147424,0.6548057292366644,34.432548755681,16.22879073630806,36.28235539,1450000000000000.0,23.9614164749209,814.758423287124,1362.68081621267,0.0340307824687,0.0231600169346621,0.374728290193089,34.4330407414397,16.1799661567715,16.17446186084015,13.452082819191592,0.7319882352559582,511907407135223.6,10.624206839654414,837181363144790.9,0.0016663553038754,6.286265091058369e-06,2.8440000000000003,35.8,2023-05-05 04:11:00,0.0003403078246873,0.7446789257737875,0.0,9,426.54618538841095,0.0003403078246873,3.151282,-7.0203147,0.7446789257737875,0.008221828,0.0,0.6157847710700174,0.0,13073.016020263154,-0.7085019961968824,-0.7057088077847923,3.7240710475592658,240.17126421130232,0.5445064843636226,inf,0.0,232.44649741692427,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.00033319413,3.3420525e-07,65611.86,0.7253589,-239.69379,0.0,0.0,1.0,-6.598653778443423e-13,2.1230296e-12,2.3669915000000004e-16,0.0,0.0,0.0,7.48e-16,2.0005834075296957e-14,1.463164224448663e-12,1226.960565195673,13.073016020263154,1.0963731960360774e-13,0.00033319413,3.3420525e-07,65611.86,0.7253589,-239.69379,0.0,0.0,0.0,-6.598653778443423e-13,2.1230296e-12,2.3669915000000004e-16,0.0,0.0,0.0,7.48e-16,2.0005834075296957e-14,1.463164224448663e-12,1226.960565195673,13.073016020263154,0.0
