Unnamed: 0,index,longitude,latitude,altitude,icao24,callsign,groundspeed,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,time,specific_humidity,air_pressure,rhi,fuel_flow_per_engine,thrust_setting,nox_ei,co_ei,hc_ei,nvpm_ei_m,nvpm_ei_n,co2,h2o,so2,sulphates,oc,nox,co,hc,nvpm_mass,nvpm_number,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,ei_nox_p3t3,ei_nvpm_number_p3t3_meem,ei_nvpm_mass_p3t3_meem,fuel_flow_corrected
0,0,141.68274619362572,42.55723571777344,2674.6200000000003,885974.0,TVJ571,127.067777668,0.44874129019592,34610D,254.35884,23.209726,-5.482102,161.02033761075526,70805.94126774029,0.2988681729726675,1.102581988331075,66.1549192998645,88265.1548660134,1624.1507490818017,2023-02-06 01:00:00,0.0005919207811282,0.7305820758235784,0.600010276906903,0.5512909941655375,0.6259176409571893,0.0171664574585642,0.0002916200910303,6.0370552122360655e-05,2.2865883947511456e-05,1438001486677985.0,208.983390068272,81.8336351739324,0.0793859031598374,0.0016201204726497,0.0013230983859972,1.1356456078358723,0.0192921035883325,0.003993809003743,0.0015126907072676,9.513087230426728e+16,climb,0,GTF2035,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,0,0.5036334109765714,44.1325774330067,17.16645745856421,22.865883947511456,1438001486677985.0,28.7207372503161,760.387150739453,1391.45634430792,0.0591920781128,0.0182319903072484,0.466312445240689,44.1322945831605,25.5766066887003,25.56147631967037,0.05919207811282,0.5515224435443593,18.389429481257483,1051245759603975.2,13.206441118086667,0.9676322494105848
1,1,141.59485556862572,42.52262878417969,3200.4,885974.0,TVJ571,149.703333204,0.4501178965169989,34610D,252.29367,25.302755,-4.2084217,174.4673654415231,70739.78634844042,0.3079607554463513,1.2044474026924412,72.26684416154647,91695.59456524186,1962.4463417522863,2023-02-06 01:01:00,0.0003603557180923,0.6833994069049528,0.4164904136489969,0.6022237013462206,0.7152862329442589,0.0179273602355277,0.0003038842536325,6.420728233006409e-05,2.753446446718349e-05,1581424462501522.2,228.2909607063253,89.394086227833,0.0867202129938557,0.0017698002651807,0.0014453368832309,1.2955537483687865,0.0219607560004124,0.0046400576661831,0.0019898288527215,1.142845551848549e+17,climb,0,GTF2035,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,0,0.5479213422950182,45.84779728262093,17.927360235527715,27.534464467183493,1581424462501522.2,30.2816715427225,778.001860982294,1424.87568263198,0.0360355718092,0.0188153819924444,0.500672001112531,45.8482422016937,26.6097175871095,26.600132077413395,0.03603557180923,0.6058088754406459,19.828698606469413,1125760810370271.6,15.12094186980012,1.0154240123477711
2,2,141.49248296564275,42.48133850097656,3832.86,885974.0,TVJ571,164.107777636,0.4515015825349095,34610D,249.50983,25.290424,-2.9461634,186.11955970640608,70667.51950427887,0.312757998976606,1.3426503770550922,80.55902262330552,97310.29870438576,2323.2226234543373,2023-02-06 01:02:00,0.0002195755586825,0.6299442896063308,0.3070695646551536,0.6713251885275461,0.836848716025977,0.0188370834481104,0.0003183364736112,6.889570827444166e-05,3.628235539e-05,1450000000000000.0,254.4859524670221,99.65151098502892,0.0966708271479666,0.0019728740234278,0.0016111804524661,1.517497031653423,0.0256448751794757,0.0055501709215294,0.0029228710886898,1.16810582803793e+17,climb,0,GTF2035,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,0,0.587767238361204,48.65514935219288,18.83708344811044,36.28235538999999,1450000000000000.0,31.9767515928101,798.807646687864,1472.20456180426,0.0219575558683,0.0197706504044242,0.545448727695102,48.6548428789392,27.5888105114157,27.58275401279334,0.02195755586825,0.6750084566008147,21.529973497590905,1256026816972429.2,17.95005827486672,1.0710952373518376
3,3,141.3869268243963,42.43862915039063,4579.62,885974.0,TVJ571,165.136666524,0.4528837783417367,34610D,245.11743,25.606356,-1.9973599,197.97082768622823,70586.96048165557,0.3216962839896548,1.0877050444663403,65.26230266798044,76231.67216860756,1209.5946323960154,2023-02-06 01:03:00,0.0001941075046773,0.5712403748956332,0.3829173220617756,0.5438525222331703,0.70618535872149,0.0171150333762686,0.0003317147874809,6.99503766670762e-05,2.8248612655981744e-05,1570695414472991.5,206.1636141281502,80.72946840029181,0.0783147632015765,0.0015982604735015,0.0013052460533596,1.116966488374633,0.0216484708600238,0.0045651226537859,0.0018435695091052,1.0250719953854534e+17,climb,0,GTF2035,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,0,0.6307703741049036,38.11583608430378,17.115033376268673,28.248612655981745,1570695414472991.5,27.3509911200749,773.096621364353,1407.80367418706,0.0194107504677,0.018399236532162,0.445147385864896,38.1149133813207,24.1937965788295,24.189101292737178,0.01941075046773,0.5902547912559266,18.998822394589787,949104375561932.4,12.531454366143205,0.9350698396370154
4,4,141.27568444540336,42.39354020458157,4968.240000000001,885974.0,TVJ571,186.743333172,0.454264156179153,34610D,242.74187,26.412031,-1.6604272,210.2233383515608,70521.69817898759,0.3268890301219145,1.0216069483811616,61.296416902869694,68514.5349749527,1210.0164226228403,2023-02-06 01:04:00,0.0001971473058708,0.5424921360051816,0.4721805150213624,0.5108034741905808,0.6805126790163037,0.0166615851007283,0.0003385957197309,7.099798803385281e-05,2.630354990895564e-05,1599917180989638.8,193.63538099616537,75.82366770884981,0.0735557002834436,0.0015011367404784,0.0012259283380573,1.0212954665968856,0.0207547043981526,0.0043519222737879,0.0016123133612447,9.806919053600493e+16,climb,0,GTF2035,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,0,0.6730786315905332,34.25726748747635,16.661585100728324,26.30354990895564,1599917180989638.8,26.0499356314129,767.051221754272,1387.71013467945,0.0197147305871,0.0179237242071754,0.416309177841593,34.2572769143303,23.2267118724652,23.22213369137137,0.0197147305870799,0.5715533114115402,18.369494397464837,856275338153292.6,11.052732990790412,0.8895628437059656
5,5,141.15009654651988,42.34245300292969,5356.860000000001,885974.0,TVJ571,201.662222048,0.4556453809578827,34610D,240.49298,28.273552,-1.4029464,215.55294166667892,70460.40176208472,0.3308147829626013,1.0247361147579632,61.48416688547779,67830.09960452067,1805.3873890026416,2023-02-06 01:05:00,0.0001801533801623,0.5149267974234382,0.5190921336103975,0.5123680573789816,0.6980058367173293,0.0166684658031554,0.0003462923126592,7.289436218503036e-05,2.814525999458897e-05,1572248139363081.2,194.2284831912244,76.05591443733603,0.0737810002625733,0.0015057346992361,0.0012296833377095,1.0248467331660902,0.021291494342697,0.0044818491295948,0.0017304878625424,9.666836698598163e+16,climb,0,GTF2035,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,0,0.6933618946500282,33.915049802260334,16.668465803155463,28.14525999458897,1572248139363081.2,25.9021483317984,769.55299558038,1393.65960286553,0.0180153380162,0.0180444564654311,0.415723090982152,33.9141525671995,23.0388259008288,23.03467612606375,0.01801533801623,0.579215919491386,18.49264131560185,853489403963711.2,11.122630361605456,0.8886732514142175
6,6,141.04739876680597,42.268826759467686,5935.9800000000005,885974.0,TVJ571,202.176666492,0.4574569249336606,34610D,237.36125,31.884224,-1.3415315,212.30996168038368,70398.91759519924,0.330831329111146,1.0241134591020506,61.44680754612304,68827.78440753007,1404.0682714628429,2023-02-06 01:06:00,0.0001510283297126,0.4759628928252322,0.5637374811603557,0.5120567295510253,0.7168414301854031,0.0165676976284848,0.0003593462486178,7.595100460788617e-05,3.1498116679921254e-05,1521876296412328.2,194.11046503820268,76.0097009345542,0.0737361690553476,0.0015048197766397,0.0012289361509224,1.018032127659865,0.0220806797812419,0.0046669467630754,0.0019354587136964,9.351443989465485e+16,climb,0,GTF2035,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,0,0.6874208046879192,34.41389220376503,16.567697628484805,31.498116679921253,1521876296412328.2,25.3093232539583,771.640645857367,1407.25759826658,0.0151028329713,0.0184208001444538,0.412411237657164,34.4141812647601,22.3883454802768,22.384964716445,0.01510283297126,0.5857034792573915,18.492560227522915,863018524132558.1,11.334657868253528,0.8848710927222945
7,7,140.99160627885297,42.165802001953125,6385.56,885974.0,TVJ571,208.34999982,0.4599210198779294,34610D,234.98634,34.73412,-1.4227859,216.8626877230038,70337.47078765312,0.3302572942058772,0.831245260650209,49.874715639012535,54597.93570605006,714.4290629663275,2023-02-06 01:07:00,0.0001414358958823,0.4473909919617161,0.6448473193629678,0.4156226303251045,0.5988343960296317,0.0150650300095211,0.0003702755038007,7.61365961515848e-05,2.424283083648575e-05,1502993730913072.5,157.55422670364058,61.69502324545852,0.059849658766815,0.001221421607486,0.0009974943127802,0.7513640878180555,0.0184673854601565,0.0037972910827826,0.0012091042942544,7.496138493650802e+16,climb,0,GTF2035,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,0,0.7057010121419797,27.29896785302503,15.065030009521108,24.242830836485748,1502993730913072.5,21.6537061460135,746.462251625089,1344.95360831705,0.0141435895882,0.0171305990361452,0.336484819553758,27.2990615324149,19.6423265084766,19.63954877130141,0.01414358958823,0.5112984862872829,16.422429872404184,642708817936616.4,7.559061862189391,0.7522619559364644
8,8,140.93600250953853,42.056781316207626,6614.160000000001,885974.0,TVJ571,221.725555364,0.4624626834716849,34610D,233.49033,35.64563,-1.4313227,219.3233767273466,70287.5960720141,0.3163871681459616,1.3708352609416412,82.25011565649848,85290.10767161069,2474.8572255032595,2023-02-06 01:08:00,0.000135446679356,0.4334051238880015,0.7074914388172449,0.6854176304708206,0.997898903332011,0.0211849935812645,0.0003744904359051,8.121877721055143e-05,3.628235539e-05,1450000000000000.0,259.8281153588787,101.74339306708865,0.0987001387877981,0.0020142885466897,0.0016450023131299,1.7424681722411888,0.0308018816654548,0.0066802538190472,0.0029842279271176,1.192626677019228e+17,climb,0,GTF2035,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,0,0.7159912246003869,42.64505383580534,21.18499358126457,36.28235539,1450000000000000.0,29.2822780276077,824.485067115199,1537.39927783437,0.0135446679356,0.0211973600971157,0.522535144098421,42.6449593127764,24.6509537840762,24.64761534642349,0.0135446679356,0.764449568434047,22.988005932509928,1160490722385992.0,17.554534549971862,1.0457188691657011
9,9,140.88292902166194,41.94813537597656,7406.64,885974.0,TVJ571,205.7777776,0.4650072339005209,34610D,228.32259,37.635315,-1.7574707,224.1421163734822,70205.3459563576,0.3218455917038698,1.2241360212371042,73.44816127422625,75811.1758115227,2259.23234914914,2023-02-06 01:09:00,8.032837263502274e-05,0.3876339764052093,0.68126207112405,0.6120680106185521,0.921505249038586,0.0189278935620719,0.0003897681188066,8.453217217314135e-05,3.628235539e-05,1450000000000000.0,232.02274146528072,90.85537549621787,0.0881377935290714,0.0017987304801851,0.0014689632254845,1.390218978928446,0.0286277516496623,0.0062087326146335,0.0026648722900935,1.0649983384762806e+17,climb,0,GTF2035,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,0,0.7399565527189004,37.90558790576135,18.927893562071905,36.28235538999999,1450000000000000.0,26.5694966161528,809.571859115538,1506.99984370485,0.0080328372635,0.0206080202207547,0.466090713545949,37.9055920873403,22.6169573085211,22.615140671074084,0.0080328372635022,0.7122707636025288,21.150063150402328,1031836430136984.8,15.137199836395189,0.9702837206514028
