,index,longitude,latitude,altitude,icao24,callsign,groundspeed,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,time,specific_humidity,air_pressure,rhi,fuel_flow_per_engine,thrust_setting,nox_ei,co_ei,hc_ei,nvpm_ei_m,nvpm_ei_n,co2,h2o,so2,sulphates,oc,nox,co,hc,nvpm_mass,nvpm_number,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,W3_no_water_injection,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,ei_nox_p3t3,ei_nvpm_number_p3t3_meem,ei_nvpm_mass_p3t3_meem,ei_mass_meem,ei_number_meem
0,0,141.68274619362572,42.55723571777344,2674.6200000000003,885974.0,TVJ571,127.067777668,0.44874129019592,34610D,254.35884,23.209726,-5.482102,161.02033761075526,70805.94126774029,0.2988681729726675,1.102581988331075,66.1549192998645,88265.1548660134,1624.1507490818017,2023-02-06 01:00:00,0.0005919207811282,0.7305820758235784,0.600010276906903,0.5512909941655375,0.6259176409571893,0.0171664574585642,0.0002916200910303,6.0370552122360655e-05,2.2865883947511456e-05,1438001486677985.0,208.98339006827197,81.8336351739324,0.0793859031598374,0.0016201204726497,0.0013230983859972,1.1356456078358723,0.0192921035883325,0.003993809003743,0.0015126907072676,9.513087230426728e+16,climb,7.5,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,20.169940502642863,1.5008065307605802,0.5036334109765714,44.1325774330067,17.16645745856421,22.865883947511456,1438001486677985.0,29.2596718463316,785.749731423146,1403.85857097168,0.0591920781128,0.0224703074036183,0.454431972076458,44.1324930993064,20.223665120099,20.21170139402192,7.484625996330505,0.6265662857609242,4.338707561022841,922536334855318.8,12.652030371635632,27.04798023300643,1611052316070354.2
1,1,141.59485556862572,42.52262878417969,3200.4,885974.0,TVJ571,149.703333204,0.4501178965169989,34610D,252.29367,25.302755,-4.2084217,174.4673654415231,70739.78634844042,0.3079607554463513,1.2044474026924412,72.26684416154647,91695.59456524186,1962.4463417522863,2023-02-06 01:01:00,0.0003603557180923,0.6833994069049528,0.4164904136489969,0.6022237013462206,0.7152862329442589,0.0179273602355277,0.0003038842536325,6.420728233006409e-05,2.753446446718349e-05,1581424462501522.2,228.2909607063253,89.394086227833,0.0867202129938557,0.0017698002651807,0.0014453368832309,1.2955537483687865,0.0219607560004124,0.0046400576661831,0.0019898288527215,1.142845551848549e+17,climb,7.5,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,20.91397939188897,1.5610119823297397,0.5479213422950182,45.84779728262093,17.927360235527715,27.534464467183493,1581424462501522.2,30.7706469829819,802.38746901256,1440.54929762232,0.0360355718092,0.0233923548361749,0.490263744067282,45.8475045878088,20.9582894711018,20.95073975223382,7.486903659478071,0.6850567559255211,4.586461347081723,1028981397720245.9,14.815586882813477,26.612895510762403,1559490905438422.2
2,2,141.49248296564275,42.48133850097656,3832.86,885974.0,TVJ571,164.107777636,0.4515015825349095,34610D,249.50983,25.290424,-2.9461634,186.11955970640608,70667.51950427887,0.312757998976606,1.3426503770550922,80.55902262330552,97310.29870438576,2323.2226234543373,2023-02-06 01:02:00,0.0002195755586825,0.6299442896063308,0.3070695646551536,0.6713251885275461,0.836848716025977,0.0188370834481104,0.0003183364736112,6.889570827444166e-05,3.628235539e-05,1450000000000000.0,254.48595246702212,99.65151098502892,0.0966708271479666,0.0019728740234278,0.0016111804524661,1.517497031653423,0.0256448751794757,0.0055501709215294,0.0029228710886898,1.16810582803793e+17,climb,7.5,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,21.735975386987395,1.6254254650849476,0.587767238361204,48.65514935219288,18.83708344811044,36.28235538999999,1450000000000000.0,32.5480070636238,822.391380701293,1488.23731430192,0.0219575558683,0.0246477711502321,0.536479195803103,48.6551220726095,21.7658299621973,21.761051767098024,7.491382666756207,0.7622388664983116,4.903542329846552,1171115739662867.2,17.69437062854888,25.544977307600583,1501427920169751.8
3,3,141.3869268243963,42.43862915039063,4579.62,885974.0,TVJ571,165.136666524,0.4528837783417367,34610D,245.11743,25.606356,-1.9973599,197.97082768622823,70586.96048165557,0.3216962839896548,1.0877050444663403,65.26230266798044,76231.67216860756,1209.5946323960154,2023-02-06 01:03:00,0.0001941075046773,0.5712403748956332,0.3829173220617756,0.5438525222331703,0.70618535872149,0.0171150333762686,0.0003317147874809,6.99503766670762e-05,2.8248612655981744e-05,1570695414472991.5,206.1636141281502,80.72946840029181,0.0783147632015765,0.0015982604735015,0.0013052460533596,1.116966488374633,0.0216484708600238,0.0045651226537859,0.0018435695091052,1.0250719953854534e+17,climb,7.5,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,18.882570234230737,1.412527518977244,0.6307703741049036,38.11583608430378,17.115033376268673,28.248612655981745,1570695414472991.5,27.6016896162966,796.610548754813,1423.94899459996,0.0194107504677,0.0229397703349415,0.433951202777614,38.1159885066737,18.9169811398079,18.91330992441328,7.487841842764034,0.6640548013238052,4.392705818775764,864918543344637.0,12.255708797844193,24.160215708563992,1435406262466282.2
4,4,141.27568444540336,42.39354020458157,4968.240000000001,885974.0,TVJ571,186.743333172,0.454264156179153,34610D,242.74187,26.412031,-1.6604272,210.2233383515608,70521.69817898759,0.3268890301219145,1.0216069483811616,61.296416902869694,68514.5349749527,1210.0164226228403,2023-02-06 01:04:00,0.0001971473058708,0.5424921360051816,0.4721805150213624,0.5108034741905808,0.6805126790163037,0.0166615851007283,0.0003385957197309,7.099798803385281e-05,2.630354990895564e-05,1599917180989638.8,193.63538099616537,75.82366770884981,0.0735557002834436,0.0015011367404784,0.0012259283380573,1.0212954665968856,0.0207547043981526,0.0043519222737879,0.0016123133612447,9.806919053600493e+16,climb,7.5,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,18.01465038055757,1.3475472387530856,0.6730786315905332,34.25726748747635,16.661585100728324,26.30354990895564,1599917180989638.8,26.139874067632,790.337322026634,1404.77830006314,0.0197147305871,0.022398536606535,0.404295937980956,34.2572771758079,18.0501050172625,18.046547189103897,7.4867787879526055,0.6417080367833774,4.262027502829,774351610691395.9,10.768343771067592,24.44928204784279,1397123495962222.5
5,5,141.15009654651988,42.34245300292969,5356.860000000001,885974.0,TVJ571,201.662222048,0.4556453809578827,34610D,240.49298,28.273552,-1.4029464,215.55294166667895,70460.40176208472,0.3308147829626013,1.0247361147579632,61.48416688547779,67830.09960452067,1805.3873890026416,2023-02-06 01:05:00,0.0001801533801623,0.5149267974234382,0.5190921336103975,0.5123680573789816,0.6980058367173293,0.0166684658031554,0.0003462923126592,7.289436218503036e-05,2.814525999458897e-05,1572248139363081.2,194.22848319122437,76.05591443733603,0.0737810002625733,0.0015057346992361,0.0012296833377095,1.0248467331660902,0.021291494342697,0.0044818491295948,0.0017304878625424,9.666836698598163e+16,climb,7.5,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,17.880947604912173,1.3378497572168828,0.6933618946500282,33.915049802260334,16.668465803155463,28.14525999458897,1572248139363081.2,26.0062752275959,792.640567676974,1411.1032198056,0.0180153380162,0.022571740864383,0.40431258407164,33.9143801834212,17.9123350077806,17.909108621326777,7.4882350206626676,0.6498908901974474,4.273497287165026,779251726302060.9,10.913703078123099,23.66486696348049,1364466391131508.2
6,6,141.04739876680597,42.268826759467686,5935.9800000000005,885974.0,TVJ571,202.176666492,0.4574569249336606,34610D,237.36125,31.884224,-1.3415315,212.30996168038368,70398.91759519924,0.330831329111146,1.0241134591020506,61.44680754612304,68827.78440753007,1404.0682714628429,2023-02-06 01:06:00,0.0001510283297126,0.4759628928252322,0.5637374811603557,0.5120567295510253,0.7168414301854031,0.0165676976284848,0.0003593462486178,7.595100460788617e-05,3.1498116679921254e-05,1521876296412328.2,194.11046503820268,76.0097009345542,0.0737361690553476,0.0015048197766397,0.0012289361509224,1.018032127659865,0.0220806797812419,0.0046669467630754,0.0019354587136964,9.351443989465485e+16,climb,7.5,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,17.48140865383379,1.308465461087522,0.6874208046879192,34.41389220376503,16.567697628484805,31.498116679921253,1521876296412328.2,25.5436853661774,793.937043866036,1423.78443187041,0.0151028329713,0.0230111388034303,0.402827811784548,34.4134473125823,17.5057747130923,17.503131244415716,7.490710727444321,0.6545089127694008,4.260666635581167,795587601313995.6,11.185910385147213,20.808847248753377,1322899671761126.0
7,7,140.99160627885297,42.165802001953125,6385.56,885974.0,TVJ571,208.34999982,0.4599210198779294,34610D,234.98634,34.73412,-1.4227859,216.8626877230038,70337.47078765312,0.3302572942058772,0.831245260650209,49.874715639012535,54597.93570605006,714.4290629663275,2023-02-06 01:07:00,0.0001414358958823,0.4473909919617161,0.6448473193629678,0.4156226303251045,0.5988343960296317,0.0150650300095211,0.0003702755038007,7.61365961515848e-05,2.424283083648575e-05,1502993730913072.5,157.55422670364058,61.69502324545852,0.059849658766815,0.001221421607486,0.0009974943127802,0.7513640878180555,0.0184673854601565,0.0037972910827826,0.0012091042942544,7.496138493650802e+16,climb,7.5,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,15.189263409105642,1.137046448604863,0.7057010121419797,27.29896785302503,15.065030009521108,24.242830836485748,1502993730913072.5,21.6613256983484,768.93284781701,1361.62682032072,0.0141435895882,0.0213963022623608,0.325611837791356,27.2990722281939,15.2181360030679,15.215983916750904,7.486854226151907,0.5730836918720729,3.8716910750398856,571761156663692.1,7.394603800071312,19.853215687215375,1266342901583771.2
8,8,140.93600250953853,42.056781316207626,6614.160000000001,885974.0,TVJ571,221.725555364,0.4624626834716849,34610D,233.49033,35.64563,-1.4313227,219.3233767273466,70287.5960720141,0.3163871681459616,1.3708352609416412,82.25011565649848,85290.10767161069,2474.8572255032595,2023-02-06 01:08:00,0.000135446679356,0.4334051238880015,0.7074914388172449,0.6854176304708206,0.997898903332011,0.0211849935812645,0.0003744904359051,8.121877721055143e-05,3.628235539e-05,1450000000000000.0,259.8281153588787,101.74339306708865,0.0987001387877981,0.0020142885466897,0.0016450023131299,1.7424681722411888,0.0308018816654548,0.0066802538190472,0.0029842279271176,1.192626677019228e+17,climb,7.5,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,19.35596575659694,1.4490757304573103,0.7159912246003869,42.64505383580534,21.18499358126457,36.28235539,1450000000000000.0,29.5357018482575,834.575434211925,1540.27657796538,0.0135446679356,0.0263082305234355,0.509706986340826,42.6444610756255,19.3744305945159,19.37180674761881,7.493878068615594,0.8125111319678836,4.9174739049791025,1151811447262879.2,17.837283114428747,19.40906973391959,1239804358202047.0
9,9,140.88292902166194,41.94813537597656,7406.64,885974.0,TVJ571,205.7777776,0.4650072339005209,34610D,228.32259,37.635315,-1.7574707,224.1421163734822,70205.3459563576,0.3218455917038698,1.2241360212371042,73.44816127422625,75811.1758115227,2259.23234914914,2023-02-06 01:09:00,8.032837263502274e-05,0.3876339764052093,0.68126207112405,0.6120680106185521,0.921505249038586,0.0189278935620719,0.0003897681188066,8.453217217314135e-05,3.628235539e-05,1450000000000000.0,232.02274146528072,90.85537549621787,0.0881377935290714,0.0017987304801851,0.0014689632254845,1.390218978928446,0.0286277516496623,0.0062087326146335,0.0026648722900935,1.0649983384762806e+17,climb,7.5,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,17.732846265509004,1.3285390192304798,0.7399565527189004,37.90558790576135,18.927893562071905,36.28235538999999,1450000000000000.0,26.7820642712947,820.284217163675,1512.2563473831,0.0080328372635,0.0256323169855627,0.454957168173648,37.9058736866544,17.7493579074378,17.747932244922932,7.493631727864004,0.7538328512397409,4.611407177676883,1000795670491218.0,15.051995214255932,17.54706548824249,1131238678804578.5
