,Unnamed: 0,index,longitude,latitude,altitude,icao24,callsign,groundspeed,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,air_pressure,rhi_emissions,fuel_flow_per_engine,thrust_setting,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,nvpm_ei_n,ei_nox,nvpm_ei_m,ei_co2,wingspan,time,issr_specific_humidity,issr_rhi,issr_issr,cocip_level,cocip_waypoint,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_ef,cocip_persistent_1,cocip_cocip,cocip_contrail_age,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_segment_length_km,accf_issr_nox_impact,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_segment_length_km
0,0,0,141.68274619362572,42.55723571777344,2674.6200000000003,885974.0,TVJ571,127.067777668,-0.892704312693709,34610D,254.47546,19.26317,1.1697904,160.09911456534337,70444.71606186748,0.25563693049262537,1.270792266348668,65.23581539349775,87.3153634592508,1619.8693747777083,0.001046946580024,73058.20758235783,1.049557758043218,0.5436317949458146,0.437082824398576,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.5006372602159741,43.65719238275852,14.065552502151943,90.23495912107308,1625985659212527.2,17.9020572823709,685.109637791048,1311.52102375213,0.104694658002,0.0177632250155066,0.635396133174334,43.6576817296254,35.7703138151804,35.73290337419846,0.1046946580023999,0.541818035480395,7395167573439661.0,0.016541976731802688,8.769592010749826e-05,3.16,35.8,2023-02-05 15:00:00,0.0010469473667005077,1.049559788633271,1.0,730.5820758235783,0,0.0010469473667005077,19.26317,1.1697904,1.049559788633271,2.3904572,5.2066374e-05,1.0001509543453713,0.0,8181.733683333497,-0.47086366415065145,-0.8822059905615143,4.548034221725471,242.48946669398453,0.8741588847882013,inf,0.0,237.80123885323266,0.0,0.0,0.0,0 days,0.001003089,2.0307547e-07,25170.092,0.9897202,-199.41849,0.0,0.0,1.0,-7.351379051123281e-13,3.95009e-12,2.2659124e-16,0.0,0.0,0.0,7.48e-16,4.276896832042125e-14,3.214952083864784e-12,694.1498342913482,8.181733683333496,4.0549707299615635e-12,0.001003089,2.0307547e-07,25170.092,0.9897202,-199.41849,0.0,0.0,0.0,-7.351379051123281e-13,3.95009e-12,2.2659124e-16,0.0,0.0,0.0,7.48e-16,4.276896832042125e-14,3.214952083864784e-12,694.1498342913482,8.181733683333496
1,1,1,141.59485556862572,42.52262878417969,3200.4,885974.0,TVJ571,149.703333204,-0.8928570849402653,34610D,250.84149,21.204838,1.4314767,173.0853477161916,70379.48024647399,0.27219357597080457,1.39707305934185,74.0562213868779,94.5405496878578,1946.4430043052373,0.0007837934939888,68339.94069049528,1.0432300611541712,0.6171351782239825,0.5069210623658498,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.5451522734425337,47.26983809652664,15.872606474632486,109.25147436128992,1435855053355770.8,19.1785722944335,701.416829902299,1349.44008966376,0.0783793493989,0.0185151221744584,0.698536529670925,47.2702748439289,37.7278919949313,37.698344277952096,0.07837934939888,0.599244359331563,6468860999362491.0,0.01843533062014203,9.038093234724924e-05,3.16,35.8,2023-02-05 15:01:00,0.0007837942810091264,1.0432327583266245,1.0,683.3994069049528,1,0.0007837942810091264,21.204838,1.4314767,1.0432327583266245,1.6779364,5.552222e-05,0.9491124592430289,0.0,9587.418296793368,-0.4794178129158185,-0.877586782409018,4.3501050263208505,241.968816139038,0.8382561774724101,inf,0.0,236.78259231262854,0.0,0.0,0.0,0 days,0.0007547051,1.9892838e-07,30025.67,0.9961064,-200.61833,0.0,0.0,1.0000000000000002,-7.177151563250333e-13,3.4090604e-12,2.2627154e-16,0.0,0.0,0.0,7.480000000000001e-16,3.596175965208993e-14,2.691345238746339e-12,694.856719117452,9.587418296793368,4.15901714325741e-12,0.0007547051,1.9892838e-07,30025.67,0.9961064,-200.61833,0.0,0.0,0.0,-7.177151563250333e-13,3.4090604e-12,2.2627154e-16,0.0,0.0,0.0,7.480000000000001e-16,3.596175965208993e-14,2.691345238746339e-12,694.856719117452,9.587418296793368
2,2,2,141.49248296564275,42.48133850097656,3832.86,885974.0,TVJ571,164.107777636,-0.8930668454801742,34610D,246.8699,24.63685,2.0918274,187.64884095824056,70305.42402508711,0.28757408073363777,1.520761233374652,83.66116464034549,100.287389306842,2301.585390614613,0.0005914034739898,62994.42896063308,1.0765848639780995,0.6971763720028791,0.5914951911052988,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.5957568380443659,50.14418005529092,17.892671737681297,133.2882996053006,1232508119971514.8,20.1854693910839,716.270173770847,1392.36528140282,0.059140347399,0.0194770192114176,0.760380616687326,50.143694653421,39.0398863621588,39.01681168418477,0.05914034739898,0.6549706858501405,5778125531314705.0,0.020190214973509136,9.585590688846211e-05,3.16,35.8,2023-02-05 15:02:00,0.0005914039894717555,1.076587280118536,1.0,629.9442896063307,2,0.0005914039894717555,24.63685,2.0918274,1.076587280118536,0.78165,3.1975662e-05,0.8889481922855963,0.0,9904.532106848184,-0.4803242924734069,-0.8770909725107887,4.09573108868388,241.26795859216307,0.8317292056074685,inf,0.0,236.03215779099372,0.0,0.0,0.0,0 days,0.000561533,2.303301e-07,35868.035,1.0127435,-202.06133,0.0,0.0,1.0000000000000002,-6.967172175067903e-13,2.867059e-12,2.286921e-16,0.0,0.0,0.0,7.48e-16,2.919113494426504e-14,2.1703417571046797e-12,695.6991305840019,9.904532106848185,3.998355017306583e-12,0.000561533,2.303301e-07,35868.035,1.0127435,-202.06133,0.0,0.0,0.0,-6.967172175067903e-13,2.867059e-12,2.286921e-16,0.0,0.0,0.0,7.48e-16,2.919113494426504e-14,2.1703417571046797e-12,695.6991305840019,9.904532106848185
3,3,3,141.3869268243963,42.43862915039063,4579.62,885974.0,TVJ571,165.136666524,-0.8932848587945481,34610D,243.15067,29.481411,0.7601789,202.6449246638375,70221.76286044676,0.2992250969073505,1.312225165872785,66.73374351425366,83.378117680338,1201.7771465713736,0.0004138094217253,57124.037489563314,1.0000835572502202,0.5561145292854471,0.4975973816889735,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.6482689616981916,38.40762562865792,15.11632734029324,92.6079206442501,1206090742170834.0,17.863851105924798,698.3989004536445,1349.6564986867152,0.0461398245473999,0.0186032344603967,0.6561125829363925,41.689058840169,35.08287824763225,35.066185169216865,0.04613982454737,0.5881897794629001,6333138038716836.0,0.017752166171548945,8.565741785943494e-05,3.16,35.8,2023-02-05 15:03:00,0.0004138093452537006,1.0000830813891506,1.0,571.2403748956332,3,0.0004138093452537006,29.481411,0.7601789,1.0000830813891506,0.17607838,6.637793e-06,0.8184381663526722,0.0,10425.443968691361,-0.4806838213428572,-0.8768939866935046,3.7752251705245015,240.3278110077405,0.744691075180494,inf,0.0,234.1697322000884,0.0,0.0,0.0,0 days,0.00040623514,4.3097336e-07,42774.15,0.97315353,-202.59914,0.0,0.0,0.9999999999999999,-6.718236475230638e-13,2.406492e-12,2.4415836e-16,0.0,0.0,0.0,7.479999999999999e-16,2.3542848825131352e-14,1.7346684967440712e-12,696.5692546991952,10.425443968691361,2.4245294217199106e-12,0.00040623514,4.3097336e-07,42774.15,0.97315353,-202.59914,0.0,0.0,0.0,-6.718236475230638e-13,2.406492e-12,2.4415836e-16,0.0,0.0,0.0,7.479999999999999e-16,2.3542848825131352e-14,1.7346684967440712e-12,696.5692546991952,10.425443968691361
4,4,4,141.27568444540336,42.39354020458157,4968.240000000001,885974.0,TVJ571,186.743333172,-0.8935208791894627,34610D,241.55566,31.569008,-0.866209,215.23955653853267,70155.0291169325,0.3012395818764217,1.103689098370918,60.60603823973219,66.468846053834,1206.56441601735,0.0003313930169576,54249.21360051817,0.8989071507230835,0.505050318664435,0.469421360069521,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.6908292188664317,33.234913559921765,14.185870365612471,80.23111105559065,1197208613545627.0,15.5422328207657,680.527627136442,1306.94771597061,0.0331393016958,0.0177294497093758,0.551844549185459,33.234423026917,31.1258701331057,31.11555865424895,0.03313930169576,0.5255457426322776,6671937876054788.0,0.015738621914286304,7.56711668767843e-05,3.16,35.8,2023-02-05 15:04:00,0.0003313930169576845,0.8989078196985514,0.0,542.4921360051817,4,0.0003313930169576845,31.569008,-0.866209,0.8989078196985514,0.03653228,7.974267e-07,0.7823816892180656,0.0,11784.876773848331,-0.4816600386620713,-0.8763581500482848,3.59531372053412,239.76863788693532,0.6588635642148296,inf,0.0,232.89247600387984,0.0,0.0,0.0,0 days,0.00032800785,6.6604764e-07,46364.09,0.877444,-203.43336,0.0,0.0,1.0,-6.589609483700405e-13,2.225098e-12,2.6227867e-16,0.0,0.0,0.0,7.48e-16,2.137005805954905e-14,1.5661368756937085e-12,697.4878586708987,11.784876773848332,1.6322791049470097e-12,0.00032800785,6.6604764e-07,46364.09,0.877444,-203.43336,0.0,0.0,0.0,-6.589609483700405e-13,2.225098e-12,2.6227867e-16,0.0,0.0,0.0,7.48e-16,2.137005805954905e-14,1.5661368756937085e-12,697.4878586708987,11.784876773848332
5,5,5,141.15009654651988,42.34245300292969,5356.860000000001,885974.0,TVJ571,201.662222048,-0.8938107273891708,34610D,240.3006,32.45962,-2.0696774,218.4325250287104,70094.42307869278,0.30329657327574816,1.064372308105512,58.504890016297054,63.5953267655266,1807.384365281177,0.0002018370731228,51492.67974234382,0.5936058863282134,0.4875407501358088,0.4696259994357952,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.7029057311982293,31.79796302665078,13.972322021208065,75.79816285437022,1116687946011840.4,14.9475259517117,679.708360657766,1308.00794043889,0.0201837073123,0.0177820509316282,0.532186154052756,31.7976633827633,29.928277457927,29.92223804097953,0.02018370731228,0.5226527912107172,6482896940060977.0,0.015535608603173786,7.29525233151093e-05,3.16,35.8,2023-02-05 15:05:00,0.00020183707312281264,0.5936056431075075,0.0,514.9267974234381,5,0.00020183707312281264,32.45962,-2.0696774,0.5936056431075075,0.019325865,4.894137e-07,0.7465056296722405,0.0,11776.905178293267,-0.6955962148912547,-0.7184329515194577,3.4223204120121293,239.20710189212906,0.4297155316432675,inf,0.0,230.87403546395814,0.0,0.0,0.0,0 days,0.00019806207,9.224277e-07,50021.594,0.5590057,-204.44244,0.0,0.0,1.0,-6.458520194524113e-13,2.0962741e-12,2.820413e-16,0.0,0.0,0.0,7.48e-16,1.988552768389583e-14,1.4504220292005635e-12,698.528666023977,11.776905178293267,1.4390221402258355e-12,0.00019806207,9.224277e-07,50021.594,0.5590057,-204.44244,0.0,0.0,0.0,-6.458520194524113e-13,2.0962741e-12,2.820413e-16,0.0,0.0,0.0,7.48e-16,1.988552768389583e-14,1.4504220292005635e-12,698.528666023977,11.776905178293267
6,6,6,141.04739876680597,42.268826759467686,5935.9800000000005,885974.0,TVJ571,202.176666492,-0.8942501981960274,34610D,238.0822,34.77187,-3.9752293,211.5087532343605,70035.91818867649,0.30347163221836027,1.084573600788762,59.65866003938399,66.9622785758832,1410.3103343491673,0.0001043866586997,47596.28928252322,0.3602271460001657,0.4971555003281999,0.4975046592771523,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.683788968696026,33.48161289508515,14.342021803110931,77.0094450843853,934748265744893.2,14.874505629784,687.855695702182,1335.63520097462,0.01043866587,0.0184298029428539,0.542286800394381,33.4811392879416,29.4244491965473,29.42137799720384,0.01043866586997,0.5509834614414064,5989756789980535.0,0.01614704699726466,7.285991954686833e-05,3.16,35.8,2023-02-05 15:06:00,0.00010438665869974437,0.36022701704438925,0.0,475.96289282523225,6,0.00010438665869974437,34.77187,-3.9752293,0.36022701704438925,7.838897e-06,5.7721612e-11,0.696447874418533,0.0,12351.486589520808,-0.9280124073797156,-0.372549287677892,3.163886584697888,238.31955143727063,0.25510656155722977,0.9996803164774453,0.0,229.20122805625434,0.0,0.0,0.0,0 days,0.00010133481,9.914344e-07,55483.88,0.33811796,-206.15765,0.0,0.0,0.9999999999999999,-6.26215138439984e-13,1.9005739e-12,2.8736056e-16,0.0,0.0,0.0,7.48e-16,1.7602023933183526e-14,1.2743587207713524e-12,700.0286647143926,12.351486589520807,1.3390447288099836e-12,0.00010133481,9.914344e-07,55483.88,0.33811796,-206.15765,0.0,0.0,0.0,-6.26215138439984e-13,1.9005739e-12,2.8736056e-16,0.0,0.0,0.0,7.48e-16,1.7602023933183526e-14,1.2743587207713524e-12,700.0286647143926,12.351486589520807
7,7,7,140.99160627885297,42.165802001953125,6385.56,885974.0,TVJ571,208.34999982,-0.8948660229373094,34610D,236.36533,37.315983,-5.450317,214.66979929688827,69976.25952863709,0.2992703683220193,0.899234810596932,49.02954480680541,53.9445180467408,719.0624369994422,7.853817010130945e-05,44739.09919617161,0.3073568340821648,0.4085795400567117,0.4246686976840148,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.6965243080835491,26.97267694475546,12.29638608390701,56.75112158337064,913427002420706.0,12.7141412937418,665.500864286262,1287.2437187282,0.00785381701013,0.0175098126844339,0.449617405298466,26.9722590233704,25.6780248539251,25.676008307217145,0.0078538170101309,0.4670062755206119,7019973359289006.0,0.013822569009923114,6.820156499950613e-05,3.16,35.8,2023-02-05 15:07:00,7.853817010130946e-05,0.30735685182404104,0.0,447.3909919617161,7,7.853817010130946e-05,37.315983,-5.450317,0.30735685182404104,8.973791e-07,0.0,0.6593953946401336,0.0,12963.734149278178,-0.9351760437679651,-0.35418323952792735,2.95606303670713,237.5579949165072,0.21399831180829187,0.992678761462224,0.0,228.32807084429248,0.0,0.0,0.0,0 days,7.659301e-05,8.0976866e-07,59687.0,0.30226582,-208.04153,0.0,0.0,1.0,-6.112104801132115e-13,1.763525e-12,2.7335715e-16,0.0,0.0,0.0,7.48e-16,1.6001445497510727e-14,1.152314487628939e-12,702.1231127495746,12.963734149278178,8.593778386711236e-13,7.659301e-05,8.0976866e-07,59687.0,0.30226582,-208.04153,0.0,0.0,0.0,-6.112104801132115e-13,1.763525e-12,2.7335715e-16,0.0,0.0,0.0,7.48e-16,1.6001445497510727e-14,1.152314487628939e-12,702.1231127495746,12.963734149278178
8,8,8,140.93600250953853,42.056781316207626,6614.160000000001,885974.0,TVJ571,221.725555364,-0.8955159384713993,34610D,235.14964,39.075047,-6.111007,216.9463369449932,69927.22998383029,0.3121146918793985,1.379262619184966,80.46938774092409,85.386713006254,2493.091052715812,8.218169943951904e-05,43340.512388800154,0.356437061818495,0.6705782311743674,0.7073386383731212,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.705728061856932,42.69318282049392,18.837569295288045,129.11642170375387,693496953763333.5,17.4044419616767,728.309028287469,1447.54663930705,0.00821816994395,0.0209201314505806,0.689631309592483,42.693356503127,32.9649606275941,32.962251733729275,0.0082181699439519,0.7012364755935768,4352969310381830.5,0.02064620002425491,8.43331417656727e-05,3.16,35.8,2023-02-05 15:08:00,8.218169943951906e-05,0.3564374211037026,0.0,433.4051238880015,8,8.218169943951906e-05,39.075047,-6.111007,0.3564374211037026,1.7944181e-05,0.0,0.6420844791376042,0.0,12877.115418230198,-0.9398759916806336,-0.3415159150937853,2.917133539910868,237.41009690168994,0.24520492329170862,0.9721589272100156,0.0,228.3276920003873,0.0,0.0,0.0,0 days,8.026796e-05,6.931993e-07,61954.473,0.3606376,-208.96515,0.0,0.0,1.0,-6.032496557336244e-13,1.6910708e-12,2.643716e-16,0.0,0.0,0.0,7.480000000000001e-16,1.5154046947290357e-14,1.0878211793562186e-12,704.3383927191494,12.877115418230199,1.8586424723403987e-12,8.026796e-05,6.931993e-07,61954.473,0.3606376,-208.96515,0.0,0.0,0.0,-6.032496557336244e-13,1.6910708e-12,2.643716e-16,0.0,0.0,0.0,7.480000000000001e-16,1.5154046947290357e-14,1.0878211793562186e-12,704.3383927191494,12.877115418230199
9,9,9,140.88292902166194,41.94813537597656,7406.64,885974.0,TVJ571,205.7777776,-0.8961483511962038,34610D,230.06575,42.65224,-7.7639313,221.9383008568457,69846.76059608937,0.316498705134617,1.276844693227918,76.76749911536687,78.3536433418508,2271.604079206005,8.204199867240185e-05,38763.39764052093,0.5673256377858372,0.639729159294724,0.6991808830273568,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.7299001734380552,39.17677408267015,18.267500494563294,118.87706056843793,595243126514011.5,16.102913386607,720.437575153154,1439.26900550153,0.00820419986724,0.0208651876992233,0.638422346613959,39.1768216709254,30.5974887845233,30.594978711320483,0.0082041998672401,0.6707240020159813,4632084379331851.0,0.019429819551642732,8.089442861915994e-05,3.16,35.8,2023-02-05 15:09:00,8.204199867240185e-05,0.5673261508647555,0.0,387.6339764052093,9,8.204199867240185e-05,42.65224,-7.7639313,0.5673261508647555,4.5138986e-05,5.292539e-10,0.5869651481984688,0.0,11709.442181463151,-0.9150288307110056,-0.4033884467453792,2.625794566797438,236.24424910002304,0.37117380612966644,0.7155178274691499,0.0,227.84588699630004,0.0,0.0,0.0,0 days,7.7835386e-05,4.168205e-07,69470.46,0.54017884,-210.79836,0.0,0.0,1.0,-5.759882360235373e-13,1.4016146e-12,2.430674e-16,0.0,0.0,0.0,7.48e-16,1.172421067959346e-14,8.256264053030828e-13,706.5432714398518,11.709442181463151,1.228971092414755e-12,7.7835386e-05,4.168205e-07,69470.46,0.54017884,-210.79836,0.0,0.0,0.24732047189581408,-5.759882360235373e-13,1.4016146e-12,2.430674e-16,0.0,0.0,0.0,7.48e-16,1.172421067959346e-14,8.256264053030828e-13,706.5432714398518,11.709442181463151
