Unnamed: 0.1,Unnamed: 0,index,longitude,latitude,altitude,icao24,callsign,groundspeed,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,air_pressure,rhi_emissions,fuel_flow_per_engine,thrust_setting,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,nvpm_ei_n,ei_mass_meem,ei_number_meem,ei_nox,nvpm_ei_m,ei_co2,wingspan,time,issr_specific_humidity,issr_rhi,issr_issr,cocip_level,cocip_waypoint,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_ef,cocip_persistent_1,cocip_cocip,cocip_contrail_age,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_segment_length_km,accf_issr_nox_impact,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_segment_length_km,accf_sac_accf_contrail_cocip
0,0,0,141.68274619362572,42.55723571777344,2674.6200000000003,885974.0,TVJ571,127.067777668,-0.5161360514426931,34610D,276.79285,20.893473,-3.8737943,159.51233092112733,68966.54029289274,0.3344931540254882,0.972934074121696,67.78375185915527,89.975614853974,1763.7816224990522,0.0027841228375754,73058.20758235783,0.3980143490440171,0.5648645988262939,0.8798489412537782,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.4782709720499853,44.98780651169835,17.12299465632683,28.5619137862283,1565988516203789.8,28.7753455095411,844.814122830885,1694.57928945876,0.278412283758,0.0254638829560917,0.486467037060848,44.987807426987,19.1041970268117,19.05115626756496,0.27841228375754,0.8558047894714848,822123342426421.0,18.945922173426943,1368030330228281.2,0.0201222444545972,1.1350127579104236e-05,2.8440000000000003,35.8,2023-05-04 15:00:00,0.0027841228375754,0.3980147450975143,0.0,730.5820758235783,0,0.0027841228375754,20.893473,-3.8737943,0.3980147450975143,0.12757464,0.0,0.9195102914561464,0.0,8181.733683333497,-0.4708636641506514,-0.8822059905615143,5.523941283183154,244.79527542578035,0.4122266873445556,inf,0.0,235.9017826804362,0.0,0.0,0.0,0 days,0.0027293365,1.2176443e-07,26530.059,0.4052532,-223.20856,0.0,0.0,1.0,-8.720304261602487e-13,6.6485923e-12,2.203235e-16,0.0,0.0,0.0,7.48e-16,7.606362513923872e-14,5.7765616645680456e-12,1213.6694713050874,8.181733683333496,6.785478806991277e-12,0.0027293365,1.2176443e-07,26530.059,0.4052532,-223.20856,0.0,0.0,0.0,-8.720304261602487e-13,6.6485923e-12,2.203235e-16,0.0,0.0,0.0,7.48e-16,7.606362513923872e-14,5.7765616645680456e-12,1213.6694713050874,8.181733683333496,0.0
1,1,1,141.59485556862572,42.52262878417969,3200.4,885974.0,TVJ571,149.703333204,-0.5163785727941468,34610D,273.41742,23.82667,-2.4256516,173.83660902467773,68898.75654103358,0.3507668457798157,1.052685769380392,74.60565302432555,93.6751689412746,2124.169560766838,0.00225191231905,68339.94069049528,0.3960461122019104,0.6217137752027129,0.9972855803779844,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.5244274026202267,46.83795507386432,19.76962882819036,36.16549242133086,1451755697799525.0,30.4088414989361,860.198433725908,1735.42598875941,0.225191231905,0.0264165932362297,0.526342884690196,46.8375844706373,19.9247071711098,19.87993929091861,0.225191231905,0.926205067717108,829756183921701.0,18.756677867253305,1330489034710689.5,0.0217539452440181,1.434630768540994e-05,2.8440000000000003,35.8,2023-05-04 15:01:00,0.00225191231905,0.3960460204528654,0.0,683.3994069049528,1,0.00225191231905,23.82667,-2.4256516,0.3960460204528654,0.120603986,0.0,0.8707447515746641,0.0,9587.418296793368,-0.4794178129158185,-0.877586782409018,5.294287744126658,244.2872636616377,0.3970342529013173,inf,0.0,235.35241036597992,0.0,0.0,0.0,0 days,0.002203723,1.6295014e-07,31819.443,0.37931868,-224.29405,0.0,0.0,1.0000000000000002,-8.431692329840373e-13,5.967493e-12,2.2349825e-16,0.0,0.0,0.0,7.480000000000001e-16,6.75877068232402e-14,5.124323737538678e-12,1214.0410026760362,9.587418296793368,7.040841902869589e-12,0.002203723,1.6295014e-07,31819.443,0.37931868,-224.29405,0.0,0.0,0.0,-8.431692329840373e-13,5.967493e-12,2.2349825e-16,0.0,0.0,0.0,7.480000000000001e-16,6.75877068232402e-14,5.124323737538678e-12,1214.0410026760362,9.587418296793368,0.0
2,2,2,141.49248296564275,42.48133850097656,3832.86,885974.0,TVJ571,164.107777636,-0.5167381870726524,34610D,269.7392,26.242931,-3.6206615,186.71515768779912,68824.15088800926,0.3642815302790514,1.115590453536454,71.92590792731994,95.9866429922998,2512.8477015842227,0.0011892917373908,62994.42896063308,0.2619376165589404,0.5993825660609995,1.0,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.5671067043985448,47.993480303808354,19.852779271998955,36.28235538999999,1450000000000000.0,31.4953282937872,875.042794576026,1775.95792884682,0.118929173739,0.0273700029837121,0.557795226768227,47.9933214961499,20.3798014600207,20.355592721786987,0.11892917373908,0.9971792233948852,807720148332601.2,18.04598077281268,1280569681281882.8,0.0236960879856682,1.71123847595238e-05,2.8440000000000003,35.8,2023-05-04 15:02:00,0.0011892917373908,0.2619374211009395,0.0,629.9442896063307,2,0.0011892917373908,26.242931,-3.6206615,0.2619374211009395,0.113817036,1.2376572e-09,0.8135804930641373,0.0,9904.532106848184,-0.4803242924734069,-0.8770909725107887,4.979359462139668,243.5578605548983,0.2533838571731466,inf,0.0,233.96160540133772,0.0,0.0,0.0,0 days,0.0011576604,2.4176245e-07,38196.9,0.24931017,-225.54108,0.0,0.0,1.0000000000000002,-8.083509095574288e-13,5.2572113e-12,2.2957335000000004e-16,0.0,0.0,0.0,7.48e-16,5.881276048168172e-14,4.448860547707497e-12,1214.4825591321387,9.904532106848183,7.0563722938357425e-12,0.0011576604,2.4176245e-07,38196.9,0.24931017,-225.54108,0.0,0.0,0.0,-8.083509095574288e-13,5.2572113e-12,2.2957335000000004e-16,0.0,0.0,0.0,7.48e-16,5.881276048168172e-14,4.448860547707497e-12,1214.4825591321387,9.904532106848183,0.0
3,3,3,141.3869268243963,42.43862915039063,4579.62,885974.0,TVJ571,165.136666524,-0.5171189678384379,34610D,265.2603,26.90182,-7.545258,196.912775653878,68752.22498008194,0.3734808442251817,0.88264307097845,63.824887146727576,73.8291709061008,1309.6690743242534,0.0014361603141154,57124.037489563314,0.4214324925768711,0.5318740595560632,0.9260074362888032,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.6031078352829355,36.91518549437812,17.6536248105361,33.59290137848858,1490405173201639.5,26.1644762072327,844.910702790777,1693.41522126762,0.143616031412,0.0253847490602591,0.441321535489225,36.9145854530504,17.3853022711235,17.360369996695887,0.14361603141154,0.8562120481895419,716828361169320.0,16.61688190601425,1215899643973233.5,0.0200688592187925,9.910159645968134e-06,2.8440000000000003,35.8,2023-05-04 15:03:00,0.0014361603141154,0.4214330417689867,0.0,571.2403748956332,3,0.0014361603141154,26.90182,-7.545258,0.4214330417689867,0.107313864,2.1566441e-08,0.750220777486204,0.0,10425.44396869136,-0.4806838213428572,-0.8768939866935046,4.582611906524062,242.5783557531609,0.3902458965940943,inf,0.0,233.75192810417803,0.0,0.0,0.0,0 days,0.0014187375,3.0876456e-07,45733.066,0.42828533,-227.71501,0.0,0.0,1.0,-7.671667747887405e-13,4.4894544e-12,2.347381e-16,0.0,0.0,0.0,7.479999999999999e-16,4.937247576841044e-14,3.722287512426301e-12,1214.9371265665318,10.42544396869136,3.956115553754787e-12,0.0014187375,3.0876456e-07,45733.066,0.42828533,-227.71501,0.0,0.0,0.0,-7.671667747887405e-13,4.4894544e-12,2.347381e-16,0.0,0.0,0.0,7.479999999999999e-16,4.937247576841044e-14,3.722287512426301e-12,1214.9371265665318,10.42544396869136,0.0
4,4,4,141.27568444540336,42.39354020458157,4968.240000000001,885974.0,TVJ571,186.743333172,-0.5175397217855142,34610D,262.9615,26.855165,-8.811441,207.7184597680489,68688.4000929352,0.3806736385861456,0.78467378692646,57.36639139044459,63.4184015569982,1310.6965099060546,0.0016343611197208,54249.21360051817,0.5577569573159871,0.4780532615870382,0.8554858202146784,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.6389785017555011,31.708983378006725,15.83145052596838,29.203197286147528,1556354155186763.5,23.8974674995765,832.173980824068,1653.08007044701,0.163436111972,0.0243811621212208,0.39233689346323,31.7092007784991,16.091804464142,16.065547557846433,0.16343611197208,0.8023233297774833,582473101130055.1,16.691432767458807,1192541895147805.2,0.0188082470696077,7.6135175180576925e-06,2.8440000000000003,35.8,2023-05-04 15:04:00,0.0016343611197208,0.5577565394219558,0.0,542.4921360051817,4,0.0016343611197208,26.855165,-8.811441,0.5577565394219558,0.102833636,9.159594e-09,0.7186935171535938,0.0,11784.876773848331,-0.4816600386620713,-0.8763581500482848,4.4032826766665805,242.11072881292768,0.5049875646267833,inf,0.0,233.98517282520532,0.0,0.0,0.0,0 days,0.0016485238,2.7005115e-07,49644.52,0.5482906,-229.99968,0.0,0.0,1.0,-7.458281269085038e-13,4.1264674e-12,2.3175396e-16,0.0,0.0,0.0,7.48e-16,4.492806685006913e-14,3.380639454221027e-12,1215.4170206912313,11.784876773848332,2.993557275290655e-12,0.0016485238,2.7005115e-07,49644.52,0.5482906,-229.99968,0.0,0.0,0.0,-7.458281269085038e-13,4.1264674e-12,2.3175396e-16,0.0,0.0,0.0,7.48e-16,4.492806685006913e-14,3.380639454221027e-12,1215.4170206912313,11.784876773848332,0.0
5,5,5,141.15009654651988,42.34245300292969,5356.860000000001,885974.0,TVJ571,201.662222048,-0.5180696454191921,34610D,260.4812,26.772827,-9.477871,209.4141190708588,68631.03370154476,0.3832595564635477,0.752957869796024,55.15599528367236,60.7723664005666,1952.9782330452103,0.0012762476376307,51492.67974234382,0.5165164036998183,0.459633294030603,0.8376848614939987,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.6472543475235131,30.38587141178133,15.523788389649589,29.00308832232115,1559360504173583.5,23.0137876500714,828.10736431501,1645.52812359282,0.127624763763,0.024231036264066,0.376478934898012,30.3861832002833,15.5370546597844,15.517250805101868,0.12762476376307,0.7854138581731972,545100656399268.4,15.529910134403194,1149199114774997.8,0.0185291420643621,7.028251859112783e-06,2.8440000000000003,35.8,2023-05-04 15:05:00,0.0012762476376307,0.5165165769168447,0.0,514.9267974234381,5,0.0012762476376307,26.772827,-9.477871,0.5165165769168447,0.100208625,1.7936119e-09,0.6886706246501367,0.0,11776.905178293267,-0.6955962148912547,-0.7184329515194577,4.195770925226467,241.5480709465199,0.4564048640132628,inf,0.0,233.17579381198976,0.0,0.0,0.0,0 days,0.0012622015,2.6960805e-07,53615.637,0.48844445,-232.768,0.0,0.0,1.0,-7.241603985226695e-13,3.7812275e-12,2.3171979000000003e-16,0.0,0.0,0.0,7.48e-16,4.0721591648554256e-14,3.057067066210365e-12,1215.960755912362,11.776905178293267,2.559070230554422e-12,0.0012622015,2.6960805e-07,53615.637,0.48844445,-232.768,0.0,0.0,0.0,-7.241603985226695e-13,3.7812275e-12,2.3171979000000003e-16,0.0,0.0,0.0,7.48e-16,4.0721591648554256e-14,3.057067066210365e-12,1215.960755912362,11.776905178293267,0.0
6,6,6,141.04739876680597,42.268826759467686,5935.9800000000005,885974.0,TVJ571,202.176666492,-0.5188857240893362,34610D,256.43777,25.977953,-11.896204,200.21633950723697,68575.87770626109,0.3809497121189347,0.760197944188472,55.41146562416973,63.7886279365014,1514.9470296503898,0.0008373352079846,47596.28928252322,0.4545247180523076,0.4617622135347477,0.8527848978653059,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.6236855864356111,31.89340935418389,15.61366793148066,32.7232748486001,1503470059386898.5,22.8183650593325,828.534222561471,1663.60837926232,0.0837335207985,0.0248153546076432,0.380098972094236,31.8943139682507,15.3170880732514,15.304273266412814,0.08373352079846,0.7871800498132739,571954476497817.1,12.896770685793127,984412677032231.8,0.0186568212726625,7.385296350160116e-06,2.8440000000000003,35.8,2023-05-04 15:06:00,0.0008373352079846,0.4545251290366686,0.0,475.96289282523225,6,0.0008373352079846,25.977953,-11.896204,0.4545251290366686,0.10242821,5.573147e-11,0.6465968025181628,0.0,12351.486589520808,-0.9280124073797156,-0.372549287677892,3.862349790210576,240.5901664070882,0.3859622810489931,inf,0.0,231.90875566399603,0.0,0.0,0.0,0 days,0.0008169145,2.43419e-07,59517.234,0.42197075,-235.18434,0.0,0.0,1.0,-6.919272637318104e-13,3.2913028e-12,2.2970104000000002e-16,0.0,0.0,0.0,7.48e-16,3.4769582849145705e-14,2.599375522708841e-12,1216.7443803912029,12.351486589520809,2.21199742646169e-12,0.0008169145,2.43419e-07,59517.234,0.42197075,-235.18434,0.0,0.0,0.0,-6.919272637318104e-13,3.2913028e-12,2.2970104000000002e-16,0.0,0.0,0.0,7.48e-16,3.4769582849145705e-14,2.599375522708841e-12,1216.7443803912029,12.351486589520809,0.0
7,7,7,140.99160627885297,42.165802001953125,6385.56,885974.0,TVJ571,208.34999982,-0.520040743865111,34610D,253.21094,24.925848,-14.074659,201.03479365181613,68520.46624063692,0.3797937548243127,0.61038478497398,44.85405620854246,50.8544225602106,769.6379219367504,0.0005422742713156,44739.09919617161,0.3756175417950081,0.3737838017378538,0.7010356300781293,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.6302128216157624,25.426544751011217,14.180133092619789,24.652434154578668,1522327111962233.8,19.2100560410242,799.131187669874,1586.51741165857,0.0542274271316,0.0230483991804532,0.30519239248699,25.4272112801053,13.2413704785977,13.234193915735592,0.05422742713156,0.6731401300862638,372046875374593.75,11.793734893902124,912114217559552.0,0.0166059072507781,4.276782061519897e-06,2.8440000000000003,35.8,2023-05-04 15:07:00,0.0005422742713156,0.3756175575456562,0.0,447.3909919617161,7,0.0005422742713156,24.925848,-14.074659,0.3756175575456562,0.10530819,1.4365195e-10,0.6155271571386111,0.0,12963.734149278178,-0.9351760437679651,-0.3541832395279273,3.6228059582648737,239.8556660994583,0.3089643326670253,inf,0.0,230.85159779020387,0.0,0.0,0.0,0 days,0.0005315455,2.0444588e-07,64027.89,0.37078738,-236.06808,0.0,0.0,1.0,-6.673370673206988e-13,2.9372338e-12,2.2669688000000003e-16,0.0,0.0,0.0,7.48e-16,3.048335463784802e-14,2.269896751407687e-12,1217.8330982973544,12.963734149278178,1.3804594722167037e-12,0.0005315455,2.0444588e-07,64027.89,0.37078738,-236.06808,0.0,0.0,0.0,-6.673370673206988e-13,2.9372338e-12,2.2669688000000003e-16,0.0,0.0,0.0,7.48e-16,3.048335463784802e-14,2.269896751407687e-12,1217.8330982973544,12.963734149278178,0.0
8,8,8,140.93600250953853,42.056781316207626,6614.160000000001,885974.0,TVJ571,221.725555364,-0.52127242928564,34610D,251.46817,24.814825,-15.080225,202.16132462701268,68475.61218442838,0.3831580065227331,0.998037499939488,63.5384902660666,83.4209492601114,2663.997612053356,0.0004937330761152,43340.51238880016,0.3920552885944042,0.5294874188838883,1.0,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.6359365215086201,41.71047307462268,18.66351277588301,36.28235539,1450000000000000.0,27.2480382168459,873.43058102695,1810.39838064755,0.0493733076115,0.0286000737191992,0.499018749969744,41.7104746300557,17.4481630666131,17.439552582670384,0.04937330761152,0.9896306016100116,753294609464499.9,11.322986073213794,880730584608288.4,0.0228724332297064,1.5632310661538478e-05,2.8440000000000003,35.8,2023-05-04 15:08:00,0.0004937330761152,0.3920557002339733,0.0,433.4051238880015,8,0.0004937330761152,24.814825,-15.080225,0.3920557002339733,0.10760465,7.486717e-10,0.6004176756000379,0.0,12877.115418230198,-0.9398759916806336,-0.3415159150937853,3.5285470021110426,239.55480657568705,0.3169811251793193,inf,0.0,230.61517236832415,0.0,0.0,0.0,0 days,0.00048299733,1.866697e-07,66439.695,0.397015,-236.88417,0.0,0.0,1.0,-6.54249122910511e-13,2.7827335e-12,2.2532662e-16,0.0,0.0,0.0,7.480000000000001e-16,2.864362343461737e-14,2.128484370317261e-12,1218.9833320716243,12.8771154182302,2.915284502397143e-12,0.00048299733,1.866697e-07,66439.695,0.397015,-236.88417,0.0,0.0,0.0,-6.54249122910511e-13,2.7827335e-12,2.2532662e-16,0.0,0.0,0.0,7.480000000000001e-16,2.864362343461737e-14,2.128484370317261e-12,1218.9833320716243,12.8771154182302,0.0
9,9,9,140.88292902166194,41.94813537597656,7406.64,885974.0,TVJ571,205.7777776,-0.522482414806489,34610D,245.6387,26.475786,-18.505022,204.01964015825544,68412.07369416232,0.3850707692204796,0.948972553603654,61.91195146838818,78.989736382054,2427.8603778261468,0.0004458572898947,38763.39764052093,0.5658864582547842,0.5159329289032348,1.0,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.6493529184248923,39.49480040608567,18.343190696326097,36.28235538999999,1450000000000000.0,25.7061620348767,869.938072532455,1815.21797244482,0.0445857289895,0.0288675780737574,0.474486276801827,39.494868191027,16.4366499880767,16.429324853822575,0.04458572898947,0.9731890536305838,739383062102610.6,9.625859601547845,767682918101311.9,0.0222237150080001,1.4656850527830865e-05,2.8440000000000003,35.8,2023-05-04 15:09:00,0.0004458572898947,0.5658864418295494,0.0,387.6339764052093,9,0.0004458572898947,26.475786,-18.505022,0.5658864418295494,0.10895843,4.2286039e-10,0.5497528567124883,0.0,11709.442181463151,-0.9150288307110056,-0.4033884467453792,3.1655892969732964,238.3256059107502,0.431885641439685,inf,0.0,230.0752251656996,0.0,0.0,0.0,0 days,0.00042882617,2.0262264e-07,74451.71,0.55833393,-237.52242,0.0,0.0,1.0,-6.103545099029376e-13,2.3081743e-12,2.2655633e-16,0.0,0.0,0.0,7.48e-16,2.3046212935076956e-14,1.697819739052432e-12,1220.1247950577167,11.709442181463151,2.1483900869532045e-12,0.00042882617,2.0262264e-07,74451.71,0.55833393,-237.52242,0.0,0.0,0.0,-6.103545099029376e-13,2.3081743e-12,2.2655633e-16,0.0,0.0,0.0,7.48e-16,2.3046212935076956e-14,1.697819739052432e-12,1220.1247950577167,11.709442181463151,0.0
