,Unnamed: 0,index,longitude,latitude,altitude,icao24,callsign,groundspeed,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,air_pressure,rhi_emissions,fuel_flow_per_engine,thrust_setting,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,W3_no_water_injection,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,nvpm_ei_n,ei_mass_meem,ei_number_meem,ei_nox,nvpm_ei_m,ei_co2,wingspan,time,issr_specific_humidity,issr_rhi,issr_issr,cocip_level,cocip_waypoint,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_ef,cocip_persistent_1,cocip_cocip,cocip_contrail_age,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_nox_impact,accf_issr_co2_impact_conservative,accf_issr_co2_impact_optimistic,accf_issr_contrails_atr20,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_nox_impact,accf_sac_co2_impact_conservative,accf_sac_co2_impact_optimistic,accf_sac_contrails_atr20
0,0,0,141.68274619362572,42.55723571777344,2674.6200000000003,885974.0,TVJ571,127.067777668,-0.5161360514426931,34610D,276.79285,20.893473,-3.8737943,159.51233092112733,68966.54029289274,0.3627145774114472,0.897230604906776,67.78375185915527,89.9752920948718,1763.7816224990522,0.0027841228375754,73058.20758235783,0.3980143490440171,0.5648645988262939,0.8798489412537782,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,19.05115626756496,2.8046326808879987,0.4782709720499853,44.98780651169835,17.12299465632683,28.5619137862283,1565988516203789.8,28.9076618272735,845.107515576868,1370.64492611229,0.278412283758,0.0233927314279931,0.448615302453388,44.9876460474359,19.1775511053211,19.124306686322917,14.943689968797916,0.8262823700843384,609101070383416.0,18.945922173426943,1368030330228281.2,0.001572635008699916,8.107363520000066e-06,2.8440000000000003,35.8,2023-05-04 15:00:00,0.002784122837575402,0.3980147450975143,0.0,730.5820758235783,0,0.002784122837575402,20.893473,-3.8737943,0.3980147450975143,0.12757464,0.0,0.9195102914561463,0.0,8181.733683333497,-0.47086366415065145,-0.8822059905615143,5.7685624218225335,245.31618617615158,0.4122266873445556,inf,0.0,236.3785900307889,0.0,0.0,0.0,0 days,0.0027293365,1.2176443e-07,26530.059,0.4052532,-223.20856,0.0,0.0,1.0,-8.720304261602486e-13,6.6485923e-12,2.203235e-16,0.0,0.0,0.0,7.48e-16,7.606362513923872e-14,5.7765616645680456e-12,1213.6694713050874,4.890493461890577e-13,1.145213659551266e-13,7.634757730341774e-15,0.0,0.0027293365,1.2176443e-07,26530.059,0.4052532,-223.20856,0.0,0.0,0.0,-8.720304261602486e-13,6.6485923e-12,2.203235e-16,0.0,0.0,0.0,7.48e-16,7.606362513923872e-14,5.7765616645680456e-12,1213.6694713050874,4.890493461890577e-13,1.145213659551266e-13,7.634757730341774e-15,0.0
1,1,1,141.59485556862572,42.52262878417969,3200.4,885974.0,TVJ571,149.703333204,-0.5163785727941468,34610D,273.41742,23.82667,-2.4256516,173.83660902467773,68898.75654103358,0.38028360179443854,0.970985362794658,74.60565302432555,93.6758143674264,2124.169560766838,0.00225191231905,68339.94069049528,0.3960461122019104,0.6217137752027129,0.9972855803779844,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,19.87993929091861,2.9372230134466046,0.5244274026202267,46.83795507386432,19.76962882819036,36.16549242133086,1451755697799525.0,30.5356449172737,860.537610671359,1402.038243029,0.225191231905,0.0242867444139142,0.485492681397329,46.8379071837132,19.9900271985068,19.94511255384197,14.951721380669772,0.8839931619006941,647136662799097.0,18.756677867253305,1330489034710689.5,0.0017066496924403108,9.809281404795511e-06,2.8440000000000003,35.8,2023-05-04 15:01:00,0.0022519123190500603,0.39604602045286547,0.0,683.3994069049528,1,0.0022519123190500603,23.82667,-2.4256516,0.39604602045286547,0.120603986,0.0,0.8707447515746641,0.0,9587.418296793368,-0.4794178129158185,-0.877586782409018,5.5464517986314075,244.84405678928007,0.3970342529013173,inf,0.0,235.8617217809495,0.0,0.0,0.0,0 days,0.002203723,1.6295014e-07,31819.443,0.37931868,-224.29405,0.0,0.0,1.0000000000000002,-8.431692329840373e-13,5.967493e-12,2.2349825e-16,0.0,0.0,0.0,7.480000000000001e-16,6.75877068232402e-14,5.124323737538678e-12,1214.0410026760362,5.095008108994357e-13,1.2393532884584583e-13,8.26235525638972e-15,0.0,0.002203723,1.6295014e-07,31819.443,0.37931868,-224.29405,0.0,0.0,0.0,-8.431692329840373e-13,5.967493e-12,2.2349825e-16,0.0,0.0,0.0,7.480000000000001e-16,6.75877068232402e-14,5.124323737538678e-12,1214.0410026760362,5.095008108994357e-13,1.2393532884584583e-13,8.26235525638972e-15,0.0
2,2,2,141.49248296564275,42.48133850097656,3832.86,885974.0,TVJ571,164.107777636,-0.5167381870726524,34610D,269.7392,26.242931,-3.6206615,186.71515768779912,68824.15088800926,0.3953238915047207,1.02800342981549,71.92590792731994,95.9878992552558,2512.8477015842227,0.0011892917373908,62994.42896063308,0.2619376165589404,0.5993825660609995,1.0,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,20.355592721786987,3.029130170034333,0.5671067043985448,47.993480303808354,19.852779271998955,36.28235538999999,1450000000000000.0,31.6082995546314,875.684156326374,1431.74892268739,0.118929173739,0.0251634349596356,0.514001714907745,47.9939496276279,20.4265322175708,20.40226796885141,14.965955860472988,0.9395738412635456,637949736003106.1,18.045980772812676,1280569681281882.8,0.0018588438543623055,1.1478551128569323e-05,2.8440000000000003,35.8,2023-05-04 15:02:00,0.0011892917373908397,0.2619374211009395,0.0,629.9442896063307,2,0.0011892917373908397,26.242931,-3.6206615,0.2619374211009395,0.113817036,1.2376572e-09,0.8135804930641373,0.0,9904.532106848184,-0.4803242924734069,-0.8770909725107887,5.234985693976146,244.15290999232099,0.25338385717314665,inf,0.0,234.50224745438527,0.0,0.0,0.0,0 days,0.0011576604,2.4176245e-07,38196.9,0.24931017,-225.54108,0.0,0.0,1.0000000000000002,-8.083509095574287e-13,5.2572113e-12,2.2957335e-16,0.0,0.0,0.0,7.48e-16,5.881276048168172e-14,4.448860547707497e-12,1214.4825591321387,5.100790854094772e-13,1.31213041937259e-13,8.7475361291506e-15,0.0,0.0011576604,2.4176245e-07,38196.9,0.24931017,-225.54108,0.0,0.0,0.0,-8.083509095574287e-13,5.2572113e-12,2.2957335e-16,0.0,0.0,0.0,7.48e-16,5.881276048168172e-14,4.448860547707497e-12,1214.4825591321387,5.100790854094772e-13,1.31213041937259e-13,8.7475361291506e-15,0.0
3,3,3,141.3869268243963,42.43862915039063,4579.62,885974.0,TVJ571,165.136666524,-0.5171189678384379,34610D,265.2603,26.90182,-7.545258,196.912775653878,68752.22498008194,0.40615094831806536,0.811660245416266,63.824887146727576,73.83058166342,1309.6690743242534,0.0014361603141154,57124.037489563314,0.4214324925768711,0.5318740595560632,0.9260074362888032,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,17.360369996695887,2.579123225076769,0.6031078352829355,36.91518549437812,17.6536248105361,33.59290137848858,1490405173201639.5,26.2795326834511,845.321514384115,1365.93300333192,0.143616031412,0.023268402167226,0.405830122708133,36.91529083171,17.4412544441815,17.416241928702465,14.952340184618784,0.827078621909959,528374918786107.5,16.61688190601425,1215899643973233.5,0.001567293069888962,7.0369479645853525e-06,2.8440000000000003,35.8,2023-05-04 15:03:00,0.0014361603141154037,0.42143304176898677,0.0,571.2403748956332,3,0.0014361603141154037,26.90182,-7.545258,0.42143304176898677,0.107313864,2.1566441e-08,0.750220777486204,0.0,10425.443968691361,-0.4806838213428572,-0.8768939866935046,4.834720430701038,243.20906003455394,0.3902458965940943,inf,0.0,234.32904179433694,0.0,0.0,0.0,0 days,0.0014187375,3.0876456e-07,45733.066,0.42828533,-227.71501,0.0,0.0,0.9999999999999999,-7.671667747887405e-13,4.4894544e-12,2.347381e-16,0.0,0.0,0.0,7.479999999999999e-16,4.937247576841044e-14,3.722287512426301e-12,1214.9371265665318,2.841094334070257e-13,1.0359927479981806e-13,6.9066183199878694e-15,0.0,0.0014187375,3.0876456e-07,45733.066,0.42828533,-227.71501,0.0,0.0,0.0,-7.671667747887405e-13,4.4894544e-12,2.347381e-16,0.0,0.0,0.0,7.479999999999999e-16,4.937247576841044e-14,3.722287512426301e-12,1214.9371265665318,2.841094334070257e-13,1.0359927479981806e-13,6.9066183199878694e-15,0.0
4,4,4,141.27568444540336,42.39354020458157,4968.240000000001,885974.0,TVJ571,186.743333172,-0.5175397217855142,34610D,262.9615,26.855165,-8.811441,207.7184597680489,68688.4000929352,0.414502993300476,0.720635429892536,57.36639139044459,63.418596288256,1310.6965099060546,0.0016343611197208,54249.21360051817,0.5577569573159871,0.4780532615870382,0.8554858202146784,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,16.065547557846433,2.383575227381394,0.6389785017555011,31.708983378006725,15.83145052596838,29.203197286147528,1556354155186763.5,24.0099312464318,832.570345587799,1334.06953439984,0.163436111972,0.0223128163432624,0.360317714946268,31.709298144128,16.1484641563444,16.12211479874965,14.947943337824684,0.7795353272660661,432629969932624.4,16.691432767458807,1192541895147805.2,0.0014553175886752375,5.550648760127365e-06,2.8440000000000003,35.8,2023-05-04 15:04:00,0.0016343611197208797,0.5577565394219558,0.0,542.4921360051817,4,0.0016343611197208797,26.855165,-8.811441,0.5577565394219558,0.102833636,9.159594e-09,0.7186935171535938,0.0,11784.876773848331,-0.4816600386620713,-0.8763581500482848,4.657699368591475,242.76935477219743,0.5049875646267833,inf,0.0,234.59186480337127,0.0,0.0,0.0,0 days,0.0016485238,2.7005115e-07,49644.52,0.5482906,-229.99968,0.0,0.0,1.0,-7.458281269085037e-13,4.1264674e-12,2.3175396e-16,0.0,0.0,0.0,7.48e-16,4.492806685006913e-14,3.380639454221027e-12,1215.4170206912313,2.127274305821624e-13,9.198098385813306e-14,6.132065590542203e-15,0.0,0.0016485238,2.7005115e-07,49644.52,0.5482906,-229.99968,0.0,0.0,0.0,-7.458281269085037e-13,4.1264674e-12,2.3175396e-16,0.0,0.0,0.0,7.48e-16,4.492806685006913e-14,3.380639454221027e-12,1215.4170206912313,2.127274305821624e-13,9.198098385813306e-14,6.132065590542203e-15,0.0
5,5,5,141.15009654651988,42.34245300292969,5356.860000000001,885974.0,TVJ571,201.662222048,-0.5180696454191921,34610D,260.4812,26.772827,-9.477871,209.4141190708588,68631.03370154476,0.4176116531267151,0.691027094090068,55.15599528367236,60.7729282407076,1952.9782330452103,0.0012762476376307,51492.67974234382,0.5165164036998183,0.459633294030603,0.8376848614939987,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,15.517250805101868,2.307783766082745,0.6472543475235131,30.38587141178133,15.523788389649589,29.00308832232115,1559360504173583.5,23.1245750268216,828.5395010911,1327.14241857061,0.127624763763,0.0221606557481738,0.345513547045034,30.3864641203538,15.5913051929209,15.571432189374685,14.948251010701894,0.7647043422591845,405153767003857.4,15.529910134403194,1149199114774997.8,0.001432835120478296,5.13152776045154e-06,2.8440000000000003,35.8,2023-05-04 15:05:00,0.001276247637630765,0.5165165769168447,0.0,514.9267974234381,5,0.001276247637630765,26.772827,-9.477871,0.5165165769168447,0.100208625,1.7936119e-09,0.6886706246501367,0.0,11776.905178293267,-0.6955962148912547,-0.7184329515194577,4.443257897061857,242.21641248978986,0.45640486401326286,inf,0.0,233.78987972987144,0.0,0.0,0.0,0 days,0.0012622015,2.6960805e-07,53615.637,0.48844445,-232.768,0.0,0.0,1.0,-7.241603985226695e-13,3.7812275e-12,2.3171979e-16,0.0,0.0,0.0,7.48e-16,4.0721591648554256e-14,3.0570670662103646e-12,1215.960755912362,1.816132417605766e-13,8.820181377497587e-14,5.880120918331724e-15,0.0,0.0012622015,2.6960805e-07,53615.637,0.48844445,-232.768,0.0,0.0,0.0,-7.241603985226695e-13,3.7812275e-12,2.3171979e-16,0.0,0.0,0.0,7.48e-16,4.0721591648554256e-14,3.0570670662103646e-12,1215.960755912362,1.816132417605766e-13,8.820181377497587e-14,5.880120918331724e-15,0.0
6,6,6,141.04739876680597,42.268826759467686,5935.9800000000005,885974.0,TVJ571,202.176666492,-0.5188857240893362,34610D,256.43777,25.977953,-11.896204,200.21633950723697,68575.87770626109,0.4151679140365369,0.697542940982818,55.41146562416973,63.7886851544746,1514.9470296503898,0.0008373352079846,47596.28928252322,0.4545247180523076,0.4617622135347477,0.8527848978653059,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,15.304273266412814,2.282826183123337,0.6236855864356111,31.89340935418389,15.61366793148066,32.7232748486001,1503470059386898.5,22.9184767715061,828.981353386727,1340.24296329487,0.0837335207985,0.0227011925991726,0.348771470491409,31.8943425772373,15.3635747975691,15.350721098325518,14.954866730119496,0.7663196713013113,425045152526552.5,12.896770685793127,984412677032231.8,0.001441571876909491,5.391202734079028e-06,2.8440000000000003,35.8,2023-05-04 15:06:00,0.0008373352079846057,0.45452512903666864,0.0,475.96289282523225,6,0.0008373352079846057,25.977953,-11.896204,0.45452512903666864,0.10242821,5.573147e-11,0.6465968025181628,0.0,12351.486589520808,-0.9280124073797156,-0.372549287677892,4.088333740424435,241.2470061696666,0.38596228104899316,inf,0.0,232.51036414975246,0.0,0.0,0.0,0 days,0.0008169145,2.43419e-07,59517.234,0.42197075,-235.18434,0.0,0.0,0.9999999999999999,-6.919272637318103e-13,3.2913028e-12,2.2970104e-16,0.0,0.0,0.0,7.48e-16,3.4769582849145705e-14,2.599375522708841e-12,1216.7443803912029,1.5682941581968324e-13,8.903348813208244e-14,5.935565875472162e-15,0.0,0.0008169145,2.43419e-07,59517.234,0.42197075,-235.18434,0.0,0.0,0.0,-6.919272637318103e-13,3.2913028e-12,2.2970104e-16,0.0,0.0,0.0,7.48e-16,3.4769582849145705e-14,2.599375522708841e-12,1216.7443803912029,1.5682941581968324e-13,8.903348813208244e-14,5.935565875472162e-15,0.0
7,7,7,140.99160627885297,42.165802001953125,6385.56,885974.0,TVJ571,208.34999982,-0.520040743865111,34610D,253.21094,24.925848,-14.074659,201.03479365181613,68520.46624063692,0.41483722483813634,0.558824676967894,44.85405620854246,50.854630696596,769.6379219367504,0.0005422742713156,44739.09919617161,0.3756175417950081,0.3737838017378538,0.7010356300781293,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,13.234193915735592,1.9779525244982337,0.6302128216157624,25.426544751011217,14.180133092619789,24.652434154578668,1522327111962233.8,19.3108100523735,799.674142898304,1278.42892802789,0.0542274271316,0.0210296626434448,0.279412338483947,25.427315348298,13.2865820636949,13.279380997041203,14.949142520982273,0.6604152247530244,290067187290339.44,11.793734893902124,912114217559552.0,0.001256041251545731,3.280037393131746e-06,2.8440000000000003,35.8,2023-05-04 15:07:00,0.0005422742713156294,0.3756175575456562,0.0,447.3909919617161,7,0.0005422742713156294,24.925848,-14.074659,0.3756175575456562,0.10530819,1.4365195e-10,0.6155271571386111,0.0,12963.734149278178,-0.9351760437679651,-0.35418323952792735,3.8397638669924734,240.52266124400532,0.30896433266702533,inf,0.0,231.46053684044676,0.0,0.0,0.0,0 days,0.0005315455,2.0444588e-07,64027.89,0.37078738,-236.06808,0.0,0.0,1.0,-6.673370673206988e-13,2.9372338e-12,2.2669688e-16,0.0,0.0,0.0,7.48e-16,3.048335463784802e-14,2.269896751407687e-12,1217.8330982973544,9.559536426056091e-14,7.132766647259547e-14,4.755177764839698e-15,0.0,0.0005315455,2.0444588e-07,64027.89,0.37078738,-236.06808,0.0,0.0,0.0,-6.673370673206988e-13,2.9372338e-12,2.2669688e-16,0.0,0.0,0.0,7.48e-16,3.048335463784802e-14,2.269896751407687e-12,1217.8330982973544,9.559536426056091e-14,7.132766647259547e-14,4.755177764839698e-15,0.0
8,8,8,140.93600250953853,42.056781316207626,6614.160000000001,885974.0,TVJ571,221.725555364,-0.52127242928564,34610D,251.46817,24.814825,-15.080225,202.16132462701268,68475.61218442838,0.41693460707774005,0.917184625712906,63.5384902660666,83.4209389259396,2663.997612053356,0.0004937330761152,43340.512388800154,0.3920552885944042,0.5294874188838883,1.0,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,17.439552582670384,2.6073224034578417,0.6359365215086201,41.71047307462268,18.66351277588301,36.28235539,1450000000000000.0,27.3096781372677,874.077865223031,1455.40039990069,0.0493733076115,0.0262412501516966,0.458592312856453,41.7104694629698,17.4760085821141,17.467384356703977,14.976178318672902,0.9336469133057472,591871357337613.9,11.322986073213794,880730584608288.4,0.0017882019862072481,1.0463969572949478e-05,2.8440000000000003,35.8,2023-05-04 15:08:00,0.0004937330761152776,0.39205570023397335,0.0,433.4051238880015,8,0.0004937330761152776,24.814825,-15.080225,0.39205570023397335,0.10760465,7.486717e-10,0.6004176756000379,0.0,12877.115418230198,-0.9398759916806336,-0.3415159150937853,3.7329534444700085,240.19858299872445,0.3169811251793193,inf,0.0,231.20328291958458,0.0,0.0,0.0,0 days,0.00048299733,1.866697e-07,66439.695,0.397015,-236.88417,0.0,0.0,1.0,-6.54249122910511e-13,2.7827335e-12,2.2532662e-16,0.0,0.0,0.0,7.480000000000001e-16,2.864362343461737e-14,2.128484370317261e-12,1218.9833320716245,2.0945708492322395e-13,1.1706827162967444e-13,7.804551441978296e-15,0.0,0.00048299733,1.866697e-07,66439.695,0.397015,-236.88417,0.0,0.0,0.0,-6.54249122910511e-13,2.7827335e-12,2.2532662e-16,0.0,0.0,0.0,7.480000000000001e-16,2.864362343461737e-14,2.128484370317261e-12,1218.9833320716245,2.0945708492322395e-13,1.1706827162967444e-13,7.804551441978296e-15,0.0
9,9,9,140.88292902166194,41.94813537597656,7406.64,885974.0,TVJ571,205.7777776,-0.522482414806489,34610D,245.6387,26.475786,-18.505022,204.01964015825544,68412.07369416232,0.4194702120960379,0.871140190835168,61.91195146838818,78.9888218996082,2427.8603778261468,0.0004458572898947,38763.39764052093,0.5658864582547842,0.5159329289032348,1.0,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,16.429324853822575,2.4570735938192603,0.6493529184248923,39.49480040608567,18.343190696326097,36.28235538999999,1450000000000000.0,25.7534791576941,870.568630653426,1458.32970666262,0.0445857289895,0.0264602531461553,0.435570095417584,39.4944109498041,16.4612973659654,16.453961247395604,14.977607369648648,0.9206960938357246,577237705503468.5,9.625859601547845,767682918101311.9,0.001736354782508046,9.81537572458632e-06,2.8440000000000003,35.8,2023-05-04 15:09:00,0.00044585728989473113,0.5658864418295494,0.0,387.6339764052093,9,0.00044585728989473113,26.475786,-18.505022,0.5658864418295494,0.10895843,4.2286039e-10,0.5497528567124883,0.0,11709.442181463151,-0.9150288307110056,-0.4033884467453792,3.3531671103046015,238.9755780771759,0.43188564143968505,inf,0.0,230.67306052118525,0.0,0.0,0.0,0 days,0.00042882617,2.0262264e-07,74451.71,0.55833393,-237.52242,0.0,0.0,1.0,-6.103545099029376e-13,2.3081743e-12,2.2655633e-16,0.0,0.0,0.0,7.48e-16,2.3046212935076953e-14,1.697819739052432e-12,1220.1247950577167,1.5408818766614907e-13,1.111912188987566e-13,7.412747926583772e-15,0.0,0.00042882617,2.0262264e-07,74451.71,0.55833393,-237.52242,0.0,0.0,0.0,-6.103545099029376e-13,2.3081743e-12,2.2655633e-16,0.0,0.0,0.0,7.48e-16,2.3046212935076953e-14,1.697819739052432e-12,1220.1247950577167,1.5408818766614907e-13,1.111912188987566e-13,7.412747926583772e-15,0.0
