,index,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,time,specific_humidity,air_pressure,rhi,fuel_flow_per_engine,thrust_setting,nox_ei,co_ei,hc_ei,nvpm_ei_m,nvpm_ei_n,co2,h2o,so2,sulphates,oc,nox,co,hc,nvpm_mass,nvpm_number,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,ei_nox_p3t3,ei_nvpm_number_p3t3_meem,ei_nvpm_mass_p3t3_meem
0,0,885974.0,TVJ571,42.607121871689614,141.722930198492,136.842222104,1874.52,-0.5153329218193528,34610D,282.56277,18.41245,-4.6948886,125.74235409635544,69551.3126000026,0.2590058269184403,1.3357319943734791,80.14391966240876,136964.10192273135,2685.630662750329,2023-05-04 15:00:00,0.0024288928936029,0.8074138091293078,0.2439785885661231,0.6678659971867397,1.0,0.0203838237425108,0.0003725859784573,8.08057420824676e-05,3.542730157308802e-05,1462845952160243.8,253.17464221354928,99.13802862239964,0.0961727035948905,0.0019627082366304,0.0016028783932481,1.6336395324324864,0.029860500724829,0.0064760889017186,0.0028392828111294,1.1723820846841043e+17,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.3731481908930936,68.48205096136567,20.38382374251081,35.42730157308802,1462845952160243.8,28.6074358612052,827.326765935738,1567.30945049402,0.24288928936,0.0222771464478543,0.725740460633163,68.4826028019917,32.5778017544553,32.49886549101402,0.24288928936029003,0.9227698849717803,22.069484987601285,1480642770325808.0,30.20107099628333
1,1,885974.0,TVJ571,42.55723571777344,141.68274619362572,127.067777668,2674.6200000000003,-0.5157206134054428,34610D,276.79587,20.912886,-3.8598027,150.56769465859216,69471.16868034018,0.289675562977264,1.1498311417937928,68.98986850762756,95409.93141660526,1763.8068622982123,2023-05-04 15:01:00,0.0027821871456509,0.7305820758235784,0.3976417436796027,0.5749155708968964,0.8910866012999971,0.0173809380469498,0.0003854514084249,8.359597219269961e-05,2.984891161244381e-05,1546653227384648.5,217.93899461559545,85.3404673439353,0.082787842209153,0.0016895478001867,0.0013797973701525,1.1991086303982896,0.02659224198332,0.0057672751293416,0.0020592724872382,1.0670340278416467e+17,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.4514495431450118,47.70496570830263,17.38093804694983,29.848911612443803,1546653227384648.5,23.0269341892497,785.917868579431,1462.44105001631,0.278218714565,0.0199613981221182,0.544118131827735,47.7046059992185,27.2585180907155,27.182890203011045,0.27821871456509,0.7523586880469605,17.872328476853223,1257271907096690.5,19.74276081345007
2,2,885974.0,TVJ571,42.52262878417969,141.59485556862572,149.703333204,3200.4,-0.5159542383746086,34610D,273.42224,23.851559,-2.4314961,167.96290631959283,69402.17881183256,0.2995237930093511,1.2512936478060293,75.07761886836175,98346.74264608024,2124.213719427852,2023-05-04 15:02:00,0.0022474695132308,0.6833994069049528,0.3951080113565857,0.6256468239030146,1.0,0.0198340538530054,0.0003962496632674,8.59378772728347e-05,3.628235539e-05,1450000000000000.0,237.1701980051548,92.8710145401635,0.0900931426420341,0.0018386355641231,0.0015015523773672,1.4890935357905075,0.0297494811955065,0.0064520111962459,0.0027239928496168,1.0886254735912454e+17,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.5067032352323108,49.17337132304012,19.83405385300549,36.28235538999999,1450000000000000.0,24.3102989507358,802.020939210548,1499.82581436557,0.224746951323,0.0207314101028617,0.588342723364189,49.1735305003243,28.3792911550661,28.315652589124806,0.22474695132308,0.8173865194616562,19.276517274960657,1357013270852326.8,22.004227045855007
3,3,885974.0,TVJ571,42.48133850097656,141.49248296564275,164.107777636,3832.86,-0.5163056789244326,34610D,269.74567,26.258608,-3.6342916,183.90986600764043,69327.1011929642,0.3059886386507143,1.2009594268354864,72.05756561012919,99987.94334195968,2512.9176507708903,2023-05-04 15:03:00,0.0011893112609748,0.6299442896063308,0.2617986691625568,0.6004797134177432,1.0,0.0198519877042487,0.0004117625779628,8.930228886185966e-05,3.628235539e-05,1450000000000000.0,227.6298497623981,89.13520865972981,0.086469078732155,0.0017646750761664,0.0014411513122025,1.4304859064903812,0.0296706089773561,0.0064349055387981,0.0026144182040049,1.0448347013468733e+17,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.558579509965858,49.99397167097984,19.85198770424873,36.28235538999999,1450000000000000.0,25.1416527963723,817.671309923532,1538.05506604815,0.118931126097,0.0215392493053667,0.623546123741486,49.993926500354,28.9492969277311,28.91490810191544,0.11893112609748,0.8819238996990264,21.02474676229761,1314744663509108.5,23.83551607877664
4,4,885974.0,TVJ571,42.43862915039063,141.3869268243963,165.136666524,4579.62,-0.5166784390752245,34610D,265.26877,26.922314,-7.5340195,196.9360335178365,69255.04362735407,0.3169651282659885,1.0688067899777132,64.12840739866279,74193.34652206751,1309.7094794601976,2023-05-04 15:04:00,0.0014351503257828,0.5712403748956332,0.420824757065731,0.5344033949888566,0.9305375466191554,0.0177546935252269,0.0004305208994217,9.33705581294838e-05,3.386933446043116e-05,1486252164261257.5,202.5816389723757,79.32683995214587,0.0769540888783953,0.0015704916097631,0.0012825681479732,1.1385802196241543,0.027608619631757,0.005987705190768,0.0021719864786,9.53109842868902e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.6031694292128782,37.09667326103376,17.75469352522695,33.86933446043116,1486252164261257.5,20.6453517963666,784.080860287164,1451.54408189197,0.143515032578,0.0196286494781014,0.481922071363858,37.0966877695143,24.5519729669385,24.516787691096475,0.14351503257828002,0.7451585114578396,17.64836313955808,1050901329850911.5,16.435586600903857
5,5,885974.0,TVJ571,42.39354020458157,141.27568444540336,186.743333172,4968.240000000001,-0.5170914523989709,34610D,262.96933,26.882902,-8.7936945,207.75093411680135,69190.91521995541,0.3196206022833732,0.959715591933816,57.58293551602896,63681.57398275721,1310.7330366505853,2023-05-04 15:05:00,0.0016303741419692,0.5424921360051816,0.5560088871725585,0.479857795966908,0.8588322903125619,0.0159047647324043,0.0004409515500193,9.563273789650824e-05,2.940984420805901e-05,1553249582795608.5,181.90449329513547,71.23009123332783,0.0690995226192347,0.001410194339168,0.0011516587103205,0.915843041983652,0.0253912846704584,0.0055068137795159,0.0016935051625691,8.94406705664184e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.6390688594924862,31.840786991378604,15.90476473240436,29.409844208059017,1553249582795608.5,18.8944883520103,771.805975050017,1417.28998568542,0.163037414197,0.0188607307642275,0.429411853540334,31.8407279408837,22.7675087942396,22.730449656883685,0.16303741419692,0.6983063042534616,16.47872762355678,908530520291340.8,13.799152668233514
6,6,885974.0,TVJ571,42.34245300292969,141.15009654651988,201.662222048,5356.860000000001,-0.5176143526820907,34610D,260.48798,26.800714,-9.471158,209.44041131694047,69133.33228443937,0.3211483544688926,0.92264736127847,55.3588416767082,61018.34458285831,1953.025736176086,2023-05-04 15:06:00,0.0012699668768533,0.5149267974234382,0.5136588875237481,0.461323680639235,0.8408644196059246,0.0155512486735595,0.0004507173004901,9.761759200942722e-05,2.9203103009325927e-05,1556355571560231.8,174.8785808567212,68.47888715408806,0.0664306100120498,0.0013557267349397,0.0011071768335341,0.8608991131947041,0.0249511876787879,0.0054039968209113,0.0016166499559618,8.615804167866557e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.6473271852338297,30.509172291429152,15.551248673559597,29.20310300932593,1556355571560231.8,18.1893565962422,767.929209207186,1410.45156763854,0.126996687685,0.0187399562708229,0.411851904330308,30.5094581014774,21.977207330603,21.949332405479,0.12699668768533,0.684031490661008,16.203829644313725,869977085229430.8,13.080930380654769
7,7,885974.0,TVJ571,42.268826759467686,141.04739876680597,202.176666492,5935.9800000000005,-0.518422009507094,34610D,256.44354,26.005117,-11.892914,200.2327982819517,69077.97344276267,0.3206827896948624,0.9279821034370992,55.678926206225945,64100.216316340026,1514.9795961461923,2023-05-04 15:07:00,0.0008326762141866,0.4759628928252322,0.4517519529345405,0.4639910517185495,0.8569838575461047,0.0157049721486325,0.0004638030447797,0.0001005887268455,3.2996369024474776e-05,1499367212701532.0,175.88972788546775,68.8748317171015,0.0668147114474711,0.0013635655397443,0.0011135785241245,0.8744359853345438,0.0258240555045137,0.0056006722992119,0.0018372023959871,8.348315639204328e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.6237298597548339,32.05010815817001,15.70497214863252,32.99636902447478,1499367212701532.0,17.9696177849349,768.537505596828,1425.6673475571,0.0832676214187,0.0192057399753069,0.414610239195538,32.0501887320847,21.5878294576834,21.56986874103961,0.08326762141866,0.6862542865649808,16.312318277472805,906317655623085.0,13.649327346048807
8,8,885974.0,TVJ571,42.165802001953125,140.99160627885297,208.34999982,6385.56,-0.5195658592795912,34610D,253.21611,24.951603,-14.06905,201.05212976784665,69022.29451655645,0.3172727436454323,0.7506353306316784,45.03811983790071,51089.605140798936,769.6538849662745,2023-05-04 15:08:00,0.0005407379795391,0.4473909919617161,0.3743673841054254,0.3753176653158392,0.7039754872285032,0.0142065794608209,0.0004738116352089,9.986715658643116e-05,2.4785784930173973e-05,1528621302570329.2,142.27542056792834,55.71215423948318,0.0540457438054808,0.0011029743633771,0.000900762396758,0.6398376282431111,0.0213395852071344,0.00449782896621,0.0011163051519616,6.884622941193037e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.6302607160047059,25.54480257039947,14.206579460820912,24.78578493017397,1528621302570329.2,15.2027918074694,740.864624949286,1359.64265861096,0.0540737979539,0.0178419837676679,0.334573611903877,25.5448606854228,18.7520410432258,18.741906582527655,0.05407379795391,0.5906158793349094,14.418359975308723,696315502180324.5,9.613988335697611
9,9,885974.0,TVJ571,42.056781316207626,140.93600250953853,221.725555364,6614.160000000001,-0.5207862921920393,34610D,251.47345,24.8364,-15.074053,202.176921933418,68977.25639671854,0.3025958171262751,1.0588787039448255,63.53272223668953,83871.25557452661,2664.042750146767,2023-05-04 15:09:00,0.0004922938367891,0.4334051238880015,0.3907123013641227,0.5294393519724128,1.0,0.0186633754540688,0.0004783849350537,0.0001037512196195,3.628235539e-05,1450000000000000.0,200.6998695457022,78.58997740678495,0.0762392666840274,0.0015559034017148,0.0012706544447337,1.1857350487224083,0.0303930972009895,0.0065915974178061,0.0023051168070857,9.212244724319982e+16,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.6359789309738716,41.93562778726331,18.66337545406889,36.28235538999999,1450000000000000.0,21.4361129301166,821.509601938307,1570.76029074479,0.0492293836789,0.0225118507593009,0.549088207412401,41.9356203572955,24.3910735409234,24.379071874093146,0.04922938367891,0.8980040394040575,20.57766744998172,1120271986723265.0,21.294079449618444
