,index,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,time,specific_humidity,air_pressure,rhi,fuel_flow_per_engine,thrust_setting,nox_ei,co_ei,hc_ei,nvpm_ei_m,nvpm_ei_n,co2,h2o,so2,sulphates,oc,nox,co,hc,nvpm_mass,nvpm_number,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,ei_nox_p3t3,ei_nvpm_number_p3t3_meem,ei_nvpm_mass_p3t3_meem
0,0,885974.0,TVJ571,42.607121871689614,141.722930198492,136.842222104,1874.52,0.4846304042253917,34610D,281.06387,9.449759,11.497393,133.7839150330629,70162.68945010191,0.2725279753666318,1.3577744938278855,81.46646962967313,124789.265410045,2673.774602304083,2023-11-06 01:00:00,0.0051887052977288,0.8074138091293078,0.5852072833172719,0.6788872469139428,1.0,0.0195130059939825,0.0003661033918462,7.939981096317815e-05,3.563575469722747e-05,1459714244181885.8,257.3525775601374,100.77402293190566,0.0977597635556077,0.0019950972154205,0.0016293293925934,1.5896557101924107,0.0298251508531657,0.0064684222884335,0.0029031191277721,1.1891776614164486e+17,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.3980692289185362,62.3946327050225,19.51300599398257,35.63575469722747,1459714244181885.8,33.9098172580486,845.994116774363,1570.92188041408,0.518870529773,0.0219461871377377,0.61825795024727,62.3953033875504,28.1715427999855,28.026123504482985,0.51887052977288,0.8413358222001506,23.650390374458848,1485970651317360.2,24.340818794625662
1,1,885974.0,TVJ571,42.55723571777344,141.68274619362572,127.067777668,2674.6200000000003,0.4861869048711262,34610D,275.82538,13.572477,12.772662,151.4178037442971,70081.22298047224,0.2903601600407499,1.148706045960197,68.92236275761182,95005.4347201702,1757.5845670044196,2023-11-06 01:01:00,0.0051131766464327,0.7305820758235784,0.7901339790030737,0.5743530229800985,0.87894505833011,0.016456790926106,0.0003810095469117,8.263262967163091e-05,2.9458603282463358e-05,1552517047924952.2,217.72574395129573,85.25696273116583,0.0827068353091341,0.0016878945981455,0.0013784472551522,1.1342409140352523,0.0262600782063675,0.0056952360778435,0.0020303565417665,1.0700314316446018e+17,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.4547964382912453,47.50271736008509,16.456790926106002,29.458603282463358,1552517047924952.2,28.6770419416001,817.378961515609,1502.78734367548,0.511317664643,0.0204699039494834,0.500007087149697,47.5033182662325,24.4264500890496,24.302188705304435,0.51131766464327,0.739339759511898,20.279139406982708,1199408487609803.5,18.69546667978119
2,2,885974.0,TVJ571,42.52262878417969,141.59485556862572,149.703333204,3200.4,0.4873272464629676,34610D,272.45175,15.277963,14.464412,168.075849969663,70012.30061771463,0.2993185917523547,1.2679957724973048,76.07974634983829,100037.46670361496,2114.409780596281,2023-11-06 01:02:00,0.0043848807740545,0.6833994069049528,0.835102582210734,0.6339978862486524,1.0,0.0191567766649044,0.0003916272519925,8.493537746106093e-05,3.628235539e-05,1450000000000000.0,240.33591871913916,94.11064623474996,0.0912956956198059,0.0018631774616286,0.0015215949269967,1.4574427095464275,0.0297949019952789,0.0064618619733652,0.0027603523950458,1.1031563220726552e+17,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.5079462159714356,50.01873335180749,19.1567766649044,36.28235538999999,1450000000000000.0,30.8566741681703,837.812956277872,1544.04528914461,0.438488077405,0.0212543017763559,0.550234167335539,50.019238864107,25.8881318767968,25.775111087739052,0.43848807740545,0.8120129590686443,22.667237845270797,1269457456040668.5,20.535420175221326
3,3,885974.0,TVJ571,42.48133850097656,141.49248296564275,164.107777636,3832.86,0.4885004906143702,34610D,268.20926,17.145908,16.491434,185.00898084513432,69936.22087136479,0.3037213416790529,1.2259505632452068,73.55703379471241,105210.02557460232,2500.5010967834746,2023-11-06 01:03:00,0.0030642641251688,0.6299442896063308,0.7685634476208508,0.6129752816226034,1.0,0.0193386335669018,0.0004040737114472,8.763474203913673e-05,3.628235539e-05,1450000000000000.0,232.36666975749648,90.99005080405928,0.0882684405536548,0.0018013967459929,0.0014711406758942,1.4224925228241627,0.0297224636484809,0.0064461516817636,0.0026688224415739,1.06657699002333e+17,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.5635249426966547,52.60501278730116,19.338633566901898,36.28235538999999,1450000000000000.0,32.8763039236369,860.808222824706,1596.06497162158,0.306426412517,0.0223268935436306,0.604645678159756,52.6056556311434,27.0814959984547,26.99876465250615,0.30642641251688,0.8883594180182508,25.884709154054477,1251243520427891.8,23.121519266369162
4,4,885974.0,TVJ571,42.43862915039063,141.3869268243963,165.136666524,4579.62,0.489677459474205,34610D,264.1616,19.919128,17.89372,202.13769345422315,69862.66383757007,0.3201533840483105,1.1263397880596142,67.58038728357685,76941.32747916249,1305.7005938560744,2023-11-06 01:04:00,0.0025839434833977,0.5712403748956332,0.8349743633287208,0.5631698940298071,0.9692427069483114,0.0183508274181461,0.0004246195455814,9.209068367383844e-05,3.628235539e-05,1450000000000000.0,213.48644342881929,83.59693906978458,0.0810964647402922,0.001655029892659,0.0013516077456715,1.240156023892398,0.028695953338569,0.0062235240678873,0.0024519756288165,9.799156156118643e+16,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.6203969851738392,38.47066373958124,18.350827418146157,36.28235539,1450000000000000.0,27.1720784121951,825.931166334664,1504.32763095648,0.25839434834,0.0202264625128446,0.468156480123843,38.4713238772467,23.1457418629948,23.08608871450382,0.25839434833977,0.769627401162554,21.56338130320676,1027081110406069.1,16.27821110827365
5,5,885974.0,TVJ571,42.39354020458157,141.27568444540336,186.743333172,4968.240000000001,0.4908622907307491,34610D,262.45966,21.33419,17.576725,214.6218012485945,69795.0834502865,0.3261545200641715,1.09458090871619,65.6748545229714,71742.56393272801,1310.0416266411444,2023-11-06 01:05:00,0.0025944312193853,0.5424921360051816,0.925881051895772,0.547290454358095,0.9778465395230208,0.0182507194221023,0.0004381374758551,9.502242681593584e-05,3.628235539e-05,1450000000000000.0,207.46686543806663,81.23979504491562,0.0788098254275656,0.001608363784236,0.0013134970904594,1.198613342986138,0.028774614987846,0.0062405840575562,0.0023828384119889,9.522853905830851e+16,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.6608452008320924,35.871281966364,18.250719422102318,36.28235538999999,1450000000000000.0,26.472045751749,826.5611273929,1499.14393554446,0.259443121939,0.0200375479385538,0.452691638432782,35.8711196868815,22.5921674558676,22.533705307329836,0.25944312193853003,0.7718956057109602,21.437406407637987,964835948393778.6,15.309648284394958
6,6,885974.0,TVJ571,42.34245300292969,141.15009654651988,201.662222048,5356.860000000001,0.4920732660195461,34610D,260.7215,22.819546,15.370562,222.3608521951309,69729.40859576353,0.3307467240319661,1.0820280009052166,64.92168005431299,72522.7245416499,1956.424285413159,2023-11-06 01:06:00,0.0025378320605966,0.5149267974234382,1.0049921293098487,0.5410140004526083,1.0,0.0184673997207098,0.0004520520833104,9.804020055468326e-05,3.628235539e-05,1450000000000000.0,205.08758729157472,80.30811822718518,0.0779060160651755,0.0015899186952076,0.0012984336010862,1.1989346161030336,0.0293479807205659,0.0063649345328718,0.0023555114682464,9.413643607875382e+16,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.6869531502459665,36.26136227082496,18.46739972070985,36.28235538999999,1450000000000000.0,26.8080619823434,835.416448747831,1518.40981912803,0.25378320606,0.0204254799736701,0.463966000230616,36.2614895977924,22.7150598580157,22.657558778931673,0.25378320605966,0.8034682899057207,22.317984992330736,964277197600180.9,15.538171422866174
7,7,885974.0,TVJ571,42.268826759467686,141.04739876680597,202.176666492,5935.9800000000005,0.4936912524914941,34610D,257.1096,23.725935,14.221604,222.2004044758553,69664.48691570922,0.3313984027704306,1.0533501327443324,63.20100796465994,69220.06631644613,1519.3691787796229,2023-11-06 01:07:00,0.0022373045492653,0.4759628928252322,1.1406849948596558,0.5266750663721662,1.0,0.0182580447631051,0.0004677901810233,0.0001014534494104,3.628235539e-05,1450000000000000.0,199.65198416036077,78.17964685228435,0.0758412095575919,0.0015477797868896,0.0012640201592931,1.1539268324921288,0.0295648109566461,0.0064119602642343,0.00229308143198,9.164146154875693e+16,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.6912623478758726,34.61003315822307,18.25804476310519,36.28235539,1450000000000000.0,25.4072644426524,830.514789201358,1512.7950208753,0.223730454927,0.0203707471082525,0.439473826223148,34.6093677652266,21.5737706569,21.525611308793117,0.22373045492653001,0.7860827705358329,21.613604656130615,928664723954954.6,14.841132872792736
8,8,885974.0,TVJ571,42.165802001953125,140.99160627885297,208.34999982,6385.56,0.4959042170892993,34610D,254.0268,24.232523,14.558206,226.2430653943676,69601.28590774456,0.3314492348234903,0.885802432396087,53.14814594376522,55970.35621882254,772.5266718072728,2023-11-06 01:08:00,0.0017699252901182,0.4473909919617161,1.1339577769783005,0.4429012161980435,0.8585960160294542,0.0152172856167677,0.000478835945649,0.0001038490339441,3.163575886962536e-05,1519808420742752.5,167.89499303635432,65.74425653243759,0.0637777751325182,0.0013015872476024,0.0010629629188753,0.8087705168279299,0.0254492427224789,0.0055193836121826,0.0016813819294446,8.077499975219915e+16,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.7080969375353653,27.98517810941127,15.217285616767716,31.63575886962536,1519808420742752.5,21.9888250805706,804.573658984756,1449.58359979258,0.176992529012,0.0190098159876219,0.363552115417795,27.9857358942132,19.1244415861006,19.09065255733451,0.17699252901182,0.6949512214607472,19.034256707210456,761438347236433.5,11.5382879507229
9,9,885974.0,TVJ571,42.056781316207626,140.93600250953853,221.725555364,6614.160000000001,0.4981963186618557,34610D,252.54657,25.233004,14.996394,229.31240797534224,69548.1377618008,0.3173055207550874,1.0184680848899792,61.10808509339875,85183.90700249214,2679.842554735236,2023-11-06 01:09:00,0.0015742130503664,0.4334051238880015,1.1260362592879818,0.5092340424449896,1.0,0.0181556265922967,0.0004851547389172,0.0001052194418731,3.628235539e-05,1450000000000000.0,193.04044081004665,75.59070126053426,0.0733297021120785,0.0014965245328995,0.0012221617018679,1.1094555747260395,0.0296468770692181,0.0064297586074614,0.002217145260561,8.86067233854282e+16,climb,0,GTF2035,0,43031,1.237,3.16,3.16,0,0.7198036024657288,42.59195350124607,18.15562659229669,36.28235539,1450000000000000.0,29.2526437787373,883.532346295657,1644.6256677499,0.157421305037,0.023300666489848,0.552286854069936,42.5923954957335,23.7026204512461,23.66536612305349,0.15742130503663998,0.9549943977115046,28.343050055695283,898532743090742.8,20.013841225618286
