Unnamed: 0.1,Unnamed: 0,index,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,air_pressure,rhi_emissions,fuel_flow_per_engine,thrust_setting,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,W3_no_water_injection,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,nvpm_ei_n,ei_mass_meem,ei_number_meem,ei_nox,nvpm_ei_m,ei_co2,wingspan,time,issr_specific_humidity,issr_rhi,issr_issr,cocip_waypoint,cocip_level,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_width,cocip_depth,cocip_rhi_1,cocip_air_temperature_1,cocip_specific_humidity_1,cocip_altitude_1,cocip_persistent_1,cocip_dT_dz,cocip_ds_dz,cocip_dz_max,cocip_rho_air_1,cocip_iwc_1,cocip_n_ice_per_m_1,cocip_ef,cocip_contrail_age,cocip_global_yearly_mean_rf,cocip_atr20,cocip_sdr_mean,cocip_sdr_min,cocip_sdr_max,cocip_rsr_mean,cocip_rsr_min,cocip_rsr_max,cocip_olr_mean,cocip_olr_min,cocip_olr_max,cocip_rf_sw_mean,cocip_rf_sw_min,cocip_rf_sw_max,cocip_rf_lw_mean,cocip_rf_lw_min,cocip_rf_lw_max,cocip_rf_net_mean,cocip_rf_net_min,cocip_rf_net_max,cocip_cocip,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_segment_length_km,accf_issr_nox_impact,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_segment_length_km,accf_sac_accf_contrail_cocip
0,0,2,3c49c8,EWG1VT,51.28692626953125,6.684586808488175,93.114444364,990.6,0.5745643239844552,34610D,282.31635,3.619566,-1.0806373,97.45931502301993,66707.31994714624,0.2753080917480123,0.89349991381644,59.97368054606283,111.3111254251154,1604.5432665396745,0.0081650352006261,89976.97737353944,0.9314736892646632,0.4997806712171903,0.6619002990754458,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,21.619115758569087,3.066346522610235,0.2893427250488316,55.65556988348672,14.27032292284585,19.19389073840994,1264682470972678.8,29.4100372940772,817.881029017252,1320.21430656422,0.816503520063,0.0226880898467464,0.44674995690822,55.6555627125577,19.6909462156545,19.531471066873465,16.516020018904015,0.744268758245178,642269779622182.5,19.29996526353889,1441179921294382.5,0.0010708623975027,7.982559220983088e-06,2.8440000000000003,35.8,2023-08-06 08:02:00,0.0081650352006261,0.9314731726974752,0.0,0,899.7697737353944,0.0081650352006261,3.619566,-1.0806373,0.9314731726974752,1.200884,0.0,1.1102935527775857,759.6950987590254,6667.509382517012,0.9966805091004683,0.0814123011542548,6.2764890955621375,246.33796953561531,1.0172055361559966,inf,0.0,246.33796953561531,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.008001971,7.3999786e-07,9093.215,0.9964171,-239.58539,0.0,0.0,1.0000000000000002,-9.380908575848492e-13,8.419507e-12,2.6797902000000005e-16,0.0,0.0,0.0,7.48e-16,9.827438929663557e-14,7.481416176044796e-12,1125.9308969163997,6.667509382517013,4.295000795412601e-13,0.008001971,7.3999786e-07,9093.215,0.9964171,-239.58539,0.0,0.0,0.0,-9.380908575848492e-13,8.419507e-12,2.6797902000000005e-16,0.0,0.0,0.0,7.48e-16,9.827438929663557e-14,7.481416176044796e-12,1125.9308969163997,6.667509382517013,0.0
1,1,3,3c49c8,EWG1VT,51.346527099609375,6.692381162901183,124.495555448,1478.28,0.576479640416244,34610D,279.52682,2.410394,-1.5867606,115.95477674336394,66647.34626660019,0.2972004335331764,1.136502258553992,79.28311183677951,128.4634363299204,2687.092900538061,0.0072184304215996,84781.45509278591,0.9639531207565896,0.6606925986398293,0.9006998191263516,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,17.752105473319407,2.5346734828018573,0.3459665293971873,64.23109135163588,17.174229850315914,31.26358814220061,1525399749926227.2,33.9990559054923,850.188371504667,1469.18374055803,0.72184304216,0.0252382607992869,0.568251129276996,64.2317181649602,22.5154630818718,22.354101555158515,12.060583167982402,0.8787205693277401,959015134240685.0,18.885220961651,1408423153582454.2,0.0021650907011204,1.4290107068286934e-05,2.8440000000000003,35.8,2023-08-06 08:03:00,0.0072184304215996,0.963953406680069,0.0,1,847.814550927859,0.0072184304215996,2.410394,-1.5867606,0.963953406680069,1.1556927,0.0,1.0566224429515116,762.227710173186,7473.160672911053,0.9768031916927632,0.2141390312363241,6.093346996667952,245.9783053773494,1.024953476803466,inf,0.0,245.9783053773494,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.0070672543,9.094386e-07,13915.836,1.0029882,-240.88863,0.0,0.0,1.0,-9.129428195870092e-13,7.72322e-12,2.8104005e-16,0.0,0.0,0.0,7.479999999999999e-16,8.956263691586201e-14,6.810276682357409e-12,1125.135601418529,7.473160672911052,1.0054544595588885e-12,0.0070672543,9.094386e-07,13915.836,1.0029882,-240.88863,0.0,0.0,0.0,-9.129428195870092e-13,7.72322e-12,2.8104005e-16,0.0,0.0,0.0,7.479999999999999e-16,8.956263691586201e-14,6.810276682357409e-12,1125.135601418529,7.473160672911052,0.0
2,2,4,3c49c8,EWG1VT,51.41177937135858,6.7153167724609375,134.269999884,2293.62,0.5784831540168476,34610D,274.75027,0.015264339,-0.8239493,132.60115211707543,66568.0631547634,0.3241523653401778,1.107652307436244,80.9204516210565,119.4136000009748,2795.1004605330813,0.0056925591345071,76639.32731338663,1.0068010654966002,0.6743370968421375,0.960059517765794,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,18.09800977312888,2.611677475118907,0.3990574647191338,59.70658671970559,18.62386237816113,36.20574086775844,1451151022857309.0,33.190317191891,854.371443820589,1464.17579707866,0.569255913451,0.0253388476186871,0.553826153718122,59.7068000004874,21.8568011478818,21.733084280440167,12.586314520587404,0.898348484216859,896779135508511.8,17.387781374675953,1306239953908877.2,0.0020809257537489,1.4230311798119974e-05,2.8440000000000003,35.8,2023-08-06 08:04:00,0.0056925614112249,1.0068021022834477,0.0,2,766.3932731338663,0.0056925614112249,0.015264339,-0.8239493,1.0068021022834477,1.1030729,9.586632e-07,0.9717532573322654,764.8769379398927,8125.812510232658,0.8201398934232258,0.5721630495022725,5.720328753936319,245.21504690647336,1.022407530372656,inf,0.0,245.21504690647336,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.005556401,1.0700134e-06,22005.941,0.9946292,-242.44162,0.0,0.0,1.0,-8.709514648322453e-13,6.632023e-12,2.934177e-16,0.0,0.0,0.0,7.480000000000001e-16,7.593535068185698e-14,5.761071768393913e-12,1124.264894787767,8.125812510232658,7.967362505769756e-13,0.005556401,1.0700134e-06,22005.941,0.9946292,-242.44162,0.0,0.0,0.0,-8.709514648322453e-13,6.632023e-12,2.934177e-16,0.0,0.0,0.0,7.480000000000001e-16,7.593535068185698e-14,5.761071768393913e-12,1124.264894787767,8.125812510232658,0.0
3,3,5,3c49c8,EWG1VT,51.47136623576536,6.782073974609375,136.32777766,3139.44,0.5808642766878047,34610D,270.15344,-0.42244613,0.48845616,147.7186902273484,66487.14270314234,0.3525259180296114,0.810178189833142,60.66760107513709,85.2677079422542,1791.0848924116149,0.0042569198713174,68873.98399781724,0.9898870151678306,0.5055633422928091,0.7574849685445723,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,17.631919062141364,2.5697301926961145,0.4483192533032251,42.63292839940284,15.317455439640348,24.987186483121608,1538127507220131.8,26.5609436556635,820.447800252549,1338.3483917549,0.425691987132,0.022624930529803,0.405089094916571,42.6338539711271,17.9045453590658,17.828650223649976,14.83917904566031,0.7544862386754763,555436444642142.9,15.854771293883616,1201699804008547.0,0.0013578162437587,6.970010398831853e-06,2.8440000000000003,35.8,2023-08-06 08:05:00,0.0042569198713174,0.9898880669254928,0.0,3,688.7398399781724,0.0042569198713174,-0.42244613,0.48845616,0.9898880669254928,0.9947771,4.084076e-06,0.8881517015199969,768.0254458864727,9048.399248069316,0.8267242315425097,0.5626073630698827,5.35939078624777,244.43323144065923,0.9614283973461998,inf,0.0,241.5966133621408,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.004161727,9.786205e-07,30386.998,0.93702745,-243.97809,0.0,0.0,0.9999999999999998,-8.27530468117079e-13,5.656214e-12,2.8637281000000004e-16,0.0,0.0,0.0,7.48e-16,6.380726384271187e-14,4.8286839245816056e-12,1123.469785643602,9.048399248069316,3.1871431951166253e-13,0.004161727,9.786205e-07,30386.998,0.93702745,-243.97809,0.0,0.0,0.0,-8.27530468117079e-13,5.656214e-12,2.8637281000000004e-16,0.0,0.0,0.0,7.48e-16,6.380726384271187e-14,4.8286839245816056e-12,1123.469785643602,9.048399248069316,0.0
4,4,6,3c49c8,EWG1VT,51.538494562698624,6.8555450439453125,156.90555542,3680.46,0.5832473988400856,34610D,266.63788,-0.48345196,0.501863,158.45358234641043,66426.47510206721,0.365746788555491,0.8490597391243,64.34997017083268,86.4301256678764,1992.8510803412444,0.0030521811695141,64250.40779201729,0.8937032087701654,0.5362497514236056,0.8249399279557518,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,17.099734204036935,2.5127686438642822,0.4840590374029941,43.21498211232386,16.05676772556536,29.602244315661604,1550359048271343.8,27.212172957585,829.193098656491,1369.13190049574,0.305218116951,0.0232808970408043,0.42452986956215,43.2150628339382,18.2351164913482,18.1796289701368,14.127109905787924,0.7899062509831445,618475367851901.9,15.073192072533176,1146861688945990.2,0.0015600571114401,8.003926230045159e-06,2.8440000000000003,35.8,2023-08-06 08:06:00,0.0030521811695141,0.8937044629083507,0.0,4,642.5040779201729,0.0030521811695141,-0.48345196,0.501863,0.8937044629083507,0.8797306,3.9260785e-06,0.8394532011715157,771.1765988919016,9736.546908630891,0.796178705015712,0.6050615420595693,5.098541330991314,243.8385836180516,0.8387823539113698,inf,0.0,238.56134875630173,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.0029793808,9.652533e-07,35749.047,0.8311343,-245.18047,0.0,0.0,1.0,-7.996816224059182e-13,5.0254857e-12,2.8534242000000003e-16,0.0,0.0,0.0,7.48e-16,5.5968796079266816e-14,4.225804126491539e-12,1122.570753139884,9.736546908630892,3.3584536478215186e-13,0.0029793808,9.652533e-07,35749.047,0.8311343,-245.18047,0.0,0.0,0.0,-7.996816224059182e-13,5.0254857e-12,2.8534242000000003e-16,0.0,0.0,0.0,7.48e-16,5.5968796079266816e-14,4.225804126491539e-12,1122.570753139884,9.736546908630892,0.0
5,5,7,3c49c8,EWG1VT,51.60804360599841,6.940689086914063,168.737777632,4282.4400000000005,0.5856953814668218,34610D,262.64435,-0.8194131,0.3955078,168.4394689536842,66362.12513189638,0.3783712625985046,0.826804821756974,63.45104006120931,81.9078862802792,1917.1447668883263,0.0021483644676246,59404.63497616392,0.8258360894898902,0.5287586671767442,0.8364878081697585,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,16.31916043719775,2.412814561154921,0.5184621372029851,40.9539980718008,16.190343724362332,31.46515421707715,1522371509944394.0,26.4504838196937,828.470889482493,1372.03332556541,0.214836446762,0.0232969278917751,0.413402410878487,40.9539431401396,17.7449324133608,17.706891556708285,13.841251638992077,0.7869179994591842,596219692842884.1,14.119036712612203,1080918565404396.4,0.001629344676577,7.696950140823868e-06,2.8440000000000003,35.8,2023-08-06 08:07:00,0.0021483644676246,0.8258358532014884,0.0,5,594.0463497616391,0.0021483644676246,-0.8194131,0.3955078,0.8258358532014884,0.76259947,3.8743565e-06,0.7879428476979149,774.4135125227804,10422.131734241842,0.7498966969135705,0.661554944020613,4.8060044246107685,243.138712005461,0.7453831199253518,inf,0.0,236.8137872701483,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.0021004498,9.636238e-07,41717.387,0.7808488,-246.21124,0.0,0.0,1.0000000000000002,-7.687388142085265e-13,4.378001e-12,2.8521685e-16,0.0,0.0,0.0,7.48e-16,4.7953625153959065e-14,3.609262177677061e-12,1121.6367633031678,10.422131734241844,2.91733060116806e-13,0.0021004498,9.636238e-07,41717.387,0.7808488,-246.21124,0.0,0.0,0.0,-7.687388142085265e-13,4.378001e-12,2.8521685e-16,0.0,0.0,0.0,7.48e-16,4.7953625153959065e-14,3.609262177677061e-12,1121.6367633031678,10.422131734241844,0.0
6,6,8,3c49c8,EWG1VT,51.67817687988281,7.0405289933488175,177.997777624,4861.56,0.5882396712975582,34610D,258.88358,-1.6388189,0.73574626,177.46752190785529,66298.67409183517,0.38930862968126,0.800459039270488,62.04383757293414,77.4395278279094,1917.8917853186424,0.0017800221751271,55026.440867802725,0.8905873433109004,0.5170319797744511,0.841614685552361,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,15.546001862153698,2.3042280512738524,0.5502041586676053,38.71993302812157,16.101185114044494,32.86231130808135,1501381236821932.8,25.5934742839864,826.929331150143,1373.29875755011,0.178002217513,0.0232664394172254,0.400229519635244,38.7197639139547,17.202009833053,17.171444281453052,13.596955297438893,0.7805769163520164,568185747203485.4,13.221812124480632,1018831031574356.8,0.0016710907474338,7.296260730933487e-06,2.8440000000000003,35.8,2023-08-06 08:08:00,0.0017800221751271,0.8905866041805899,0.0,6,550.2644086780273,0.0017800221751271,-1.6388189,0.73574626,0.8905866041805899,0.6617348,2.3089472e-06,0.7404732372073335,777.7777660875956,10810.56932148757,0.7487558998275375,0.6628458361289257,4.530089793596127,242.44310056084143,0.7746785098647035,inf,0.0,236.46575348489716,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.0017408007,1.2326612e-06,47435.03,0.8524059,-247.09663,0.0,0.0,1.0,-7.391235911769271e-13,3.8230157e-12,3.0595516000000003e-16,0.0,0.0,0.0,7.479999999999998e-16,4.114455142078442e-14,3.083892020987506e-12,1120.6949277017593,10.81056932148757,2.475081827985469e-13,0.0017408007,1.2326612e-06,47435.03,0.8524059,-247.09663,0.0,0.0,0.0,-7.391235911769271e-13,3.8230157e-12,3.0595516000000003e-16,0.0,0.0,0.0,7.479999999999998e-16,4.114455142078442e-14,3.083892020987506e-12,1120.6949277017593,10.81056932148757,0.0
7,7,9,3c49c8,EWG1VT,51.75081931938559,7.14447021484375,184.171110952,5440.68,0.5907818192164024,34610D,255.24811,-1.6792997,1.9294033,183.7872015687973,66236.63025426223,0.3978411257208285,0.755744541186884,59.06504946651998,72.1469317558378,1842.171780505344,0.0012404784079828,50913.27576770084,0.8054832376302806,0.4922087455543332,0.8249997269766033,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,14.852085498684934,2.209389133428107,0.5738405035225409,36.07358526740028,15.8624993471052,32.96349832852596,1499861047568157.5,24.3244746966567,822.20462682956,1363.44406813831,0.124047840798,0.0230354849223279,0.377872270593442,36.0734658779189,16.4039208146721,16.383597315956575,13.609420380297305,0.7614940653573212,516240728828868.94,12.15582264558048,946614567183735.2,0.0016416478505551,6.519720774638656e-06,2.8440000000000003,35.8,2023-08-06 08:09:00,0.0012404784079828,0.8054836339388146,0.0,7,509.1327576770084,0.0012404784079828,-1.6792997,1.9294033,0.8054836339388146,0.57953125,4.321536e-06,0.6948818276649098,781.1391890008925,11147.298906109523,0.7476758120633196,0.6640639126284876,4.248887860456195,241.69440289448747,0.6760053226615458,inf,0.0,234.8280568359747,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.0012123667,1.1359454e-06,53218.66,0.7735671,-247.75813,0.0,0.0,1.0,-7.09201464894485e-13,3.3491664e-12,2.9849997e-16,0.0,0.0,0.0,7.479999999999999e-16,3.5366043720470727e-14,2.6399649039557186e-12,1119.7193260824313,11.147298906109524,1.965189454657693e-13,0.0012123667,1.1359454e-06,53218.66,0.7735671,-247.75813,0.0,0.0,0.0,-7.09201464894485e-13,3.3491664e-12,2.9849997e-16,0.0,0.0,0.0,7.479999999999999e-16,3.5366043720470727e-14,2.6399649039557186e-12,1119.7193260824313,11.147298906109524,0.0
8,8,10,3c49c8,EWG1VT,51.82562876555879,7.252044677734375,188.801110948,5996.9400000000005,0.593318460318814,34610D,251.43036,-0.68001634,3.3446171,187.5838090960822,66177.56520479571,0.4051285478549488,0.70972320862093,55.99433563148781,67.5981703888898,1638.4696687710718,0.0009018195821032,47200.44144697906,0.7827524607848259,0.4666194635957318,0.7997023615158619,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,14.588222273575283,2.175077396521908,0.5901245588125998,33.79899138387528,15.529480914332142,32.773028471212946,1502722582861746.2,23.1000665375189,816.290482282678,1345.26651969393,0.0901819582103,0.0227273543195126,0.354861604310465,33.7990851944449,15.6138545350084,15.599786342208372,14.033176745496586,0.7379893532174555,465276617850036.7,11.025344005434206,870708879460528.4,0.0015167562738392,5.7476984779631e-06,2.8440000000000003,35.8,2023-08-06 08:10:00,0.0009018195821032,0.7827533040064573,0.0,8,472.0044144697906,0.0009018195821032,-0.68001634,3.3446171,0.7827533040064573,0.44129246,4.574241e-06,0.6539895246673376,784.4933321406866,11484.907125089065,0.7476053739662908,0.6641432110747819,3.9861304539935927,240.95403319573023,0.6326277783864485,inf,0.0,233.7918795246556,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.00088079117,9.101645e-07,58774.543,0.7583562,-248.0783,0.0,0.0,1.0,-6.804837783679794e-13,2.926569e-12,2.81096e-16,0.0,0.0,0.0,7.48e-16,3.0228204061658576e-14,2.246085233973173e-12,1118.70831393858,11.484907125089064,1.450715630986076e-13,0.00088079117,9.101645e-07,58774.543,0.7583562,-248.0783,0.0,0.0,0.0,-6.804837783679794e-13,2.926569e-12,2.81096e-16,0.0,0.0,0.0,7.48e-16,3.0228204061658576e-14,2.246085233973173e-12,1118.70831393858,11.484907125089064,0.0
9,9,11,3c49c8,EWG1VT,51.90271927138506,7.363115583147322,193.945555388,6492.240000000001,0.5958467671993265,34610D,247.79404,0.17119993,4.477573,191.29111727473608,66121.57086916422,0.4083795920165903,0.673397094524968,53.097713851274406,63.39994814963,1458.3434886244884,0.0006964380856401,44081.94845354482,0.8084287858846796,0.44248094876062,0.7712094037199996,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,13.07310729842163,1.9518614849429632,0.6061869180225321,31.700027463274647,15.174666485550787,32.25165646538399,1510555446375246.8,21.8890502159178,808.320382899642,1347.74218130497,0.069643808564,0.0225579551136005,0.336698547262484,31.699974074815,14.9259339140844,14.915546159670685,13.155731733527116,0.7072384595578184,422806451608232.9,10.117300407391294,809015630953648.1,0.0016512526257138,5.059054756920111e-06,2.8440000000000003,35.8,2023-08-06 08:11:00,0.0006964380856401,0.8084287027018232,0.0,9,440.8194845354482,0.0006964380856401,0.17119993,4.477573,0.8084287027018232,0.3189926,3.4990012e-06,0.6197440626489606,787.8364570696345,11757.48582909717,0.7464831767142834,0.6654042882958839,3.742564792351784,240.22807901214168,0.6302989725912648,inf,0.0,233.0991285041912,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.00068082515,6.778982e-07,63660.395,0.79362994,-248.59875,0.0,0.0,1.0,-6.552408642981199e-13,2.5769616e-12,2.6319217000000005e-16,0.0,0.0,0.0,7.48e-16,2.599356317752953e-14,1.9217208475692947e-12,1117.6664744175985,11.75748582909717,1.2821130225474845e-13,0.00068082515,6.778982e-07,63660.395,0.79362994,-248.59875,0.0,0.0,0.0,-6.552408642981199e-13,2.5769616e-12,2.6319217000000005e-16,0.0,0.0,0.0,7.48e-16,2.599356317752953e-14,1.9217208475692947e-12,1117.6664744175985,11.75748582909717,0.0
