,Unnamed: 0,index,longitude,latitude,altitude,icao24,callsign,groundspeed,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,air_pressure,rhi_emissions,fuel_flow_per_engine,thrust_setting,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,nvpm_ei_n,ei_mass_meem,ei_number_meem,ei_nox,nvpm_ei_m,ei_co2,wingspan,time,issr_specific_humidity,issr_rhi,issr_issr,cocip_level,cocip_waypoint,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_ef,cocip_persistent_1,cocip_cocip,cocip_contrail_age,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_nox_impact,accf_issr_co2_impact_conservative,accf_issr_co2_impact_optimistic,accf_issr_contrails_atr20,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_nox_impact,accf_sac_co2_impact_conservative,accf_sac_co2_impact_optimistic,accf_sac_contrails_atr20
0,0,1,-46.394907633463504,-23.51553706799524,3924.3,e80338,SKX5563,150.732222092,-0.9923016838809744,34610D,275.88327,2.1508749,-0.7916467,155.82705704290046,73819.64826214084,0.3291058930497095,1.224010830759148,66.59902692880783,114.005679736741,2731.6900336462413,0.0003216321178116,62250.43576468452,0.0421515553502831,0.5549918910733986,1.0,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.467990893876579,57.0029281192186,19.32903906731299,36.28235538999999,1450000000000000.0,32.655095998717,904.827962927127,1869.74182170358,0.0321632117812,0.0298032977096399,0.612005415379574,57.0028398683705,20.5348220637215,20.52821952899949,0.03216321178116,1.0,742313097703062.4,13.423411154522164,1044187055596741.4,0.02706451319842173,1.5848019598176812e-05,2.8440000000000003,35.8,2023-08-06 03:01:00,0.00032163211781166236,0.042151580838263994,0.0,622.5043576468452,0,0.00032163211781166236,2.1508749,-0.7916467,0.042151580838263994,0.0,0.0,0.786066846644492,0.0,9537.146941901803,-0.4305476864931945,-0.9025678310550171,4.659075731563314,242.77283026895358,0.04327564335406231,inf,0.0,232.36546261778366,0.0,0.0,0.0,0 days,0.00031437224,-1.1501942e-07,40896.45,0.04210576,-283.2363,0.0,0.0,0.9999999999999999,-7.529179536227024e-13,5.7616893e-12,2.1980357e-16,0.0,0.0,0.0,7.479999999999999e-16,6.60818326533537e-14,5.008771467635666e-12,1031.2912026369463,9.95561166513518e-12,1.5623117570423428e-13,1.0415411713615617e-14,0.0,0.00031437224,-1.1501942e-07,40896.45,0.04210576,-283.2363,0.0,0.0,0.0,-7.529179536227024e-13,5.7616893e-12,2.1980357e-16,0.0,0.0,0.0,7.479999999999999e-16,6.60818326533537e-14,5.008771467635666e-12,1031.2912026369463,9.95561166513518e-12,1.5623117570423428e-13,1.0415411713615617e-14,0.0
1,1,2,-46.47906033497935,-23.552313335871304,4716.780000000001,e80338,SKX5563,159.992222084,-0.9923420100817008,34610D,270.59445,4.412834,-1.6215945,166.4614433816596,73753.04923521203,0.3343658255105739,1.370542998402672,64.13422995891857,121.4085660490798,3103.222981336503,0.0001935861714141,56095.647368712234,0.0353295453254493,0.5344519163243214,1.0,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.5047907736624325,60.704308295200754,18.970501154553418,36.28235538999999,1450000000000000.0,34.6009137896308,935.35966870093,1965.77694420371,0.0193586171414,0.0324028828011574,0.685271499201336,60.7042830245399,21.1484732209339,21.14437996137025,0.01935861714141,1.0,711192833256672.5,11.94995544233888,943854509844639.0,0.03109739770850997,1.518361725585937e-05,2.8440000000000003,35.8,2023-08-06 03:02:00,0.0001935861714141237,0.03532958278462041,0.0,560.9564736871223,1,0.0001935861714141237,4.412834,-1.6215945,0.03532958278462041,0.0,0.0,0.7221920915682877,0.0,9596.215333846398,-0.42451417959346743,-0.9054212894139861,4.231135648046015,241.6456784627112,0.03446123733182803,inf,0.0,231.31590102190108,0.0,0.0,0.0,0 days,0.00018941102,-3.34818e-07,49050.055,0.03367048,-283.46872,0.0,0.0,0.9999999999999999,-7.134626994985502e-13,4.839623e-12,2.367464e-16,0.0,0.0,0.0,7.479999999999999e-16,5.462482853707296e-14,4.126160164839458e-12,1030.7208682953956,1.0551496168591766e-11,1.7493435402107907e-13,1.1662290268071938e-14,0.0,0.00018941102,-3.34818e-07,49050.055,0.03367048,-283.46872,0.0,0.0,0.0,-7.134626994985502e-13,4.839623e-12,2.367464e-16,0.0,0.0,0.0,7.479999999999999e-16,5.462482853707296e-14,4.126160164839458e-12,1030.7208682953956,1.0551496168591766e-11,1.7493435402107907e-13,1.1662290268071938e-14,0.0
2,2,3,-46.56394526643573,-23.588763738082665,5615.9400000000005,e80338,SKX5563,159.47777764,-0.9923747216439064,34610D,264.98743,8.588638,-0.2714049,179.72457104345574,73688.91500525312,0.35960814557902965,0.972075066814412,60.957079863355645,85.7768919520268,1801.8619639507328,0.0007412823890235,49718.84686406126,0.1938991804639752,0.5079756655279637,1.0,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.5507468940328257,42.888475240304494,18.2740906442056,36.28235539,1450000000000000.0,26.8314055413435,878.345704710069,1803.67390103177,0.0741282389024,0.0282325595560406,0.486037533407206,42.8884459760134,17.2154966127828,17.202744521226343,0.07412823890235,1.0,676577483348904.1,10.5381946933482,845844395191708.9,0.02303221744730268,1.4444596557674808e-05,2.8440000000000003,35.8,2023-08-06 03:03:00,0.0007412823890235383,0.19389927833272583,0.0,497.18846864061265,2,0.0007412823890235383,8.588638,-0.2714049,0.19389927833272583,0.0,0.0,0.6536394006413844,0.0,9853.913159025033,-0.4250902117609422,-0.9051509884350993,3.89981251317811,240.70136880694258,0.1790717266662605,inf,0.0,231.03831134564697,0.0,0.0,0.0,0 days,0.00071576424,-2.0165807e-07,58308.324,0.18298824,-283.67368,0.0,0.0,1.0,-6.687152235878871e-13,3.9724417e-12,2.2648197e-16,0.0,0.0,0.0,7.480000000000001e-16,4.392292934702002e-14,3.303726721241282e-12,1030.1555875492763,4.438037037787235e-12,1.2407441727210605e-13,8.271627818140402e-15,0.0,0.00071576424,-2.0165807e-07,58308.324,0.18298824,-283.67368,0.0,0.0,0.0,-6.687152235878871e-13,3.9724417e-12,2.2648197e-16,0.0,0.0,0.0,7.480000000000001e-16,4.392292934702002e-14,3.303726721241282e-12,1030.1555875492763,4.438037037787235e-12,1.2407441727210605e-13,8.271627818140402e-15,0.0
3,3,4,-46.65137093022184,-23.626355833926453,6137.910000000001,,,172.68185170266668,-0.9923958668288212,34610D,260.99844,9.379705,-2.1696858,189.4957545517248,73627.95792538975,0.3706985630597696,0.907340070171222,59.65971503244655,78.278040584124,1680.2087624895548,0.000779637243564,46295.246647158914,0.270716157517498,0.4971642919370546,1.0,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.5851102846984941,39.13892066357717,18.05453239154851,36.28235539,1449999999999999.8,25.351057680939,869.59375577397,1781.21796416967,0.0779637243564,0.0276961297811151,0.453670035085611,39.139020292062,16.3802682422058,16.367507523755968,0.0779637243564,0.9715821613260698,656458843995081.1,9.96268849665936,804001978868850.4,0.021967204272678276,1.2954237737392532e-05,2.8440000000000003,35.8,2023-08-06 03:04:00,0.0007796372435640333,0.27071610343667396,0.0,462.95246647158916,3,0.0007796372435640333,9.379705,-2.1696858,0.27071610343667396,0.0,0.0,0.6179323606435679,0.0,10648.381250946317,-0.028444387257436043,-0.9995953765567092,3.6953920261475606,240.08266323604218,0.2404287115180476,inf,0.0,230.74237091475095,0.0,0.0,0.0,0 days,0.0007618411,-1.5059587e-07,63745.21,0.26406848,-283.82532,0.0,0.0,1.0,-6.424194870334705e-13,3.493573e-12,2.2254592e-16,0.0,0.0,0.0,7.480000000000001e-16,3.803554095710767e-14,2.851153463930354e-12,1029.5726011705922,3.4097043494549433e-12,1.15811725161365e-13,7.720781677424332e-15,0.0,0.0007618411,-1.5059587e-07,63745.21,0.26406848,-283.82532,0.0,0.0,0.0,-6.424194870334705e-13,3.493573e-12,2.2254592e-16,0.0,0.0,0.0,7.480000000000001e-16,3.803554095710767e-14,2.851153463930354e-12,1029.5726011705922,3.4097043494549433e-12,1.15811725161365e-13,7.720781677424332e-15,0.0
4,4,5,-46.75574200708161,-23.62904189804854,6625.59,,,185.88592576533333,-0.9924721325228912,34610D,257.07004,8.466382,-3.2165384,196.39040467329767,73568.29821035732,0.37755265526473414,0.931073500687868,58.70622490753805,78.9386450386096,1846.090959939976,0.0006181989894649,43271.52378881695,0.2876048597497055,0.4892185408961504,1.0,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.6110148455756775,39.46977605057788,17.9401286341218,36.28235539,1450000000000000.0,25.5729884784671,875.611263352093,1806.1321788669,0.0618198989465,0.02839285125812,0.465536750343934,39.4693225193048,16.3962663035047,16.386136410534473,0.06181989894649,0.999889738214108,664291194771507.1,9.320506071094831,758517786909878.5,0.022548655345770423,1.417803682409058e-05,2.8440000000000003,35.8,2023-08-06 03:05:00,0.0006181989894649016,0.287604916083079,0.0,432.7152378881695,4,0.0006181989894649016,8.466382,-3.2165384,0.287604916083079,0.0,0.0,0.5863989346721079,0.0,11699.443548113244,0.3434220995131197,-0.939181165465961,3.4915797851092645,239.43486806343083,0.24574725958061847,inf,0.0,230.17622090006736,0.0,0.0,0.0,0 days,0.0006073314,-1.8227563e-07,68793.67,0.25554326,-283.3789,0.0,0.0,0.9999999999999998,-6.180838993377387e-13,3.0890288e-12,2.249879e-16,0.0,0.0,0.0,7.480000000000002e-16,3.30952721149955e-14,2.4709449390551836e-12,1029.530945105393,3.112568609300013e-12,1.1884102985371864e-13,7.922735323581241e-15,0.0,0.0006073314,-1.8227563e-07,68793.67,0.25554326,-283.3789,0.0,0.0,0.0,-6.180838993377387e-13,3.0890288e-12,2.249879e-16,0.0,0.0,0.0,7.480000000000002e-16,3.30952721149955e-14,2.4709449390551836e-12,1029.530945105393,3.112568609300013e-12,1.1884102985371864e-13,7.922735323581241e-15,0.0
5,5,6,-46.86345418294269,-23.59291076660156,7162.8,e80338,SKX5563,199.089999828,-0.9926205650403191,34610D,252.68724,6.27715,-3.7803628,202.1271892256821,73509.59198544978,0.384844557459877,0.86680852108078,57.78156435703007,72.783380265522,1700.8447353425547,0.0002923645392465,40127.886851424635,0.1910193382643306,0.4815130363085839,1.0,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.6342935216967326,36.39142278800693,17.870272427135056,36.28235538999999,1450000000000000.0,24.0676569709818,865.372975900101,1783.63872319878,0.0292364539247,0.0278850620352462,0.43340426054039,36.391690132761,15.5425245241547,15.537981769273904,0.0292364539246499,0.951398795883132,651300564765408.4,8.540534567822535,703906923182125.8,0.0215011370185703,1.213137496945252e-05,2.8440000000000003,35.8,2023-08-06 03:06:00,0.00029236453924656085,0.19101930109102352,0.0,401.2788685142464,5,0.00029236453924656085,6.27715,-3.7803628,0.19101930109102352,0.0,0.0,0.5532296237755385,0.0,12108.452584480177,0.3185508831008655,-0.947905762655581,3.275380881639034,238.7100472390115,0.15631246855934153,inf,0.0,229.1363492840317,0.0,0.0,0.0,0 days,0.00028762367,-2.787391e-07,74235.38,0.18439601,-282.58527,0.0,0.0,1.0,-5.919168613701732e-13,2.683298e-12,2.3242364e-16,0.0,0.0,0.0,7.480000000000001e-16,2.8168379995540944e-14,2.0913812585533717e-12,1030.0912745312264,2.3386706265924504e-12,1.1063833011584381e-13,7.375888674389586e-15,0.0,0.00028762367,-2.787391e-07,74235.38,0.18439601,-282.58527,0.0,0.0,0.0,-5.919168613701732e-13,2.683298e-12,2.3242364e-16,0.0,0.0,0.0,7.480000000000001e-16,2.8168379995540944e-14,2.0913812585533717e-12,1030.0912745312264,2.3386706265924504e-12,1.1063833011584381e-13,7.375888674389586e-15,0.0
6,6,7,-46.975962320963504,-23.55821228027344,7658.1,e80338,SKX5563,206.292222044,-0.9927580750780172,34610D,249.67859,3.2583733,-1.0804465,205.7883175065305,73451.81042109274,0.38390955734762733,0.931571529529328,56.13326340153813,76.643062868689,1991.42823138281,9.08975139322577e-05,37395.86563801814,0.0742145125969053,0.4677771950128178,1.0,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.6496617124340985,38.32155045569328,17.650593597284704,36.28235539,1450000000000000.0,24.9020255011906,884.197530744024,1845.52526914541,0.00908975139323,0.029524241380722,0.465785764764664,38.3215314343445,15.7763838453374,15.774949941605302,0.0090897513932257,1.0,637782883763014.5,7.74119612130694,648452577107464.2,0.023271390465230885,1.3616350934038324e-05,2.8440000000000003,35.8,2023-08-06 03:07:00,9.089751393225772e-05,0.07421451237711063,0.0,373.9586563801814,6,9.089751393225772e-05,3.2583733,-1.0804465,0.07421451237711063,0.0,0.0,0.5217767657035031,0.0,12362.382706523455,0.31537134201562644,-0.948968343326195,3.0472216977762114,237.89768913277084,0.05895093231546908,inf,0.0,228.02133054196224,0.0,0.0,0.0,0 days,0.00015579231,-1.9365072e-07,79443.42,0.11081078,-281.8262,0.0,0.0,1.0,-5.668532817012732e-13,2.4462275e-12,2.2586475e-16,0.0,0.0,0.0,7.48e-16,2.540572781214323e-14,1.8793740826808084e-12,1030.6293861857162,2.444573076192341e-12,1.1890459761756563e-13,7.926973174504375e-15,0.0,0.00015579231,-1.9365072e-07,79443.42,0.11081078,-281.8262,0.0,0.0,0.0,-5.668532817012732e-13,2.4462275e-12,2.2586475e-16,0.0,0.0,0.0,7.48e-16,2.540572781214323e-14,1.8793740826808084e-12,1030.6293861857162,2.444573076192341e-12,1.1890459761756563e-13,7.926973174504375e-15,0.0
7,7,8,-47.09089799360794,-23.52314758300781,8237.220000000001,e80338,SKX5563,207.321110932,-0.9928898959816465,34610D,246.06172,0.9882599,0.19556221,208.94826346253893,73395.6771576912,0.3884697783289997,0.859900402809824,54.35980032837696,70.5042117274484,1754.9381842369917,4.786587934094397e-05,34394.55476608665,0.0516329789583429,0.452998336069808,1.0,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.6644678274872744,35.251771281748,17.339658727394998,36.28235539,1450000000000000.0,23.1735374403405,875.232891943397,1826.89844269293,0.00478658793409,0.0291180026570547,0.429950201404912,35.2521058637242,14.7657861862563,14.765079442745233,0.0047865879340943,0.9980731950502034,621952629863756.4,6.816802991969253,584008887998203.0,0.022099832801946787,1.3208885016233775e-05,2.8440000000000003,35.8,2023-08-06 03:08:00,4.786587934094397e-05,0.051632962541915656,0.0,343.9455476608665,7,4.786587934094397e-05,0.9882599,0.19556221,0.051632962541915656,0.0,0.0,0.4869541655523173,0.0,12525.288811002994,0.3164648412131288,-0.9486042400685067,2.8234531227236883,237.04690858178552,0.0395717563908578,inf,0.0,227.17971306378578,0.0,0.0,0.0,0 days,4.391799e-05,-1.4630774e-07,85332.91,0.047555566,-281.52774,0.0,0.0,1.0,-5.384821418992132e-13,2.2047277e-12,2.222154e-16,0.0,0.0,0.0,7.480000000000001e-16,2.2631408653032325e-14,1.6662456359254144e-12,1031.1731771188815,1.899885445462067e-12,1.0975658674213038e-13,7.31710578280869e-15,0.0,4.391799e-05,-1.4630774e-07,85332.91,0.047555566,-281.52774,0.0,0.0,0.0,-5.384821418992132e-13,2.2047277e-12,2.222154e-16,0.0,0.0,0.0,7.480000000000001e-16,2.2631408653032325e-14,1.6662456359254144e-12,1031.1731771188815,1.899885445462067e-12,1.0975658674213038e-13,7.31710578280869e-15,0.0
8,8,9,-47.207303133877815,-23.48748779296875,8747.76,e80338,SKX5563,210.407777596,-0.9930171170249033,34610D,242.07053,0.02678132,2.9780252,211.07937872131737,73341.31735736283,0.3916997988031643,0.809688306713948,53.49540233192114,66.2634198319972,1546.502207574962,4.7608095860547394e-05,31913.2970959831,0.071961947990371,0.4457950194326762,1.0,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.676755907868088,33.131634098169215,17.146561290735544,36.28235539,1449999999999999.8,21.9150854870579,867.460841739643,1813.70012500379,0.00476080958605,0.0288729015616962,0.404844153356974,33.1317099159986,14.0215957336984,14.02092822400346,0.0047608095860547,0.9615906983897682,611479585573513.2,6.056240001371922,530377018067860.2,0.021172283843728847,1.1728987552254972e-05,2.8440000000000003,35.8,2023-08-06 03:09:00,4.760809586054739e-05,0.07196203823282782,0.0,319.1329709598311,8,4.760809586054739e-05,0.02678132,2.9780252,0.07196203823282782,0.0,0.0,0.4592743625190671,0.0,12767.491119874136,0.31756288982673087,-0.9482372124130625,2.6336765263254462,236.27726373809824,0.053014917750337134,inf,0.0,226.531079570245,0.0,0.0,0.0,0 days,4.093717e-05,-3.051102e-07,90669.47,0.0594714,-281.49368,0.0,0.0,0.9999999999999999,-5.12757497855559e-13,2.045286e-12,2.3445642e-16,0.0,0.0,0.0,7.48e-16,2.090532679722113e-14,1.53252849099009e-12,1031.7252139766993,1.5763236178775197e-12,1.0334757906793575e-13,6.889838604529049e-15,0.0,4.093717e-05,-3.051102e-07,90669.47,0.0594714,-281.49368,0.0,0.0,0.0,-5.12757497855559e-13,2.045286e-12,2.3445642e-16,0.0,0.0,0.0,7.48e-16,2.090532679722113e-14,1.53252849099009e-12,1031.7252139766993,1.5763236178775197e-12,1.0334757906793575e-13,6.889838604529049e-15,0.0
9,9,10,-47.32590553977269,-23.451004028320312,9197.34,e80338,SKX5563,214.008888704,-0.9931400660175196,34610D,239.86867,-1.1880412,5.5283885,213.09157407885257,73287.8219550309,0.3940676528636341,0.767636529411922,51.669967157333154,62.6049366261158,1341.7773213810729,4.010496081121328e-05,29850.23293677357,0.0716011523834331,0.4305830596444429,1.0,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.6863359227271146,31.30295507060845,16.826143259390456,36.28235539,1450000000000000.0,20.8021387874533,864.203907310651,1808.91715622428,0.00401049608112,0.0287968396844759,0.383818264705961,31.3024683130579,13.3284856571561,13.32795114019793,0.0040104960811213,0.9456835787187532,587305148629541.0,5.418852397810661,484987804610363.4,0.020589909063205798,1.0758739262988015e-05,2.8440000000000003,35.8,2023-08-06 03:10:00,4.010496081121327e-05,0.07160112879096547,0.0,298.5023293677357,9,4.010496081121327e-05,-1.1880412,5.5283885,0.07160112879096547,0.0,0.0,0.43352749486363135,0.0,12949.242679689742,0.3186547838849259,-0.9478708396755601,2.4730306229938472,235.5864157822963,0.05161139377465525,inf,0.0,225.89919073061347,0.0,0.0,0.0,0 days,3.9100556e-05,-4.2457157e-07,95156.43,0.072061814,-281.79724,0.0,0.0,1.0,-4.91114944811866e-13,1.9187891e-12,2.4366488e-16,0.0,0.0,0.0,7.480000000000001e-16,1.955142865457658e-14,1.4276741356496253e-12,1032.2881461128534,1.353911895276741e-12,9.79801440393801e-14,6.53200960262534e-15,0.0,3.9100556e-05,-4.2457157e-07,95156.43,0.072061814,-281.79724,0.0,0.0,0.0,-4.91114944811866e-13,1.9187891e-12,2.4366488e-16,0.0,0.0,0.0,7.480000000000001e-16,1.955142865457658e-14,1.4276741356496253e-12,1032.2881461128534,1.353911895276741e-12,9.79801440393801e-14,6.53200960262534e-15,0.0
