Unnamed: 0.1,Unnamed: 0,index,longitude,latitude,altitude,icao24,callsign,groundspeed,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,air_pressure,rhi_emissions,fuel_flow_per_engine,thrust_setting,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,W3_no_water_injection,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,nvpm_ei_n,ei_mass_meem,ei_number_meem,ei_nox,nvpm_ei_m,ei_co2,wingspan,time,issr_specific_humidity,issr_rhi,issr_issr,cocip_level,cocip_waypoint,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_ef,cocip_persistent_1,cocip_cocip,cocip_contrail_age,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_segment_length_km,accf_issr_nox_impact,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_segment_length_km,accf_sac_accf_contrail_cocip
0,0,1,-46.394907633463504,-23.51553706799524,3924.3,e80338,SKX5563,150.732222092,0.8945074417316602,34610D,276.9323,7.8954425,3.72896,162.94962295232452,71707.77151660383,0.3657900318751519,1.153834703379426,65.38897054655375,112.0103114525376,2740.103104333172,0.0003222647890744,62250.43576468452,0.0388190414089118,0.5449080878879479,1.0,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,21.414352635752746,3.205251803527586,0.4884540719180468,56.00475934321816,19.20814462293612,35.55614318214645,1460910292540372.5,32.9833974262967,910.300971353951,1496.6909054729,0.0322264789074,0.0279737057383876,0.576917351689713,56.0051557262688,20.6235583188402,20.61691421332988,15.578936187071374,1.0,636697484830544.6,20.705954126508058,1349809104330533.8,0.001924868683161,1.5260876807766213e-05,3.0968000000000004,35.8,2023-11-06 13:01:00,0.0003222647890744,0.0388190547125304,0.0,622.5043576468452,0,0.0003222647890744,7.8954425,3.72896,0.0388190547125304,0.0,0.0,0.7830891957740971,1240.0071419479038,9537.146941901805,-0.4305476864931945,-0.9025678310550171,4.631920937823172,242.7040921134988,0.0402591993022468,inf,0.0,232.2919741077048,0.0,0.0,0.0,0 days,0.00031491567,-1.1043236e-07,40731.633,0.040234204,-299.2265,0.0,0.0,1.0,-8.239464718999235e-13,5.877586e-12,2.2034351000000003e-16,0.0,0.0,0.0,7.479999999999999e-16,6.666566249521962e-14,5.0536399218422136e-12,1346.9897201789868,9.537146941901804,6.734420783613499e-13,0.00031491567,-1.1043236e-07,40731.633,0.040234204,-299.2265,0.0,0.0,0.0,-8.239464718999235e-13,5.877586e-12,2.2034351000000003e-16,0.0,0.0,0.0,7.479999999999999e-16,6.666566249521962e-14,5.0536399218422136e-12,1346.9897201789868,9.537146941901804,0.0
1,1,2,-46.47906033497935,-23.552313335871304,4716.780000000001,e80338,SKX5563,159.992222084,0.8956088954617446,34610D,271.22845,11.557985,5.7812996,176.0402121219858,71642.38254605727,0.3662123328029475,1.335036601298044,63.19243599257823,120.1019770301474,3114.043447990872,0.0003103462660439,56095.64736871224,0.053710270137648,0.5266036332714853,1.0,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,17.244801764306008,2.5813684048096808,0.53321391297654,60.050285291692056,18.85551280624084,36.28235538999999,1450000000000000.0,34.8619434569862,938.990074806954,1645.78637453872,0.0310346266044,0.0310451018343818,0.667518300649022,60.0509885150737,21.5015658254262,21.4948949650348,12.040250810301623,1.0,655394836240190.6,19.12134851838321,1254404032379829.2,0.0034715029533047,1.5709029946882293e-05,3.0968000000000004,35.8,2023-11-06 13:02:00,0.0003103462660439,0.0537102873638662,0.0,560.9564736871223,1,0.0003103462660439,11.557985,5.7812996,0.0537102873638662,0.0,0.0,0.7205039582398912,1241.5344637885523,9596.215333846398,-0.4245141795934674,-0.905421289413986,4.176694615713293,241.49511691798324,0.0527137701468865,inf,0.0,231.2493000928484,0.0,0.0,0.0,0 days,0.00030202718,-1.5187784e-07,48915.473,0.052559238,-300.4426,0.0,0.0,1.0,-7.752406035609518e-13,4.9043204e-12,2.234031e-16,0.0,0.0,0.0,7.479999999999999e-16,5.4649439511801166e-14,4.12907972434597e-12,1346.867615263178,9.596215333846398,1.1481938866729109e-12,0.00030202718,-1.5187784e-07,48915.473,0.052559238,-300.4426,0.0,0.0,0.0,-7.752406035609518e-13,4.9043204e-12,2.234031e-16,0.0,0.0,0.0,7.479999999999999e-16,5.4649439511801166e-14,4.12907972434597e-12,1346.867615263178,9.596215333846398,0.0
2,2,3,-46.56394526643573,-23.588763738082665,5615.9400000000005,e80338,SKX5563,159.47777764,0.8966982038938135,34610D,266.22095,19.124346,8.388734,192.9008172130668,71579.19011006468,0.3998508656224306,0.919693877331594,59.36025074789196,82.4409845601276,1810.8698603407568,0.0014557591353271,49718.84686406126,0.3419786035643181,0.494668756232433,1.0,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,15.992696728620809,2.375622994931914,0.589753013522275,41.22068214707946,17.89007826675878,36.28235539,1450000000000000.0,26.9095410377749,881.996190693491,1472.73501159089,0.145575913533,0.0265464832744973,0.459846938665797,41.2204922800638,17.3223298133641,17.29714933021153,13.87976383999413,1.0,587699909583184.5,17.614732489052756,1161802878111159.8,0.0019629186387681,1.4086463562002835e-05,3.0968000000000004,35.8,2023-11-06 13:03:00,0.0014557591353271,0.3419783954825119,0.0,497.1884686406127,2,0.0014557591353271,19.124346,8.388734,0.3419783954825119,0.0,0.0,0.6506107987470586,1243.0449503196487,9853.913159025033,-0.4250902117609422,-0.9051509884350992,3.913253221072127,240.74103505635568,0.3196581471633857,inf,0.0,231.7116178797408,0.0,0.0,0.0,0 days,0.001427006,-1.5799419e-08,58202.7,0.32009798,-300.52023,0.0,0.0,1.0,-7.199794000572717e-13,4.0723327e-12,2.232616e-16,0.0,0.0,0.0,7.480000000000001e-16,4.455185287709086e-14,3.3523531739230058e-12,1346.746592289661,9.853913159025034,3.631170238785719e-13,0.001427006,-1.5799419e-08,58202.7,0.32009798,-300.52023,0.0,0.0,0.0,-7.199794000572717e-13,4.0723327e-12,2.232616e-16,0.0,0.0,0.0,7.480000000000001e-16,4.455185287709086e-14,3.3523531739230058e-12,1346.746592289661,9.853913159025034,0.0
3,3,4,-46.65137093022184,-23.626355833926453,6137.910000000001,,,172.68185170266668,0.897760638246053,34610D,262.39438,21.790415,10.346501,202.4753674597879,71519.8298593168,0.4163065622368445,0.806831451880036,57.922258567824784,71.739737276109,1691.076629121357,0.0007252538241868,46295.246647158914,0.2221658102322182,0.4826854880652065,1.0,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,16.774705416553076,2.5040398932299976,0.6235225087198092,35.86979225110629,17.914825439358808,36.28235539,1450000000000000.0,24.7473810457698,868.591522261323,1403.1774186547,0.0725253824187,0.0251718745205308,0.403415725940018,35.8698686380545,16.0264475182801,16.01483269962099,15.708279687171792,0.9669197474932012,545773895098080.8,16.82715860064717,1112806626712278.4,0.0014893861466532,1.2012078738427226e-05,3.0968000000000004,35.8,2023-11-06 13:04:00,0.0007252538241868,0.2221660698227515,0.0,462.9524664715892,3,0.0007252538241868,21.790415,10.346501,0.2221660698227515,0.0,0.0,0.6146449560142585,1244.5181837906746,10648.381250946317,-0.028444387257436,-0.9995953765567092,3.744159048427269,240.23296509777765,0.2000318130739382,inf,0.0,230.7023196282632,0.0,0.0,0.0,0 days,0.0007233025,-1.5522232e-07,63666.438,0.19297463,-299.96512,0.0,0.0,1.0,-6.874650459839222e-13,3.5932659e-12,2.2680644000000003e-16,0.0,0.0,0.0,7.480000000000001e-16,3.8750216592313634e-14,2.90580078112616e-12,1346.621778654043,10.648381250946317,2.095111863661815e-13,0.0007233025,-1.5522232e-07,63666.438,0.19297463,-299.96512,0.0,0.0,0.0,-6.874650459839222e-13,3.5932659e-12,2.2680644000000003e-16,0.0,0.0,0.0,7.480000000000001e-16,3.8750216592313634e-14,2.90580078112616e-12,1346.621778654043,10.648381250946317,0.0
4,4,5,-46.75574200708161,-23.62904189804854,6625.59,,,185.88592576533333,0.8987568210029556,34610D,259.02502,23.428068,13.156409,205.83288168577803,71461.90760074896,0.4163929211272973,0.914890066819888,56.65741614939382,80.0374783311368,1863.2685964469224,0.000320185586903,43271.52378881695,0.1243510671168167,0.4721451345782818,1.0,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,16.466794756868868,2.46474678318669,0.6379712772947708,40.0194340955008,17.817867246371378,36.28235539,1450000000000000.0,26.4541841040007,889.719881078295,1479.21768828956,0.0320185586903,0.0272057866793663,0.457445033409944,40.0187391655684,16.8142549524908,16.808872993626157,14.695385841680125,1.0,556901939224716.5,15.688472331651846,1046107603999699.6,0.0018527929194347,1.3348273066881112e-05,3.0968000000000004,35.8,2023-11-06 13:05:00,0.000320185586903,0.1243511192535551,0.0,432.7152378881695,4,0.000320185586903,23.428068,13.156409,0.1243511192535551,0.0,0.0,0.5819731143814454,1245.899577171989,11699.443548113244,0.3434220995131197,-0.939181165465961,3.498909140524108,239.45873685985487,0.1083176563668888,inf,0.0,229.62357124861325,0.0,0.0,0.0,0 days,0.00032231523,-1.5932694e-07,68758.7,0.11047612,-299.21478,0.0,0.0,0.9999999999999998,-6.571788488218297e-13,3.2084428e-12,2.2321896e-16,0.0,0.0,0.0,7.480000000000002e-16,3.413764968035317e-14,2.55126390213317e-12,1346.6128603582936,11.699443548113244,2.594791277630807e-13,0.00032231523,-1.5932694e-07,68758.7,0.11047612,-299.21478,0.0,0.0,0.0,-6.571788488218297e-13,3.2084428e-12,2.2321896e-16,0.0,0.0,0.0,7.480000000000002e-16,3.413764968035317e-14,2.55126390213317e-12,1346.6128603582936,11.699443548113244,0.0
5,5,6,-46.86345418294269,-23.59291076660156,7162.8,e80338,SKX5563,199.089999828,0.8997885375463557,34610D,255.47546,24.550816,16.717747,214.2244151937659,71405.25018459957,0.4250859644912607,0.909113712600324,54.92868717002016,78.0120893760022,1718.68304369254,0.0001378898058947,40127.88685142464,0.0690719202452287,0.457739059750168,1.0,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,16.62754982460345,2.491839704072698,0.6685772049109646,39.00641998157973,17.601194219819764,36.28235538999999,1450000000000000.0,26.121701337024,894.315419073268,1483.54447000796,0.0137889805895,0.027558333918704,0.454556856300162,39.0060446880011,16.4943518589,16.492077769497563,15.12310230605418,1.0,536840448339819.4,14.852566280317518,994656554707103.6,0.0017882822727757,1.286742313693986e-05,3.0968000000000004,35.8,2023-11-06 13:06:00,0.0001378898058947,0.0690719077076384,0.0,401.2788685142464,5,0.0001378898058947,24.550816,16.717747,0.0690719077076384,0.0,0.0,0.5471917604848592,1247.330230167941,12108.452584480176,0.3185508831008655,-0.947905762655581,3.2932608495422317,238.77157226825068,0.0580989868672427,inf,0.0,228.80906675620187,0.0,0.0,0.0,0 days,0.00013462262,-8.037244e-08,74262.52,0.06536357,-298.74652,0.0,0.0,1.0,-6.244586702465453e-13,2.8344519e-12,2.1713287000000002e-16,0.0,0.0,0.0,7.480000000000001e-16,2.969504562574898e-14,2.2099932888023008e-12,1346.732823285969,12.108452584480178,2.155740520929793e-13,0.00013462262,-8.037244e-08,74262.52,0.06536357,-298.74652,0.0,0.0,0.0,-6.244586702465453e-13,2.8344519e-12,2.1713287000000002e-16,0.0,0.0,0.0,7.480000000000001e-16,2.969504562574898e-14,2.2099932888023008e-12,1346.732823285969,12.108452584480178,0.0
6,6,7,-46.975962320963504,-23.55821228027344,7658.1,e80338,SKX5563,206.292222044,0.9007806807271728,34610D,252.15915,26.897589,17.3692,223.79954730301247,71350.32149742956,0.4261751551906051,0.974155827153148,53.28853639443843,80.221958127848,2012.5316295755408,0.0001353031988706,37395.86563801814,0.0866921522511942,0.4440711366203203,1.0,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,15.421062734910278,2.3110728911185228,0.7030383723696554,40.11117820520438,17.35037012238029,36.28235538999999,1450000000000000.0,26.7103203737161,911.029436995951,1552.79283011371,0.0135303198871,0.0292216816806418,0.487077913576574,40.110979063924,16.6683738088641,16.666118829673685,13.880423474421065,1.0,529573164638910.9,14.27097174568532,957253980628459.0,0.0022326321856268,1.269323504301929e-05,3.0968000000000004,35.8,2023-11-06 13:07:00,0.0001353031988706,0.0866922276662619,0.0,373.9586563801814,6,0.0001353031988706,26.897589,17.3692,0.0866922276662619,0.0,0.0,0.5166439018993004,1248.7060256445109,12362.382706523456,0.3153713420156264,-0.948968343326195,3.0748648103075107,237.9989224861052,0.0705717688185118,inf,0.0,228.15641455669237,0.0,0.0,0.0,0 days,0.00011339303,-1.4985237e-07,79535.3,0.07092057,-298.29468,0.0,0.0,1.0,-5.931076972772132e-13,2.570494e-12,2.224886e-16,0.0,0.0,0.0,7.48e-16,2.6676510795735462e-14,1.9773863214660177e-12,1346.8480295316403,12.362382706523457,2.5804080610739984e-13,0.00011339303,-1.4985237e-07,79535.3,0.07092057,-298.29468,0.0,0.0,0.0,-5.931076972772132e-13,2.570494e-12,2.224886e-16,0.0,0.0,0.0,7.48e-16,2.6676510795735462e-14,1.9773863214660177e-12,1346.8480295316403,12.362382706523457,0.0
7,7,8,-47.09089799360794,-23.52314758300781,8237.220000000001,e80338,SKX5563,207.321110932,0.9017526226672576,34610D,248.83455,29.242981,16.188692,231.99805338409044,71297.03296103512,0.4386365241557594,0.86932195688151,51.09564368075217,71.0782949003646,1776.8560429392828,8.686120639336016e-05,34394.55476608665,0.070912986420516,0.4257970306729347,1.0,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,14.705533726916196,2.204552718637251,0.7336454075691242,35.53910924488542,17.0093945781119,36.28235539,1450000000000000.0,24.4970843645513,896.325172754435,1511.29443270422,0.00868612063934,0.0281281714606,0.434660978440755,35.5391474501823,15.4528700541235,15.451527915768116,14.276224778661168,1.0,506216521966200.9,13.3878814221252,903066114423014.8,0.0019594778893085,1.213340426786536e-05,3.0968000000000004,35.8,2023-11-06 13:08:00,8.686120639336016e-05,0.0709130704463096,0.0,343.9455476608665,7,8.686120639336016e-05,29.242981,16.188692,0.0709130704463096,0.0,0.0,0.4815279049350981,1250.0538181315512,12525.288811002994,0.3164648412131288,-0.9486042400685069,2.8907409733243083,237.30883205566568,0.0558601783394999,inf,0.0,227.47655611833207,0.0,0.0,0.0,0 days,9.064576e-05,-1.8925532e-07,85501.87,0.074068,-299.212,0.0,0.0,1.0,-5.576254276454295e-13,2.2980636e-12,2.255259e-16,0.0,0.0,0.0,7.480000000000001e-16,2.35992238357247e-14,1.7404383010005113e-12,1346.9644516743629,12.525288811002994,1.778815473606077e-13,9.064576e-05,-1.8925532e-07,85501.87,0.074068,-299.212,0.0,0.0,0.0,-5.576254276454295e-13,2.2980636e-12,2.255259e-16,0.0,0.0,0.0,7.480000000000001e-16,2.35992238357247e-14,1.7404383010005113e-12,1346.9644516743629,12.525288811002994,0.0
8,8,9,-47.207303133877815,-23.48748779296875,8747.76,e80338,SKX5563,210.407777596,0.9027113886026308,34610D,245.39412,29.548626,15.217206,236.3699584685799,71245.93731735437,0.4437881341525755,0.824559979282292,49.7031348064369,66.9486094118698,1563.4893453538148,6.074283996019605e-05,31913.2970959831,0.0650758473984523,0.4141927900536408,1.0,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,14.061224150276438,2.108329503853261,0.7526922204794227,33.475113463360806,16.760886292734416,36.28235539,1450000000000000.0,23.3041760329502,891.537053356187,1504.15061986999,0.00607428399602,0.0279871832195899,0.412279989641146,33.4743047059349,14.7310283570291,14.730133606880823,14.319111491400616,1.0,493920868300349.25,12.456178947797229,847416834074737.6,0.0018881427258275,1.183869216308068e-05,3.0968000000000004,35.8,2023-11-06 13:09:00,6.074283996019605e-05,0.0650758492842287,0.0,319.1329709598311,8,6.074283996019605e-05,29.548626,15.217206,0.0650758492842287,0.0,0.0,0.4530540028848397,1251.383346330505,12767.491119874136,0.3175628898267308,-0.9482372124130624,2.706981459451982,236.5801951427117,0.0495458945925494,inf,0.0,226.79310829637,0.0,0.0,0.0,0 days,6.765528e-05,-1.3202867e-07,90920.086,0.071945675,-300.6195,0.0,0.0,1.0,-5.25400360813779e-13,2.1160408e-12,2.2111471000000002e-16,0.0,0.0,0.0,7.48e-16,2.1647441605948344e-14,1.590640530558109e-12,1347.081566111325,12.767491119874135,1.4858684684447454e-13,6.765528e-05,-1.3202867e-07,90920.086,0.071945675,-300.6195,0.0,0.0,0.0,-5.25400360813779e-13,2.1160408e-12,2.2111471000000002e-16,0.0,0.0,0.0,7.48e-16,2.1647441605948344e-14,1.590640530558109e-12,1347.081566111325,12.767491119874135,0.0
9,9,10,-47.32590553977269,-23.451004028320312,9197.34,e80338,SKX5563,214.008888704,0.903652595684088,34610D,241.83882,29.66019,14.900889,240.4482118802865,71196.23418254792,0.4499246189947468,0.77734343069663,48.86336143953514,62.9023745060732,1348.7196373664144,5.152577381748304e-05,29850.23293677357,0.0746446554423852,0.4071946786627928,1.0,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,13.637707951120175,2.044953499212748,0.7712865709223975,31.450455874345103,16.596967402905378,36.28235539,1450000000000000.0,22.1827063957124,883.823332853933,1486.83342917232,0.00515257738175,0.0276036190012962,0.388671715348315,31.4511872530366,14.080462251347,14.079736782014162,14.529241563370658,1.0,488339574837306.2,11.712569564690437,802542016289771.8,0.0017644627746055,1.170491523762265e-05,3.0968000000000004,35.8,2023-11-06 13:10:00,5.152577381748304e-05,0.0746447025120394,0.0,298.5023293677357,9,5.152577381748304e-05,29.66019,14.900889,0.0746447025120394,0.0,0.0,0.4299957451056496,1252.6885344967975,12949.242679689742,0.3186547838849259,-0.94787083967556,2.5602119433268165,235.96609659626105,0.0548652175645007,inf,0.0,226.25555053367236,0.0,0.0,0.0,0 days,5.0381732e-05,-9.4648044e-08,95475.555,0.07316575,-301.82166,0.0,0.0,1.0,-4.983035168677929e-13,1.9695825e-12,2.1823367000000003e-16,0.0,0.0,0.0,7.480000000000001e-16,2.0092860026619406e-14,1.471278949921246e-12,1347.1989572447787,12.94924267968974,1.2107980277306412e-13,5.0381732e-05,-9.4648044e-08,95475.555,0.07316575,-301.82166,0.0,0.0,0.0,-4.983035168677929e-13,1.9695825e-12,2.1823367000000003e-16,0.0,0.0,0.0,7.480000000000001e-16,2.0092860026619406e-14,1.471278949921246e-12,1347.1989572447787,12.94924267968974,0.0
