,Unnamed: 0,index,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,air_pressure,rhi_emissions,fuel_flow_per_engine,thrust_setting,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,W3_no_water_injection,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,nvpm_ei_n,ei_mass_meem,ei_number_meem,ei_nox,nvpm_ei_m,ei_co2,wingspan,time,issr_specific_humidity,issr_rhi,issr_issr,cocip_level,cocip_waypoint,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_ef,cocip_persistent_1,cocip_cocip,cocip_contrail_age,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_nox_impact,accf_issr_co2_impact_conservative,accf_issr_co2_impact_optimistic,accf_issr_contrails_atr20,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_nox_impact,accf_sac_co2_impact_conservative,accf_sac_co2_impact_optimistic,accf_sac_contrails_atr20
0,0,2,461f63,FIN43D,60.37413024902344,25.075630977235992,118.32222212,845.82,-0.1885052760026948,34610D,285.63644,4.7738295,5.939896,110.90836963672662,68612.2071542337,0.28488343120398574,1.35084564301626,87.79096356388455,150.0529362216656,2686.1064326119986,0.0063763415780532,91568.03740577509,0.5750227141852655,0.7315913630323713,1.0,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,19.188747641227355,2.7559581367685744,0.3273517863793075,75.02591575423843,19.8075353200904,34.83195452781795,1471790184103329.8,38.244218720436,877.090597817225,1525.37093391608,0.637634157805,0.0271931343281762,0.67542282150813,75.0264681108328,24.8379908456631,24.680618789900976,11.804121352592675,1.0,1062656122019110.8,,,0.00261194076466668,2.547059561805613e-05,3.0968000000000004,35.8,2023-08-05 21:02:00,0.0063763415780532144,0.5750238121184215,0.0,915.6803740577508,0,0.0063763415780532144,4.7738295,5.939896,0.5750238121184215,1.5986583,0.0,1.1167931542034764,0.0,6727.090235406854,0.9159880604940928,0.40120552467815057,6.074075757948758,245.9399032751231,0.6481044756969939,inf,0.0,238.54790666152178,0.0,0.0,0.0,0 days,0.006235845,5.230456e-07,8564.874,0.62984186,-228.08154,0.0,0.0,1.0,-8.969545995050993e-13,8.946068e-12,2.5125562e-16,0.0,0.0,0.0,7.480000000000003e-16,1.0563772986789755e-13,8.049113402920974e-12,995.7333657922322,1.7039951188926711e-12,1.8774644957369891e-13,1.555613439324934e-13,0.0,0.006235845,5.230456e-07,8564.874,0.62984186,-228.08154,0.0,0.0,0.0,-8.969545995050993e-13,8.946068e-12,2.5125562e-16,0.0,0.0,0.0,7.480000000000003e-16,1.0563772986789755e-13,8.049113402920974e-12,995.7333657922322,1.7039951188926711e-12,1.8774644957369891e-13,1.555613439324934e-13,0.0
1,1,3,461f63,FIN43D,60.429134045617054,25.12445722307477,130.668888776,1653.5400000000002,-0.1884997540209516,34610D,282.04852,2.343807,5.672386,139.86790696375564,68524.41619066983,0.3358681351010811,0.92981757706174,66.79997016606252,96.5571369947844,1551.4307482848153,0.0033926562839355,82974.78838491326,0.3643605462407989,0.556666418050521,0.8108615856001851,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,19.45041764201396,2.8515740646637435,0.4154448351105868,48.27864569448592,16.439729376175297,24.34054993306392,1507606097186670.5,29.5373606079472,837.133521483374,1360.14390235724,0.339265628394,0.0235971102205569,0.46490878853087,48.2785684973922,19.7019374061261,19.63532150922075,14.861941324458137,0.8233733824764667,869986504451594.2,28.043168074249245,1713610852612859.5,0.001481244993909363,1.3537595982790555e-05,3.0968000000000004,35.8,2023-08-05 21:03:00,0.0033926562839355777,0.3643610708661495,0.0,829.7478838491327,1,0.0033926562839355777,2.343807,5.672386,0.3643610708661495,1.6342098,0.0,1.0248605522482301,0.0,8544.990800005955,0.7447234338120295,-0.6673732142746063,5.911422121047273,245.6113998291137,0.39688064964493874,inf,0.0,236.5626384247265,0.0,0.0,0.0,0 days,0.003315713,6.1073075e-07,16628.059,0.37877896,-229.91011,0.0,0.0,1.0,-8.587915265050885e-13,7.911092e-12,2.5801465e-16,0.0,0.0,0.0,7.479999999999999e-16,9.268591439535041e-14,7.052299979660975e-12,994.8440656828801,5.827827320402561e-13,1.2923012318029844e-13,1.0707638777796158e-13,0.0,0.003315713,6.1073075e-07,16628.059,0.37877896,-229.91011,0.0,0.0,0.0,-8.587915265050885e-13,7.911092e-12,2.5801465e-16,0.0,0.0,0.0,7.479999999999999e-16,9.268591439535041e-14,7.052299979660975e-12,994.8440656828801,5.827827320402561e-13,1.2923012318029844e-13,1.0707638777796158e-13,0.0
2,2,4,461f63,FIN43D,60.486236572265625,25.02050991716056,151.76111098,2118.36,-0.1880063378998592,34610D,279.29745,2.917063,5.067546,161.47840008705327,68457.61622050375,0.36152704171340533,0.902258235568658,67.00696912962812,87.3560736872612,1553.7091343560792,0.0025769897542039,78333.6820030578,0.3237474785053602,0.5583914094135677,0.8400385587761589,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,18.916429115007755,2.7887169232356626,0.4819901680442666,43.67793155288312,16.739884444804698,25.40350191768569,1557777701878097.8,28.897955310368,838.316608950654,1355.80032744628,0.25769897542,0.0233491574898893,0.451129117784329,43.6780368436306,19.3210019667595,19.271339921232705,14.728498279640643,0.8284391780859695,818340571106232.4,28.636774251181848,1661591117194085.0,0.001523644621356215,1.2761706509554172e-05,3.0968000000000004,35.8,2023-08-05 21:04:00,0.00257698975420398,0.3237479850945938,0.0,783.336820030578,2,0.00257698975420398,2.917063,5.067546,0.3237479850945938,1.5821486,0.0,0.9770662652547955,0.0,10590.383165001072,0.5754203859833056,-0.8178577990059297,5.8009804936725,245.38374142134086,0.34347865711764036,inf,0.0,236.06734576555323,0.0,0.0,0.0,0 days,0.0025202848,5.8016604e-07,21267.14,0.3319239,-235.8159,0.0,0.0,1.0000000000000002,-8.367378252353202e-13,7.26268e-12,2.5565863e-16,0.0,0.0,0.0,7.48e-16,8.454090907280845e-14,6.425942341487185e-12,993.9208333546094,5.300326373104626e-13,1.2539980507943683e-13,1.0390269563724769e-13,0.0,0.0025202848,5.8016604e-07,21267.14,0.3319239,-235.8159,0.0,0.0,0.0,-8.367378252353202e-13,7.26268e-12,2.5565863e-16,0.0,0.0,0.0,7.48e-16,8.454090907280845e-14,6.425942341487185e-12,993.9208333546094,5.300326373104626e-13,1.2539980507943683e-13,1.0390269563724769e-13,0.0
3,3,5,,,60.54089218520622,24.86228326150616,156.5968887536,2583.378890701468,-0.1873924764068769,34610D,276.47736,4.3082447,5.808603,177.58808502896602,68390.60925137413,0.3784091198495838,0.929377192272798,69.86976670576654,85.639807447017,1701.4826449297775,0.0024345897325545,73903.20336720873,0.3610990345292686,0.5822480558813878,0.9025715318146912,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,18.37197148443748,2.7110675095228265,0.5327718479962308,42.819803288882206,17.90019017131806,28.80950639300648,1562268793867026.0,29.3881480250145,846.360866088781,1378.65844964978,0.243458973255,0.0237133941500155,0.464688596136399,42.8199037235085,19.596038981037,19.54844653381837,14.111913967020504,0.8623207651294245,820639677474773.2,28.755761570495302,1612502008516934.2,0.0016939959144893196,1.341857181283738e-05,3.0968000000000004,35.8,2023-08-05 21:05:00,0.0024345897325545153,0.3610990723393051,0.0,739.0320336720873,3,0.0024345897325545153,4.3082447,5.808603,0.3610990723393051,1.5080549,0.0,0.9312067994169192,0.0,12087.831524169216,0.4509723047668072,-0.8925379433577679,5.620834186892003,245.0040071961962,0.372857901207143,inf,0.0,235.87621254192504,0.0,0.0,0.0,0 days,0.0023788386,5.669012e-07,25903.217,0.36605927,-241.11055,0.0,0.0,0.9999999999999999,-8.147386748754401e-13,6.6406147e-12,2.5463613e-16,0.0,0.0,0.0,7.48e-16,7.67390254511087e-14,5.825876101953447e-12,993.0340681816351,5.503219858256375e-13,1.2916891657168443e-13,1.0702567373082425e-13,0.0,0.0023788386,5.669012e-07,25903.217,0.36605927,-241.11055,0.0,0.0,0.0,-8.147386748754401e-13,6.6406147e-12,2.5463613e-16,0.0,0.0,0.0,7.48e-16,7.67390254511087e-14,5.825876101953447e-12,993.0340681816351,5.503219858256375e-13,1.2916891657168443e-13,1.0702567373082425e-13,0.0
4,4,6,,,60.58972609021037,24.6648793684984,161.4326665272,3092.041859706362,-0.1867586171226986,34610D,273.48273,5.452537,7.9961376,190.43132443781377,68320.73948466836,0.3907077929412509,0.900301592738568,68.40975126226444,79.879917123889,1703.4693816703575,0.0025662810683878,69291.54882889376,0.4551702638312613,0.5700812605188703,0.9126957495897444,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,17.479029682919215,2.5769983494688176,0.5744214745602314,39.94012397991612,17.823937489603583,29.69506732687168,1548964516210565.8,28.5122693691502,845.680417731348,1380.24922649171,0.256628106839,0.0236100413666347,0.450150796369284,39.9399585619445,19.0660740224466,19.01727036154536,13.807460063667568,0.8594544214469666,785977923039203.8,28.329362509917456,1562401848269749.8,0.001737974820688622,1.2738191765377165e-05,3.0968000000000004,35.8,2023-08-05 21:06:00,0.002566281068387823,0.4551701238135569,0.0,692.9154882889376,4,0.002566281068387823,5.452537,7.9961376,0.4551701238135569,1.4239879,0.0,0.8826587101297377,0.0,12073.289009639417,0.4515150911983963,-0.8922634826216436,5.377074024928848,244.47260741163123,0.45659442298707015,inf,0.0,235.86254351518667,0.0,0.0,0.0,0 days,0.0025138154,5.2453805e-07,30978.6,0.45029125,-245.62419,0.0,0.0,1.0,-7.907341124739229e-13,6.0137112e-12,2.5137066e-16,0.0,0.0,0.0,7.48e-16,6.889807341833692e-14,5.222977136306421e-12,992.2408272633845,4.903440093296805e-13,1.2512786228098876e-13,1.0367737160424785e-13,0.0,0.0025138154,5.2453805e-07,30978.6,0.45029125,-245.62419,0.0,0.0,0.0,-7.907341124739229e-13,6.0137112e-12,2.5137066e-16,0.0,0.0,0.0,7.48e-16,6.889807341833692e-14,5.222977136306421e-12,992.2408272633845,4.903440093296805e-13,1.2512786228098876e-13,1.0367737160424785e-13,0.0
5,5,7,,,60.63855999521452,24.467475475490644,166.2684443008,3600.7048287112566,-0.1861237982866126,34610D,270.3697,6.0409555,9.384895,198.65766640244817,68252.3297334061,0.3995446839088946,0.871195804300386,66.67137288873549,75.7725152229524,1706.3477328553909,0.0024034672349414,64915.7329138443,0.5172755140594871,0.5555947740727958,0.9151096345264044,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,16.95629460917951,2.502690292857749,0.6026755019260763,37.88688253227367,17.678770218528474,30.492237561836443,1536988181505797.0,27.6558620943574,844.524123217105,1377.49461355873,0.240346723494,0.0235278376651743,0.435597902150193,37.8862576114762,18.5141494237255,18.46975796561784,13.790552944477666,0.8545754768731096,758774164979109.0,27.27605927938093,1516346027135509.5,0.0017257644635495434,1.2111520373446124e-05,3.0968000000000004,35.8,2023-08-05 21:07:00,0.0024034672349414065,0.5172752705846164,0.0,649.1573291384431,5,0.0024034672349414065,6.0409555,9.384895,0.5172752705846164,1.3316193,0.0,0.8364392316176361,0.0,12058.744006481982,0.4520592798614447,-0.8919878964936419,5.110928209831991,243.86742512676187,0.5034606564528529,inf,0.0,235.59329023117007,0.0,0.0,0.0,0 days,0.0023486896,5.9433086e-07,36045.406,0.4949813,-249.38147,0.0,0.0,1.0,-7.667984002572309e-13,5.4152507e-12,2.567505e-16,0.0,0.0,0.0,7.48e-16,6.143462780197325e-14,4.648452100021291e-12,991.4475863451339,4.19330939915142e-13,1.2108261220407373e-13,1.0032559296908967e-13,0.0,0.0023486896,5.9433086e-07,36045.406,0.4949813,-249.38147,0.0,0.0,0.0,-7.667984002572309e-13,5.4152507e-12,2.567505e-16,0.0,0.0,0.0,7.48e-16,6.143462780197325e-14,4.648452100021291e-12,991.4475863451339,4.19330939915142e-13,1.2108261220407373e-13,1.0032559296908967e-13,0.0
6,6,8,,,60.68739390021867,24.270071582482885,171.1042220744,4109.367797716151,-0.1854880216935904,34610D,267.64044,7.791746,9.052847,203.73849641631224,68185.65836051737,0.40615465793290934,0.814807035004562,62.91063438408817,70.2439642120192,1708.8174781737132,0.0012137145504945,60766.415826467666,0.3083075096982756,0.524255286534068,0.8916063856429559,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,16.52224579425252,2.458283579010547,0.621232907804329,35.12166680986695,17.24304040847977,29.78579620899957,1547601445423306.2,26.2002068138848,840.191182385639,1359.63467733506,0.121371455049,0.0231714104968677,0.407403517502281,35.1219821060096,17.582163052066,17.56084919388035,14.120031496314514,0.836282954841527,697819008205322.6,25.7638728858138,1473474822031366.8,0.0016453622658779627,1.0918205274035796e-05,3.0968000000000004,35.8,2023-08-05 21:08:00,0.0012137145504945138,0.30830780357458587,0.0,607.6641582646766,6,0.0012137145504945138,7.791746,9.052847,0.30830780357458587,1.1833546,0.0,0.7909596606250702,0.0,12044.196548020338,0.45260487494179535,-0.8917111792385032,4.832543689579471,243.20374047984984,0.2922055181489795,inf,0.0,233.823688655008,0.0,0.0,0.0,0 days,0.0011857472,6.111807e-07,41158.492,0.28664938,-251.38414,0.0,0.0,0.9999999999999999,-7.426746685826031e-13,4.904107e-12,2.5804936e-16,0.0,0.0,0.0,7.479999999999997e-16,5.510467105882478e-14,4.161432439326038e-12,990.6543454268834,3.347421504656006e-13,1.1324545383897545e-13,9.383194746657966e-14,0.0,0.0011857472,6.111807e-07,41158.492,0.28664938,-251.38414,0.0,0.0,0.0,-7.426746685826031e-13,4.904107e-12,2.5804936e-16,0.0,0.0,0.0,7.479999999999997e-16,5.510467105882478e-14,4.161432439326038e-12,990.6543454268834,3.347421504656006e-13,1.1324545383897545e-13,9.383194746657966e-14,0.0
7,7,9,,,60.736227805222825,24.07266768947513,175.939999848,4618.030766721044,-0.1848512891420105,34610D,264.3774,9.390921,9.884941,204.62437721485944,68122.74772613328,0.41132189624413656,0.789053630140866,61.21629220372662,68.5909601601896,1709.4009475564094,0.0011449978443157,56834.51722472721,0.3611908851861447,0.5101357683643885,0.8868149310877386,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,16.728519082226704,2.4901237440462607,0.6277726401526655,34.29593362639248,16.920036219400544,30.84028023175236,1531759341637436.5,25.4606997135747,838.65352927986,1349.30410953215,0.114499784432,0.0231543352957373,0.394526815070433,34.2954800800948,17.0390041446392,17.019516834552345,14.745489419759588,0.8298613770168686,674468716928443.6,23.715610007048493,1434004606050790.0,0.0015056003350594489,1.0524444042429634e-05,3.0968000000000004,35.8,2023-08-05 21:09:00,0.0011449978443157673,0.3611917221839437,0.0,568.3451722472721,7,0.0011449978443157673,9.390921,9.884941,0.3611917221839437,1.0694587,0.0,0.7489111505254339,0.0,12029.646667695799,0.45315188063676093,-0.8914333250868327,4.559257278059083,242.5183833205335,0.33158622859737763,inf,0.0,233.3928333651527,0.0,0.0,0.0,0 days,0.0011205899,5.0968373e-07,46282.246,0.3559522,-250.69318,0.0,0.0,1.0000000000000002,-7.185299138007168e-13,4.3850284e-12,2.5022563e-16,0.0,0.0,0.0,7.480000000000001e-16,4.866270694222656e-14,3.66649856304612e-12,989.8611045086329,2.613478877622708e-13,1.0966613272809213e-13,9.08662242604192e-14,0.0,0.0011205899,5.0968373e-07,46282.246,0.3559522,-250.69318,0.0,0.0,0.0,-7.185299138007168e-13,4.3850284e-12,2.5022563e-16,0.0,0.0,0.0,7.480000000000001e-16,4.866270694222656e-14,3.66649856304612e-12,989.8611045086329,2.613478877622708e-13,1.0966613272809213e-13,9.08662242604192e-14,0.0
8,8,10,,,60.78506171022698,23.87526379646737,180.7757776216,5126.693735725938,-0.1842136024337312,34610D,261.04877,10.769541,11.597904,204.97328490055705,68061.53143392954,0.4148039844540521,0.773496807503638,60.091448030966845,67.6924269917254,1710.113313413732,0.0012052984572417,53111.21215722206,0.477961999742886,0.5007620669247237,0.888892292496813,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,16.34647647247493,2.4322690879976268,0.6328395978453465,33.84653967013842,16.717508854389717,32.4490509016584,1507589879255463.5,24.833930605301,837.149497369814,1351.2448330044,0.120529845724,0.0232989971365177,0.386748403751819,33.8462134958627,16.5993583966603,16.579375301187746,14.790980594392485,0.8234417887250525,666787342773280.9,21.75270820214628,1384643520668755.8,0.0014783820971997522,1.037598307569527e-05,3.0968000000000004,35.8,2023-08-05 21:10:00,0.0012052984572417508,0.47796175211384856,0.0,531.1121215722205,8,0.0012052984572417508,10.769541,11.597904,0.47796175211384856,0.966275,9.5778505e-09,0.708772748333844,0.0,12015.094399064026,0.4537003011554713,-0.8911543282346973,4.286148618857448,241.7960886657651,0.4246977959211193,inf,0.0,233.22353734321908,0.0,0.0,0.0,0 days,0.0011787649,5.4293076e-07,51387.004,0.45924962,-246.65202,0.0,0.0,1.0,-6.945023147351941e-13,3.903487e-12,2.5278843e-16,0.0,0.0,0.0,7.48e-16,4.271758773195857e-14,3.2089845623153086e-12,989.0652211618639,2.2017301949917566e-13,1.0750397731685972e-13,8.907472406254092e-14,0.0,0.0011787649,5.4293076e-07,51387.004,0.45924962,-246.65202,0.0,0.0,0.0,-6.945023147351941e-13,3.903487e-12,2.5278843e-16,0.0,0.0,0.0,7.48e-16,4.271758773195857e-14,3.2089845623153086e-12,989.0652211618639,2.2017301949917566e-13,1.0750397731685972e-13,8.907472406254092e-14,0.0
9,9,11,,,60.833895615231135,23.677859903459616,185.6115553952,5635.356704730832,-0.1835749633740291,34610D,257.8202,12.328693,13.662312,205.4126552932975,68001.43998589859,0.4175520063881248,0.809816094182996,62.96284951043119,71.1878183125266,1714.9159250653977,0.0010304784529678,49587.92701339632,0.5124461927817574,0.5246904125869266,0.9527521779402268,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,16.001728006517933,2.383769765056721,0.6381546681644035,35.59359374162282,17.938305222556018,36.28235538999999,1450000000000000.0,25.321032742668,844.607825026812,1382.33528262444,0.103047845297,0.0241023671611099,0.404908047091498,35.5939091562633,16.7995136902915,16.782219974215106,14.307186324706796,0.8549302900669563,714714083588836.8,20.148802456955043,1293186043456518.8,0.0016155000955322756,1.1420925482144238e-05,3.0968000000000004,35.8,2023-08-05 21:11:00,0.0010304784529678343,0.5124459491499794,0.0,495.87927013396325,9,0.0010304784529678343,12.328693,13.662312,0.5124459491499794,0.85524666,3.6689652e-08,0.6700411280937555,0.0,12000.539775799562,0.45425014071856945,-0.8908741828435482,4.020089740566822,241.0521104486828,0.4411118255767179,inf,0.0,232.6326813167339,0.0,0.0,0.0,0 days,0.0010046916,7.6016926e-07,56439.098,0.4828625,-240.99635,0.0,0.0,0.9999999999999999,-6.707494848046342e-13,3.4705665e-12,2.6953388e-16,0.0,0.0,0.0,7.48e-16,3.741515539168827e-14,2.7998170391457566e-12,988.268299872564,2.1977297862289415e-13,1.1255179100330972e-13,9.325719825988521e-14,0.0,0.0010046916,7.6016926e-07,56439.098,0.4828625,-240.99635,0.0,0.0,0.0,-6.707494848046342e-13,3.4705665e-12,2.6953388e-16,0.0,0.0,0.0,7.48e-16,3.741515539168827e-14,2.7998170391457566e-12,988.268299872564,2.1977297862289415e-13,1.1255179100330972e-13,9.325719825988521e-14,0.0
