,index,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,time,specific_humidity,air_pressure,rhi,fuel_flow_per_engine,thrust_setting,nox_ei,co_ei,hc_ei,nvpm_ei_m,nvpm_ei_n,co2,h2o,so2,sulphates,oc,nox,co,hc,nvpm_mass,nvpm_number,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,W3_no_water_injection,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,ei_nox_p3t3,ei_nvpm_number_p3t3_meem,ei_nvpm_mass_p3t3_meem,ei_mass_meem,ei_number_meem
0,2,461f63,FIN43D,60.37413024902344,25.075630977235992,118.32222212,845.82,0.1724720242888172,34610D,276.97778,-2.438152,4.0086255,115.61686911869604,67815.4314383453,0.263320190263868,1.359541536830756,81.57249220984536,133547.23309704853,2597.036443480348,2023-11-06 08:02:00,0.0055725599110266,0.9156803740577508,0.9837992142278528,0.679770768415378,0.8287359603997164,0.0172568096792804,0.0003068137219153,6.630300811345382e-05,2.7841705843745448e-05,1576808603304242.5,257.6875028909015,100.90517286357873,0.0978869906518144,0.0019976936867717,0.0016314498441969,1.407680973129886,0.0250275599408172,0.005408501612824,0.0022711173330477,1.2862420750945246e+17,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,18.93887871645797,2.735293771173566,0.3465420529451772,66.77361654852427,17.25680967928042,27.841705843745448,1576808603304242.5,35.7366391524155,838.238733859973,1440.27062029075,0.557255991103,0.0245113070098148,0.585587213690764,66.7735643089105,23.8904932101859,23.758099775813037,12.070355931688965,0.8007051602087721,2.2754212397524674,924503238367833.4,12.068787639449171,,
1,3,461f63,FIN43D,60.429134045617054,25.12445722307477,130.668888776,1653.5400000000002,0.1728921517160124,34610D,271.883,-3.2284892,3.922025,137.34339973920345,67733.85894613546,0.2803388844900709,1.0532129569733408,63.19277741840045,92719.52515443352,1496.978553444714,2023-11-06 08:03:00,0.0042987801956661,0.8297478838491327,1.0420458596309872,0.5266064784866704,0.667211109238785,0.0157371179022283,0.0003190957377361,6.670738332559472e-05,2.0899681718936643e-05,1345196240173308.0,199.62598386472703,78.16946566656136,0.0758313329020805,0.0015475782224914,0.001263855548368,0.9944721888026395,0.0201645459299197,0.0042154248266582,0.0013207089349801,8.500668658934101e+16,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,19.35933273313099,2.820678393815153,0.4155028203384092,46.35976257721676,15.737117902228324,20.899681718936645,1345196240173308.0,28.6961750711184,803.008234338188,1306.14422847474,0.429878019567,0.0218322942534956,0.427961329675892,46.3593246373119,19.6022151729368,19.51831024739244,14.881325701580902,0.6720942107243547,1.3404675495808145,542652311763509.56,6.229718971638744,20.600710391677538,1458190942997703.5
2,4,461f63,FIN43D,60.486236572265625,25.02050991716056,151.76111098,2118.36,0.1726363606547762,34610D,269.76083,-3.8618634,2.7357926,157.1709144337348,67670.66616871706,0.2904966528063293,1.0491638506851402,62.94983104110841,83635.70638396183,1501.3910994416542,2023-11-06 08:04:00,0.00383268514312,0.7833368200305779,1.0477664360203152,0.5245819253425701,0.6909595996217189,0.0158641606191586,0.000329752503338,6.930506966250184e-05,2.176090153241176e-05,1385846034951642.5,198.85851625886147,77.86894099785111,0.07553979724933,0.0015416285152924,0.0012589966208221,0.998646230585045,0.020757864370514,0.0043627424255467,0.0013698450747675,8.723877374919592e+16,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,19.02823918093461,2.781306627531688,0.4773533291023007,41.81785319198092,15.864160619158683,21.76090153241176,1385846034951642.5,27.9108826939613,804.847909827541,1299.14671938516,0.383268514312,0.0215959960343929,0.41213577328692,41.81877941911,19.0838974331431,19.011034125096494,15.013228195779726,0.678562007885368,1.326174524751783,509156789086836.7,5.89251208471171,21.227679002661667,1432505529824095.5
3,5,,,60.54089218520622,24.86228326150616,156.5968887536,2583.378890701468,0.172189639286382,34610D,267.29932,-4.370934,2.2821069,171.28887264603668,67607.71633767594,0.3004178546454215,1.107842908730994,66.47057452385964,83801.97030739274,1645.4162407863723,2023-11-06 08:05:00,0.0032769570329425,0.7390320336720873,1.0424766515297292,0.553921454365497,0.7536621045746029,0.016425295255051,0.0003395014670198,7.230867380019179e-05,2.4572260073030624e-05,1518542874871451.0,209.98054492087255,82.22410068601438,0.0797646894286315,0.0016278508046659,0.0013294114904771,1.091798812327272,0.0225668575644992,0.0048063990905571,0.001633332244404,1.0093841733181885e+17,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,18.36148827296372,2.6940534328131767,0.5226216794068254,41.90098515369637,16.425295255051093,24.572260073030623,1518542874871451.0,28.6877697966623,815.404266009644,1329.67788506793,0.327695703294,0.0220911616940617,0.431503187809554,41.9002312715819,19.5328427624314,19.469043543267624,14.165321711094606,0.7166403727402468,1.5471607749246326,553295000714948.0,6.687915977951375,21.29256887287014,1400703614354898.8
4,6,,,60.58972609021037,24.6648793684984,161.4326665272,3092.041859706362,0.1716676900067026,34610D,264.53876,-4.1518216,3.0951467,183.8347600186433,67541.24576315208,0.3074992777157018,1.1016532441610905,66.09919464966542,79476.88613969208,1648.6011101346533,2023-11-06 08:06:00,0.0027146714324122,0.6929154882889377,1.0293390950919077,0.5508266220805452,0.775321335159039,0.0165505622168128,0.000350353263503,7.494412651383477e-05,2.5668128664570123e-05,1570268151802031.2,208.80735589829305,81.76470378163613,0.0793190335795984,0.0016187557873387,0.0013219838929933,1.093978833530508,0.0231580685604334,0.0049537464062871,0.001696642632892,1.0379346021813283e+17,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,17.441278059145912,2.5688443695799648,0.5638196300826205,39.73844306984604,16.550562216812814,25.668128664570123,1570268151802031.2,28.1522393228148,817.500863899369,1338.63404796089,0.271467143241,0.022157260788005,0.425125757060183,39.7385307250036,19.1867470048612,19.134802303682537,13.696452302798287,0.7242220348108993,1.6615614978785467,542666682812739.6,6.611628079341059,21.050252047096023,1363086909505392.8
5,7,,,60.63855999521452,24.467475475490644,166.2684443008,3600.7048287112566,0.1711446175586174,34610D,261.7963,-3.1532502,2.9799197,193.0454446017595,67475.14656850242,0.3121898012606277,1.0638859756211776,63.833158537270656,74205.089899038,1651.4856469117328,2023-11-06 08:07:00,0.0021983538901425,0.649157329138443,0.9962065903692868,0.5319429878105888,0.7737830964916218,0.0164326416730027,0.0003617994281261,7.736906484014966e-05,2.5889791030999613e-05,1580730672014008.5,201.648947819238,78.96161711060381,0.0765997902447247,0.0015632610254025,0.0012766631707454,1.048947421098948,0.0230948002542732,0.0049387117818216,0.0016526271353786,1.009030315913966e+17,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,16.996834166077168,2.5121600684024714,0.5951617654271782,37.102544949519,16.4326416730028,25.88979103099961,1580730672014008.5,27.1043383284088,816.027800090038,1330.24977118429,0.219835389014,0.021963821048564,0.406326523060036,37.1017651148857,18.4998103090355,18.459230388102778,13.829070528208309,0.7189035586084078,1.6235465877543005,505021135513408.0,6.1190088150024735,20.346316455196185,1321328040696435.2
6,8,,,60.68739390021867,24.270071582482885,171.1042220744,4109.367797716151,0.1706204234040914,34610D,258.9159,-1.1404039,3.4281163,198.00523613295945,67411.31340996515,0.3144756664787443,1.002306820061655,60.1384092036993,68657.89983716834,1653.440263031467,2023-11-06 08:08:00,0.0017623095226023,0.6076641582646767,0.9708172940198114,0.5011534100308275,0.7500917346855499,0.0160907286983257,0.000373140338086,7.941552414842671e-05,2.539503316251717e-05,1557377974474893.2,189.97723467448608,74.39121218497604,0.0721660910444391,0.0014727773682538,0.0012027681840739,0.9676708268456232,0.0224400663422266,0.0047759232883643,0.0015272168960689,9.365823391379949e+16,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,16.49306781565206,2.444894281879358,0.613839088001898,34.32894991858417,16.090728698325773,25.39503316251717,1557377974474893.2,25.6329575208204,810.547957581299,1312.98904520099,0.17623095226,0.0216120870216924,0.379440085641098,34.3288605686203,17.5568460954394,17.52595992936314,14.126361454288608,0.699196511873199,1.5200062764165685,455478372879066.0,5.401302904196222,19.010396480121056,1273518584775280.0
7,9,,,60.736227805222825,24.07266768947513,175.939999848,4618.030766721044,0.1700951090090127,34610D,255.86093,-0.008096609,3.6330929,198.68749087929112,67351.17500076145,0.3172416832141135,0.980776101884642,58.84656611307853,67541.24368661833,1654.1698622791737,2023-11-06 08:09:00,0.0011155940173246,0.5683451722472721,0.7632871932191069,0.4903880509423211,0.7512187103351793,0.0160654260514632,0.0003841439727855,8.17762119050318e-05,2.629735427417692e-05,1599967761007002.2,185.89630235121507,72.79320228187815,0.0706158793356942,0.001441140394606,0.0011769313222615,0.9453951562722048,0.0226055536914682,0.0048122492603465,0.0015475089968944,9.415260862689278e+16,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,16.20529176141271,2.4127152376738747,0.6196204937300878,33.770621843309165,16.065426051463227,26.29735427417692,1599967761007002.2,24.9968375078343,809.921497520603,1312.61490959534,0.111559401732,0.0217076091894103,0.371012407717297,33.7714940159284,17.0913528284031,17.072307064779704,14.243892123484661,0.6967887257063928,1.502152064014238,445230211407058.9,5.265319700395325,17.09631212539081,1219342827364436.5
8,10,,,60.78506171022698,23.87526379646737,180.7757776216,5126.693735725938,0.1695686758431549,34610D,252.58861,1.1918296,4.1902313,199.27881166745175,67292.32843464837,0.3194806273775482,0.954402675722789,57.26416054336734,65992.48923029687,1652.968849876538,2023-11-06 08:10:00,0.0007239369346378,0.5311121215722205,0.6320067245789077,0.4772013378613945,0.7460100229416281,0.0159217944260565,0.0003945124628386,8.389408902606589e-05,2.7385220360291263e-05,1583666640267899.5,180.8974831564974,70.8357665921454,0.0687169926520408,0.0014023876051436,0.0011452832108673,0.9117481921521914,0.0225914250083488,0.0048041245826281,0.0015681916552272,9.068734073547618e+16,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,15.955633781584318,2.3817941946276044,0.6254771897717658,32.996244615148434,15.921794426056511,27.38522036029126,1583666640267899.8,24.2551512328851,807.645837350886,1308.18709729931,0.0723936934638,0.0217292107597084,0.360063867230103,32.9953168624165,16.5704990950594,16.558511776801538,14.45650155733894,0.6884674793577972,1.4522801777575198,428301473257924.44,5.016339042036677,15.4109637671737,1145562758627553.0
9,11,,,60.833895615231135,23.677859903459616,185.6115553952,5635.356704730832,0.1690411253802559,34610D,248.94203,2.2610414,5.7539635,199.3607684395729,67235.06427410501,0.321571667634625,0.947285198254497,56.83711189526982,65901.95349502591,1648.4320589156089,2023-11-06 08:11:00,0.0005768625622249,0.4958792701339632,0.6717739404811128,0.4736425991272485,0.7513308554892362,0.0158416556843057,0.0004032979699505,8.585565785813783e-05,2.948843783450065e-05,1552068826747977.0,179.54843647715737,70.30750741444878,0.0682045342743237,0.0013919292709045,0.0011367422379053,0.9003939567352254,0.0229222918452138,0.0048797876325249,0.0016760376408162,8.821510957503491e+16,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,15.67672343666517,2.342465200650809,0.6303006760415565,32.950976747512954,15.84165568430579,29.488437834500644,1552068826747977.0,23.8624605686503,806.687332912323,1311.97363526422,0.0576862562225,0.0219104833818567,0.35656239186475,32.9510292278558,16.2735976952479,16.264215478234547,14.460257371844968,0.6850652289313004,1.4452626729889342,427556725849489.9,4.987377749707475,13.916886963580671,1049563607531747.4
