,index,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,time,specific_humidity,air_pressure,rhi,fuel_flow_per_engine,thrust_setting,nox_ei,co_ei,hc_ei,nvpm_ei_m,nvpm_ei_n,co2,h2o,so2,sulphates,oc,nox,co,hc,nvpm_mass,nvpm_number,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,ei_nox_p3t3,ei_nvpm_number_p3t3_meem,ei_nvpm_mass_p3t3_meem
0,1,407463.0,BAW680,51.464630126953125,-0.5077465160472912,76.652222156,586.74,0.2875172671438102,34610D,276.15732,0.5094598,1.4314175,95.710660026803,68789.28011174589,0.2488648537591574,1.1922715974846214,71.53629584907729,133708.1600023397,1853.1078567075497,2023-02-06 10:01:00,0.0008511920121953,0.9447202900687772,0.1655955365564669,0.5961357987423107,0.6913251447927694,0.0177754009058819,0.0002943016371302,6.185926071301582e-05,2.2134499581105988e-05,1403479958105043.5,225.98315858723515,88.49039796530862,0.0858435550188927,0.0017519092860998,0.0014307259169815,1.2715863380391297,0.021053248982617,0.0044251823753715,0.0015834201105052,1.00399757501253e+17,climb,0,GTF2035,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,0,0.2873023905193169,66.85408000116985,17.77540090588198,22.13449958110599,1403479958105043.5,32.9221562345408,794.965902740572,1476.49634988804,0.0851192012195,0.0200299899362552,0.568401418639378,66.8539729192273,28.3775189327752,28.353384758150366,0.08511920121953,0.6617890520767709,21.215537379699146,1370450827462395.5,19.383744122518394
1,2,407463.0,BAW680,51.4423828125,-0.5900697450380221,127.582222112,1165.86,0.2888022458803915,34610D,274.8088,1.7061146,-0.22847779,122.37607418128732,68717.74381589681,0.2576014683529125,1.6,96.0,149840.94733831022,3282.365338486134,2023-02-06 10:02:00,0.0008050081409534,0.880809851588033,0.1628540713036591,0.8,0.9871398992827618,0.0226611038675821,0.0003110331144489,6.745627339313301e-05,3.628235539e-05,1450000000000000.0,303.264,118.752,0.1152,0.0023510204081632,0.0019199999999999,2.1754659712878897,0.0298591789871006,0.0064758022457407,0.0034831061174399,1.392e+17,climb,0,GTF2035,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,0,0.3682463009351687,74.92047366915511,22.661103867582185,36.28235539,1450000000000000.0,38.5972688409435,840.307910754412,1570.75955955863,0.0805008140953,0.0218804311494541,0.702827011793634,74.9204670258359,32.1212597225795,32.09542264606208,0.08050081409533999,0.8209723890111067,26.183354482761125,1669786763268410.2,25.955914176120025
2,3,407463.0,BAW680,51.3767720885196,-0.60943603515625,148.674444316,2179.32,0.2910500485509938,34610D,272.63675,-1.0898764,-7.764324,143.91549602016053,68621.74381589681,0.272013447342227,1.4586924445272336,87.52154667163401,133964.85063993602,3239.0912880803457,2023-02-06 10:03:00,0.0004281660954553,0.7774093610102212,0.0913532174882022,0.7293462222636168,1.0,0.022030917509786,0.000344152575638,7.463915947444682e-05,3.628235539e-05,1450000000000000.0,276.48056593569186,108.26415323281128,0.1050258560059608,0.0021433848164481,0.0017504309334326,1.9281799750516584,0.0301207657108673,0.0065325346794743,0.0031754878606226,1.2690624267386931e+17,climb,0,GTF2035,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,0,0.4347830031069915,66.98242531996802,22.030917509786047,36.28235539,1450000000000000.0,36.7728124044479,852.763780215552,1593.54177337054,0.0428166095455,0.0222856429296971,0.67657140040675,66.9824816134358,30.359070301049,30.34607713968772,0.042816609545529995,0.8632012881116502,27.312023023611665,1486235552102153.0,24.36811951963103
3,4,407463.0,BAW680,51.306060791015625,-0.5404828045819272,162.564444304,3169.92,0.2938703981449536,34610D,267.07553,-1.7415866,-15.147247,163.98639493168022,68534.22226922518,0.299289810241743,1.14997429134737,68.9984574808422,90521.49169131897,1324.8566051665634,2023-02-06 10:04:00,0.0007881782163265,0.6860654157738573,0.2372964884044472,0.574987145673685,0.8362587714587114,0.0173914488501035,0.0003652456464684,7.903945858968836e-05,2.974072483018422e-05,1548278577978715.8,217.9661271819805,85.35109190380182,0.0827981489770106,0.0016897581423879,0.0013799691496168,1.19998314401411,0.0252013862079166,0.0054536007228094,0.0020520641376448,1.0682883363116323e+17,climb,0,GTF2035,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,0,0.5005505900287472,45.26074584565948,17.391448850103522,29.74072483018422,1548278577978715.8,28.5950145899651,806.837678560887,1480.39889229237,0.0788178216327,0.0198272777837848,0.487789544767232,45.2599924774253,24.6019423385573,24.582566894829405,0.07881782163265001,0.702775407345189,21.139856680817793,1048089724449814.1,15.279266080394091
4,5,407463.0,BAW680,51.216156005859375,-0.469962455130883,203.719999824,3573.78,0.2969574731965488,34610D,265.3328,-3.4606872,-13.384537,187.94475042722624,68465.22381174433,0.3009075039301112,1.3171434429580793,79.02860657748475,115445.57489484789,2766.6224013805254,2023-02-06 10:05:00,0.0004378044364934,0.6514159769489202,0.1455778188183148,0.6585717214790396,1.0,0.0210498323738139,0.0003768424737014,8.172888271778502e-05,3.628235539e-05,1450000000000000.0,249.6513681782743,97.75838633634864,0.0948343278929817,0.0019353944467955,0.0015805721315496,1.6635389211921472,0.0297813355958348,0.0064589197183212,0.0028673439898207,1.145914795373529e+17,climb,0,GTF2035,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,0,0.57556176128667,57.72278744742394,21.049832373813985,36.28235539,1450000000000000.0,36.0463997563532,869.954330087234,1618.78483220843,0.0437804436493,0.0226520300937144,0.668086334696943,57.7226991822026,29.4934419534577,29.480535244337528,0.04378044364934,0.9159764749524313,29.074483438034985,1241564279751947.0,23.78479218734516
5,6,407463.0,BAW680,51.11584679555085,-0.3870391845703125,211.436666484,4411.9800000000005,0.3002508416549977,34610D,262.2295,-8.108622,-13.192659,210.9897815083696,68386.19520516685,0.3242237339986513,1.2125437814051836,72.75262688431101,88551.34895322974,1493.8660535855238,2023-02-06 10:06:00,0.0005908219247747,0.584016359568902,0.2317030593213319,0.6062718907025918,1.0,0.0202406992888136,0.0004052106277017,8.788131428538791e-05,3.628235539e-05,1450000000000000.0,229.82554832753848,89.99499945589272,0.0873031522611732,0.0017816969849219,0.0014550525376862,1.4725640432366014,0.0294801376067431,0.0063935964683076,0.0026396366641726,1.0549130898225098e+17,climb,0,GTF2035,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,0,0.649946886256386,44.27567447661487,20.240699288813687,36.28235539,1450000000000000.0,30.9224344762276,844.669588350648,1547.32084392987,0.0590821924775,0.0209709916702946,0.544192444642074,44.275578449838,25.9497716272961,25.934448986228084,0.05908219247747,0.8366774593612311,24.987030255067964,1089893501529751.4,17.055469568000085
6,7,407463.0,BAW680,51.010345458984375,-0.3004166886613006,233.557777576,4861.56,0.3036278533857169,34610D,260.3927,-10.768379,-12.516543,230.7204182702889,68313.44257828254,0.3343723189626295,1.1533240915033158,69.19944549019895,83431.86730798372,2006.79042629708,2023-02-06 10:07:00,0.0013742284105104,0.5502644086780273,0.5991268083605569,0.5766620457516579,1.0,0.0195709908027381,0.0004207048519754,9.124167233109512e-05,3.628235539e-05,1450000000000000.0,218.60104830353848,85.59971407137611,0.0830393345882387,0.0016946802977191,0.0013839889098039,1.3543017112432636,0.0291125424717362,0.0063138731309102,0.0025107188740663,1.0033919596078848e+17,climb,0,GTF2035,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,0,0.7132287316783155,41.71593365399186,19.570990802738148,36.28235539,1450000000000000.0,30.7594838755487,850.892025141998,1552.26287193113,0.137422841051,0.0209777733372366,0.5403511493661,41.7167166118762,25.7582699879282,25.722920819336956,0.13742284105104002,0.8573214543656893,25.250150858135438,1024922809545076.2,16.500825121894167
7,8,407463.0,BAW680,50.89504953158104,-0.2059173583984375,245.389999788,5463.54,0.3071763582051706,34610D,256.9902,-11.504773,-11.3910265,246.31488009090825,68244.24313279234,0.3388137261966914,1.1092814211972202,66.55688527183321,73700.91885666361,1575.816878423747,2023-02-06 10:08:00,0.0011602780249406,0.5075617624400697,0.6378883929674454,0.5546407105986101,1.0,0.0194448046277503,0.0004374328262709,9.48696037473016e-05,3.628235539e-05,1450000000000000.0,210.2532005737211,82.3308670812577,0.0798682623261998,0.0016299645372693,0.0013311377054366,1.2941856307423938,0.0291141664322477,0.0063142253323934,0.0024148405650841,9.650748364415816e+16,climb,0,GTF2035,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,0,0.7664601333528652,36.85045942833181,19.444804627750383,36.28235539,1450000000000000.0,28.8520943865686,844.014333040966,1529.18594875002,0.116027802494,0.0204007134984243,0.497072996221231,36.8506499046387,24.3654711517626,24.3372331948987,0.11602780249406,0.8343146676307295,24.152291998376768,929412791032086.1,14.52983649219004
8,9,407463.0,BAW680,50.77340853416313,-0.1070404052734375,261.852221996,5935.9800000000005,0.3108280912428153,34610D,253.57764,-12.66357,-11.159067,259.1601364524745,68177.68624752051,0.3410912553063385,1.087528721478396,65.25172328870376,75055.09296702703,1674.6895099516755,2023-02-06 10:09:00,0.0008582385379361,0.4759628928252322,0.6106092663161183,0.543764360739198,1.0,0.0194012847265067,0.0004469170739966,9.692652945003694e-05,3.628235539e-05,1450000000000000.0,206.1301938690152,80.71638170812656,0.0783020679464445,0.0015980013866621,0.001305034465774,1.265967262419372,0.0291621092454238,0.0063246230790082,0.0023674862141706,9.461499876862045e+16,climb,0,GTF2035,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,0,0.8118390286177145,37.52754648351351,19.40128472650673,36.28235539,1450000000000000.0,29.5989071618714,854.210096706472,1552.00941682641,0.0858238537936,0.0208643620712831,0.517242427644518,37.5276011596748,24.790713748034,24.76945564663436,0.08582385379360999,0.8677377414367388,25.519150289827557,925563911068689.8,15.388396460974029
9,10,407463.0,BAW680,50.6448778055482,-0.0031177417652088,273.684444208,6438.900000000001,0.3145941939206925,34610D,249.70541,-13.847687,-10.446267,270.5987496600984,68112.43452423181,0.3416785117708323,1.0681112910954047,64.08667746572428,75988.59445906078,1745.528008869509,2023-02-06 10:10:00,0.0005462531539226,0.4440953957525199,0.5282431191428862,0.5340556455477024,1.0,0.0193233501478676,0.000455902351572,9.887523945062298e-05,3.628235539e-05,1450000000000000.0,202.449814114223,79.27522002510094,0.0769040129588691,0.0015694696522218,0.0012817335493144,1.238369308483647,0.0292172669610612,0.0063365855800183,0.0023252156075757,9.29256823253002e+16,climb,0,GTF2035,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,0,0.8542185437291242,37.99429722953039,19.323350147867604,36.28235538999999,1450000000000000.0,30.1951891488323,863.549201080385,1573.75729917423,0.0546253153923,0.0213193607144661,0.535009021688236,37.9939178445024,25.0949842658842,25.081283535648424,0.05462531539226,0.8968858921871765,26.854650675023848,897692463307058.5,16.281067166681147
