Unnamed: 0.1,Unnamed: 0,index,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,air_pressure,rhi_emissions,fuel_flow_per_engine,thrust_setting,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,nvpm_ei_n,ei_mass_meem,ei_number_meem,ei_nox,nvpm_ei_m,ei_co2,wingspan,time,issr_specific_humidity,issr_rhi,issr_issr,cocip_waypoint,cocip_level,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_width,cocip_depth,cocip_rhi_1,cocip_air_temperature_1,cocip_specific_humidity_1,cocip_altitude_1,cocip_persistent_1,cocip_dT_dz,cocip_ds_dz,cocip_dz_max,cocip_rho_air_1,cocip_iwc_1,cocip_n_ice_per_m_1,cocip_ef,cocip_contrail_age,cocip_global_yearly_mean_rf,cocip_atr20,cocip_sdr_mean,cocip_sdr_min,cocip_sdr_max,cocip_rsr_mean,cocip_rsr_min,cocip_rsr_max,cocip_olr_mean,cocip_olr_min,cocip_olr_max,cocip_rf_sw_mean,cocip_rf_sw_min,cocip_rf_sw_max,cocip_rf_lw_mean,cocip_rf_lw_min,cocip_rf_lw_max,cocip_rf_net_mean,cocip_rf_net_min,cocip_rf_net_max,cocip_cocip,cocip_mean_contrail_altitude,cocip_mean_rhi,cocip_std_rhi,cocip_mean_n_ice_per_m,cocip_std_n_ice_per_m,cocip_mean_r_ice_vol,cocip_mean_width,cocip_mean_depth,cocip_mean_tau_contrail,cocip_mean_tau_cirrus,cocip_max_age,cocip_mean_rf_sw,cocip_mean_rf_lw,cocip_mean_rf_net,cocip_mean_olr,cocip_mean_sdr,cocip_mean_rsr,cocip_contrail_length,cocip_persistent_contrail_length,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_segment_length_km,accf_issr_nox_impact,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_segment_length_km,accf_sac_accf_contrail_cocip
0,0,1,407463.0,BAW680,51.464630126953125,-0.5077465160472912,76.652222156,586.74,0.645554423357526,34610D,281.95166,4.6667576,6.9932947,101.83154530688115,69094.28183586389,0.2367017944886725,1.316429462605376,73.59037823625688,131.6734602258948,1884.485981460828,0.0069390169827408,94472.02900687772,0.8548572645415542,0.6132531519688074,0.7709483131754152,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.3025187023540445,65.8372646782282,16.063333322600858,23.90206031771399,1486909275541936.5,27.2685446483828,799.759827795502,1615.23473453263,0.693901698274,0.0248040947820762,0.658214731302688,65.8367301129474,26.5365350796161,26.353666539937983,0.69390169827408,0.8266393400060431,1530286878109138.0,,,0.0165218832155805,2.491362663896098e-05,3.16,35.8,2023-05-05 09:01:00,0.0069390169827408,0.8548572701796661,0.0,0,944.7202900687772,0.0069390169827408,4.6667576,6.9932947,0.8548572701796661,0.26779065,0.0,1.1672692259751067,863.0167882836694,6244.71057557348,-0.3973546157043629,-0.9176651401129052,5.764320667181607,245.3073219701076,0.9302932303236676,inf,0.0,241.57435770152023,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.006792491,4.156538e-07,5842.6064,0.9056625,-233.81909,0.0,0.0,1.0,-9.486949220042324e-13,8.572104e-12,2.429775e-16,0.0,0.0,0.0,7.479999999999999e-16,1.000952894410562e-13,7.623408611698963e-12,1108.1108920337313,6.24471057557348,9.948499681445723e-12,0.006792491,4.156538e-07,5842.6064,0.9056625,-233.81909,0.0,0.0,0.0,-9.486949220042324e-13,8.572104e-12,2.429775e-16,0.0,0.0,0.0,7.479999999999999e-16,1.000952894410562e-13,7.623408611698963e-12,1108.1108920337313,6.24471057557348,0.0
1,1,2,407463.0,BAW680,51.4423828125,-0.5900697450380221,127.582222112,1165.86,0.6469211983622122,34610D,278.3438,5.4282923,6.635098,129.85429907894198,69020.69145762763,0.2747175624632742,1.599239731818868,92.35999986789663,145.587839679629,3299.1465075255805,0.005722285324243,88080.9851588033,0.8715788776543707,0.7696666655658053,1.0,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.3882601144048275,72.79341702502056,20.519218361768075,36.28235538999999,1450000000000000.0,31.4489082297081,834.261360240294,1705.01675036985,0.572228532424,0.0269179587970502,0.799619865909434,72.7939198398145,29.7058135774046,29.536795605386736,0.5722285324243,0.9946960385886006,1374418309826192.2,32.69865402343733,1887296412284396.5,0.0196856282956222,3.3948505039602364e-05,3.16,35.8,2023-05-05 09:02:00,0.005722285324243,0.8715800894061299,0.0,1,880.8098515880331,0.005722285324243,5.4282923,6.635098,0.8715800894061299,0.35805008,0.0,1.102409787145542,864.8436804053758,7487.371314157589,-0.9834465679946758,-0.181198366161214,5.650160957958109,245.06655505941043,0.91627065569262,inf,0.0,241.03054379882172,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.005598767,4.6753735e-07,11513.14,0.8890303,-235.1024,0.0,0.0,1.0,-9.19881772893125e-13,7.7014315e-12,2.4697683e-16,0.0,0.0,0.0,7.479999999999999e-16,8.915512134312656e-14,6.781549577729527e-12,1108.4163730783098,7.487371314157589,1.2809820463083786e-11,0.005598767,4.6753735e-07,11513.14,0.8890303,-235.1024,0.0,0.0,0.0,-9.19881772893125e-13,7.7014315e-12,2.4697683e-16,0.0,0.0,0.0,7.479999999999999e-16,8.915512134312656e-14,6.781549577729527e-12,1108.4163730783098,7.487371314157589,0.0
2,2,3,407463.0,BAW680,51.3767720885196,-0.60943603515625,148.674444316,2179.32,0.6490198585630795,34610D,271.9006,7.7701063,5.9193482,151.2121214403436,68928.33145775973,0.3011275636996851,1.629822950588912,88.06853389738848,139.664416714121,3225.024504942712,0.0036978146634818,77740.93610102212,0.8386007226937477,0.7339044491449039,1.0,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.4574448214049998,69.83149577210756,20.796499116517587,36.28235539,1450000000000000.0,31.4600708279447,844.575049522303,1736.8004385417,0.369781466348,0.0276877358967251,0.814911475294456,69.8322083570605,29.4322178719873,29.323783953694555,0.36978146634818,1.0,1294762433066746.0,30.36117296370129,1786009993010084.5,0.0211811998220711,3.241370780711922e-05,3.16,35.8,2023-05-05 09:03:00,0.0036978146634818,0.8386005314918799,0.0,2,777.4093610102212,0.0036978146634818,7.7701063,5.9193482,0.8386005314918799,0.4367549,3.2006534e-07,0.9960520844141564,867.6489996708023,9260.126126310186,-0.8537826424343427,0.5206296183255725,5.166332717351144,243.995674620577,0.8284273971313522,inf,0.0,238.5709148318737,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0036190096,4.9569934e-07,21417.906,0.80763733,-236.27284,0.0,0.0,1.0,-8.696310456585064e-13,6.2961897e-12,2.4914765000000004e-16,0.0,0.0,0.0,7.480000000000001e-16,7.15424085278443e-14,5.42655852833208e-12,1109.317283277575,9.260126126310189,1.1240010793900378e-11,0.0036190096,4.9569934e-07,21417.906,0.80763733,-236.27284,0.0,0.0,0.0,-8.696310456585064e-13,6.2961897e-12,2.4914765000000004e-16,0.0,0.0,0.0,7.480000000000001e-16,7.15424085278443e-14,5.42655852833208e-12,1109.317283277575,9.260126126310189,0.0
3,3,4,407463.0,BAW680,51.306060791015625,-0.5404828045819272,162.564444304,3169.92,0.6517876566470916,34610D,265.4678,8.028721,5.8849,178.61473701950462,68840.26292386235,0.3276757579229714,1.10962879488609,70.80755496426966,87.5963844722938,1314.6735763947386,0.0023647591106723,68606.54157738572,0.818449103693371,0.5900629580355805,0.8468928351296465,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.5468504270183401,43.79745599742471,17.14361993681236,30.030234015278083,1543929119420542.0,23.4887395943793,793.663174654004,1590.85917521892,0.236475911067,0.0240228952871509,0.554814397443045,43.7981922361469,23.0952343924922,23.04074857238893,0.23647591106723,0.7994593828052368,1194632304376513.5,29.3191558104622,1675722035932389.0,0.0169688668516632,1.921425278642459e-05,3.16,35.8,2023-05-05 09:04:00,0.0023647591106723,0.8184495491697165,0.0,3,686.0654157738572,0.0023647591106723,8.028721,5.8849,0.8184495491697165,0.4925849,2.0799654e-07,0.9003183986903336,871.3488606989903,11144.044635122638,-0.8974772760506166,0.441060697606084,4.733901457027638,242.9604191717429,0.7594212462317229,inf,0.0,236.78994374867665,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0023149743,6.543092e-07,31087.982,0.7696851,-236.85744,0.0,0.0,1.0,-8.205332367920802e-13,5.0822853e-12,2.6137385000000004e-16,0.0,0.0,0.0,7.480000000000001e-16,5.64121515264765e-14,4.261752129167715e-12,1110.2882301786276,11.144044635122638,4.814708486607634e-12,0.0023149743,6.543092e-07,31087.982,0.7696851,-236.85744,0.0,0.0,0.0,-8.205332367920802e-13,5.0822853e-12,2.6137385000000004e-16,0.0,0.0,0.0,7.480000000000001e-16,5.64121515264765e-14,4.261752129167715e-12,1110.2882301786276,11.144044635122638,0.0
4,4,5,407463.0,BAW680,51.216156005859375,-0.469962455130883,203.719999824,3573.78,0.6546833699845718,34610D,262.84833,8.672045,6.1959424,199.78514427380043,68769.45536889808,0.3499785783243335,1.48165510574126,81.14525294870174,111.68808169634,2725.967335894494,0.0018678268750855,65141.597694892014,0.7731614806719522,0.6762104412391812,1.0,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.6147064931216591,55.843644214480406,20.806074053412978,36.28235539,1450000000000000.0,29.0989259203683,840.720672601446,1716.10246521895,0.186782687509,0.0270114368577452,0.74082755287063,55.84404084817,27.4264400213944,27.37530768598478,0.18678268750855,1.0,1148384095107464.8,30.537536511965943,1610813225356346.5,0.0211426436786214,2.8749201829242045e-05,3.16,35.8,2023-05-05 09:05:00,0.0018678268750855,0.7731618059714369,0.0,4,651.4159769489202,0.0018678268750855,8.672045,6.1959424,0.7731618059714369,0.57023114,3.6160847e-07,0.8633673736444798,875.2197239213523,12591.815562360232,-0.88754484275893,0.4607213388720196,4.647050390559218,242.74243390126185,0.6992374127259415,inf,0.0,236.00692773662465,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0018303148,6.0571335e-07,35009.355,0.7359955,-238.04,0.0,0.0,1.0000000000000002,-8.008077017591428e-13,4.6341355e-12,2.5762788000000004e-16,0.0,0.0,0.0,7.480000000000002e-16,5.0838888300854175e-14,3.833327723952565e-12,1111.5198619930366,12.591815562360232,7.204993826515068e-12,0.0018303148,6.0571335e-07,35009.355,0.7359955,-238.04,0.0,0.0,0.0,-8.008077017591428e-13,4.6341355e-12,2.5762788000000004e-16,0.0,0.0,0.0,7.480000000000002e-16,5.0838888300854175e-14,3.833327723952565e-12,1111.5198619930366,12.591815562360232,0.0
5,5,6,407463.0,BAW680,51.11584679555085,-0.3870391845703125,211.436666484,4411.9800000000005,0.6577293261646363,34610D,256.96146,10.062511,6.499926,220.0488140404532,68688.31011594938,0.3624384035884825,1.085304613447378,71.44543461143817,76.921592087397,1460.0834327599457,0.0011948289353294,58401.6359568902,0.7578570621770111,0.5953786217619847,0.9176371836402354,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.6847660901349644,38.460685668612335,18.70085575121456,34.69911685136016,1473785878880785.5,23.0121161191816,800.291624661483,1597.41547156259,0.119482893533,0.0240297284633144,0.542652306723689,38.4607960436985,22.5825401045269,22.55559003290216,0.11948289353294,0.8290306385921583,1120806213108033.4,29.86041696521797,1519865148970327.2,0.0175365334964681,1.826569844828188e-05,3.16,35.8,2023-05-05 09:06:00,0.0011948289353294,0.7578569239359828,0.0,5,584.016359568902,0.0011948289353294,10.062511,6.499926,0.7578569239359828,0.6341614,8.195311e-07,0.7917707803640369,879.291438002765,13209.052642457104,-0.8883960114481767,0.4590779093388955,4.245195893348502,241.68428443686324,0.6468671326118673,inf,0.0,234.58158264500884,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0011703683,6.12544e-07,43226.15,0.7229481,-239.64519,0.0,0.0,1.0,-7.591047277332103e-13,3.768933e-12,2.5815444e-16,0.0,0.0,0.0,7.48e-16,4.0133922962427876e-14,3.0098283480687697e-12,1112.8887347119476,13.209052642457104,3.437069998066819e-12,0.0011703683,6.12544e-07,43226.15,0.7229481,-239.64519,0.0,0.0,0.0,-7.591047277332103e-13,3.768933e-12,2.5815444e-16,0.0,0.0,0.0,7.48e-16,4.0133922962427876e-14,3.0098283480687697e-12,1112.8887347119476,13.209052642457104,0.0
6,6,7,407463.0,BAW680,51.010345458984375,-0.3004166886613006,233.557777576,4861.56,0.6608290388108642,34610D,253.84204,11.00037,6.371188,237.3290288080861,68616.86468133795,0.3782560972208386,1.190604772230558,76.18571752794958,81.6552538000158,1952.3224424842308,0.0009209860273574,55026.440867802725,0.7386412897275165,0.6348809793995798,1.0,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.7430641195873594,40.82770853164188,20.78380303730236,36.28235538999999,1450000000000000.0,24.6338879523027,816.509414887799,1638.66094304687,0.0920986027357,0.0249768155641243,0.595302386115279,40.8276269000079,23.8341987427071,23.81226797662094,0.09209860273574,0.9061125890645126,1095824301060838.0,30.72045751855377,1456422730198525.2,0.0188656761202662,2.1322462677146934e-05,3.16,35.8,2023-05-05 09:07:00,0.0009209860273574,0.73864110493929,0.0,6,550.2644086780273,0.0009209860273574,11.00037,6.371188,0.73864110493929,0.66494715,1.100775e-06,0.7551797272919163,883.4350140900611,14441.476617147116,-0.8882530904374696,0.4593543809830104,4.100645934056946,241.2818609928547,0.611366745970076,inf,0.0,233.9372119085185,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00090273423,6.040577e-07,47566.18,0.72059524,-242.07198,0.0,0.0,1.0,-7.371874323645394e-13,3.3532686e-12,2.575003e-16,0.0,0.0,0.0,7.48e-16,3.501455448865643e-14,2.6160810924470697e-12,1114.3284619412846,14.441476617147115,3.5256763763934466e-12,0.00090273423,6.040577e-07,47566.18,0.72059524,-242.07198,0.0,0.0,0.0,-7.371874323645394e-13,3.3532686e-12,2.575003e-16,0.0,0.0,0.0,7.48e-16,3.501455448865643e-14,2.6160810924470697e-12,1114.3284619412846,14.441476617147115,0.0
7,7,8,407463.0,BAW680,50.89504953158104,-0.2059173583984375,245.389999788,5463.54,0.6640423382204919,34610D,249.49815,12.035559,5.8081293,250.71700762997,68540.67896380999,0.3872263868230245,1.09873537894939,70.37520760629256,73.022331590208,1528.684373059068,0.0006619864598187,50756.176244006965,0.7467758323764443,0.5864600633857714,0.9596993494819912,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.7917851009784541,36.51166721042165,19.46274354069348,36.28235539,1450000000000000.0,23.0923030287813,808.153482527475,1614.72518735989,0.0661986459819,0.0243849983894616,0.549367689474695,36.511165795104,22.5289204739958,22.51401649991672,0.06619864598187,0.8647822668739642,1084939281204612.6,30.315646735148523,1393138500441819.5,0.0180999293019405,1.867446551780104e-05,3.16,35.8,2023-05-05 09:08:00,0.0006619864598187,0.7467758805614338,0.0,7,507.5617624400696,0.0006619864598187,12.035559,5.8081293,0.7467758805614338,0.5122722,1.2450985e-06,0.7087025832916284,887.7304367320588,15212.01478155494,-0.8893115744758581,0.4573017860267661,3.836933476517074,240.51417695675903,0.5921300217845972,inf,0.0,233.08643024132505,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0006476171,5.4625815e-07,53459.844,0.72470796,-243.79672,0.0,0.0,1.0,-7.072836495331856e-13,2.8592998e-12,2.530449e-16,0.0,0.0,0.0,7.479999999999999e-16,2.8977255831554993e-14,2.152016225369671e-12,1115.8929440429758,15.21201478155494,2.5678330201767758e-12,0.0006476171,5.4625815e-07,53459.844,0.72470796,-243.79672,0.0,0.0,0.0,-7.072836495331856e-13,2.8592998e-12,2.530449e-16,0.0,0.0,0.0,7.479999999999999e-16,2.8977255831554993e-14,2.152016225369671e-12,1115.8929440429758,15.21201478155494,0.0
8,8,9,407463.0,BAW680,50.77340853416313,-0.1070404052734375,261.852221996,5935.9800000000005,0.6673216620890841,34610D,245.79865,12.838692,5.345521,262.0571586264794,68470.3037562037,0.3977294909593878,1.13887454584161,72.63113056243405,74.3787870610968,1622.3321923700485,0.0005238339486255,47596.28928252322,0.8031555214340124,0.6052594213536171,1.0,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.8338030340010302,37.188663308242376,20.55496909831133,36.28235539,1450000000000000.0,23.6200606463673,814.362474106126,1634.2969729222,0.0523833948626,0.0248769120907627,0.569437272920805,37.1893935305484,22.8901911476484,22.87820676626056,0.05238339486255,0.8954694671374821,1061319940483360.0,30.256635576007767,1341181231794020.2,0.0186419745771285,2.002526845696657e-05,3.16,35.8,2023-05-05 09:09:00,0.0005238339486255,0.8031559783153362,0.0,8,475.96289282523225,0.0005238339486255,12.838692,5.345521,0.8031559783153362,0.31492022,1.0651268e-06,0.6745840228450728,892.114121738261,16064.88552763422,-0.8897878447223443,0.4563743982569195,3.6603717979513903,239.9736425910598,0.6139416620280951,inf,0.0,232.74121017395075,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0005116802,3.7615922e-07,58099.367,0.7791937,-245.68782,0.0,0.0,0.9999999999999998,-6.837644385288312e-13,2.505431e-12,2.399331e-16,0.0,0.0,0.0,7.48e-16,2.4669596879701366e-14,1.8216664441893848e-12,1117.5425977858729,16.06488552763422,2.320533843678727e-12,0.0005116802,3.7615922e-07,58099.367,0.7791937,-245.68782,0.0,0.0,0.0,-6.837644385288312e-13,2.505431e-12,2.399331e-16,0.0,0.0,0.0,7.48e-16,2.4669596879701366e-14,1.8216664441893848e-12,1117.5425977858729,16.06488552763422,0.0
9,9,10,407463.0,BAW680,50.6448778055482,-0.0031177417652088,273.684444208,6438.900000000001,0.6706752214529463,34610D,241.74983,13.357553,4.9336004,271.7385514519996,68397.67262564127,0.4066234468316423,1.168731524197854,72.47738939819261,75.255346315675,1688.8196727902714,0.0003966605367912,44409.53957525199,0.8629570843327741,0.6039782449849385,1.0,climb,0,GTF,0,43031,1.237,3.16,3.16,0,0.8718170628368631,37.62819789805397,20.441781208057417,36.28235539,1450000000000000.0,23.9190609016603,818.505878689549,1651.78922024608,0.0396660536791,0.0253590112648161,0.584365762098927,37.6276731578375,23.0437123906993,23.03457548362321,0.0396660536791199,0.9160396636801234,1058078835536949.2,29.8169017532564,1291872472188838.5,0.0190170604983195,2.117774319312122e-05,3.16,35.8,2023-05-05 09:10:00,0.0003966605367912,0.8629568990101506,0.0,9,444.0953957525199,0.0003966605367912,13.357553,4.9336004,0.8629568990101506,0.24142168,1.2861042e-06,0.6399595760146765,896.5970460014751,16696.494033359326,-0.8904087613594637,0.4551617709060216,3.466107050800308,239.35156720800563,0.6337303402154368,inf,0.0,232.3094300829501,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00038773887,2.4067756e-07,62943.25,0.8338167,-247.4032,0.0,0.0,1.0000000000000002,-6.59152659205417e-13,2.1565189e-12,2.2948973e-16,0.0,0.0,0.0,7.48e-16,2.0443250031104408e-14,1.4973661766790433e-12,1119.27673868583,16.696494033359325,1.996813093333501e-12,0.00038773887,2.4067756e-07,62943.25,0.8338167,-247.4032,0.0,0.0,0.0,-6.59152659205417e-13,2.1565189e-12,2.2948973e-16,0.0,0.0,0.0,7.48e-16,2.0443250031104408e-14,1.4973661766790433e-12,1119.27673868583,16.696494033359325,0.0
