Unnamed: 0,index,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,time,specific_humidity,air_pressure,rhi,fuel_flow_per_engine,thrust_setting,nox_ei,co_ei,hc_ei,nvpm_ei_m,nvpm_ei_n,co2,h2o,so2,sulphates,oc,nox,co,hc,nvpm_mass,nvpm_number,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,ei_nox_p3t3,ei_nvpm_number_p3t3_meem,ei_nvpm_mass_p3t3_meem
0,1,407463.0,BAW680,51.464630126953125,-0.5077465160472912,76.652222156,586.74,0.645554423357526,34610D,281.95166,4.6667576,6.9932947,101.83154530688115,69094.28183586389,0.253474845007691,1.2265063039376147,73.59037823625688,131674.5293564564,1884.485981460828,2023-05-05 09:01:00,0.0069390169827408,0.9447202900687772,0.8548572645415542,0.6132531519688074,0.5448397972971133,0.0164763309423826,0.0008997028333906,0.0001999339629757,0.0001143277289733,1984319314154385.2,232.47200484833547,91.03129787824976,0.0883084538835082,0.0018022133445613,0.0014718075647251,1.2124994259956838,0.0662094718094523,0.014713215957656,0.0084134208180386,1.460268088701311e+17,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.3025187023540445,65.8372646782282,16.476330942382674,114.3277289733175,1984319314154386.0,21.9926961218414,742.793057747704,1420.0368969385,0.693901698274,0.0197748354796374,0.829671281999577,65.8370652065625,41.9559132541915,41.6667867135698,0.69390169827408,0.7624972799943174,20.893216200806773,1258113988976297.8,43.63541949472969
1,2,407463.0,BAW680,51.4423828125,-0.5900697450380221,127.582222112,1165.86,0.6469211983622122,34610D,278.3438,5.4282923,6.635098,129.85429907894198,69020.69145762763,0.2649926280372242,1.5393333311316106,92.35999986789663,145586.83405004113,3299.1465075255805,2023-05-05 09:02:00,0.005722285324243,0.880809851588033,0.8715788776543707,0.7696666655658053,0.706713780918728,0.0203136193516948,0.0009261288752967,0.0002058064167326,0.0001692253322804,1680468215534956.8,291.76523958268547,114.24931983658814,0.1108319998414759,0.0022618775477852,0.0018471999973579,1.8761658806390424,0.0855372628000604,0.0190082806222356,0.0156296516670648,1.552080441648131e+17,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.3882601144048275,72.79341702502056,20.31361935169489,169.22533228042568,1680468215534956.8,24.8950400435888,772.965616340282,1493.14715320432,0.572228532424,0.0213106288833142,0.98481149012702,72.7930216983791,46.2122209306599,45.949286005690105,0.5722285324243,0.9067653901858762,25.927723364404905,1226608504207197.5,54.75217769216626
2,3,407463.0,BAW680,51.3767720885196,-0.60943603515625,148.674444316,2179.32,0.6490198585630795,34610D,271.9006,7.7701063,5.9193482,151.2121214403436,68928.33145775973,0.2725162408447612,1.467808898289808,88.06853389738848,139662.99154421513,3225.024504942712,2023-05-05 09:03:00,0.0036978146634818,0.7774093610102212,0.8386007226937477,0.7339044491449039,0.706713780918728,0.0205881218013606,0.000973694713498,0.0002163766029995,0.0001560948473168,1449702533937270.0,278.20849858185017,108.94077643106957,0.1056822406768661,0.0021567804219768,0.0017613706779477,1.8131657027466943,0.0857518658814109,0.019055970195869,0.0137470443521333,1.2767317675118445e+17,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.4574448214049998,69.83149577210756,20.588121801360664,156.09484731686845,1449702533937270.0,24.6202019590737,779.983344366704,1520.17849366871,0.369781466348,0.0219666078109741,0.994862417687008,69.8319611025628,45.289760997599,45.12290485835488,0.36978146634818,0.9426005211310527,27.865397043883572,1108929847305874.0,56.27665059779795
3,4,407463.0,BAW680,51.306060791015625,-0.5404828045819272,162.564444304,3169.92,0.6517876566470916,34610D,265.4678,8.028721,5.8849,178.61473701950462,68840.26292386235,0.3073890291102008,1.180125916071161,70.80755496426966,87594.9119948494,1314.6735763947386,2023-05-05 09:04:00,0.0023647591106723,0.6860654157738573,0.818449103693371,0.5900629580355805,0.5985108375474535,0.0181300994080422,0.0010220644673381,0.0002271254371862,0.0001078451463722,1388503202904425.0,223.68106613212785,87.58894549080158,0.0849690659571235,0.0017340625705535,0.0014161510992853,1.2837480103426209,0.0723698859480709,0.0160821968773491,0.0076362511293797,9.831651685771954e+16,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.5468504270183401,43.79745599742471,18.1300994080422,107.84514637220636,1388503202904425.0,18.1794788802,727.753490168301,1396.75816028909,0.236475911067,0.0193421588254481,0.67829119379038,43.7978153144813,35.0680190309454,34.98528725417161,0.23647591106723,0.6990224990161232,19.97618880227097,1016997346926901.8,33.59872693814382
4,5,407463.0,BAW680,51.216156005859375,-0.469962455130883,203.719999824,3573.78,0.6546833699845718,34610D,262.84833,8.672045,6.1959424,199.78514427380043,68769.45536889808,0.3117911383932304,1.3524208824783623,81.14525294870174,111687.28842896082,2725.967335894494,2023-05-05 09:05:00,0.0018678268750855,0.6514159769489202,0.7731614806719522,0.6762104412391812,0.706713780918728,0.0205976007990485,0.0010428542921844,0.0002317453982632,0.0001390032697851,1276618545398265.0,256.3378540649488,100.37667789754406,0.097374303538442,0.001987230684458,0.001622905058974,1.6713975269751793,0.0846226753279441,0.0188050389617653,0.0112794554874132,1.0359153478534589e+17,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.6147064931216591,55.843644214480406,20.5976007990486,139.00326978515747,1276618545398265.0,22.25393207258,771.67113233418,1503.77779633021,0.186782687509,0.0216115779687244,0.890550610403515,55.844066383132,41.2071072131934,41.13028296529096,0.18678268750855,0.9002439842180965,26.78804164418921,1124491657731774.0,49.046526781764236
5,6,407463.0,BAW680,51.11584679555085,-0.3870391845703125,211.436666484,4411.9800000000005,0.6577293261646363,34610D,256.96146,10.062511,6.499926,220.0488140404532,68688.31011594938,0.3295819054120578,1.1907572435239695,71.44543461143817,76921.37133722467,1460.0834327599457,2023-05-05 09:06:00,0.0011948289353294,0.584016359568902,0.7578570621770111,0.5953786217619847,0.6485068435620038,0.0191693202440294,0.001081789772752,0.0002403977272782,0.0001122056928685,1209005428502749.8,225.6961279375332,88.37800261434903,0.0857345215337258,0.0017496841129331,0.0014289086922287,1.3695604160405208,0.0772889404724782,0.0171753201049951,0.0080165844928707,8.637791828696699e+16,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.6847660901349644,38.460685668612335,19.169320244029404,112.20569286854476,1209005428502749.8,17.454895817937,729.195368141711,1400.62949259664,0.119482893533,0.019403974873161,0.652672010117311,38.4602318579412,33.63599542793,33.595854129309195,0.11948289353294,0.7047803682121502,20.319007420861446,961589580889377.0,31.923633697674415
6,7,407463.0,BAW680,51.010345458984375,-0.3004166886613006,233.557777576,4861.56,0.6608290388108642,34610D,253.84204,11.00037,6.371188,237.3290288080861,68616.86468133795,0.3349564951961559,1.2697619587991595,76.18571752794958,81655.41706328376,1952.3224424842308,2023-05-05 09:07:00,0.0009209860273574,0.5502644086780273,0.7386412897275165,0.6348809793995798,0.7124271603188831,0.0205085625315453,0.0011041012245442,0.0002453558276765,0.0001278735265782,1133957706857288.2,240.6706816707927,94.24173258207364,0.0914228610335394,0.0018657726741538,0.0015237143505589,1.5624595519326077,0.0841167440153927,0.0186926097811983,0.0097421363751963,8.639138154327082e+16,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.7430641195873594,40.82770853164188,20.50856253154539,127.87352657829052,1133957706857288.2,18.5435942644274,744.590737974636,1437.29595937788,0.0920986027357,0.0201615131456249,0.710345537870158,40.8275890525865,35.2327492852045,35.200330272864825,0.09209860273574,0.7705706771289962,22.45816318119178,1036161231574685.8,36.134036074701
7,8,407463.0,BAW680,50.89504953158104,-0.2059173583984375,245.389999788,5463.54,0.6640423382204919,34610D,249.49815,12.035559,5.8081293,250.71700762997,68540.67896380999,0.3387858857020743,1.1729201267715428,70.37520760629256,73023.3344208433,1528.684373059068,2023-05-05 09:08:00,0.0006619864598187,0.5075617624400697,0.7467758323764443,0.5864600633857714,0.6782327558176616,0.0195914254624848,0.0011325452311701,0.0002516767180378,0.0001120844493624,1087374654027362.4,222.3152808282782,87.05413180898391,0.084450249127551,0.0017234744719908,0.0014075041521258,1.378750634225578,0.0797031057671145,0.017711801281581,0.0078879663933223,7.65242170229962e+16,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.7917851009784541,36.51166721042165,19.591425462484853,112.08444936249197,1087374654027362.6,17.3127704905668,735.06403226962,1416.59902868777,0.0661986459819,0.0197471603401086,0.654855051561532,36.5120079452692,33.1619858391209,33.14004757634761,0.06619864598187,0.7287734833165324,21.068492002710467,956945382579263.8,32.38747203564054
8,9,407463.0,BAW680,50.77340853416313,-0.1070404052734375,261.852221996,5935.9800000000005,0.6673216620890841,34610D,245.79865,12.838692,5.345521,262.0571586264794,68470.3037562037,0.3412787473564698,1.2105188427072342,72.63113056243405,74377.32661648474,1622.3321923700485,2023-05-05 09:09:00,0.0005238339486255,0.4759628928252322,0.8031555214340124,0.6052594213536171,0.7149515772108825,0.020292813594717,0.0011511176875717,0.0002558039305715,0.000119762603749,1014034047501922.8,229.4417414467292,89.84470850573094,0.0871573566749208,0.0017787215647943,0.0014526226112486,1.4738899936770289,0.0836069790587531,0.0185793286797229,0.0086984933093947,7.365043929886562e+16,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.8338030340010302,37.188663308242376,20.29281359471702,119.76260374905593,1014034047501922.8,17.6411594334439,741.264895330229,1434.99383704327,0.0523833948626,0.0201694264828154,0.676647446641095,37.1881997462446,33.5481748684131,33.53061039636935,0.05238339486255,0.7557031748341592,21.921262662409536,991779693056632.1,34.236555891652735
9,10,407463.0,BAW680,50.6448778055482,-0.0031177417652088,273.684444208,6438.900000000001,0.6706752214529463,34610D,241.74983,13.357553,4.9336004,271.7385514519996,68397.67262564127,0.3421592526289174,1.207956489969877,72.47738939819261,75256.39579610794,1688.8196727902714,2023-05-05 09:10:00,0.0003966605367912,0.4440953957525199,0.8629570843327741,0.6039782449849385,0.7272343758408448,0.0204480738055642,0.0011695389211551,0.0002598975380344,0.0001201812958809,949128148067890.4,228.95607310889045,89.65453068556427,0.0869728672778311,0.0017749564750577,0.0014495477879638,1.482023007648864,0.0847651278049041,0.0188366950677564,0.0087104265799459,6.879033037630192e+16,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.8718170628368631,37.62819789805397,20.448073805564267,120.18129588098994,949128148067890.4,17.840194681401,745.976236390718,1452.07407614771,0.0396660536791,0.0205923827980666,0.69435747936336,37.6277519036004,33.7191419843143,33.70577223460676,0.0396660536791199,0.7768444771721629,22.577909831102023,1027274035019290.9,35.97279987383979
10,11,407463.0,BAW680,50.51119995117188,0.1042978387129934,281.401110868,6964.68,0.6740803783546541,34610D,237.16687,13.460658,5.20451,279.470466106158,68325.19523624307,0.3457781570228891,1.1804191781789797,70.82515069073877,70335.89961212887,1389.0945825280296,2023-05-05 09:11:00,0.0002785159789882,0.4126494385678997,0.9206665113453344,0.5902095890894897,0.7196608642569626,0.0202100661916135,0.0011833615726094,0.0002629692383576,0.0001154685969162,887857431747339.4,223.7366510320437,87.61071140444386,0.0849901808288865,0.0017344934863038,0.0014165030138147,1.4313809834908324,0.0838117617016944,0.0186248359337098,0.00817808077664,6.288263639539762e+16,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.905244988250254,35.167949806064435,20.21006619161352,115.46859691622898,887857431747339.4,17.0199826628433,738.042263825276,1437.31049408366,0.0278515978988,0.0203271544963936,0.657521037344137,35.1683365931947,32.3469296925348,32.33792306423412,0.0278515978988199,0.7415205736074111,21.436216166824362,984959908695440.6,33.65670425343621
