,Unnamed: 0,index,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,air_pressure,rhi_emissions,fuel_flow_per_engine,thrust_setting,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,W3_no_water_injection,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,nvpm_ei_n,ei_mass_meem,ei_number_meem,ei_nox,nvpm_ei_m,ei_co2,wingspan,time,issr_specific_humidity,issr_rhi,issr_issr,cocip_level,cocip_waypoint,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_ef,cocip_persistent_1,cocip_cocip,cocip_contrail_age,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_segment_length_km,accf_issr_nox_impact,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_segment_length_km
0,0,1,407463.0,BAW680,51.464630126953125,-0.5077465160472912,76.652222156,586.74,0.6343731076556208,34610D,282.42743,7.1196146,-8.090484,98.52154588490735,68215.25344250306,0.28031278898239276,0.96015901233825,65.44980005346315,120.4767642485346,1886.583987603885,0.0065368521047742,94472.02900687772,0.7763177668685586,0.5454150004455263,0.6892456901549766,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,25.451997613668343,3.6514236978786334,0.2924387875843314,60.238666072009465,15.354359633103696,20.344252891514746,1318979857903181.0,31.9139918295211,826.317687951037,1304.87150697018,0.653685210477,0.0227320321431101,0.480079506169125,60.2383821242673,21.1190756350674,20.981919927626294,18.05640007391043,0.7780782954953033,721976754042350.2,,,0.000996635153603141,9.251508211082101e-06,2.8440000000000003,35.8,2023-08-06 09:01:00,0.0065368521047742935,0.7763180737812528,0.0,944.7202900687771,0,0.0065368521047742935,7.1196146,-8.090484,0.7763180737812528,0.07496202,0.0,1.1653028741953162,838.78527588419,6244.71057557348,-0.3973546157043629,-0.9176651401129052,6.62662162046708,247.00037426939792,0.8486691984640886,inf,0.0,241.6983892527509,0.0,0.0,0.0,0 days,0.006390698,1.108158e-07,6036.986,0.830631,-262.89627,0.0,0.0,0.9999999999999999,-9.53047453057578e-13,8.63176e-12,2.1961461e-16,0.0,0.0,0.0,7.479999999999999e-16,1.0079087815954397e-13,7.67871258066921e-12,1123.559670247634,6.24471057557348,4.408786078888922e-13,0.006390698,1.108158e-07,6036.986,0.830631,-262.89627,0.0,0.0,0.0,-9.53047453057578e-13,8.63176e-12,2.1961461e-16,0.0,0.0,0.0,7.479999999999999e-16,1.0079087815954397e-13,7.67871258066921e-12,1123.559670247634,6.24471057557348
1,1,2,407463.0,BAW680,51.4423828125,-0.5900697450380221,127.582222112,1165.86,0.6357713034379028,34610D,278.49182,6.711345,-8.240592,115.67493387846038,68149.8036424496,0.2991371469516761,1.359715491466266,92.75032973031932,155.069922616076,3303.4435348908364,0.0056532289791307,88080.9851588033,0.8510248543110456,0.7729194144193277,1.0,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,24.625967997602125,3.5546789637171288,0.3457723371574079,77.53539848186503,20.52814412769885,36.28235539,1450000000000000.0,40.0358848627194,877.076579360867,1477.3309312995,0.565322897913,0.0264803677155409,0.679857745733133,77.534961308038,25.6740296447672,25.52970438013677,14.489020997930336,1.0,1003649158011180.0,20.05180122877721,1482690726916924.0,0.0018601111316351904,2.1427415971875316e-05,2.8440000000000003,35.8,2023-08-06 09:02:00,0.00565322897913071,0.8510251905293031,0.0,880.8098515880331,1,0.00565322897913071,6.711345,-8.240592,0.8510251905293031,0.07939026,0.0,1.1018238500192978,840.6341842908331,7487.371314157589,-0.9834465679946758,-0.18119836616121401,6.339464321146985,246.45949200932583,0.895934907288372,inf,0.0,241.96175872341735,0.0,0.0,0.0,0 days,0.0055265855,2.623045e-07,11720.369,0.86895865,-263.1313,0.0,0.0,1.0,-9.238533967280108e-13,7.708753e-12,2.311568e-16,0.0,0.0,0.0,7.479999999999999e-16,8.918285179532713e-14,6.784899614458723e-12,1123.856531700756,7.487371314157589,1.0296310104174758e-12,0.0055265855,2.623045e-07,11720.369,0.86895865,-263.1313,0.0,0.0,0.0,-9.238533967280108e-13,7.708753e-12,2.311568e-16,0.0,0.0,0.0,7.479999999999999e-16,8.918285179532713e-14,6.784899614458723e-12,1123.856531700756,7.487371314157589
2,2,3,407463.0,BAW680,51.3767720885196,-0.60943603515625,148.674444316,2179.32,0.637896521845283,34610D,272.46924,7.969742,-9.698336,137.47282851558884,68057.05331271928,0.32693699097776685,1.3541578605047,88.0151099183943,142.0250415920228,3241.046615625491,0.0038628089479299,77740.93610102212,0.8356646790541091,0.7334592493199525,1.0,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,18.714602689096434,2.734899468640069,0.4154467280699448,71.01245749469358,20.66006676307036,36.28235539,1450000000000000.0,38.4371560189932,879.375101445258,1545.49046576468,0.386280894793,0.0272575641726507,0.67707893025235,71.0125207960114,24.8400380152717,24.744454913420487,11.438856020045638,1.0,994620329140753.6,18.34484055158224,1364856352677165.8,0.0029215546499618767,2.123465491548298e-05,2.8440000000000003,35.8,2023-08-06 09:03:00,0.0038628089479299786,0.835664656235988,0.0,777.4093610102212,2,0.0038628089479299786,7.969742,-9.698336,0.835664656235988,0.06276253,9.4485705e-07,0.9939733357918116,843.444382851474,9260.126126310186,-0.8537826424343427,0.5206296183255725,5.81740811610604,245.41784672229852,0.8300912503905895,inf,0.0,239.93844444695432,0.0,0.0,0.0,0 days,0.0037802616,4.929254e-07,21637.025,0.810564,-263.60345,0.0,0.0,0.9999999999999999,-8.729892253517193e-13,6.3581744e-12,2.4893382e-16,0.0,0.0,0.0,7.480000000000001e-16,7.230434289537893e-14,5.485185312934263e-12,1124.7320214099634,9.260126126310187,1.302044611106906e-12,0.0037802616,4.929254e-07,21637.025,0.810564,-263.60345,0.0,0.0,0.0,-8.729892253517193e-13,6.3581744e-12,2.4893382e-16,0.0,0.0,0.0,7.480000000000001e-16,7.230434289537893e-14,5.485185312934263e-12,1124.7320214099634,9.260126126310187
3,3,4,407463.0,BAW680,51.306060791015625,-0.5404828045819272,162.564444304,3169.92,0.6407141333121325,34610D,267.56885,10.0332985,-10.53867,162.7800073014066,67969.03820280088,0.37925114010793654,0.837698291414292,65.36708837056136,86.0720007651366,1326.139090250674,0.0021293601633544,68606.54157738572,0.6144513006920426,0.5447257364213447,0.7971633392873002,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,22.478334433143697,3.32388569509106,0.4964099713211157,43.03663941492305,16.54496684790272,27.04394784852733,1588793768260332.0,28.3081306251075,829.344924023238,1293.08369045548,0.212936016335,0.0223261011336029,0.418849145707146,43.0360003825683,18.7605145744296,18.72065156475557,17.96811768612717,0.7905344517868621,587500535596286.9,17.339258749936956,1289480487634874.5,0.0010615924034195142,7.60697842859127e-06,2.8440000000000003,35.8,2023-08-06 09:04:00,0.0021293601633544496,0.6144514699585987,0.0,686.0654157738572,3,0.0021293601633544496,10.0332985,-10.53867,0.6144514699585987,0.010068857,3.0767362e-07,0.8932487641960033,847.1700839936008,11144.044635122638,-0.8974772760506166,0.441060697606084,5.558241453073532,244.86953547990205,0.5819534819135179,inf,0.0,237.04687250865663,0.0,0.0,0.0,0 days,0.0020852266,5.7742164e-07,31346.793,0.57709587,-264.03134,0.0,0.0,1.0,-8.231485164028196e-13,5.31378e-12,2.5544708e-16,0.0,0.0,0.0,7.480000000000001e-16,5.938165552106283e-14,4.490631418527657e-12,1125.6755716336731,11.144044635122638,2.396095330035619e-13,0.0020852266,5.7742164e-07,31346.793,0.57709587,-264.03134,0.0,0.0,0.0,-8.231485164028196e-13,5.31378e-12,2.5544708e-16,0.0,0.0,0.0,7.480000000000001e-16,5.938165552106283e-14,4.490631418527657e-12,1125.6755716336731,11.144044635122638
4,4,5,407463.0,BAW680,51.216156005859375,-0.469962455130883,203.719999824,3573.78,0.6436509197045164,34610D,265.35483,11.017514,-10.869768,183.3412043128889,67903.67111443031,0.38850669313030645,1.184516545458252,79.2577746808189,110.6949973126362,2755.283947644168,0.0015671641578906,65141.597694892014,0.5201080062592395,0.6604814556734908,1.0,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,19.397322706247035,2.8791996170327856,0.5614405706812294,55.3472196326023,20.6001376256624,36.28235539,1450000000000000.0,34.9338837898758,877.110861892677,1490.28516205025,0.156716415789,0.0262060019633746,0.592258272729126,55.3474986563181,22.6001002959881,22.56473764791408,12.916446495340608,1.0,813172634999358.1,18.309701166139227,1301186032969515.0,0.002371511869715747,1.736083587376764e-05,2.8440000000000003,35.8,2023-08-06 09:05:00,0.0015671641578906784,0.5201086200895721,0.0,651.4159769489202,4,0.0015671641578906784,11.017514,-10.869768,0.5201086200895721,0.0004639915,1.3567237e-08,0.8552121411882253,851.0533631414569,12591.815562360232,-0.88754484275893,0.4607213388720196,5.354812230036952,244.4230174052108,0.4820645803947106,inf,0.0,235.97099775642013,0.0,0.0,0.0,0 days,0.001536772,4.3371915e-07,35293.21,0.49292782,-264.64087,0.0,0.0,1.0000000000000002,-8.030694271234982e-13,4.898557e-12,2.4437e-16,0.0,0.0,0.0,7.480000000000002e-16,5.42337061717924e-14,4.0954873971724875e-12,1126.8723307637695,12.591815562360232,6.902768018522917e-13,0.001536772,4.3371915e-07,35293.21,0.49292782,-264.64087,0.0,0.0,0.0,-8.030694271234982e-13,4.898557e-12,2.4437e-16,0.0,0.0,0.0,7.480000000000002e-16,5.42337061717924e-14,4.0954873971724875e-12,1126.8723307637695,12.591815562360232
5,5,6,407463.0,BAW680,51.11584679555085,-0.3870391845703125,211.436666484,4411.9800000000005,0.6467371426158659,34610D,260.04535,11.117784,-12.104159,202.75932074968745,67824.4133397495,0.4177966096289326,0.91677959595379,73.12915235237152,83.3100624532182,1478.9417723078618,0.000705628634232,58401.6359568902,0.3369684010435343,0.6094096029364293,0.9680915328334452,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,20.28905710728828,3.029042026436769,0.6272107774170121,41.65498714754055,19.710632374401527,36.28235539,1450000000000000.0,29.5416685116773,849.691036151469,1365.52567443105,0.0705628634232,0.0235758881607051,0.458389797976895,41.6550312266091,19.4431613711551,19.42945139390414,15.660514247161757,0.8765075455761406,672286015710697.9,17.77536788885033,1240868854827964.8,0.001471731216615122,9.945441494096836e-06,2.8440000000000003,35.8,2023-08-06 09:06:00,0.0007056286342320894,0.33696880694621073,0.0,584.016359568902,5,0.0007056286342320894,11.117784,-12.104159,0.33696880694621073,0.0,0.0,0.7823811335510605,855.1342331331496,13209.052642457104,-0.8883960114481767,0.4590779093388955,5.038548174406822,243.6980106386189,0.2964803070208873,inf,0.0,234.29445064896723,0.0,0.0,0.0,0 days,0.000692602,6.9842804e-07,43587.49,0.3074391,-265.38748,0.0,0.0,1.0,-7.605073591243456e-13,4.0604716e-12,2.6477466e-16,0.0,0.0,0.0,7.48e-16,4.3912311844650316e-14,3.299964398060418e-12,1128.2022218901416,13.209052642457104,2.6714924156220845e-13,0.000692602,6.9842804e-07,43587.49,0.3074391,-265.38748,0.0,0.0,0.0,-7.605073591243456e-13,4.0604716e-12,2.6477466e-16,0.0,0.0,0.0,7.48e-16,4.3912311844650316e-14,3.299964398060418e-12,1128.2022218901416,13.209052642457104
6,6,7,407463.0,BAW680,51.010345458984375,-0.3004166886613006,233.557777576,4861.56,0.6498766347707203,34610D,257.35562,12.083003,-13.220711,219.1387748724825,67751.28418739712,0.4289766798243525,1.010708543060666,72.9992406212619,87.2546996952448,1981.3942399781097,0.000367766674147,55026.440867802725,0.2118745604403702,0.6083270051771825,1.0,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,19.114586655421974,2.860158290351336,0.6814117373727626,43.62692494204971,20.33877082040213,36.28235538999999,1450000000000000.0,31.1884589785187,866.026000500996,1429.12740358008,0.0367766674147,0.0248252200274295,0.505354271530333,43.6273498476224,20.356487111573,20.349003426260715,14.092296883506735,0.9545921298156136,686371959905145.2,18.54717478637833,1220742998996143.8,0.00192935022192453,1.2903355373652555e-05,2.8440000000000003,35.8,2023-08-06 09:07:00,0.0003677666741470451,0.2118748461266139,0.0,550.2644086780273,6,0.0003677666741470451,12.083003,-13.220711,0.2118748461266139,0.0,0.0,0.7448695409970986,859.2855389611756,14441.476617147115,-0.8882530904374696,0.4593543809830104,4.838895089161421,243.21925619382193,0.1815487841193477,inf,0.0,233.33175200910958,0.0,0.0,0.0,0 days,0.0003616923,8.74633e-07,47971.637,0.20093633,-266.27145,0.0,0.0,1.0,-7.38115441406407e-13,3.667025e-12,2.7835713e-16,0.0,0.0,0.0,7.48e-16,3.910217942607809e-14,2.9289094067221805e-12,1129.600949792481,14.441476617147115,3.4268429005907014e-13,0.0003616923,8.74633e-07,47971.637,0.20093633,-266.27145,0.0,0.0,0.0,-7.38115441406407e-13,3.667025e-12,2.7835713e-16,0.0,0.0,0.0,7.48e-16,3.910217942607809e-14,2.9289094067221805e-12,1129.600949792481,14.441476617147115
7,7,8,407463.0,BAW680,50.89504953158104,-0.2059173583984375,245.389999788,5463.54,0.6531281547252441,34610D,253.47978,15.490947,-13.642795,231.6054215422984,67678.28494677586,0.4426715522634703,0.92443348771295,70.44837929174521,77.9214452218596,1554.4602636310256,0.0002971873704375,50756.176244006965,0.2275982780521815,0.5870698274312101,1.0,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,18.760103174477784,2.8084402104401067,0.725661830872455,38.9607657832552,20.039601065032144,36.28235539,1450000000000000.0,29.1944888172671,857.900204621922,1397.51623995224,0.0297187370438,0.0241186688845103,0.462216743856475,38.9607226109298,19.1642725421436,19.15857885447252,14.688635934257906,0.9151627540535008,640731387850055.9,18.173709676222472,1178947837438120.5,0.0017046533147855505,1.0712611977730227e-05,2.8440000000000003,35.8,2023-08-06 09:08:00,0.0002971873704375653,0.22759827377055114,0.0,507.56176244006963,7,0.0002971873704375653,15.490947,-13.642795,0.22759827377055114,0.0,0.0,0.6975703680643963,863.5849729355677,15212.014781554939,-0.8893115744758581,0.4573017860267661,4.572775516504622,242.5531299428368,0.18770861629496866,inf,0.0,232.75473999499437,0.0,0.0,0.0,0 days,0.0002914628,7.528047e-07,53943.887,0.22590555,-267.3378,0.0,0.0,1.0,-7.074741105251076e-13,3.1827832e-12,2.6896618e-16,0.0,0.0,0.0,7.479999999999999e-16,3.319598599204743e-14,2.475309215465702e-12,1131.1205042171678,15.21201478155494,2.3404126987576773e-13,0.0002914628,7.528047e-07,53943.887,0.22590555,-267.3378,0.0,0.0,0.0,-7.074741105251076e-13,3.1827832e-12,2.6896618e-16,0.0,0.0,0.0,7.479999999999999e-16,3.319598599204743e-14,2.475309215465702e-12,1131.1205042171678,15.21201478155494
8,8,9,407463.0,BAW680,50.77340853416313,-0.1070404052734375,261.852221996,5935.9800000000005,0.6564450100484751,34610D,250.16846,17.698393,-13.779355,242.63973511486464,67607.83656748412,0.45405983980699816,0.905098739808352,68.69576127945294,74.6956938722054,1653.879042339483,0.0003379204713138,47596.28928252322,0.334615946930311,0.5724646773287745,1.0,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,18.835020198828307,2.818888290921452,0.7652491804008863,37.347893708831386,19.82484059361835,36.28235539,1450000000000000.0,28.6818491372531,858.079773375171,1391.53265977276,0.0337920471314,0.0240697546947935,0.452549369904176,37.3478469361027,18.8015779820999,18.795226690238284,15.031686658242954,0.9160232616759708,621256233831701.5,18.192197674717377,1149867974300631.0,0.001627319337034827,1.0414411521315053e-05,2.8440000000000003,35.8,2023-08-06 09:09:00,0.0003379204713138795,0.3346161179955789,0.0,475.96289282523225,8,0.0003379204713138795,17.698393,-13.779355,0.3346161179955789,0.0,0.0,0.6628007468522932,867.9707970512603,16064.88552763422,-0.8897878447223443,0.4563743982569195,4.377695030922434,242.04263492581822,0.2670868869813803,inf,0.0,232.64761135392962,0.0,0.0,0.0,0 days,0.00033057775,7.022203e-07,58651.055,0.34512153,-268.5721,0.0,0.0,0.9999999999999998,-6.833423998709466e-13,2.832929e-12,2.6506697e-16,0.0,0.0,0.0,7.48e-16,2.8957693340353876e-14,2.1495866430404186e-12,1132.7227450911282,16.06488552763422,1.8996559424884356e-13,0.00033057775,7.022203e-07,58651.055,0.34512153,-268.5721,0.0,0.0,0.0,-6.833423998709466e-13,2.832929e-12,2.6506697e-16,0.0,0.0,0.0,7.48e-16,2.8957693340353876e-14,2.1495866430404186e-12,1132.7227450911282,16.06488552763422
9,9,10,407463.0,BAW680,50.6448778055482,-0.0031177417652088,273.684444208,6438.900000000001,0.6598354247484582,34610D,246.86057,20.193823,-14.409377,251.2954055785493,67539.14080620467,0.4582787399340619,0.943811450037434,66.9387506851438,75.906477985883,1732.3831423684403,0.0003488001075361,44409.53957525199,0.4480479955514473,0.5578229223761983,1.0,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,17.206384220636473,2.5749560444290043,0.7978401788442493,37.95328694489308,19.626414964495105,36.28235539,1450000000000000.0,28.920516237246,864.434930432467,1438.01139063057,0.0348800107536,0.0249663360277534,0.471905725018717,37.9532389929415,18.9016812276392,18.89509061799974,13.66252592411093,0.9468117892332228,639345204588955.9,17.68865861713497,1114165613229980.4,0.001983644515859073,1.1750738239648426e-05,2.8440000000000003,35.8,2023-08-06 09:10:00,0.00034880010753615535,0.44804825416565863,0.0,444.0953957525199,9,0.00034880010753615535,20.193823,-14.409377,0.44804825416565863,0.0,0.0,0.6267105301928944,872.4538853889314,16696.494033359326,-0.8904087613594637,0.4551617709060216,4.116441195465825,241.32644063347058,0.346112584092721,inf,0.0,232.3774425149835,0.0,0.0,0.0,0 days,0.00034036458,8.887827e-07,63576.57,0.42486957,-269.33505,0.0,0.0,1.0000000000000002,-6.580346099299411e-13,2.5061004e-12,2.7944784e-16,0.0,0.0,0.0,7.48e-16,2.5052302446025048e-14,1.8480657389994848e-12,1134.4066662114299,16.696494033359325,2.0759541333361448e-13,0.00034036458,8.887827e-07,63576.57,0.42486957,-269.33505,0.0,0.0,0.0,-6.580346099299411e-13,2.5061004e-12,2.7944784e-16,0.0,0.0,0.0,7.48e-16,2.5052302446025048e-14,1.8480657389994848e-12,1134.4066662114299,16.696494033359325
