,Unnamed: 0,index,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,air_pressure,rhi_emissions,fuel_flow_per_engine,thrust_setting,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,nvpm_ei_n,ei_nox,nvpm_ei_m,ei_co2,wingspan,time,issr_specific_humidity,issr_rhi,issr_issr,cocip_level,cocip_waypoint,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_ef,cocip_persistent_1,cocip_cocip,cocip_contrail_age,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_segment_length_km,accf_issr_nox_impact,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_segment_length_km
0,0,1,a35da8,FFT4000,37.64968096199682,-122.33503258746605,94.657777696,632.46,0.6770002532139138,34610D,298.70578,-0.43820268,-4.799987,111.19671737706966,67404.23791417283,,,68.2953652850535,,1978.640292302471,0.0069065516434974,93954.21408487008,0.2499754160484011,0.5691280440421126,0.6351403382418518,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.3209425965706833,57.41116260735307,15.095518028067987,107.4868077241531,1833187470135898.5,,,,,,,,,,,1.0,,,,3.16,35.8,2023-08-06 17:01:00,0.006906551643497483,0.24997567995594358,0.0,939.5421408487008,0,0.006906551643497483,-0.43820268,-4.799987,0.24997567995594358,0.0,0.0,1.095759101228158,895.2384858752333,6873.929756898064,0.6070791771393887,0.7946413484609033,,,0.31841611506133816,,,,0.0,0.0,0.0,0 days,0.006778673,1.6148348e-07,6700.612,0.31495434,-306.8297,0.0,0.0,0.9999999999999999,-1.0013212463956111e-12,1.1022342e-11,2.4441093e-16,0.0,0.0,0.0,7.479999999999999e-16,1.3126567431507507e-13,1.0021020259693903e-11,1274.0372739999539,6.873929756898064,,0.006778673,1.6148348e-07,6700.612,0.31495434,-306.8297,0.0,0.0,0.0,-1.0013212463956111e-12,1.1022342e-11,2.4441093e-16,0.0,0.0,0.0,7.479999999999999e-16,1.3126567431507507e-13,1.0021020259693903e-11,1274.0372739999539,6.873929756898064
1,1,2,a35da8,FFT4000,37.68706240896451,-122.27317478345788,134.784444328,1203.96,0.6799823547172632,34610D,296.85257,-0.96996766,-5.216982,130.0880416084797,67335.94254888778,0.21639487594641807,2.0382553225649,72.10996668154398,145.898094886561,3642.852702903828,0.0054688330140505,87673.12586169648,0.2099155336492254,0.6009163890128665,0.7073386383731212,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.3766380413970438,72.94886765097753,16.582428919078914,120.16804564139925,1642373260400110.0,24.6288885207941,818.64,1582.6481994688,0.546883301405,0.0230226118135707,1.01912766128245,72.9490474432805,44.2663790509522,44.02561033966293,0.5468833014050499,1.0,1098209905072309.6,0.03361820184208404,6.91465495786269e-05,3.16,35.8,2023-08-06 17:02:00,0.005468833014050539,0.20991571073134138,0.0,876.7312586169647,1,0.005468833014050539,-0.96996766,-5.216982,0.20991571073134138,0.0,0.0,1.0288880581874829,899.1820896514174,8343.905703079294,0.5494398083303564,0.8355333009652584,5.204278799068396,244.08280968580644,0.26284432184324025,inf,0.0,234.48304656301408,0.0,0.0,0.0,0 days,0.005376049,3.14052e-07,12651.735,0.25692087,-310.1168,0.0,0.0,1.0,-9.673649837489016e-13,1.0264103e-11,2.351457e-16,0.0,0.0,0.0,7.48e-16,1.2184074433480623e-13,9.296738357933312e-12,1273.7271818072657,8.343905703079294,3.8222133444576584e-11,0.005376049,3.14052e-07,12651.735,0.25692087,-310.1168,0.0,0.0,0.0,-9.673649837489016e-13,1.0264103e-11,2.351457e-16,0.0,0.0,0.0,7.48e-16,1.2184074433480623e-13,9.296738357933312e-12,1273.7271818072657,8.343905703079294
2,2,3,a35da8,FFT4000,37.72793527376854,-122.1945389457371,140.443333212,2255.52,0.6831008535653171,34610D,287.9186,2.3960347,-7.206227,146.9412886286719,67263.83258220623,0.23573131762780794,1.827080733274388,70.50035215066478,126.12832152392,3241.94787514517,0.0047340186455459,77005.1164429154,0.302833262691508,0.5875029345888731,0.7073386383731212,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.4319825147704173,63.0646445525768,16.552816096204797,114.71550203081634,1402608938405134.8,22.2824982794164,802.594313605348,1557.07611820502,0.473401864555,0.0225940826131787,0.913540366637194,63.06416076196,40.4327266690767,40.24221925279582,0.47340186455459,1.0,1104283735917885.2,0.029958574000615176,6.952897596520018e-05,3.16,35.8,2023-08-06 17:03:00,0.00473401864554597,0.30283383514892964,0.0,770.051164429154,2,0.00473401864554597,2.3960347,-7.206227,0.30283383514892964,0.0,0.0,0.9317347833896842,903.3060616548008,8800.317831566796,0.5458182071071531,0.8379036250013081,4.68371857798012,242.83490319126378,0.34877547267621156,inf,0.0,233.76890043614702,0.0,0.0,0.0,0 days,0.0046558473,1.3254454e-07,23580.38,0.33953366,-312.19565,0.0,0.0,1.0000000000000002,-9.051072373682645e-13,8.222122e-12,2.2115448e-16,0.0,0.0,0.0,7.48e-16,9.609034642813954e-14,7.317014765590804e-12,1273.3881270810139,8.800317831566796,2.4030569169802113e-11,0.0046558473,1.3254454e-07,23580.38,0.33953366,-312.19565,0.0,0.0,0.0,-9.051072373682645e-13,8.222122e-12,2.2115448e-16,0.0,0.0,0.0,7.48e-16,9.609034642813954e-14,7.317014765590804e-12,1273.3881270810139,8.800317831566796
3,3,4,a35da8,FFT4000,37.77085643703654,-122.11112644361413,151.246666536,3192.78,0.6862393784597485,34610D,282.33325,2.4912155,-5.6175876,163.43942788275805,67193.33223005557,0.2551058606806995,1.684533180467433,66.81248881541366,113.1421979195617,2376.2943729193803,0.0010589727666562,68406.5121293734,0.091727170486889,0.5567707401284472,0.707338638373121,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.4852136635479159,47.11828616666429,17.258748279958272,105.4954582436089,1223031841790548.8,20.61952252226009,794.743923638976,1545.981758188365,0.2753542536082,0.0223952390910942,0.8422665902337165,56.57109895978085,37.5838861702434,37.47521658464967,0.27535425360797,1.0,1064443172670442.2,0.028599385961249443,6.702049605702784e-05,3.16,35.8,2023-08-06 17:04:00,0.001058972766656234,0.09172717479076226,0.0,684.065121293734,3,0.001058972766656234,2.4912155,-5.6175876,0.09172717479076226,0.0,0.0,0.8440688416389348,907.4565170780852,9892.240424891224,0.5446328920346316,0.8386745572115523,4.255463988956878,241.71240660755387,0.10018585994017047,inf,0.0,231.63050383127498,0.0,0.0,0.0,0 days,0.0010369723,4.479638e-07,33286.01,0.098013245,-312.40942,0.0,0.0,1.0000000000000002,-8.498246217918703e-13,6.8963754e-12,2.4546803e-16,0.0,0.0,0.0,7.48e-16,7.959862925851721e-14,6.046550862839985e-12,1273.0300587624645,9.892240424891224,1.7478141032058933e-11,0.0010369723,4.479638e-07,33286.01,0.098013245,-312.40942,0.0,0.0,0.0,-8.498246217918703e-13,6.8963754e-12,2.4546803e-16,0.0,0.0,0.0,7.48e-16,7.959862925851721e-14,6.046550862839985e-12,1273.0300587624645,9.892240424891224
4,4,5,a35da8,FFT4000,37.81915283203125,-122.01690673828124,175.425555404,3878.58,0.6894452634406084,34610D,277.7711,4.248739,-3.8380992,173.1350316149527,67126.51974124016,0.2613367462848347,1.541985627660478,64.63888396799838,100.1560743152034,2904.472325255407,0.0007730664266135,62621.53768428498,0.0876090463627588,0.5386573663999865,0.707338638373121,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.5182014562024928,50.07841605111997,17.04007949212379,100.05024245402572,1100296960719838.6,18.9565467651038,786.893533672604,1534.88739817171,0.0773066426614,0.0221963955690098,0.770992813830239,50.0780371576017,34.7350456714101,34.70821391650353,0.07730664266135,0.979532897521786,1100493241106221.4,0.02824217867297735,6.352244878647399e-05,3.16,35.8,2023-08-06 17:05:00,0.0007730664266135286,0.08760910614316321,0.0,626.2153768428498,4,0.0007730664266135286,4.248739,-3.8380992,0.08760910614316321,0.0,0.0,0.7853786981782673,911.6960486624008,11075.049151884847,0.2702733522962196,0.9627836283602684,3.9274823896299504,240.78289697977576,0.09159567147310355,inf,0.0,230.7563099620448,0.0,0.0,0.0,0 days,0.00075614563,4.742212e-07,40401.55,0.08817344,-311.8241,0.0,0.0,0.9999999999999999,-8.09278733433757e-13,5.9819203e-12,2.4749204e-16,0.0,0.0,0.0,7.480000000000001e-16,6.823983454488048e-14,5.17264173006684e-12,1272.6247404372739,11.075049151884846,1.351581291254989e-11,0.00075614563,4.742212e-07,40401.55,0.08817344,-311.8241,0.0,0.0,0.0,-8.09278733433757e-13,5.9819203e-12,2.4749204e-16,0.0,0.0,0.0,7.480000000000001e-16,6.823983454488048e-14,5.17264173006684e-12,1272.6247404372739,11.075049151884846
5,5,6,a35da8,FFT4000,37.84593200683594,-121.895823377244,188.286666504,4716.780000000001,0.692952330992942,34610D,271.89255,6.6691656,-3.113317,181.0551766241662,67061.88085727216,0.2689381006148841,1.478954250047928,62.4117058883317,94.5317211999017,2612.359910801834,0.0004865232486895,56095.647368712234,0.079667911354891,0.5200975490694308,0.7073386383731213,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.5477337611587645,46.60198850332047,16.77988209042231,94.35158994528508,954998197766020.8,18.0297129510308,783.2908069903644,1538.79092076421,0.0550411543385,0.0224213119362691,0.739477125023964,47.26586059995085,32.99841347958725,32.97987615221059,0.055041154338455,0.960358870391557,1176192857735245.5,0.027189249447407176,6.286332024331907e-05,3.16,35.8,2023-08-06 17:06:00,0.0004865232486895336,0.07966793422535777,0.0,560.9564736871223,5,0.0004865232486895336,6.6691656,-3.113317,0.07966793422535777,0.0,0.0,0.7187441208384358,916.3338544414188,11555.269067995321,0.2328721522021101,0.9725073576733275,3.5538962602582647,239.6364100455083,0.07869533074737634,inf,0.0,229.66944647219609,0.0,0.0,0.0,0 days,0.0004729455,4.5314937e-07,49076.35,0.075039156,-312.88126,0.0,0.0,1.0,-7.599275363918473e-13,4.956167e-12,2.4586775e-16,0.0,0.0,0.0,7.48e-16,5.5544983311970943e-14,4.196239657960093e-12,1272.4000012971578,11.55526906799532,1.0124264743676845e-11,0.0004729455,4.5314937e-07,49076.35,0.075039156,-312.88126,0.0,0.0,0.0,-7.599275363918473e-13,4.956167e-12,2.4586775e-16,0.0,0.0,0.0,7.48e-16,5.5544983311970943e-14,4.196239657960093e-12,1272.4000012971578,11.55526906799532
6,6,7,a35da8,FFT4000,37.87001037597656,-121.76807809383313,198.06111094,5471.16,0.6965071653933778,34610D,266.49466,8.976448,-3.4343667,189.73765534325355,66999.46915138383,0.27686639602373714,1.415922872435378,60.44115344372535,88.9073680846,2660.5686174967864,0.0003277566601556,50703.897051540545,0.0766798892091909,0.5036762786977113,0.7073386383731213,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.5797843160031945,44.45410608547739,16.522878172784292,89.58893511521518,843202945092201.4,17.1028791369578,779.688080308125,1542.69444335671,0.0327756660156,0.0226462283035285,0.707961436217689,44.4536840423,31.2617812877644,31.25153838791765,0.03277566601556,0.9410287614924482,1250710378302815.2,0.026590657955195753,6.209195220559305e-05,3.16,35.8,2023-08-06 17:07:00,0.00032775666015566474,0.0766798731117812,0.0,507.03897051540554,6,0.00032775666015566474,8.976448,-3.4343667,0.0766798731117812,0.0,0.0,0.6628195015077025,921.0348272653831,11894.554073287172,0.22926335038196238,0.9733644313265396,3.2470806509596466,238.6120559679201,0.07186698478120233,inf,0.0,228.71649021904926,0.0,0.0,0.0,0 days,0.0003199039,3.717765e-07,56878.625,0.07199848,-314.15057,0.0,0.0,1.0,-7.155520473477907e-13,4.149459e-12,2.3959526e-16,0.0,0.0,0.0,7.48e-16,4.562838560042969e-14,3.433906948387211e-12,1272.1979281557883,11.894554073287173,7.757261890572059e-12,0.0003199039,3.717765e-07,56878.625,0.07199848,-314.15057,0.0,0.0,0.0,-7.155520473477907e-13,4.149459e-12,2.3959526e-16,0.0,0.0,0.0,7.48e-16,4.562838560042969e-14,3.433906948387211e-12,1272.1979281557883,11.894554073287173
7,7,8,a35da8,FFT4000,37.8944091796875,-121.63641747007978,204.234444268,6240.780000000001,0.7000731505805546,34610D,260.53226,11.960222,-3.934668,195.6469820073801,66939.0279979401,0.2821743355091506,1.308906448146734,58.94629420100327,81.233357564143,2387.900348699872,0.0002969118081446,45643.61268941082,0.1060233389218114,0.4912191183416939,0.7073386383731212,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.6046438088719396,40.61695213640224,16.26550230425886,85.75449146084995,733334969996162.6,15.8165145994796,769.283303243386,1530.61901107635,0.0296911808145,0.0225314470816126,0.654453224073367,40.6166787820715,29.0462135744247,29.037591970488577,0.0296911808144599,0.8883048476501948,1473570049804716.8,0.024588588933817088,6.078497936669559e-05,3.16,35.8,2023-08-06 17:08:00,0.0002969118081446939,0.10602344183708452,0.0,456.4361268941082,7,0.0002969118081446939,11.960222,-3.934668,0.10602344183708452,0.0,0.0,0.6103247100662934,925.7505474645347,12650.034778877194,0.22641163287106575,0.9740317102131005,2.944555590388644,237.51445693597915,0.09373153617212929,inf,0.0,227.80490466128984,0.0,0.0,0.0,0 days,0.0002904625,2.8978297e-07,64834.617,0.102342814,-315.2172,0.0,0.0,0.9999999999999998,-6.703139941369654e-13,3.4209087e-12,2.3327494e-16,0.0,0.0,0.0,7.48e-16,3.6739007623282686e-14,2.750594822341488e-12,1271.9931658281266,12.650034778877194,5.31153546157755e-12,0.0002904625,2.8978297e-07,64834.617,0.102342814,-315.2172,0.0,0.0,0.0,-6.703139941369654e-13,3.4209087e-12,2.3327494e-16,0.0,0.0,0.0,7.48e-16,3.6739007623282686e-14,2.750594822341488e-12,1271.9931658281266,12.650034778877194
8,8,9,a35da8,FFT4000,37.9200439453125,-121.49616647273936,209.893333152,6934.200000000001,0.7036905803152301,34610D,254.48027,13.884949,-3.937806,200.30372029673345,66880.0817037391,0.2867858680780271,1.227650231384882,58.208431141978885,75.6353498401366,2089.6770059119867,0.0002432786777191,41442.16772350145,0.1382806740680433,0.4850702595164907,0.707338638373121,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.6263529853074097,37.81758685847189,16.112543984818316,83.49851701421822,642079673362114.6,14.8344210418433,759.53022681028,1519.84870908928,0.0243278677719,0.0224417086409489,0.613825115692441,37.8176749200683,27.3519777621748,27.345325227611628,0.02432786777191,0.8401443741049216,1748705005806568.5,0.02293424091887919,6.058507745841726e-05,3.16,35.8,2023-08-06 17:09:00,0.0002432786777191933,0.13828064965290526,0.0,414.42167723501456,8,0.0002432786777191933,13.884949,-3.937806,0.13828064965290526,0.0,0.0,0.5673235293143428,930.5342980215563,12759.689666409362,0.22559693948978718,0.9742207249349817,2.6906745182017917,236.513440043192,0.11517685504439082,inf,0.0,226.9781987118465,0.0,0.0,0.0,0 days,0.00023722624,3.0052638e-07,72014.914,0.13711898,-316.41098,0.0,0.0,1.0,-6.294931396300241e-13,2.8502454e-12,2.3410307e-16,0.0,0.0,0.0,7.480000000000001e-16,2.9851882759125843e-14,2.220752283994573e-12,1271.7780309247673,12.759689666409361,3.75154696949777e-12,0.00023722624,3.0052638e-07,72014.914,0.13711898,-316.41098,0.0,0.0,0.0,-6.294931396300241e-13,2.8502454e-12,2.3410307e-16,0.0,0.0,0.0,7.480000000000001e-16,2.9851882759125843e-14,2.220752283994573e-12,1271.7780309247673,12.759689666409361
9,9,10,a35da8,FFT4000,37.94581604003906,-121.35457140334108,218.6388887,7543.8,0.7072930100926289,34610D,249.33354,15.264977,-4.0805726,205.47471723012785,66821.87327259712,0.291698892153662,1.16127476998402,57.36763275304119,70.940266828253,1953.6751566374096,0.0001394709483435,38012.54249929331,0.1197658185924166,0.4780636062753433,0.7073386383731212,climb,0,GTF1990,0,43031,1.237,3.16,3.16,0,0.649120402630075,35.469978542479346,15.97823752532972,81.27913337870532,572241934727967.2,14.0353009085166,751.820994088075,1511.15810179338,0.0139470948344,0.0223635661781327,0.58063738499201,35.4701334141265,25.9635417878819,25.95992113306255,0.0139470948343499,0.8037331947487263,2056643605157176.0,0.021746943841565496,5.977940166395703e-05,3.16,35.8,2023-08-06 17:10:00,0.00013947094834351273,0.11976580530968797,0.0,380.1254249929332,9,0.00013947094834351273,15.264977,-4.0805726,0.11976580530968797,0.0,0.0,0.5311151189203426,935.2982152148043,13320.675217992797,0.22390606277383615,0.9746107300112795,2.4848991026266076,235.6387933610406,0.09480965078677565,inf,0.0,226.1058764660819,0.0,0.0,0.0,0 days,0.00015484412,4.7648615e-07,78293.62,0.1157491,-317.5765,0.0,0.0,1.0,-5.938045055018121e-13,2.4601903e-12,2.4766664e-16,0.0,0.0,0.0,7.479999999999999e-16,2.5258680427220724e-14,1.8663856764311024e-12,1271.5617435129975,13.320675217992797,2.8280420766044195e-12,0.00015484412,4.7648615e-07,78293.62,0.1157491,-317.5765,0.0,0.0,0.0,-5.938045055018121e-13,2.4601903e-12,2.4766664e-16,0.0,0.0,0.0,7.479999999999999e-16,2.5258680427220724e-14,1.8663856764311024e-12,1271.5617435129975,13.320675217992797
