,Unnamed: 0,index,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,air_pressure,rhi_emissions,fuel_flow_per_engine,thrust_setting,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,W3_no_water_injection,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,nvpm_ei_n,ei_mass_meem,ei_number_meem,ei_nox,nvpm_ei_m,ei_co2,wingspan,time,issr_specific_humidity,issr_rhi,issr_issr,cocip_level,cocip_waypoint,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_ef,cocip_persistent_1,cocip_cocip,cocip_contrail_age,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_nox_impact,accf_issr_co2_impact,accf_issr_contrails_atr20,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_nox_impact,accf_sac_co2_impact,accf_sac_contrails_atr20
0,0,1,a35da8,FFT4000,37.64968096199682,-122.33503258746605,94.657777696,632.46,0.6770002532139138,34610D,298.70578,-0.43820268,-4.799987,111.19671737706966,67404.23791417283,0.29266956860094195,1.01383304302024,68.2953652850535,114.8242139966194,1978.640292302471,0.0069065516434974,93954.21408487008,0.2499754160484011,0.5691280440421126,0.8979296531894179,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,24.268014088006968,3.4725938206171003,0.3209425965706833,57.41116260735307,16.2583803710178,24.49912795008236,1515091020022042.2,31.594403784718,868.986849855563,1371.45967192188,0.69065516435,0.0248854365288261,0.50691652151012,57.4121069983097,20.3700072097563,20.23028569682845,17.85597785260771,0.9687588207437368,759951089207169.9,,,0.001148872753056983,1.7555169512873733e-05,3.16,35.8,2023-08-06 17:01:00,0.006906551643497483,0.24997567995594358,0.0,939.5421408487008,0,0.006906551643497483,-0.43820268,-4.799987,0.24997567995594358,0.0,0.0,1.095759101228158,895.2384858752333,6873.929756898064,0.6070791771393887,0.7946413484609033,6.186157351397615,246.16175313485184,0.31841611506133816,inf,0.0,236.64714398616346,0.0,0.0,0.0,0 days,0.006778673,1.6148348e-07,6700.612,0.31495434,-306.8297,0.0,0.0,0.9999999999999999,-1.0013212463956111e-12,1.1022342e-11,2.4441093e-16,0.0,0.0,0.0,7.479999999999999e-16,1.3126567431507507e-13,1.0021020259693903e-11,1274.0372739999539,7.003281155327032e-13,1.4378261322756484e-13,0.0,0.006778673,1.6148348e-07,6700.612,0.31495434,-306.8297,0.0,0.0,0.0,-1.0013212463956111e-12,1.1022342e-11,2.4441093e-16,0.0,0.0,0.0,7.479999999999999e-16,1.3126567431507507e-13,1.0021020259693903e-11,1274.0372739999539,7.003281155327032e-13,1.4378261322756484e-13,0.0
1,1,2,a35da8,FFT4000,37.68706240896451,-122.27317478345788,134.784444328,1203.96,0.6799823547172632,34610D,296.85257,-0.96996766,-5.216982,130.0880416084797,67335.94254888778,0.3109088229105549,1.418639976673936,72.10996668154398,145.8979882445492,3642.852702903828,0.0054688330140505,87673.12586169648,0.2099155336492254,0.6009163890128665,1.0,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,22.458986539573992,3.24602353388636,0.3766380413970438,72.94886765097753,18.49658136300027,29.199087307927464,1556415901690375.8,39.1430164852109,924.384572037387,1559.69165588917,0.546883301405,0.0289626357347838,0.709319988336968,72.9489941222746,24.4908645343035,24.35765657786557,13.873385066916049,1.0,767928304019231.6,32.06149739318871,1890519561143087.5,0.0023855869599450226,1.922468788682628e-05,3.16,35.8,2023-08-06 17:02:00,0.005468833014050539,0.20991571073134138,0.0,876.7312586169647,1,0.005468833014050539,-0.96996766,-5.216982,0.20991571073134138,0.0,0.0,1.0288880581874829,899.1820896514174,8343.905703079294,0.5494398083303564,0.8355333009652584,5.9180840932811325,245.6250113812913,0.26284432184324025,inf,0.0,235.88431307952135,0.0,0.0,0.0,0 days,0.005376049,3.14052e-07,12651.735,0.25692087,-310.1168,0.0,0.0,1.0,-9.673649837489016e-13,1.0264103e-11,2.351457e-16,0.0,0.0,0.0,7.48e-16,1.2184074433480623e-13,9.296738357933312e-12,1273.7271818072657,1.887770977931399e-12,2.0119265640387894e-13,0.0,0.005376049,3.14052e-07,12651.735,0.25692087,-310.1168,0.0,0.0,0.0,-9.673649837489016e-13,1.0264103e-11,2.351457e-16,0.0,0.0,0.0,7.48e-16,1.2184074433480623e-13,9.296738357933312e-12,1273.7271818072657,1.887770977931399e-12,2.0119265640387894e-13,0.0
2,2,3,a35da8,FFT4000,37.72793527376854,-122.1945389457371,140.443333212,2255.52,0.6831008535653171,34610D,287.9186,2.3960347,-7.206227,146.9412886286719,67263.83258220623,0.3353523090597597,1.284322769390604,70.50035215066478,126.1284555373418,3241.94787514517,0.0047340186455459,77005.1164429154,0.302833262691508,0.5875029345888731,1.0,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,19.03983174048141,2.7658398426047146,0.4319825147704173,63.0646445525768,18.463550255775147,31.858961431817512,1516455123699627.0,35.6903799069182,908.004014273775,1552.04833170137,0.473401864555,0.0283279867539398,0.642161384695302,63.0642277686709,22.6687971253725,22.5619882523055,12.732249851154736,1.0,769190232504299.2,29.04424316729148,1771632521297013.8,0.002574462002571002,1.925627961372832e-05,3.16,35.8,2023-08-06 17:03:00,0.00473401864554597,0.30283383514892964,0.0,770.051164429154,2,0.00473401864554597,2.3960347,-7.206227,0.30283383514892964,0.0,0.0,0.9317347833896842,903.3060616548008,8800.317831566796,0.5458182071071531,0.8379036250013081,5.3857396557432295,244.49186159344205,0.34877547267621156,inf,0.0,235.28133371791367,0.0,0.0,0.0,0 days,0.0046558473,1.3254454e-07,23580.38,0.33953366,-312.19565,0.0,0.0,1.0000000000000002,-9.051072373682645e-13,8.222122e-12,2.2115448e-16,0.0,0.0,0.0,7.48e-16,9.609034642813954e-14,7.317014765590804e-12,1273.3881270810139,1.4515962922135595e-12,1.82143682613191e-13,0.0,0.0046558473,1.3254454e-07,23580.38,0.33953366,-312.19565,0.0,0.0,0.0,-9.051072373682645e-13,8.222122e-12,2.2115448e-16,0.0,0.0,0.0,7.48e-16,9.609034642813954e-14,7.317014765590804e-12,1273.3881270810139,1.4515962922135595e-12,1.82143682613191e-13,0.0
3,3,4,a35da8,FFT4000,37.77085643703654,-122.11112644361413,151.246666536,3192.78,0.6862393784597485,34610D,282.33325,2.4912155,-5.6175876,163.43942788275805,67193.33223005557,0.36592534789113634,0.978127336649104,66.81248881541366,94.2350567688858,2376.2943729193803,0.0010589727666562,68406.5121293734,0.091727170486889,0.5567707401284472,1.0,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,19.74692058378648,2.941126636444418,0.4852136635479159,47.11828616666429,19.250970008169407,33.14082509181228,1497196968333784.0,29.6353839887915,879.444057433457,1420.28025945343,0.105897276666,0.0255961279514284,0.489063668324552,47.1175283844429,19.1069395047801,19.08672718049137,15.515174145518012,1.0,646022764155982.4,26.85451001479468,1646301328551271.8,0.0016555966259163867,1.617284575093942e-05,3.16,35.8,2023-08-06 17:04:00,0.001058972766656234,0.09172717479076226,0.0,684.065121293734,3,0.001058972766656234,2.4912155,-5.6175876,0.09172717479076226,0.0,0.0,0.8440688416389348,907.4565170780852,9892.240424891224,0.5446328920346316,0.8386745572115523,4.999206599594647,243.60501947073223,0.10018585994017047,inf,0.0,233.34013297392355,0.0,0.0,0.0,0 days,0.0010369723,4.479638e-07,33286.01,0.098013245,-312.40942,0.0,0.0,1.0000000000000002,-8.498246217918703e-13,6.8963754e-12,2.4546803e-16,0.0,0.0,0.0,7.48e-16,7.959862925851721e-14,6.046550862839985e-12,1273.0300587624645,5.875013788153302e-13,1.3871880138544526e-13,0.0,0.0010369723,4.479638e-07,33286.01,0.098013245,-312.40942,0.0,0.0,0.0,-8.498246217918703e-13,6.8963754e-12,2.4546803e-16,0.0,0.0,0.0,7.48e-16,7.959862925851721e-14,6.046550862839985e-12,1273.0300587624645,5.875013788153302e-13,1.3871880138544526e-13,0.0
4,4,5,a35da8,FFT4000,37.81915283203125,-122.01690673828124,175.425555404,3878.58,0.6894452634406084,34610D,277.7711,4.248739,-3.8380992,173.1350316149527,67126.51974124016,0.37495583474456556,1.074745739283812,64.63888396799838,100.1572372494348,2904.472325255407,0.0007730664266135,62621.53768428498,0.0876090463627588,0.5386573663999865,1.0,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,18.70613707978432,2.791459475419636,0.5182014562024928,50.07841605111997,19.007059719425424,34.418913673278055,1477995528086014.0,31.0789417328151,896.39202704064,1486.87904887343,0.0773066426614,0.0271161655420554,0.537372869641906,50.0786186247174,19.8174357952077,19.80212743531193,14.174072177266458,1.0,652489604146506.4,25.188957075739715,1552013315792412.8,0.0021045877148511073,1.633473974518495e-05,3.16,35.8,2023-08-06 17:05:00,0.0007730664266135286,0.08760910614316321,0.0,626.2153768428498,4,0.0007730664266135286,4.248739,-3.8380992,0.08760910614316321,0.0,0.0,0.7853786981782673,911.6960486624008,11075.049151884847,0.2702733522962196,0.9627836283602684,4.641411090762676,242.72815546654456,0.09159567147310355,inf,0.0,232.5139326872626,0.0,0.0,0.0,0 days,0.00075614563,4.742212e-07,40401.55,0.08817344,-311.8241,0.0,0.0,0.9999999999999999,-8.09278733433757e-13,5.9819203e-12,2.4749204e-16,0.0,0.0,0.0,7.480000000000001e-16,6.823983454488048e-14,5.17264173006684e-12,1272.6247404372739,7.019988692043114e-13,1.5242130054182167e-13,0.0,0.00075614563,4.742212e-07,40401.55,0.08817344,-311.8241,0.0,0.0,0.0,-8.09278733433757e-13,5.9819203e-12,2.4749204e-16,0.0,0.0,0.0,7.480000000000001e-16,6.823983454488048e-14,5.17264173006684e-12,1272.6247404372739,7.019988692043114e-13,1.5242130054182167e-13,0.0
5,5,6,a35da8,FFT4000,37.84593200683594,-121.895823377244,188.286666504,4716.780000000001,0.692952330992942,34610D,271.89255,6.6691656,-3.113317,181.0551766241662,67061.88085727216,0.3866747232638181,1.01417916671231,62.4117058883317,93.2032294605866,2612.359910801834,0.0004865232486895,56095.647368712234,0.079667911354891,0.5200975490694308,1.0,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,18.03711498101748,2.696791771375071,0.5477337611587645,46.60198850332047,18.716827062044604,36.28235538999999,1450000000000000.0,29.4097549364015,892.047059067834,1477.59148097777,0.048652324869,0.0270299165334549,0.507089583356155,46.6016147302933,18.7603088869524,18.751185999023377,14.430632064793286,1.0,631786044334773.1,22.964858075574288,1428252164558517.2,0.001984318860694202,1.5816436834036045e-05,3.16,35.8,2023-08-06 17:06:00,0.0004865232486895336,0.07966793422535777,0.0,560.9564736871223,5,0.0004865232486895336,6.6691656,-3.113317,0.07966793422535777,0.0,0.0,0.7187441208384358,916.3338544414188,11555.269067995321,0.2328721522021101,0.9725073576733275,4.2361178460929985,241.6593713339964,0.07869533074737634,inf,0.0,231.49788692281294,0.0,0.0,0.0,0 days,0.0004729455,4.5314937e-07,49076.35,0.075039156,-312.88126,0.0,0.0,1.0,-7.599275363918473e-13,4.956167e-12,2.4586775e-16,0.0,0.0,0.0,7.48e-16,5.5544983311970943e-14,4.196239657960093e-12,1272.4000012971578,5.066845707406091e-13,1.4383170076647316e-13,0.0,0.0004729455,4.5314937e-07,49076.35,0.075039156,-312.88126,0.0,0.0,0.0,-7.599275363918473e-13,4.956167e-12,2.4586775e-16,0.0,0.0,0.0,7.48e-16,5.5544983311970943e-14,4.196239657960093e-12,1272.4000012971578,5.066845707406091e-13,1.4383170076647316e-13,0.0
6,6,7,a35da8,FFT4000,37.87001037597656,-121.76807809383313,198.06111094,5471.16,0.6965071653933778,34610D,266.49466,8.976448,-3.4343667,189.73765534325355,66999.46915138383,0.39656684406562365,0.988538745076048,60.44115344372535,88.9074197098828,2660.5686174967864,0.0003277566601556,50703.897051540545,0.0766798892091909,0.5036762786977113,1.0,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,16.86014406376685,2.523495585056944,0.5797843160031945,44.45410608547739,18.43015652081093,36.28235539,1450000000000000.0,28.3587366328337,891.066034169618,1490.55361557024,0.0327756660156,0.0273253178449619,0.494269372538024,44.4537098549414,18.0883302197033,18.082403591494565,13.988307475093878,1.0,624713404639241.9,21.209612744045582,1329120726228736.5,0.002074859018450378,1.563937695752033e-05,3.16,35.8,2023-08-06 17:07:00,0.00032775666015566474,0.0766798731117812,0.0,507.03897051540554,6,0.00032775666015566474,8.976448,-3.4343667,0.0766798731117812,0.0,0.0,0.6628195015077025,921.0348272653831,11894.554073287172,0.22926335038196238,0.9733644313265396,3.8911901184717013,240.6758585958727,0.07186698478120233,inf,0.0,230.58295603318024,0.0,0.0,0.0,0 days,0.0003199039,3.717765e-07,56878.625,0.07199848,-314.15057,0.0,0.0,1.0,-7.155520473477907e-13,4.149459e-12,2.3959526e-16,0.0,0.0,0.0,7.48e-16,4.562838560042969e-14,3.433906948387211e-12,1272.1979281557883,4.225927690148837e-13,1.401953556576812e-13,0.0,0.0003199039,3.717765e-07,56878.625,0.07199848,-314.15057,0.0,0.0,0.0,-7.155520473477907e-13,4.149459e-12,2.3959526e-16,0.0,0.0,0.0,7.48e-16,4.562838560042969e-14,3.433906948387211e-12,1272.1979281557883,4.225927690148837e-13,1.401953556576812e-13,0.0
7,7,8,a35da8,FFT4000,37.8944091796875,-121.63641747007978,204.234444268,6240.780000000001,0.7000731505805546,34610D,260.53226,11.960222,-3.934668,195.6469820073801,66939.0279979401,0.40613557071004763,0.909390465700288,58.94629420100327,81.232479673337,2387.900348699872,0.0002969118081446,45643.61268941082,0.1060233389218114,0.4912191183416939,1.0,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,15.957202098833498,2.38884243309693,0.6046438088719396,40.61695213640224,18.143071093441712,36.28235539,1450000000000000.0,26.363580554863,880.61318358492,1470.76148480486,0.0296911808145,0.0268948850529462,0.454695232850144,40.6162398366685,16.9063832009326,16.901364986094464,14.163711924478308,1.0,615315383253404.8,19.310452874861987,1223229130913989.0,0.0019145168059378009,1.5404102353171444e-05,3.16,35.8,2023-08-06 17:08:00,0.0002969118081446939,0.10602344183708452,0.0,456.4361268941082,7,0.0002969118081446939,11.960222,-3.934668,0.10602344183708452,0.0,0.0,0.6103247100662934,925.7505474645347,12650.034778877194,0.22641163287106575,0.9740317102131005,3.559192079963721,239.65339309187823,0.09373153617212929,inf,0.0,229.74285466495144,0.0,0.0,0.0,0 days,0.0002904625,2.8978297e-07,64834.617,0.102342814,-315.2172,0.0,0.0,0.9999999999999998,-6.703139941369654e-13,3.4209087e-12,2.3327494e-16,0.0,0.0,0.0,7.48e-16,3.6739007623282686e-14,2.750594822341488e-12,1271.9931658281266,2.8733428609576453e-13,1.2897048335798743e-13,0.0,0.0002904625,2.8978297e-07,64834.617,0.102342814,-315.2172,0.0,0.0,0.0,-6.703139941369654e-13,3.4209087e-12,2.3327494e-16,0.0,0.0,0.0,7.48e-16,3.6739007623282686e-14,2.750594822341488e-12,1271.9931658281266,2.8733428609576453e-13,1.2897048335798743e-13,0.0
8,8,9,a35da8,FFT4000,37.9200439453125,-121.49616647273936,209.893333152,6934.200000000001,0.7036905803152301,34610D,254.48027,13.884949,-3.937806,200.30372029673345,66880.0817037391,0.4137487573770592,0.850925209987022,58.208431141978885,75.6346002916426,2089.6770059119867,0.0002432786777191,41442.16772350145,0.1382806740680433,0.4850702595164907,1.0,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,15.23094333328564,2.2809361362383083,0.6263529853074097,37.81758685847189,17.972456401559946,36.28235538999999,1450000000000000.0,24.831080178913,870.788405682157,1455.12700266057,0.0243278677719,0.0265915171039343,0.425462604993511,37.8173001458213,15.9999372480543,15.996045751195217,14.283702789026297,0.9771631202159572,630865745897590.1,17.671206133245168,1131631549173150.8,0.0017926350915871997,1.4896394749456068e-05,3.16,35.8,2023-08-06 17:09:00,0.0002432786777191933,0.13828064965290526,0.0,414.42167723501456,8,0.0002432786777191933,13.884949,-3.937806,0.13828064965290526,0.0,0.0,0.5673235293143428,930.5342980215563,12759.689666409362,0.22559693948978718,0.9742207249349817,3.2733868199544682,238.7031672595357,0.11517685504439082,inf,0.0,228.96578550983878,0.0,0.0,0.0,0 days,0.00023722624,3.0052638e-07,72014.914,0.13711898,-316.41098,0.0,0.0,1.0,-6.294931396300241e-13,2.8502454e-12,2.3410307e-16,0.0,0.0,0.0,7.480000000000001e-16,2.9851882759125843e-14,2.220752283994573e-12,1271.7780309247673,2.0325191774735427e-13,1.2067889402052748e-13,0.0,0.00023722624,3.0052638e-07,72014.914,0.13711898,-316.41098,0.0,0.0,0.0,-6.294931396300241e-13,2.8502454e-12,2.3410307e-16,0.0,0.0,0.0,7.480000000000001e-16,2.9851882759125843e-14,2.220752283994573e-12,1271.7780309247673,2.0325191774735427e-13,1.2067889402052748e-13,0.0
9,9,10,a35da8,FFT4000,37.94581604003906,-121.35457140334108,218.6388887,7543.8,0.7072930100926289,34610D,249.33354,15.264977,-4.0805726,205.47471723012785,66821.87327259712,0.4196644486158163,0.807185375494858,57.36763275304119,70.9411970085426,1953.6751566374096,0.0001394709483435,38012.54249929331,0.1197658185924166,0.4780636062753433,1.0,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,14.113193579074212,2.1150106563685025,0.649120402630075,35.469978542479346,17.822646601823735,36.28235539,1450000000000000.0,23.5733354381488,862.906458069592,1452.25788600244,0.0139470948344,0.026418653422186,0.403592687747429,35.4705985042713,15.2768076895432,15.27467731581232,13.860463211931284,0.9393474342486836,657941282921591.1,16.385930684802812,1058857228092097.0,0.0018121142102523096,1.4048816114095367e-05,3.16,35.8,2023-08-06 17:10:00,0.00013947094834351273,0.11976580530968797,0.0,380.1254249929332,9,0.00013947094834351273,15.264977,-4.0805726,0.11976580530968797,0.0,0.0,0.5311151189203426,935.2982152148043,13320.675217992797,0.22390606277383615,0.9746107300112795,3.0328260660213022,237.84464800694224,0.09480965078677565,inf,0.0,228.10846532652045,0.0,0.0,0.0,0 days,0.00015484412,4.7648615e-07,78293.62,0.1157491,-317.5765,0.0,0.0,1.0,-5.938045055018121e-13,2.4601903e-12,2.4766664e-16,0.0,0.0,0.0,7.479999999999999e-16,2.5258680427220724e-14,1.8663856764311024e-12,1271.5617435129975,1.637990935262417e-13,1.1447567570098115e-13,0.0,0.00015484412,4.7648615e-07,78293.62,0.1157491,-317.5765,0.0,0.0,0.0,-5.938045055018121e-13,2.4601903e-12,2.4766664e-16,0.0,0.0,0.0,7.479999999999999e-16,2.5258680427220724e-14,1.8663856764311024e-12,1271.5617435129975,1.637990935262417e-13,1.1447567570098115e-13,0.0
