,index,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,time,specific_humidity,air_pressure,rhi,fuel_flow_per_engine,thrust_setting,nox_ei,co_ei,hc_ei,nvpm_ei_m,nvpm_ei_n,co2,h2o,so2,sulphates,oc,nox,co,hc,nvpm_mass,nvpm_number,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,W3_no_water_injection,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,ei_nox_p3t3,ei_nvpm_number_p3t3_meem,ei_nvpm_mass_p3t3_meem
0,1,a35da8,FFT4000,37.64968096199682,-122.33503258746605,94.657777696,632.46,-0.9281921813670736,34610D,286.36752,7.041589,5.3946915,99.00736364760856,67804.4573012219,0.2522718603878443,1.0696085297529545,64.17651178517727,117545.39760661856,1892.1798645682568,2023-11-06 08:01:00,0.0098313740461756,0.9395421408487008,0.8611746502468464,0.5348042648764773,0.7162477345802438,0.0143004675029384,0.0003336254463336,7.050574720637001e-05,2.0521368500709404e-05,1327339759815738.0,202.73360072937496,79.38634507826428,0.0770118141422127,0.0015716696763716,0.0012835302357035,0.9177541212358749,0.0214109173884677,0.0045248129165123,0.0013169898474337,8.518403573874907e+16,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,30.717075062421635,4.305570204820122,0.291852110015094,58.77269880330928,14.300467502938462,20.521368500709404,1327339759815738.0,30.8381303963277,810.515648110034,1182.03493502455,0.983137404618,0.0181033890176123,0.454898311085495,58.7727506440493,25.1277984825348,24.883162801580582,18.286284272051276,0.715547043043636,0.9776427385313299,668285183665796.2,8.068476345765431
1,2,a35da8,FFT4000,37.68706240896451,-122.27317478345788,134.784444328,1203.96,-0.9277978747210152,34610D,283.16675,9.021584,8.462964,114.18676064240518,67740.28078943673,0.2488527189036998,1.445798807693662,86.74792846161972,151899.07159392702,3503.9634187617867,2023-11-06 08:02:00,0.0069085030495261,0.8767312586169648,0.71941691083451,0.722899403846831,1.0,0.0194551467492566,0.0003449855755201,7.481981891286661e-05,3.577925257969841e-05,1457558395161791.0,274.0367060102567,107.3071875070236,0.1040975141539436,0.0021244390643661,0.0017349585692323,1.6876936784148266,0.0299267840255151,0.0064904642985646,0.0031037760431939,1.2644017139212829e+17,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,28.353797717636706,4.057187359647566,0.3384946786203524,75.9495357969635,19.455146749256617,35.77925257969841,1457558395161791.0,38.731038270034,864.168777595744,1334.78716497157,0.690850304953,0.0206849878152824,0.637072236321039,75.9495364914608,30.798772617616,30.587459063399248,13.955068660711262,0.8988094400930616,2.169740396750944,1015563874384333.2,16.13863090347678
2,3,a35da8,FFT4000,37.72793527376854,-122.1945389457371,140.443333212,2255.52,-0.9273480561823432,34610D,279.30914,10.914991,15.536061,127.40210704009785,67653.5328609751,0.2576613265316677,1.3298109668579772,79.78865801147863,134060.89153431784,3151.035290139468,2023-11-06 08:03:00,0.0043150977706699,0.770051164429154,0.5324220153991494,0.6649054834289886,1.0,0.0195671035591636,0.0003763711557457,8.162666417127541e-05,3.628235539e-05,1450000000000000.0,252.05237065826097,98.69856996019908,0.0957463896137743,0.0019540079513015,0.0015957731602295,1.561232934157298,0.0300301494311787,0.0065128819921797,0.0028949204460636,1.1569355411664402e+17,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,24.055158544468178,3.5044734206618795,0.3802692896116409,67.03044576715892,19.567103559163687,36.28235539,1450000000000000.0,35.5304984550905,864.534223228611,1349.28017955799,0.431509777067,0.0207482563179072,0.588581052157735,67.0308634933755,28.3677357335203,28.24585212000659,12.838547121072818,0.8999440088902813,2.583458610899565,908178769059371.8,14.483737337963749
3,4,a35da8,FFT4000,37.77085643703654,-122.11112644361413,151.246666536,3192.78,-0.9268564334878154,34610D,274.95132,14.135169,14.081412,142.89168656592884,67573.74420296363,0.2828651800992828,1.1708036791244032,70.24822074746419,99962.25962031951,2318.0819905171384,2023-11-06 08:04:00,0.0006797813137749,0.684065121293734,0.105572758014944,0.5854018395622016,0.9411417690682062,0.0188611692354093,0.0004032088852596,8.744718017179146e-05,3.427824817067139e-05,1480108824677809.5,221.91412934123932,86.89704906461321,0.084297864896957,0.0017203645897338,0.0014049644149492,1.3249635800043131,0.0283247067790554,0.0061430088164512,0.0024079859443296,1.0397501144623651e+17,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,24.16180352213572,3.607845785778909,0.4298691377206628,49.98112981015976,18.861169235409303,34.2782481706714,1480108824677809.5,29.4792965621682,836.470129008823,1244.47683262086,0.0679781313775,0.0188114263920205,0.449781389476426,49.9820406775252,23.91000980485,23.893767268345293,15.167504904447803,0.8072201666989003,1.7376493763194996,655661578808816.1,8.602982311959185
4,5,a35da8,FFT4000,37.81915283203125,-122.01690673828124,175.425555404,3878.58,-0.9262956784812538,34610D,271.4321,20.26382,11.853028,153.52208305346744,67503.49598221616,0.2856473815235754,1.18849575635129,71.3097453810774,100459.96837385336,2839.8096238394373,2023-11-06 08:05:00,0.000399887880461,0.6262153768428498,0.0759560007478354,0.5942478781756451,1.0,0.0198855170710755,0.000422872163129,9.171171467357092e-05,3.628235539e-05,1450000000000000.0,225.26748565882352,88.21015503639276,0.0855716944572928,0.0017463611113733,0.0014261949076215,1.4180311591094654,0.0301549062814746,0.0065399390218343,0.0025872855246866,1.0339913080256224e+17,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,22.861708788147872,3.42011419795117,0.4648335310556999,50.22998418692668,19.885517071075547,36.28235539,1450000000000000.0,29.8396443354749,848.89368873476,1281.52491600495,0.0399887880461,0.0194913884797226,0.468427471561873,50.2306244880032,24.0325347806386,24.022928302757144,14.276863472297807,0.8510077850264469,2.0490565882642877,706207358288973.2,9.591191152222942
5,6,a35da8,FFT4000,37.84593200683594,-121.895823377244,188.286666504,4716.780000000001,-0.9258247207463476,34610D,265.9943,26.930115,13.000597,157.66962176704655,67432.18623683508,0.2845346423082588,1.1459571062949307,68.75742637769585,95552.58684829192,2559.313308660858,2023-11-06 08:06:00,0.0023721811677892,0.5609564736871223,0.6412239602306844,0.5729785531474654,1.0,0.0187235737858058,0.0004425437882423,9.597805950981723e-05,3.628235539e-05,1450000000000000.0,217.2047099271412,85.05293642920978,0.082508911653235,0.0016838553398619,0.0013751485275539,1.2873847461049033,0.0304281719389777,0.0065992043606203,0.0024946813795373,9.969826824765898e+16,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,22.265675450730168,3.2870331016171948,0.4822464724970741,47.77629342414596,18.72357378580588,36.28235539,1450000000000000.0,28.374775138146,847.949225949461,1281.86618941493,0.237218116779,0.0196569352754772,0.447823060375513,47.7757334182298,22.7819369652293,22.72802197950841,14.699686978260948,0.8479491720736695,1.835152487217195,680224115106486.2,9.193505474653579
6,7,a35da8,FFT4000,37.87001037597656,-121.76807809383313,198.06111094,5471.16,-0.9253333761354352,34610D,261.4604,30.849215,14.973489,164.32169462841586,67363.4288104574,0.2809911418410786,1.100353121844338,66.02118731066028,93419.43095227476,2614.552241201716,2023-11-06 08:07:00,0.0023236964897931,0.5070389705154055,0.8476710344637638,0.550176560922169,1.0,0.018311572820114,0.0004635350698046,0.0001005306089399,3.628235539e-05,1450000000000000.0,208.5609307143758,81.66820870328678,0.0792254247727923,0.0016168454035263,0.0013204237462132,1.208951779109545,0.0306031356686344,0.0066371501632803,0.0023954041812751,9.57307216004574e+16,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,20.515696825416526,3.029682271113597,0.5069313774940764,46.709715476137376,18.311572820114044,36.28235538999999,1450000000000000.0,27.7838206276033,856.972898357517,1314.61489276388,0.232369648979,0.0202906253083893,0.450137299616918,46.7093159338716,22.1844961786764,22.133065651713157,13.920858712305664,0.8763890301774929,2.086180019846403,662239994413426.6,9.793025374263474
7,8,a35da8,FFT4000,37.8944091796875,-121.63641747007978,204.234444268,6240.780000000001,-0.9248031010906466,34610D,256.45126,34.292248,12.900019,170.04174516441535,67297.40762314673,0.2878006546533954,1.0610769909795243,63.66461945877146,83116.93734385756,2354.416119130477,2023-11-06 08:08:00,0.0016562156291604,0.4564361268941082,0.8610609960730748,0.5305384954897622,1.0,0.0181471277313501,0.0004840984203803,0.0001049903495073,3.628235539e-05,1450000000000000.0,201.11653287025905,78.75313427050031,0.0763975433505257,0.0015591335377658,0.0012732923891754,1.1553299812861242,0.0308199417141094,0.0066841706482301,0.0023099023489722,9.231369821521862e+16,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,19.36595603184814,2.872819205723639,0.5296760659605017,41.55846867192878,18.14712773135012,36.28235539,1450000000000000.0,25.3807017648215,844.992925512276,1286.85094631532,0.165621562916,0.019737317854173,0.402979967595894,41.5580060298764,20.4171595438279,20.38340023777866,14.259537063820286,0.837843384093728,1.8765357991997218,596192568187280.4,8.001542643309326
8,9,a35da8,FFT4000,37.9200439453125,-121.49616647273936,209.893333152,6934.200000000001,-0.9242217628471924,34610D,251.33951,38.524193,11.175931,172.78275286885088,67233.74300368795,0.2869754072026697,1.0368911150214986,62.21346690128991,77721.68201020054,2066.3969834579334,2023-11-06 08:09:00,0.0010822278551543,0.4144216772350145,0.8320721193603386,0.5184455575107493,1.0,0.0180544301958719,0.000499867054735,0.0001084102210922,3.628235539e-05,1450000000000000.0,196.5323419411748,76.95805855689562,0.0746561602815478,0.0015235951077866,0.0012442693380257,1.1232286954125257,0.0310984624648019,0.0067445757016845,0.0022572511161566,9.020952700687037e+16,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,18.62873989353106,2.774150442810454,0.5436597790720078,38.86084100510027,18.0544301958719,36.28235539,1450000000000000.0,23.9106367977038,839.794653487556,1275.61442302439,0.108222785515,0.0196025345808985,0.377538007657294,38.8598671492493,19.2596526790562,19.238831879295795,14.527759585958625,0.8191276221717835,1.7691211501163222,545038417739186.4,7.216490764391577
9,10,a35da8,FFT4000,37.94581604003906,-121.35457140334108,218.6388887,7543.8,-0.9236029630521368,34610D,246.86157,41.664967,10.21055,176.41312140313258,67171.52953678666,0.2832534927160201,1.0146344768283977,60.87806860970386,74749.45758205204,1933.281959778756,2023-11-06 08:10:00,0.0006528053158801,0.3801254249929331,0.7176924488987741,0.5073172384141988,1.0,0.0179422245639296,0.0005144656146375,0.0001115763291437,3.628235539e-05,1450000000000000.0,192.3138187380545,75.30617087020369,0.0730536823316446,0.001490891476156,0.001217561372194,1.09228797801362,0.0313196729852384,0.0067925514208308,0.002208799720754,8.82731994840706e+16,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,17.357299683437464,2.592264015012947,0.5600945613156401,37.37472879102602,17.942224563929603,36.28235539,1450000000000000.0,23.0225571463368,840.617480619693,1287.7200273967,0.065280531588,0.0198325618264476,0.367573530252982,37.374936488517,18.5338401296602,18.521749033431778,14.061064678829762,0.8220850556186785,1.874963237567993,532559099801210.7,7.066755951360692
