trajectory,season,diurnal,engine,saf_level,water_injection,contrail_atr20_cocip_sum,contrail_atr20_cocip_sum_baseline
sfo_dfw,2023-11-06,daytime,GTF2035,20,0,8.02091178640287e-16,-1.208807527633023e-13
sfo_dfw,2023-11-06,daytime,GTF2035,100,0,1.2572171878549815e-15,-1.208807527633023e-13
sfo_dfw,2023-11-06,daytime,GTF2035_wi,100,15,3.4248222310436865e-15,-1.208807527633023e-13
bos_fll,2023-05-05,daytime,GTF2000,0,0,3.1337218785639e-13,-2.8240178399778226e-12
bos_fll,2023-05-05,daytime,GTF,0,0,3.344693081093128e-13,-2.8240178399778226e-12
bos_fll,2023-05-05,daytime,GTF2035,0,0,3.359851290766225e-13,-2.8240178399778226e-12
bos_fll,2023-05-05,daytime,GTF2035,20,0,3.109652425146905e-13,-2.8240178399778226e-12
bos_fll,2023-05-05,daytime,GTF2035,100,0,2.205039846988536e-13,-2.8240178399778226e-12
bos_fll,2023-05-05,daytime,GTF2035_wi,0,15,2.716485330558601e-13,-2.8240178399778226e-12
bos_fll,2023-05-05,daytime,GTF2035_wi,20,15,2.518855636842567e-13,-2.8240178399778226e-12
bos_fll,2023-05-05,daytime,GTF2035_wi,100,15,5.6837439044361474e-14,-2.8240178399778226e-12
dus_tos,2023-02-06,daytime,GTF2000,0,0,6.23183811541251e-13,-7.1317570897338536e-12
dus_tos,2023-02-06,daytime,GTF,0,0,9.144044149611472e-13,-7.1317570897338536e-12
dus_tos,2023-02-06,daytime,GTF2035,0,0,8.618970548998203e-13,-7.1317570897338536e-12
dus_tos,2023-02-06,daytime,GTF2035,20,0,1.07413116244934e-12,-7.1317570897338536e-12
dus_tos,2023-02-06,daytime,GTF2035,100,0,1.0331771293273136e-12,-7.1317570897338536e-12
dus_tos,2023-02-06,daytime,GTF2035_wi,0,15,1.3016885920336873e-12,-7.1317570897338536e-12
dus_tos,2023-02-06,daytime,GTF2035_wi,20,15,9.306719475430973e-13,-7.1317570897338536e-12
dus_tos,2023-02-06,daytime,GTF2035_wi,100,15,1.1002019318473528e-12,-7.1317570897338536e-12
hel_kef,2023-08-06,daytime,GTF2000,0,0,5.9170899896099824e-12,-5.693468995501864e-13
hel_kef,2023-08-06,daytime,GTF,0,0,4.755622324398746e-12,-5.693468995501864e-13
hel_kef,2023-08-06,daytime,GTF2035,0,0,3.782229221599901e-12,-5.693468995501864e-13
hel_kef,2023-08-06,daytime,GTF2035,20,0,3.248164776593305e-12,-5.693468995501864e-13
hel_kef,2023-08-06,daytime,GTF2035,100,0,1.2472200768408113e-12,-5.693468995501864e-13
hel_kef,2023-08-06,daytime,GTF2035_wi,0,15,2.619268539533577e-12,-5.693468995501864e-13
hel_kef,2023-08-06,daytime,GTF2035_wi,20,15,2.384150042089556e-12,-5.693468995501864e-13
hel_kef,2023-08-06,daytime,GTF2035_wi,100,15,9.050205158947126e-13,-5.693468995501864e-13
hel_kef,2023-11-06,daytime,GTF2035,100,0,-2.786756276849224e-12,1.1690694790015222e-09
hel_kef,2023-11-06,daytime,GTF2035_wi,20,15,-3.7043489341853233e-13,1.1690694790015222e-09
hel_kef,2023-11-06,daytime,GTF2035_wi,100,15,-2.7143491991083607e-12,1.1690694790015222e-09
lhr_ist,2023-05-05,daytime,GTF2000,0,0,1.2621704271160189e-11,-3.435544309271674e-11
lhr_ist,2023-05-05,daytime,GTF,0,0,1.095972924260368e-11,-3.435544309271674e-11
lhr_ist,2023-05-05,daytime,GTF2035,0,0,1.1239410055923176e-11,-3.435544309271674e-11
lhr_ist,2023-05-05,daytime,GTF2035,20,0,1.0599506844436914e-11,-3.435544309271674e-11
lhr_ist,2023-05-05,daytime,GTF2035,100,0,9.270406918591415e-12,-3.435544309271674e-11
lhr_ist,2023-05-05,daytime,GTF2035_wi,0,15,1.1970126831527612e-11,-3.435544309271674e-11
lhr_ist,2023-05-05,daytime,GTF2035_wi,20,15,1.0872149803230734e-11,-3.435544309271674e-11
lhr_ist,2023-05-05,daytime,GTF2035_wi,100,15,8.470529807677745e-12,-3.435544309271674e-11
