trajectory,season,diurnal,engine,saf_level,water_injection,untrimmed_min_altitude,untrimmed_max_altitude,trimmed_min_altitude,trimmed_max_altitude,fuel_sum,fuel_kg_sum,energy_sum,ei_co2_conservative_sum,ei_co2_optimistic_sum,co2_conservative_sum,co2_optimistic_sum,ei_nox_sum,nox_sum,ei_nvpm_mass_sum,nvpm_mass_sum,ei_nvpm_num_sum,nvpm_num_sum,nox_impact_sum,co2_impact_cons_sum,co2_impact_opti_sum,h2o_impact_sum,contrail_atr20_cocip_sum,contrail_atr20_accf_sum,contrail_atr20_accf_cocip_pcfa_sum,climate_non_co2_cocip,climate_total_cons_cocip,climate_total_opti_cocip,climate_non_co2_accf,climate_total_cons_accf,climate_total_opti_accf,climate_non_co2_accf_cocip_pcfa,climate_total_cons_accf_cocip_pcfa,climate_total_opti_accf_cocip_pcfa,accf_sac_pcfa_sum,accf_sac_issr_sum,accf_sac_sac_sum,contrail_formed,contrail_atr20_cocip_sum_relative_change,contrail_atr20_accf_sum_relative_change,contrail_atr20_accf_cocip_pcfa_sum_relative_change,nox_impact_sum_relative_change,co2_impact_cons_sum_relative_change,co2_impact_opti_sum_relative_change,h2o_impact_sum_relative_change,climate_non_co2_cocip_relative_change,climate_non_co2_accf_relative_change,climate_non_co2_accf_cocip_pcfa_relative_change,climate_total_cons_cocip_relative_change,climate_total_opti_cocip_relative_change,climate_total_cons_accf_relative_change,climate_total_opti_accf_relative_change,climate_total_cons_accf_cocip_pcfa_relative_change,climate_total_opti_accf_cocip_pcfa_relative_change,engine_display
sfo_dfw,2023-11-06,daytime,GTF1990,0,0,632.46,11308.08,632.46,11308.08,104.83748888800652,6290.249333280392,270675719.06038857,711.45,711.45,24060.2036997975,24060.2036997975,1.985979313716632,76.93142490658639,0.0093856007306594,0.3475745183176165,1.0981571654291642e+18,3.6347281975181648e+19,1.711813372030777e-10,4.705106501293733e-12,4.705106501293733e-12,1.5262988463217966e-12,-1.208807527633023e-13,1.3588593371853223e-10,1.3588593371853223e-10,1.7258675529663619e-10,1.772918617979299e-10,1.772918617979299e-10,3.085935697679317e-10,3.132986762692254e-10,3.132986762692254e-10,3.085935697679317e-10,3.132986762692254e-10,3.132986762692254e-10,20.298285091538556,25.172958043588544,103.60889676396756,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CFM1990
sfo_dfw,2023-11-06,daytime,GTF2000,0,0,632.46,11308.08,632.46,11308.08,104.83748888800652,6290.249333280392,270675719.06038857,711.45,711.45,24060.2036997975,24060.2036997975,1.9902001831897944,77.11112243477777,0.0019194696238691,0.0875148703471579,1.0097607515724349e+17,3.842383145066102e+18,1.7224067060820606e-10,4.705106501293733e-12,4.705106501293733e-12,1.5262988463217966e-12,-1.2274036811401732e-14,1.3588593371853223e-10,1.3588593371853223e-10,1.7375469541771644e-10,1.7845980191901018e-10,1.7845980191901018e-10,3.096529031730601e-10,3.143580096743538e-10,3.143580096743538e-10,3.096529031730601e-10,3.143580096743538e-10,3.143580096743538e-10,20.298285091538556,25.172958043588544,103.60889676396756,True,-0.8156425788271685,0.0,0.0,0.003084640416261529,0.0,0.0,0.0,0.0033722216000172498,0.001713448359986846,0.001713448359986846,0.003283020826599892,0.003283020826599892,0.0016877592939775025,0.0016877592939775025,0.0016877592939775025,0.0016877592939775025,CFM2008
sfo_dfw,2023-11-06,daytime,GTF,0,0,632.46,11308.08,632.46,11308.08,87.35148986851888,5241.089392111131,225529317.6319341,711.45,711.45,20047.166924825084,20047.166924825084,2.135735075952028,64.39696239937487,0.0012344539695656,0.0436957160091554,1.1456852397047056e+17,3.2316496405313e+18,1.3655187966933642e-10,3.920334865299128e-12,3.920334865299128e-12,1.2725988242880513e-12,-4.163537826635878e-15,1.6104564308619462e-10,1.6104564308619462e-10,1.3782031495579782e-10,1.4174064982109696e-10,1.4174064982109696e-10,2.9887012157981906e-10,3.0279045644511824e-10,3.0279045644511824e-10,2.9887012157981906e-10,3.0279045644511824e-10,3.0279045644511824e-10,25.172958043588544,25.172958043588544,115.77016959449672,True,-0.9334069903233008,0.08473234688747283,0.08473234688747283,-0.11253077547393465,-0.09098335988162858,-0.09098335988162858,-0.09064283581988439,-0.11200273341894262,-0.016006632703494877,-0.016006632703494877,-0.11143444847177982,-0.11143444847177982,-0.01705633043356959,-0.01705633043356959,-0.01705633043356959,-0.01705633043356959,GTF
sfo_dfw,2023-11-06,daytime,GTF2035,0,0,632.46,11308.08,632.46,11308.08,80.17505949897168,4810.503569938301,207000779.118015,711.45,711.45,18400.176155014,18400.176155014,2.496509291241101,69.24566224118915,0.001258534553111,0.0409680570949688,1.117037982987e+17,2.947259111250779e+18,1.4620368060113534e-10,3.598256670313849e-12,3.598256670313849e-12,1.1678614121947809e-12,-9.868430260044912e-16,1.6104564308619462e-10,1.6104564308619462e-10,1.473705551703041e-10,1.5096881184061794e-10,1.5096881184061794e-10,3.0841718509952475e-10,3.1201544176983856e-10,3.1201544176983856e-10,3.0841718509952475e-10,3.1201544176983856e-10,3.1201544176983856e-10,25.172958043588544,25.172958043588544,120.45037312221918,True,-0.9838046689997789,0.08473234688747283,0.08473234688747283,-0.0786982850505894,-0.1333013874142748,-0.1333013874142748,-0.13304235818710122,-0.07881113917832348,-0.00028586968219837354,-0.00028586968219837354,-0.08018947157312123,-0.08018947157312123,-0.0020521438143935714,-0.0020521438143935714,-0.0020521438143935714,-0.0020521438143935714,GTF2035
sfo_dfw,2023-11-06,daytime,GTF2035,20,0,632.46,11308.08,632.46,11308.08,79.77710644854098,4786.626386912458,206997658.1020293,697.5,577.6974,17949.848950921718,14866.782895111402,2.496423605554842,68.89950431115193,0.0010144425284455,0.0337679971522775,9.048059255051853e+16,2.475211989245668e+18,1.454718941177482e-10,3.510192683735803e-12,2.907281988377341e-12,1.1874289689252992e-12,8.02091178640287e-16,1.6104564308619462e-10,1.6104564308619462e-10,1.4666012517785208e-10,1.5017031786158792e-10,1.4956740716622946e-10,3.077049661728681e-10,3.1121515885660394e-10,3.1061224816124545e-10,3.077049661728681e-10,3.1121515885660394e-10,3.1061224816124545e-10,25.172958043588544,25.172958043588544,120.93159986460064,True,-0.9868166924332739,0.08473234688747283,0.08473234688747283,-0.0811911597367572,-0.14544982363337192,-0.2361708832064711,-0.12487246344034762,-0.08121185109232716,-0.0014418395359435702,-0.0014418395359435702,-0.08282343922752206,-0.0848207692551025,-0.003336222987280442,-0.0043057878982199595,-0.003336222987280442,-0.0043057878982199595,GTF2035 - 20
sfo_dfw,2023-11-06,daytime,GTF2035,100,0,632.46,11308.08,632.46,11308.08,78.22426353395494,4693.455812037297,206986094.7666568,640.3050000000001,42.687,16157.221632938394,1077.1481088625596,2.496087837924249,67.54900071466318,0.0004932639541832,0.0182878720410973,4.79918802348131e+16,1.5125988246395172e+18,1.4261668373434779e-10,3.159634452663508e-12,2.1064229684423386e-13,1.2619560142132029e-12,1.2572171878549815e-15,1.6104564308619462e-10,1.6104564308619462e-10,1.4387989696574884e-10,1.4703953141841234e-10,1.4409053926259308e-10,3.0492428283475567e-10,3.080839172874192e-10,3.0513492513159986e-10,3.0492428283475567e-10,3.080839172874192e-10,3.0513492513159986e-10,25.172958043588544,25.172958043588544,124.19960256665368,True,-0.9794131638448268,0.08473234688747283,0.08473234688747283,-0.09102878782790662,-0.19650641485560968,-0.9142989987917921,-0.09480583566807543,-0.09071053182275352,-0.005980733759596456,-0.005980733759596456,-0.09327598565007866,-0.1033078427000871,-0.00839218709355564,-0.013200691422868477,-0.00839218709355564,-0.013200691422868477,GTF2035 - 100
sfo_dfw,2023-11-06,daytime,GTF2035_wi,0,15,632.46,11308.08,632.46,11308.08,73.31374072061593,4398.824443236956,189285814.6169294,707.625,707.625,16825.503495381356,16825.503495381356,0.1946886526216173,5.005596934894233,0.0010146653599203,0.0306614948638257,8.894073491043706e+16,2.192917920403672e+18,1.0964997623890362e-11,3.2903206835412425e-12,3.2903206835412425e-12,1.067516839365025e-12,-1.537957339249736e-16,1.6104564308619462e-10,1.6104564308619462e-10,1.203236066752146e-11,1.5322681351062704e-11,1.5322681351062704e-11,1.7307815754945004e-10,1.7636847823299126e-10,1.7636847823299126e-10,1.7307815754945004e-10,1.7636847823299126e-10,1.7636847823299126e-10,25.172958043588544,25.172958043588544,123.31408124664304,True,-0.997458647372432,0.08473234688747283,0.08473234688747283,-0.8796023248636138,-0.1769493718154212,-0.1769493718154212,-0.1768753306136669,-0.8696520606256455,-0.2813439206266475,-0.2813439206266475,-0.8408979810085244,-0.8408979810085244,-0.27963933618425757,-0.27963933618425757,-0.27963933618425757,-0.27963933618425757,GTF2035WI
sfo_dfw,2023-11-06,daytime,GTF2035_wi,20,15,632.46,11308.08,632.46,11308.08,72.95020221090711,4377.012132654427,189283889.6766407,693.75,574.5915,16413.7954974541,13594.561982811383,0.1946771541395407,4.980477807557241,0.0008188765462032,0.0253145838698153,7.224023536889117e+16,1.845001978532741e+18,1.0909869715398008e-11,3.209808897279913e-12,2.6584921210831147e-12,1.0854082763771264e-12,-1.6364648332301035e-16,1.6104564308619462e-10,1.6104564308619462e-10,1.1995114345291812e-11,1.5204923242571724e-11,1.4653606466374927e-11,1.7304092107796977e-10,1.7625072997524968e-10,1.7569941319905289e-10,1.7304092107796977e-10,1.7625072997524968e-10,1.7569941319905289e-10,25.172958043588544,25.172958043588544,123.62794291457875,True,-0.9972960916103257,0.08473234688747283,0.08473234688747283,-0.8801713723575629,-0.18892148920294072,-0.277936710726094,-0.16881317438421523,-0.8700293331239819,-0.28144298480760566,-0.28144298480760566,-0.8420241331368462,-0.8473149004362299,-0.27994711983275417,-0.2813901854295459,-0.27994711983275417,-0.2813901854295459,GTF2035WI - 20
sfo_dfw,2023-11-06,daytime,GTF2035_wi,100,15,632.46,11308.08,632.46,11308.08,71.53281712947692,4291.969027768615,189280126.0936237,636.8625,42.4575,14775.103378093456,985.0068918728972,0.1946382704413562,4.882717658660529,0.0004004521364283,0.0138116604849374,3.869716808025506e+16,1.1343331043338058e+18,1.0695819064578762e-11,2.889353549493832e-12,1.9262356996625545e-13,1.1535733589227359e-12,3.4248222310436865e-15,1.6104564308619462e-10,1.6104564308619462e-10,1.1852817245732542e-11,1.4742170795226375e-11,1.2045440815698796e-11,1.7289503550969616e-10,1.7578438905919003e-10,1.7308765907966242e-10,1.7289503550969616e-10,1.7578438905919003e-10,1.7308765907966242e-10,25.172958043588544,25.172958043588544,126.10680863470638,True,-0.9448967235588677,0.08473234688747283,0.08473234688747283,-0.88238414010786,-0.23908914388345523,-0.9213416961883729,-0.13908330653589893,-0.8714720807216167,-0.2818312474497529,-0.2818312474497529,-0.8464629358020181,-0.8727620954833254,-0.281167549969647,-0.2882708805727216,-0.281167549969647,-0.2882708805727216,GTF2035WI - 100
bos_fll,2023-02-06,daytime,GTF1990,0,0,518.1600000000001,11459.633333333337,701.0400000000001,11459.633333333337,104.96976650557713,6298.1859903346285,271017241.3500894,650.25,650.25,24090.56141302995,24090.56141302995,2.064971079368287,88.59858465511618,0.0075974217637514,0.3241656256926454,7.107308640875318e+17,2.6144137054277685e+19,1.7079957240284991e-10,4.711043120770302e-12,4.711043120770302e-12,2.990284852220892e-12,-1.0367758598479916e-11,-9.311606789185584e-12,-9.311606789185584e-12,1.634220986565909e-10,1.681331417773612e-10,1.681331417773612e-10,1.6447825046588523e-10,1.691892935866555e-10,1.691892935866555e-10,1.6447825046588523e-10,1.691892935866555e-10,1.691892935866555e-10,5.828832189548876,7.850433569174726,18.527051345449884,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CFM1990
