trajectory,season,diurnal,engine,saf_level,water_injection,untrimmed_min_altitude,untrimmed_max_altitude,trimmed_min_altitude,trimmed_max_altitude,fuel_sum,fuel_kg_sum,energy_sum,ei_co2_conservative_sum,ei_co2_optimistic_sum,co2_conservative_sum,co2_optimistic_sum,ei_nox_sum,nox_sum,ei_h2o_sum,h2o_sum,ei_nvpm_mass_sum,nvpm_mass_sum,ei_nvpm_num_sum,nvpm_num_sum,nox_impact_sum,co2_impact_cons_sum,co2_impact_opti_sum,h2o_impact_sum,contrail_atr20_cocip_sum,contrail_atr20_accf_sum,contrail_atr20_accf_cocip_pcfa_sum,climate_non_co2_cocip,climate_total_cons_cocip,climate_total_opti_cocip,climate_non_co2_accf,climate_total_cons_accf,climate_total_opti_accf,climate_non_co2_accf_cocip_pcfa,climate_total_cons_accf_cocip_pcfa,climate_total_opti_accf_cocip_pcfa,accf_sac_pcfa_sum,accf_sac_issr_sum,accf_sac_sac_sum,contrail_formed,contrail_atr20_cocip_sum_relative_change,contrail_atr20_accf_sum_relative_change,contrail_atr20_accf_cocip_pcfa_sum_relative_change,nox_impact_sum_relative_change,co2_impact_cons_sum_relative_change,co2_impact_opti_sum_relative_change,h2o_impact_sum_relative_change,climate_non_co2_cocip_relative_change,climate_non_co2_accf_relative_change,climate_non_co2_accf_cocip_pcfa_relative_change,climate_total_cons_cocip_relative_change,climate_total_opti_cocip_relative_change,climate_total_cons_accf_relative_change,climate_total_opti_accf_relative_change,climate_total_cons_accf_cocip_pcfa_relative_change,climate_total_opti_accf_cocip_pcfa_relative_change,engine_display
sfo_dfw,2023-11-06,nighttime,GTF1990,0,0,632.46,11308.08,632.46,11308.08,104.51951358778322,6271.170815266993,269854751.35175395,711.45,711.45,23987.22836839625,23987.22836839625,1.99075345171408,77.59117345061006,230.082,7757.438298485271,0.0091915162952699,0.3412962950774223,1.0750594724062724e+18,3.562693519394144e+19,6.558893061339615e-11,3.5452486293741485e-12,3.5452486293741485e-12,1.1798398809219125e-12,1.8506088490782943e-11,3.197067235255997e-10,3.197067235255997e-10,8.527485898510102e-11,8.882010761447515e-11,8.882010761447515e-11,3.864754940199178e-10,3.90020742649292e-10,3.90020742649292e-10,3.864754940199178e-10,3.90020742649292e-10,3.90020742649292e-10,54.59241692464892,58.90640216050673,120.23267306281627,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CFM1990
sfo_dfw,2023-11-06,nighttime,GTF2000,0,0,632.46,11308.08,632.46,11308.08,104.51951358778322,6271.170815266993,269854751.35175395,711.45,711.45,23987.22836839625,23987.22836839625,1.993389987857456,77.74020301248754,230.082,7757.438298485271,0.0018783451631494,0.086477578104518,9.69323246185818e+16,3.6860742753885e+18,6.558994931681224e-11,3.5452486293741485e-12,3.5452486293741485e-12,1.1798398809219125e-12,1.2142511277863002e-11,3.197067235255997e-10,1.0079045450306201e-10,7.891230047559715e-11,8.245754910497128e-11,8.245754910497128e-11,3.8647651272333377e-10,3.90021761352708e-10,3.90021761352708e-10,1.6756024370079616e-10,1.7110549233017028e-10,1.7110549233017028e-10,54.59241692464892,58.90640216050673,120.23267306281627,True,-0.34386397839226557,0.0,-0.6847408981844841,1.5531636307493018e-05,0.0,0.0,0.0,-0.07461236037476789,2.6358810112335095e-06,-0.5664401849702776,-0.07163421302213052,-0.07163421302213052,2.6119211226419634e-06,2.6119211226419634e-06,-0.5612913016679502,-0.5612913016679502,CFM2008
sfo_dfw,2023-11-06,nighttime,GTF,0,0,632.46,11308.08,632.46,11308.08,85.95626355498464,5157.375813299079,221927038.62207264,711.45,711.45,19726.96248586897,19726.96248586897,2.094649703280798,64.81109789973561,230.082,6379.673881050961,0.0012320611603151,0.0446703095843309,1.0473067033824755e+17,3.070929907014754e+18,5.9798340281586e-11,2.9607001870790137e-12,2.9607001870790137e-12,9.8484522947064e-13,1.1268527563932454e-11,3.2820529472908907e-10,1.0226270134935675e-10,7.205171307498908e-11,7.50124132620681e-11,7.50124132620681e-11,3.8898848024014575e-10,3.9194918042722477e-10,3.9194918042722477e-10,1.6304588686041338e-10,1.6600658704749237e-10,1.6600658704749237e-10,55.68433704326881,58.90640216050673,123.0025585045657,True,-0.39109079860150864,0.026582397485328087,-0.6801359063655465,-0.08828609153489479,-0.16488221374711498,-0.16488221374711498,-0.16527213107841887,-0.15506499884593475,0.006502317117417189,-0.5781210209100335,-0.15545685231929163,-0.15545685231929163,0.004944449274244953,0.004944449274244953,-0.5743647224507593,-0.5743647224507593,GTF
sfo_dfw,2023-11-06,nighttime,GTF2035,0,0,632.46,11308.08,632.46,11308.08,81.61854119266263,4897.112471559759,210727646.763688,711.45,711.45,18731.45520371608,18731.45520371608,2.524382039783377,71.41032448835762,230.082,6057.728127319422,0.0012718705925744,0.0422445592935753,1.0815707541158294e+17,2.9386830886008243e+18,6.445210979254827e-11,2.7256275145883287e-12,2.7256275145883287e-12,9.066877871135345e-13,1.0811734156910863e-11,3.294089845499259e-10,1.023857539981082e-10,7.617053173657267e-11,7.889615925116099e-11,7.889615925116099e-11,3.9476778212958766e-10,3.97493409644176e-10,3.97493409644176e-10,1.6774455157777002e-10,1.7047017909235835e-10,1.7047017909235835e-10,55.83914389487032,58.90640216050673,124.1610962338864,True,-0.41577421061745673,0.030347378739281717,-0.679751014088667,-0.017332510382715282,-0.23118861340072208,-0.23118861340072208,-0.23151624065711385,-0.1067644949154244,0.021456180891103353,-0.5659632908855924,-0.1117308752471815,-0.1117308752471815,0.019159665570924352,0.019159665570924352,-0.5629202233337479,-0.5629202233337479,GTF2035
sfo_dfw,2023-11-06,nighttime,GTF2035,20,0,632.46,11308.08,632.46,11308.08,81.21321537696602,4872.792922617962,210723929.9386137,697.5,577.6974,18272.97345981736,15134.407538359124,2.5242905566608065,71.05312245148873,235.104,6159.210254189104,0.0010294072611635,0.0350128676003715,8.81887320731259e+16,2.478627201005121e+18,6.413010061441754e-11,2.658929762739488e-12,2.2022319866913533e-12,9.21882654458997e-13,1.0245662895666002e-11,3.3026345999939886e-10,1.0212847680380312e-10,7.529764616454256e-11,7.795657592728203e-11,7.749987815123391e-11,3.953154432682753e-10,3.9797437303101486e-10,3.9751767525496676e-10,1.6718046007267967e-10,1.6983938983541916e-10,1.6938269205937103e-10,55.94789400814494,58.90640216050673,125.22849757115604,True,-0.4463625903027044,0.03302006400548491,-0.6805557428459104,-0.02224201531166073,-0.25000189247407584,-0.3788215674227286,-0.21863748686080248,-0.11700063699081165,0.022873246519226818,-0.5674228698597286,-0.12230937316971538,-0.1274512018424572,0.02039283943642657,0.01922188177672394,-0.5645375456655152,-0.5657085033252179,GTF2035 - 20
sfo_dfw,2023-11-06,nighttime,GTF2035,100,0,632.46,11308.08,632.46,11308.08,79.63294916778628,4777.976950067177,210713561.47491255,640.3050000000001,42.687,16448.185650606258,1096.5457100404171,2.523955918880098,69.6608414571315,254.82000000000008,6545.828421592033,0.0005104684249115,0.0194260218053799,4.809382114475782e+16,1.538148505645104e+18,6.287362343997493e-11,2.3934136531045232e-12,1.595609102069682e-13,9.797544810021828e-13,8.574281282212026e-12,3.3026345999939886e-10,1.0164641919742524e-10,7.242765920318914e-11,7.482107285629367e-11,7.258722011339611e-11,3.94116837920376e-10,3.9651025157348047e-10,3.942763988305829e-10,1.6549979711840238e-10,1.678932107715069e-10,1.6565935802860934e-10,55.94789400814494,58.90640216050673,131.17691414454146,True,-0.5366778189522603,0.03302006400548491,-0.6820635547588471,-0.04139886331469838,-0.324895401334084,-0.9549930267556057,-0.16958691018596986,-0.1506563591521917,0.0197718717452869,-0.571771562028528,-0.15761109881722368,-0.18276140321218817,0.016638881512063223,0.010911358591811153,-0.5695274829972901,-0.5752550059175422,GTF2035 - 100
sfo_dfw,2023-11-06,nighttime,GTF2035_wi,0,15,632.46,11308.08,632.46,11308.08,74.63925835735911,4478.355501441547,192708115.5825312,707.625,707.625,17129.709793013917,17129.709793013917,0.1960090949209627,5.152816682565307,228.84500000000003,5539.725755283194,0.0010250448045692,0.0316304410856605,8.585023787425443e+16,2.181342952466716e+18,4.472723675039225e-12,2.497761420331149e-12,2.497761420331149e-12,8.30895302568233e-13,9.669675945487698e-12,3.3026345999939886e-10,1.0171933382499038e-10,1.4973294923095157e-11,1.7471056343426308e-11,1.7471056343426308e-11,3.3556707897700633e-10,3.3806484039733747e-10,3.3806484039733747e-10,1.0702295280259783e-10,1.09520714222929e-10,1.09520714222929e-10,55.94789400814494,58.90640216050673,128.57318049159042,True,-0.47748677683543267,0.03302006400548491,-0.6818354875266004,-0.9318067296842664,-0.2954622703649179,-0.2954622703649179,-0.2957558767050818,-0.8244113786724497,-0.13172482041070316,-0.723079588593314,-0.8032984105439316,-0.8032984105439316,-0.13321317707113198,-0.13321317707113198,-0.7191925909401942,-0.7191925909401942,GTF2035WI
sfo_dfw,2023-11-06,nighttime,GTF2035_wi,20,15,632.46,11308.08,632.46,11308.08,74.26972338174582,4456.1834029047495,192707651.25861588,693.75,574.5915,16710.68776089281,13840.46003108186,0.1960026725099231,5.127090477425922,233.84,5632.615821271603,0.0008308152120189,0.0262707078379451,7.021837522741205e+16,1.843826887836198e+18,4.450347458277021e-12,2.436678946723442e-12,2.018154970834224e-12,8.448336995421736e-13,9.120533399930676e-12,3.3026345999939886e-10,1.0158771956596507e-10,1.4415714557749871e-11,1.6852393504473313e-11,1.6433869528584095e-11,3.3555864115721804e-10,3.3799532010394146e-10,3.375767961280523e-10,1.0688290072378428e-10,1.0931957967050769e-10,1.0890105569461847e-10,55.94789400814494,58.90640216050673,131.08101476095823,True,-0.5071603918638341,0.03302006400548491,-0.6822471593787713,-0.9321478881168394,-0.312691661020797,-0.4307437413238649,-0.28394207281582073,-0.8309500041475467,-0.13174665315280154,-0.7234419714118385,-0.8102637571931195,-0.8149757980488436,-0.13339142475335466,-0.13446450607986635,-0.7197082931335059,-0.7207813744600178,GTF2035WI - 20
sfo_dfw,2023-11-06,nighttime,GTF2035_wi,100,15,632.46,11308.08,632.46,11308.08,72.82646913893194,4369.588148335917,192703206.9297623,636.8625,42.4575,15042.307200646392,1002.8204800430927,0.1959604650767485,5.026336567366277,253.45000000000007,5986.335763220207,0.0004146236440626,0.0147040733983337,3.874426898568502e+16,1.1524318503913376e+18,4.362880023220784e-12,2.1934096352716718e-12,1.462273090181114e-13,8.978905366955824e-13,7.559754768249782e-12,3.3026345999939886e-10,1.0126779925905806e-10,1.2820525328166148e-11,1.501393496343782e-11,1.2966752637184259e-11,3.3552423055931515e-10,3.377176401945869e-10,3.3567045786833325e-10,1.0652856981897444e-10,1.0872197945424609e-10,1.0667479712799254e-10,55.94789400814494,58.90640216050673,133.02718940223127,True,-0.5914990478936184,0.03302006400548491,-0.6832478274391083,-0.9334814581909086,-0.381310067480689,-0.9587540044987125,-0.2389725493988373,-0.8496564464515137,-0.13183569009934884,-0.7243587977314694,-0.8309624321937774,-0.8540110681528711,-0.13410338665432534,-0.13935229293645726,-0.7212405198868891,-0.7264894261690207,GTF2035WI - 100
bos_fll,2023-02-06,nighttime,GTF1990,0,0,518.1600000000001,11459.633333333337,701.0400000000001,11459.633333333337,117.81328991501104,7068.797394900661,304177420.6999704,650.25,650.25,27038.15003549503,27038.15003549503,2.2128015913583683,104.62195820319953,210.29,8744.10237749212,0.0083413928593238,0.3884146151751664,7.32595455072747e+17,2.999857288755056e+19,9.114284366916234e-11,4.1587432261706455e-12,4.1587432261706455e-12,3.6103493383801043e-12,5.248324368686669e-12,1.5819625285249363e-11,1.5819625285249363e-11,1.0000151737622911e-10,1.0416026060239976e-10,1.0416026060239976e-10,1.105728182927918e-10,1.1473156151896243e-10,1.1473156151896243e-10,1.105728182927918e-10,1.1473156151896243e-10,1.1473156151896243e-10,3.6096883792887726,5.071444355966268,83.77792385787053,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CFM1990
