trajectory,season,diurnal,engine,saf_level,water_injection,untrimmed_min_altitude,untrimmed_max_altitude,trimmed_min_altitude,trimmed_max_altitude,fuel_sum,fuel_kg_sum,energy_sum,ei_co2_conservative_sum,ei_co2_optimistic_sum,co2_conservative_sum,co2_optimistic_sum,ei_nox_sum,nox_sum,ei_h2o_sum,h2o_sum,ei_nvpm_mass_sum,nvpm_mass_sum,ei_nvpm_num_sum,nvpm_num_sum,nox_impact_sum,co2_impact_cons_sum,co2_impact_opti_sum,h2o_impact_sum,contrail_atr20_cocip_sum,contrail_atr20_accf_sum,contrail_atr20_accf_cocip_pcfa_sum,climate_non_co2_cocip,climate_total_cons_cocip,climate_total_opti_cocip,climate_non_co2_accf,climate_total_cons_accf,climate_total_opti_accf,climate_non_co2_accf_cocip_pcfa,climate_total_cons_accf_cocip_pcfa,climate_total_opti_accf_cocip_pcfa,accf_sac_pcfa_sum,accf_sac_issr_sum,accf_sac_sac_sum,contrail_formed,contrail_atr20_cocip_sum_relative_change,contrail_atr20_accf_sum_relative_change,contrail_atr20_accf_cocip_pcfa_sum_relative_change,nox_impact_sum_relative_change,co2_impact_cons_sum_relative_change,co2_impact_opti_sum_relative_change,h2o_impact_sum_relative_change,climate_non_co2_cocip_relative_change,climate_non_co2_accf_relative_change,climate_non_co2_accf_cocip_pcfa_relative_change,climate_total_cons_cocip_relative_change,climate_total_opti_cocip_relative_change,climate_total_cons_accf_relative_change,climate_total_opti_accf_relative_change,climate_total_cons_accf_cocip_pcfa_relative_change,climate_total_opti_accf_cocip_pcfa_relative_change,engine_display,season_astro
bos_fll,2023-08-06,daytime,GTF1990,0,0,518.1600000000001,11459.633333333337,701.0400000000001,11459.633333333337,101.9053680258084,6114.322081548504,263105393.4911137,650.25,650.25,23387.281961923025,23387.281961923025,2.0550611351622807,86.77249007554116,210.29,7563.416414875499,0.007252245002184,0.289791541506242,6.87394912371178e+17,2.349997517851326e+19,8.217591750357672e-11,3.5171125759950264e-12,3.5171125759950264e-12,1.2015886259289325e-12,0.0,5.346747564665459e-12,5.346747564665459e-12,8.337750612950564e-11,8.689461870550068e-11,8.689461870550068e-11,8.872425369417112e-11,9.224136627016614e-11,9.224136627016614e-11,8.872425369417112e-11,9.224136627016614e-11,9.224136627016614e-11,13.375575983805366,31.09311541456811,22.70935383604858,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CFM1990,summer
bos_fll,2023-08-06,daytime,GTF2000,0,0,518.1600000000001,11459.633333333337,701.0400000000001,11459.633333333337,101.9053680258084,6114.322081548504,263105393.4911137,650.25,650.25,23387.281961923025,23387.281961923025,2.0638165612145167,87.30482037057585,210.29,7563.416414875499,0.0021181220071181,0.1005053801108348,8.415970404590512e+16,3.357143703958623e+18,8.2179315024586e-11,3.5171125759950264e-12,3.5171125759950264e-12,1.2015886259289325e-12,0.0,5.346747564665459e-12,3.021088264648629e-12,8.338090365051493e-11,8.689801622650994e-11,8.689801622650994e-11,8.87276512151804e-11,9.224476379117542e-11,9.224476379117542e-11,8.640199191516356e-11,8.991910449115857e-11,8.991910449115857e-11,13.375575983805366,31.09311541456811,22.70935383604858,True,,0.0,-0.4349671032509919,4.1344485251753875e-05,0.0,0.0,0.0,4.074865232850351e-05,3.829303564487662e-05,-0.026173922938955322,3.9099325825662125e-05,3.9099325825662125e-05,3.6832943251566294e-05,3.6832943251566294e-05,-0.025175925649300195,-0.025175925649300195,CFM2008,summer
bos_fll,2023-08-06,daytime,GTF,0,0,518.1600000000001,11459.633333333337,701.0400000000001,11459.633333333337,85.80460940092692,5148.276564055616,221535488.8278772,650.25,650.25,19692.157857512728,19692.157857512728,2.089945720384375,69.05013103269482,210.29,6368.418109736796,0.0012796814824259,0.0482428142339871,9.510480387665542e+16,3.0375733109209795e+18,7.100351090335204e-11,2.9474608868602373e-12,2.9474608868602373e-12,1.007954510169828e-12,0.0,1.4823676355362455e-11,6.106626018624071e-12,7.201146541352186e-11,7.49589263003821e-11,7.49589263003821e-11,8.683514176888431e-11,8.978260265574455e-11,8.978260265574455e-11,7.811809143214595e-11,8.106555231900619e-11,8.106555231900619e-11,14.86368614288182,31.09311541456811,29.743890254018247,True,,1.7724660975816908,0.14211975500402302,-0.13595718721045494,-0.16196572524370473,-0.16196572524370473,-0.16114842599263832,-0.1363202288436109,-0.02129194494888061,-0.11954073232990137,-0.1373582459182022,-0.1373582459182022,-0.026655758840563003,-0.026655758840563003,-0.12115837398187561,-0.12115837398187561,GTF,summer
bos_fll,2023-08-06,daytime,GTF2035,0,0,518.1600000000001,11459.633333333337,701.0400000000001,11459.633333333337,78.5985565126111,4715.913390756667,202930469.1176501,650.25,650.25,18038.368719644248,18038.368719644248,2.444313166430387,74.48160777551826,210.29,5833.584864365996,0.0012945910727002,0.0449093947337648,9.43039201837799e+16,2.786295738086479e+18,7.67486240491442e-11,2.7174182332065e-12,2.7174182332065e-12,9.292341316608422e-13,0.0,1.5060205204682333e-11,5.7511242957018596e-12,7.767785818080504e-11,8.039527641401154e-11,8.039527641401154e-11,9.273806338548736e-11,9.545548161869387e-11,9.545548161869387e-11,8.342898247650689e-11,8.614640070971339e-11,8.614640070971339e-11,14.900342938259406,31.09311541456811,32.75764329363332,True,,1.8167039910784784,0.07563041384425294,-0.06604481725678696,-0.2273724043542407,-0.2273724043542407,-0.22666201093368085,-0.06835953980019094,0.045239148532617436,-0.05968234160545113,-0.07479568226792523,-0.07479568226792523,0.034844619919374265,0.034844619919374265,-0.0660762714919159,-0.0660762714919159,GTF2035,summer
bos_fll,2023-08-06,daytime,GTF2035,20,0,518.1600000000001,11459.633333333337,701.0400000000001,11459.633333333337,78.20767250845964,4692.460350507578,202925447.85770023,637.5,528.0029999999999,17596.72631440342,14574.312602641488,2.444215181704906,74.10833315890642,214.88,5931.269883041579,0.0010840634948155,0.0382341377193716,8.001511165523405e+16,2.427433040470392e+18,7.636419828782985e-11,2.6508985648478087e-12,2.1955802273495487e-12,9.44798839030855e-13,0.0,1.5060205204682333e-11,5.1502038410799535e-12,7.730899712686071e-11,7.995989569170851e-11,7.950457735421025e-11,9.236920233154304e-11,9.502010089639083e-11,9.45647825588926e-11,8.245920096794067e-11,8.511009953278847e-11,8.465478119529022e-11,14.900342938259406,31.09311541456811,34.39330964722174,True,,1.8167039910784784,-0.03675949186088111,-0.07072290024013318,-0.24628555169353858,-0.3757435453346565,-0.2137085699355357,-0.07278352740868808,0.041081761588391746,-0.07061262806251188,-0.07980612743460001,-0.08504601851509841,0.03012460394489434,0.02518844183119958,-0.07731094004495632,-0.08224710215865122,GTF2035 - 20,summer
bos_fll,2023-08-06,daytime,GTF2035,100,0,518.1600000000001,11459.633333333337,701.0400000000001,11459.633333333337,76.68524232481559,4601.114539488936,202913752.30600157,585.2249999999999,39.015,15839.33680219066,1055.9557868127108,2.443853731548292,72.6543316979486,232.9000000000001,6303.526919099842,0.0006278940835286,0.0236478905821627,5.075948631791893e+16,1.6758225751626893e+18,7.486648567506917e-11,2.3861695486249858e-12,1.590779699083324e-13,1.004102330914586e-12,-1.23041841409438e-12,1.5060205204682333e-11,4.837809197926937e-12,7.464016959188939e-11,7.702633914051438e-11,7.479924756179772e-11,9.093079321066609e-11,9.331696275929108e-11,9.108987118057443e-11,8.070839720391071e-11,8.30945667525357e-11,8.086747517381904e-11,14.900342938259406,31.09311541456811,41.17066168723098,True,,1.8167039910784784,-0.09518653360444676,-0.08894858798734322,-0.3215544009278934,-0.9547702933951929,-0.16435433121853363,-0.1047924907233977,0.02486963174805417,-0.09034571897207207,-0.11356606095978657,-0.13919585958131706,0.011660673867022088,-0.012483499932330661,-0.09916157888251939,-0.12330575268187227,GTF2035 - 100,summer
bos_fll,2023-08-06,daytime,GTF2035_wi,0,15,693.4200000000001,11459.633333333337,701.0400000000001,11459.633333333337,72.36917984485048,4342.150790691028,186847090.6742257,650.25,650.25,16608.726774393188,16608.726774393188,0.2000387582321574,5.849252682430691,210.29,5371.240528084803,0.0010509575885085,0.034028004680292,7.585185327591923e+16,2.0941184907114107e+18,5.497655599384304e-12,2.4937761288521055e-12,2.4937761288521055e-12,8.52790965183329e-13,-2.697978817162984e-13,1.5060205204682333e-11,4.9103214734004626e-12,6.080648682851335e-12,8.57442481170344e-12,8.57442481170344e-12,2.1410651769249966e-11,2.3904427898102076e-11,2.3904427898102076e-11,1.1260768037968097e-11,1.3754544166820204e-11,1.3754544166820204e-11,14.900342938259406,31.09311541456811,37.98943923706869,True,,1.8167039910784784,-0.08162459251848062,-0.9330989447225214,-0.29095925280509644,-0.29095925280509644,-0.29028042810903987,-0.9270708736070061,-0.7586832136897809,-0.8730812875948948,-0.901323868618798,-0.901323868618798,-0.7408491562441921,-0.7408491562441921,-0.8508852944942894,-0.8508852944942894,GTF2035WI,summer
bos_fll,2023-08-06,daytime,GTF2035_wi,20,15,693.4200000000001,11459.633333333337,701.0400000000001,11459.633333333337,72.01138240087951,4320.682944052771,186847933.9155621,637.5,528.0029999999999,16202.56104019789,13419.609155933504,0.2000284009035,5.819982747762047,214.88,5461.343241282702,0.0008809152304591,0.029019283391079,6.447324676153038e+16,1.827512947577627e+18,5.4701278600395826e-12,2.4327882996145746e-12,2.0149325812727748e-12,8.670954837651429e-13,-9.262301482855123e-13,1.5060205204682333e-11,4.836626480764113e-12,5.410993195519214e-12,7.843781495133788e-12,7.425925776791988e-12,2.139742854848706e-11,2.3830216848101634e-11,2.3412361129759835e-11,1.117384982456884e-11,1.3606638124183414e-11,1.3188782405841614e-11,14.900342938259406,31.09311541456811,38.9498275374687,True,,1.8167039910784784,-0.0954077367094221,-0.9334339302046551,-0.30829956475694714,-0.42710603151429405,-0.2783757560164963,-0.9351024821117266,-0.7588322509621425,-0.8740609319399333,-0.9097322525607993,-0.9145410166081791,-0.7416536873672794,-0.7461837126177504,-0.8524887620990904,-0.8570187873495614,GTF2035WI - 20,summer
bos_fll,2023-08-06,daytime,GTF2035_wi,100,15,693.4200000000001,11459.633333333337,701.0400000000001,11459.633333333337,67.90084923964687,4074.0509543788135,179669721.13906002,585.2249999999999,39.015,14024.920410449064,934.9946940299376,0.1917066227330359,5.597732005386559,232.9000000000001,5581.449807498974,0.000511149169695,0.0180520888393737,3.977960546486858e+16,1.251585803919727e+18,5.36260427111435e-12,2.189928974692412e-12,1.4599526497949413e-13,9.21558430148787e-13,-3.565114544344001e-12,1.6146769943007663e-11,5.02386439130943e-12,2.719048156919136e-12,4.908977131611547e-12,2.8650434218986297e-12,2.24309326442708e-11,2.462086161896321e-11,2.257692790925029e-11,1.1308027092572569e-11,1.3497956067264978e-11,1.1454022357552059e-11,15.067525649169914,31.09311541456811,45.67482709794652,True,,2.019923747609721,-0.06038870723761795,-0.934742386406809,-0.3773503328727375,-0.9584900221915158,-0.23304997212640705,-0.9673887085001585,-0.747183755170381,-0.872548636683371,-0.9435065461504718,-0.9670285287560936,-0.7330822101349728,-0.7552407469429211,-0.8536669976490726,-0.8758255344570209,GTF2035WI - 100,summer
bos_fll,2023-08-06,nighttime,GTF1990,0,0,701.0400000000001,11459.633333333337,701.0400000000001,11459.633333333337,99.98147035135484,5998.88822108129,258138159.041349,650.25,650.25,22945.74744563593,22945.74744563593,2.0199268613396244,84.21779498794696,210.29,7420.624729477557,0.0071907143739931,0.2851663928481955,6.873555910764092e+17,2.3767434917052064e+19,8.165598451015133e-11,3.520839539009927e-12,3.520839539009927e-12,1.132663518407129e-12,0.0,1.6627103752881567e-10,1.6627103752881567e-10,8.278864802855845e-11,8.630948756756838e-11,8.630948756756838e-11,2.4905968555737406e-10,2.5258052509638405e-10,2.5258052509638405e-10,2.4905968555737406e-10,2.5258052509638405e-10,2.5258052509638405e-10,27.96754252935378,80.4916140343291,34.315961404037154,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CFM1990,summer
